# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(8,6),-2.04103 # DEPENDENCYPART_ARC
(8,7),-1.32016 # DEPENDENCYPART_ARC
(8,9),0.319701 # DEPENDENCYPART_ARC
(8,10),-1.54249 # DEPENDENCYPART_ARC
(8,11),-1.54665 # DEPENDENCYPART_ARC
(8,12),-1.66302 # DEPENDENCYPART_ARC
(8,13),-2.26475 # DEPENDENCYPART_ARC
(8,14),-2.10839 # DEPENDENCYPART_ARC
(8,15),-2.26137 # DEPENDENCYPART_ARC
(8,17),-2.49003 # DEPENDENCYPART_ARC
(8,18),-2.29431 # DEPENDENCYPART_ARC
(8,23),-2.65675 # DEPENDENCYPART_ARC
(8,25),-2.78499 # DEPENDENCYPART_ARC
(9,1),-2.08346 # DEPENDENCYPART_ARC
(9,4),-2.78115 # DEPENDENCYPART_ARC
(9,6),-1.45709 # DEPENDENCYPART_ARC
(9,7),-0.978289 # DEPENDENCYPART_ARC
(9,8),-0.777334 # DEPENDENCYPART_ARC
(9,10),-0.925796 # DEPENDENCYPART_ARC
(9,11),-1.87392 # DEPENDENCYPART_ARC
(9,12),-1.23529 # DEPENDENCYPART_ARC
(11,4),-3.31648 # DEPENDENCYPART_ARC
(11,6),-2.53546 # DEPENDENCYPART_ARC
(11,7),-2.38034 # DEPENDENCYPART_ARC
(11,8),-2.5716 # DEPENDENCYPART_ARC
(11,9),-1.45455 # DEPENDENCYPART_ARC
(11,10),-0.715947 # DEPENDENCYPART_ARC
(11,13),-1.4445 # DEPENDENCYPART_ARC
(11,14),-2.11495 # DEPENDENCYPART_ARC
(11,18),-1.50474 # DEPENDENCYPART_ARC
(12,1),-0.931819 # DEPENDENCYPART_ARC
(12,2),-2.05871 # DEPENDENCYPART_ARC
(12,3),-1.43027 # DEPENDENCYPART_ARC
(12,4),-1.01534 # DEPENDENCYPART_ARC
(12,5),-1.67559 # DEPENDENCYPART_ARC
(12,6),-2.08633 # DEPENDENCYPART_ARC
(12,7),-1.98426 # DEPENDENCYPART_ARC
(12,8),-1.59703 # DEPENDENCYPART_ARC
(12,9),-1.55726 # DEPENDENCYPART_ARC
(12,10),-0.0121286 # DEPENDENCYPART_ARC
(12,11),0.916514 # DEPENDENCYPART_ARC
(12,13),-0.330269 # DEPENDENCYPART_ARC
(12,14),-0.217608 # DEPENDENCYPART_ARC
(12,15),0.795704 # DEPENDENCYPART_ARC
(12,16),-2.09008 # DEPENDENCYPART_ARC
(12,17),-1.9153 # DEPENDENCYPART_ARC
(12,18),-0.153462 # DEPENDENCYPART_ARC
(12,19),-1.74275 # DEPENDENCYPART_ARC
(12,20),-1.66309 # DEPENDENCYPART_ARC
(12,21),-0.738882 # DEPENDENCYPART_ARC
(12,23),-2.36132 # DEPENDENCYPART_ARC
(12,24),-0.936765 # DEPENDENCYPART_ARC
(12,25),-3.22913 # DEPENDENCYPART_ARC
(12,26),-0.107521 # DEPENDENCYPART_ARC
(13,9),-2.48763 # DEPENDENCYPART_ARC
(13,14),-1.35198 # DEPENDENCYPART_ARC
(13,15),-1.5396 # DEPENDENCYPART_ARC
(13,16),-2.31916 # DEPENDENCYPART_ARC
(13,17),-2.56749 # DEPENDENCYPART_ARC
(13,18),-1.92234 # DEPENDENCYPART_ARC
(13,21),-1.93729 # DEPENDENCYPART_ARC
(14,1),-1.99795 # DEPENDENCYPART_ARC
(14,5),-2.18019 # DEPENDENCYPART_ARC
(14,6),-1.59414 # DEPENDENCYPART_ARC
(14,7),-2.19821 # DEPENDENCYPART_ARC
(14,8),-2.06572 # DEPENDENCYPART_ARC
(14,9),-1.49956 # DEPENDENCYPART_ARC
(14,11),-1.98533 # DEPENDENCYPART_ARC
(14,12),-1.21772 # DEPENDENCYPART_ARC
(14,13),1.35321 # DEPENDENCYPART_ARC
(14,15),-0.88755 # DEPENDENCYPART_ARC
(14,16),-1.57332 # DEPENDENCYPART_ARC
(14,17),-2.08061 # DEPENDENCYPART_ARC
(14,18),-1.64572 # DEPENDENCYPART_ARC
(14,21),-1.66813 # DEPENDENCYPART_ARC
(15,13),-2.09661 # DEPENDENCYPART_ARC
(15,14),-1.37457 # DEPENDENCYPART_ARC
(15,16),-0.518986 # DEPENDENCYPART_ARC
(15,17),-0.601176 # DEPENDENCYPART_ARC
(15,18),-1.23467 # DEPENDENCYPART_ARC
(15,19),-1.64005 # DEPENDENCYPART_ARC
(15,20),-1.61426 # DEPENDENCYPART_ARC
(15,21),-2.03516 # DEPENDENCYPART_ARC
(15,22),-2.70162 # DEPENDENCYPART_ARC
(15,23),-2.26456 # DEPENDENCYPART_ARC
(15,25),-2.32695 # DEPENDENCYPART_ARC
(16,13),-1.97887 # DEPENDENCYPART_ARC
(16,14),-1.50598 # DEPENDENCYPART_ARC
(16,15),-1.10711 # DEPENDENCYPART_ARC
(16,17),-1.02417 # DEPENDENCYPART_ARC
(16,18),-1.12996 # DEPENDENCYPART_ARC
(16,20),-2.28505 # DEPENDENCYPART_ARC
(16,21),-1.56375 # DEPENDENCYPART_ARC
(17,1),-2.05601 # DEPENDENCYPART_ARC
(17,5),-2.1669 # DEPENDENCYPART_ARC
(17,6),-2.24541 # DEPENDENCYPART_ARC
(17,9),-2.25101 # DEPENDENCYPART_ARC
(17,13),-1.04935 # DEPENDENCYPART_ARC
(17,14),-1.35426 # DEPENDENCYPART_ARC
(17,15),-1.04383 # DEPENDENCYPART_ARC
(17,16),1.08502 # DEPENDENCYPART_ARC
(17,18),-0.13004 # DEPENDENCYPART_ARC
(17,19),-1.66337 # DEPENDENCYPART_ARC
(17,20),-1.8953 # DEPENDENCYPART_ARC
(17,21),-1.27112 # DEPENDENCYPART_ARC
(17,24),-2.02092 # DEPENDENCYPART_ARC
(18,17),-1.81152 # DEPENDENCYPART_ARC
(18,19),-0.321355 # DEPENDENCYPART_ARC
(18,20),-0.550398 # DEPENDENCYPART_ARC
(18,21),0.321614 # DEPENDENCYPART_ARC
(18,22),-1.98294 # DEPENDENCYPART_ARC
(18,23),-2.20038 # DEPENDENCYPART_ARC
(18,24),-1.77362 # DEPENDENCYPART_ARC
(18,25),-2.78613 # DEPENDENCYPART_ARC
(19,20),-0.528151 # DEPENDENCYPART_ARC
(19,22),-2.34644 # DEPENDENCYPART_ARC
(20,11),-2.63246 # DEPENDENCYPART_ARC
(20,15),-2.56181 # DEPENDENCYPART_ARC
(20,16),-1.76317 # DEPENDENCYPART_ARC
(20,17),-1.53243 # DEPENDENCYPART_ARC
(20,19),1.29333 # DEPENDENCYPART_ARC
(20,21),-1.34025 # DEPENDENCYPART_ARC
(20,22),-1.65355 # DEPENDENCYPART_ARC
(20,23),-2.42034 # DEPENDENCYPART_ARC
(20,25),-2.81247 # DEPENDENCYPART_ARC
(21,1),-1.57487 # DEPENDENCYPART_ARC
(21,2),-3.10089 # DEPENDENCYPART_ARC
(21,3),-2.51115 # DEPENDENCYPART_ARC
(21,4),-1.92503 # DEPENDENCYPART_ARC
(21,5),-2.01916 # DEPENDENCYPART_ARC
(21,7),-2.73578 # DEPENDENCYPART_ARC
(21,8),-2.30833 # DEPENDENCYPART_ARC
(21,9),-2.66946 # DEPENDENCYPART_ARC
(21,10),-1.92128 # DEPENDENCYPART_ARC
(21,11),-1.30793 # DEPENDENCYPART_ARC
(21,12),-2.09367 # DEPENDENCYPART_ARC
(21,13),-2.40355 # DEPENDENCYPART_ARC
(21,14),-2.28986 # DEPENDENCYPART_ARC
(21,15),-1.86045 # DEPENDENCYPART_ARC
(21,16),-2.11626 # DEPENDENCYPART_ARC
(21,17),-1.95318 # DEPENDENCYPART_ARC
(21,18),-1.40769 # DEPENDENCYPART_ARC
(21,19),-0.934214 # DEPENDENCYPART_ARC
(21,20),0.342968 # DEPENDENCYPART_ARC
(21,22),-0.266554 # DEPENDENCYPART_ARC
(21,23),-0.148822 # DEPENDENCYPART_ARC
(21,24),0.86567 # DEPENDENCYPART_ARC
(21,25),-1.92652 # DEPENDENCYPART_ARC
(21,26),-0.37861 # DEPENDENCYPART_ARC
(22,20),-2.32955 # DEPENDENCYPART_ARC
(22,23),-1.57685 # DEPENDENCYPART_ARC
(22,24),-1.68388 # DEPENDENCYPART_ARC
(22,25),-2.5326 # DEPENDENCYPART_ARC
(23,13),-1.805 # DEPENDENCYPART_ARC
(23,14),-2.55778 # DEPENDENCYPART_ARC
(23,15),-2.40156 # DEPENDENCYPART_ARC
(23,16),-1.34725 # DEPENDENCYPART_ARC
(23,17),-2.01797 # DEPENDENCYPART_ARC
(23,20),-2.03195 # DEPENDENCYPART_ARC
(23,22),1.31807 # DEPENDENCYPART_ARC
(23,24),-1.03134 # DEPENDENCYPART_ARC
(23,25),-1.73169 # DEPENDENCYPART_ARC
(24,22),-2.12404 # DEPENDENCYPART_ARC
(24,23),-1.3791 # DEPENDENCYPART_ARC
(24,25),0.354438 # DEPENDENCYPART_ARC
(25,16),-2.43821 # DEPENDENCYPART_ARC
(25,22),-1.41067 # DEPENDENCYPART_ARC
(25,23),-1.01407 # DEPENDENCYPART_ARC
(25,24),-0.795609 # DEPENDENCYPART_ARC
(26,25),-2.33033 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.741278 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.737096 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.737096 # DEPENDENCYPART_SIBL
(0,5),(0,12),-1.65706 # DEPENDENCYPART_SIBL
(0,5),(0,21),-1.65706 # DEPENDENCYPART_SIBL
(0,12),(0,21),-1.66834 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0531317 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.559544 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.650993 # DEPENDENCYPART_SIBL
(1,2),(1,8),-1.07027 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.585958 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0800672 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.217453 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.387887 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.289177 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.629656 # DEPENDENCYPART_SIBL
(1,4),(1,8),-1.02893 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.597745 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.726646 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.627738 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.322743 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.107998 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0833273 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.067484 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0372191 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0504945 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.103095 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.107998 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.119111 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.554896 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.419986 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.262272 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.268269 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0654033 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0149197 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.40781 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0351858 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0180629 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0115338 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0174699 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0319413 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0358544 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00636118 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00244992 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0039867 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.196141 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.235607 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00214804 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00859181 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.047412 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0330989 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0262522 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0234164 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0245294 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0525833 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00512137 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.40781 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0782936 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.324705 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00135774 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00103775 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0132441 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0735507 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0805054 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0786647 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00280973 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.108692 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.102666 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0620308 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00929454 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0923464 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0335637 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0161269 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00138496 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.118971 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0291354 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0275792 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.386466 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0168498 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0243625 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.191518 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0206278 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.139113 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00242449 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.701273 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0193835 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.495508 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0286121 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0347661 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0259784 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0731469 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0576441 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.129709 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0737567 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.025109 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0604541 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0731469 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0844393 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0737567 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.025109 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0852414 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0731469 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.0640571 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0527735 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.378383 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0469087 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0292527 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.112765 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0516272 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0370933 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0313386 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0333336 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0424597 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.112765 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0131005 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.031342 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0333336 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0491864 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.112765 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.015572 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0306889 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0515929 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00477879 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.117627 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0503691 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.000112454 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00538115 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0881788 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.111854 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.117627 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0488763 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.00538131 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0881788 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.121625 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.117627 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.150968 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0182939 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0430115 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0867795 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0076796 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.03652 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0363774 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.035009 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0358052 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0867795 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00377713 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0363854 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.035009 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.000114281 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0867795 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.0297921 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.142977 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00349027 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.135 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0191315 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0783112 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.014158 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.157172 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00349027 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0440805 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0783112 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.014158 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.144771 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.00349027 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0521969 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0849026 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0999543 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0843156 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0369983 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0530456 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.108087 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0849026 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.150097 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0369983 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0530456 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.109942 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0849026 # DEPENDENCYPART_SIBL
(5,7),(5,26),0.0353547 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0532845 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00463307 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.159177 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00261633 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0755453 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.468989 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.103288 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.159602 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.00261633 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0685936 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.468989 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0458347 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0234395 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0703674 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00378464 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.147772 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0136813 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.0579057 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0703674 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.00378464 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.14941 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.0136813 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0327041 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.00241699 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.389714 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.000779864 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0894495 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.562329 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.000868723 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.389714 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.00689072 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0894495 # DEPENDENCYPART_SIBL
(5,10),(5,26),-0.00228818 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0510836 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.103962 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0139788 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0297428 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.194148 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0510836 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.113077 # DEPENDENCYPART_SIBL
