# _root_ The contract was first proposed more than two years ago , but shortly afterward , the colony 's markets were hit hard by the October 1987 global stock crash .
#goldHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,29,29,29,23,12,
#predictedHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,25,29,29,23,12,
(6,8),-0.984331 # DEPENDENCYPART_ARC
(6,11),-1.29243 # DEPENDENCYPART_ARC
(6,12),-1.22059 # DEPENDENCYPART_ARC
(7,2),-1.65819 # DEPENDENCYPART_ARC
(7,4),-1.24191 # DEPENDENCYPART_ARC
(7,6),0.332379 # DEPENDENCYPART_ARC
(7,8),0.905415 # DEPENDENCYPART_ARC
(7,9),-0.291032 # DEPENDENCYPART_ARC
(7,10),-1.1324 # DEPENDENCYPART_ARC
(7,11),-1.21504 # DEPENDENCYPART_ARC
(7,12),-1.79917 # DEPENDENCYPART_ARC
(7,13),-1.67695 # DEPENDENCYPART_ARC
(7,14),-1.67209 # DEPENDENCYPART_ARC
(7,19),-1.92936 # DEPENDENCYPART_ARC
(7,20),-1.63697 # DEPENDENCYPART_ARC
(7,22),-1.60737 # DEPENDENCYPART_ARC
(7,23),-1.2959 # DEPENDENCYPART_ARC
(8,7),-0.296392 # DEPENDENCYPART_ARC
(8,9),-0.399393 # DEPENDENCYPART_ARC
(8,10),-1.18472 # DEPENDENCYPART_ARC
(8,11),-1.17699 # DEPENDENCYPART_ARC
(9,1),-2.55862 # DEPENDENCYPART_ARC
(9,4),-1.41043 # DEPENDENCYPART_ARC
(9,5),-1.49368 # DEPENDENCYPART_ARC
(9,6),-1.6407 # DEPENDENCYPART_ARC
(9,7),-0.571326 # DEPENDENCYPART_ARC
(9,8),0.967525 # DEPENDENCYPART_ARC
(9,10),-0.197532 # DEPENDENCYPART_ARC
(9,11),-1.76848 # DEPENDENCYPART_ARC
(9,12),-1.3926 # DEPENDENCYPART_ARC
(9,13),-1.73159 # DEPENDENCYPART_ARC
(9,14),-1.80528 # DEPENDENCYPART_ARC
(9,15),-2.22117 # DEPENDENCYPART_ARC
(9,17),-1.75923 # DEPENDENCYPART_ARC
(9,19),-1.94422 # DEPENDENCYPART_ARC
(9,20),-2.14145 # DEPENDENCYPART_ARC
(9,29),-1.93706 # DEPENDENCYPART_ARC
(10,2),-1.32791 # DEPENDENCYPART_ARC
(10,7),-1.1404 # DEPENDENCYPART_ARC
(10,9),0.434455 # DEPENDENCYPART_ARC
(10,11),-0.287823 # DEPENDENCYPART_ARC
(10,12),-1.42946 # DEPENDENCYPART_ARC
(10,13),-1.5226 # DEPENDENCYPART_ARC
(10,14),-1.5783 # DEPENDENCYPART_ARC
(10,17),-1.78656 # DEPENDENCYPART_ARC
(10,19),-1.77115 # DEPENDENCYPART_ARC
(10,20),-1.48801 # DEPENDENCYPART_ARC
(11,10),-0.254006 # DEPENDENCYPART_ARC
(12,2),-1.38047 # DEPENDENCYPART_ARC
(12,3),-1.3256 # DEPENDENCYPART_ARC
(12,4),-1.16652 # DEPENDENCYPART_ARC
(12,5),-1.1468 # DEPENDENCYPART_ARC
(12,6),-1.58277 # DEPENDENCYPART_ARC
(12,7),-1.47858 # DEPENDENCYPART_ARC
(12,8),-1.41891 # DEPENDENCYPART_ARC
(12,9),-1.07804 # DEPENDENCYPART_ARC
(12,10),-0.862716 # DEPENDENCYPART_ARC
(12,11),1.17695 # DEPENDENCYPART_ARC
(12,13),0.0425303 # DEPENDENCYPART_ARC
(12,14),-0.695002 # DEPENDENCYPART_ARC
(12,15),-0.721751 # DEPENDENCYPART_ARC
(12,16),-2.03389 # DEPENDENCYPART_ARC
(12,17),-2.18506 # DEPENDENCYPART_ARC
(12,19),-2.73607 # DEPENDENCYPART_ARC
(12,20),-1.50359 # DEPENDENCYPART_ARC
(12,21),-2.32562 # DEPENDENCYPART_ARC
(12,30),-0.374334 # DEPENDENCYPART_ARC
(13,12),-0.336601 # DEPENDENCYPART_ARC
(13,14),0.261443 # DEPENDENCYPART_ARC
(13,15),-1.15188 # DEPENDENCYPART_ARC
(13,17),-1.72989 # DEPENDENCYPART_ARC
(13,19),-1.93994 # DEPENDENCYPART_ARC
(13,20),-1.61652 # DEPENDENCYPART_ARC
(13,22),-1.75165 # DEPENDENCYPART_ARC
(13,23),-2.06625 # DEPENDENCYPART_ARC
(14,2),-1.90612 # DEPENDENCYPART_ARC
(14,9),-1.67902 # DEPENDENCYPART_ARC
(14,11),-1.27596 # DEPENDENCYPART_ARC
(14,12),-0.98198 # DEPENDENCYPART_ARC
(14,13),-0.182539 # DEPENDENCYPART_ARC
(14,15),-0.412308 # DEPENDENCYPART_ARC
(14,16),-1.54166 # DEPENDENCYPART_ARC
(14,17),-1.84192 # DEPENDENCYPART_ARC
(14,19),-1.99926 # DEPENDENCYPART_ARC
(14,20),-1.82149 # DEPENDENCYPART_ARC
(15,14),-0.388172 # DEPENDENCYPART_ARC
(16,21),-1.78712 # DEPENDENCYPART_ARC
(17,8),-1.74497 # DEPENDENCYPART_ARC
(17,13),-1.89294 # DEPENDENCYPART_ARC
(17,14),-1.8424 # DEPENDENCYPART_ARC
(17,15),-1.13205 # DEPENDENCYPART_ARC
(17,16),1.5048 # DEPENDENCYPART_ARC
(17,18),0.985443 # DEPENDENCYPART_ARC
(17,21),-1.17583 # DEPENDENCYPART_ARC
(17,22),-1.26291 # DEPENDENCYPART_ARC
(17,23),-1.11734 # DEPENDENCYPART_ARC
(17,25),-1.33458 # DEPENDENCYPART_ARC
(17,26),-1.71485 # DEPENDENCYPART_ARC
(17,30),-1.50405 # DEPENDENCYPART_ARC
(19,5),-1.28146 # DEPENDENCYPART_ARC
(19,7),-1.22364 # DEPENDENCYPART_ARC
(19,10),-1.69595 # DEPENDENCYPART_ARC
(19,13),-2.08917 # DEPENDENCYPART_ARC
(19,14),-1.82821 # DEPENDENCYPART_ARC
(19,15),-1.39536 # DEPENDENCYPART_ARC
(19,16),-0.782217 # DEPENDENCYPART_ARC
(19,17),0.463112 # DEPENDENCYPART_ARC
(19,18),0.115548 # DEPENDENCYPART_ARC
(19,21),-1.20597 # DEPENDENCYPART_ARC
(19,22),-1.29684 # DEPENDENCYPART_ARC
(19,23),-1.37826 # DEPENDENCYPART_ARC
(19,25),-1.33298 # DEPENDENCYPART_ARC
(19,29),-1.59107 # DEPENDENCYPART_ARC
(19,30),-1.83198 # DEPENDENCYPART_ARC
(20,2),-1.29812 # DEPENDENCYPART_ARC
(20,3),-1.51875 # DEPENDENCYPART_ARC
(20,4),-1.6998 # DEPENDENCYPART_ARC
(20,5),-1.7637 # DEPENDENCYPART_ARC
(20,6),-1.64497 # DEPENDENCYPART_ARC
(20,7),-1.18871 # DEPENDENCYPART_ARC
(20,8),-1.29863 # DEPENDENCYPART_ARC
(20,9),-0.944667 # DEPENDENCYPART_ARC
(20,10),-1.35103 # DEPENDENCYPART_ARC
(20,11),-1.6576 # DEPENDENCYPART_ARC
(20,12),-1.60497 # DEPENDENCYPART_ARC
(20,13),-1.67819 # DEPENDENCYPART_ARC
(20,14),-1.62419 # DEPENDENCYPART_ARC
(20,15),-0.511675 # DEPENDENCYPART_ARC
(20,16),-1.22235 # DEPENDENCYPART_ARC
(20,17),-0.410863 # DEPENDENCYPART_ARC
(20,19),0.90998 # DEPENDENCYPART_ARC
(20,21),1.33675 # DEPENDENCYPART_ARC
(20,22),-1.12525 # DEPENDENCYPART_ARC
(20,23),-1.35707 # DEPENDENCYPART_ARC
(20,25),-1.56387 # DEPENDENCYPART_ARC
(20,26),-1.93197 # DEPENDENCYPART_ARC
(20,29),-1.75473 # DEPENDENCYPART_ARC
(20,30),-0.258622 # DEPENDENCYPART_ARC
(21,3),-2.25941 # DEPENDENCYPART_ARC
(21,9),-1.84021 # DEPENDENCYPART_ARC
(21,15),-2.11483 # DEPENDENCYPART_ARC
(21,17),-1.48833 # DEPENDENCYPART_ARC
(21,19),-1.39445 # DEPENDENCYPART_ARC
(21,22),0.494414 # DEPENDENCYPART_ARC
(21,23),-0.14001 # DEPENDENCYPART_ARC
(21,25),-0.69263 # DEPENDENCYPART_ARC
(21,26),-1.53982 # DEPENDENCYPART_ARC
(21,27),-1.13385 # DEPENDENCYPART_ARC
(21,28),-1.25153 # DEPENDENCYPART_ARC
(21,29),-1.02387 # DEPENDENCYPART_ARC
(21,30),-0.510239 # DEPENDENCYPART_ARC
(22,17),-1.60826 # DEPENDENCYPART_ARC
(22,19),-1.4124 # DEPENDENCYPART_ARC
(22,23),-0.245307 # DEPENDENCYPART_ARC
(22,24),-0.967575 # DEPENDENCYPART_ARC
(22,25),-1.19617 # DEPENDENCYPART_ARC
(22,26),-1.31647 # DEPENDENCYPART_ARC
(22,27),-1.23351 # DEPENDENCYPART_ARC
(22,29),-1.60769 # DEPENDENCYPART_ARC
(23,19),-1.65343 # DEPENDENCYPART_ARC
(23,22),-0.0550597 # DEPENDENCYPART_ARC
(23,24),0.00020684 # DEPENDENCYPART_ARC
(23,25),-0.0914686 # DEPENDENCYPART_ARC
(23,26),-1.30542 # DEPENDENCYPART_ARC
(23,27),-1.18794 # DEPENDENCYPART_ARC
(23,28),-1.07211 # DEPENDENCYPART_ARC
(23,29),-1.09724 # DEPENDENCYPART_ARC
(23,30),-1.13358 # DEPENDENCYPART_ARC
(24,26),-1.32686 # DEPENDENCYPART_ARC
(25,22),-2.3619 # DEPENDENCYPART_ARC
(25,24),-0.00533252 # DEPENDENCYPART_ARC
(25,26),0.257801 # DEPENDENCYPART_ARC
(25,27),-1.14143 # DEPENDENCYPART_ARC
(25,28),-1.37498 # DEPENDENCYPART_ARC
(25,29),-1.69014 # DEPENDENCYPART_ARC
(25,30),-1.17166 # DEPENDENCYPART_ARC
(26,23),-1.25791 # DEPENDENCYPART_ARC
(26,24),-1.03493 # DEPENDENCYPART_ARC
(26,25),-0.294716 # DEPENDENCYPART_ARC
(26,27),-0.185196 # DEPENDENCYPART_ARC
(26,28),-1.08038 # DEPENDENCYPART_ARC
(26,29),-1.44913 # DEPENDENCYPART_ARC
(27,22),-1.40386 # DEPENDENCYPART_ARC
(27,24),-1.28199 # DEPENDENCYPART_ARC
(27,25),-0.940806 # DEPENDENCYPART_ARC
(27,26),-0.20214 # DEPENDENCYPART_ARC
(27,28),-0.385648 # DEPENDENCYPART_ARC
(28,22),-2.16249 # DEPENDENCYPART_ARC
(28,24),-1.75212 # DEPENDENCYPART_ARC
(28,25),-1.45583 # DEPENDENCYPART_ARC
(28,26),-1.05752 # DEPENDENCYPART_ARC
(28,27),0.0587714 # DEPENDENCYPART_ARC
(28,29),-0.729306 # DEPENDENCYPART_ARC
(29,16),-2.54606 # DEPENDENCYPART_ARC
(29,17),-1.5101 # DEPENDENCYPART_ARC
(29,23),-1.22515 # DEPENDENCYPART_ARC
(29,24),-0.248517 # DEPENDENCYPART_ARC
(29,25),-0.280351 # DEPENDENCYPART_ARC
(29,26),-0.48311 # DEPENDENCYPART_ARC
(29,27),0.3216 # DEPENDENCYPART_ARC
(29,28),2.03238 # DEPENDENCYPART_ARC
(29,30),-0.251393 # DEPENDENCYPART_ARC
(30,29),-0.667927 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.129709 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.128615 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0856415 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.128346 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.122382 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.231076 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.177689 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.2351 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.234734 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.166066 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.230348 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.23099 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.152007 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.147723 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.232041 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00793728 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.135807 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0339835 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.190353 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0611517 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0124073 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0202471 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00016756 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00834467 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0237521 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00703447 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0357977 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0795545 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0609193 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0693113 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.211135 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0714518 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0769801 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.052312 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0124507 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0134895 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0861448 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0124507 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.109171 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0463163 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0677769 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0151478 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0163281 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0449043 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.138023 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00396313 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.111706 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0385784 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0746179 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0326565 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0129069 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0746179 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00332043 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0423257 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.00807462 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0314311 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00934478 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0730602 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0484916 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0113809 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00751338 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.022454 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0207102 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00822474 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.022454 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0450935 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0178853 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.0130983 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0549828 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0818581 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0531998 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0473572 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00891226 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0352606 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.052741 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0152645 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0352606 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0594964 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0480809 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.00724108 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.133841 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0599001 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.106548 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0448121 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00487095 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0736093 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0201691 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00487095 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0611519 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0503312 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.0237519 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.055894 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0388299 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0201188 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0219238 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0552914 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00760178 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0219238 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0667087 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0440061 # DEPENDENCYPART_SIBL
(3,7),(3,30),-0.0777657 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0733468 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0172722 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0211979 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0261016 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00895838 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0211979 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0426733 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0272379 # DEPENDENCYPART_SIBL
(3,8),(3,30),-0.042496 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0486108 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.019648 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0512353 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0214729 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.019648 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0249679 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0112212 # DEPENDENCYPART_SIBL
(3,9),(3,30),-0.0166065 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0337433 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0113635 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0233565 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0337433 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0279151 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.000745094 # DEPENDENCYPART_SIBL
(3,10),(3,30),-0.0249362 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0136488 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0753499 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0592404 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.00535691 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0640183 # DEPENDENCYPART_SIBL
(3,11),(3,30),0.0104422 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0473368 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0335375 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.00429108 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.0163143 # DEPENDENCYPART_SIBL
(3,12),(3,30),0.0397743 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.016487 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0438209 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0164208 # DEPENDENCYPART_SIBL
(3,13),(3,30),-0.0304746 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.00535691 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.0640183 # DEPENDENCYPART_SIBL
(3,15),(3,30),0.0104422 # DEPENDENCYPART_SIBL
(3,20),(3,21),-0.0544676 # DEPENDENCYPART_SIBL
(3,20),(3,30),-0.0125057 # DEPENDENCYPART_SIBL
(3,21),(3,30),-0.0013822 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0533852 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00471293 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0883823 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0040297 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.156199 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.013411 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0283063 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0680918 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0890311 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.000782618 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0380721 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0211082 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0260256 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.048938 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00953311 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.000369026 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0222028 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.120283 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00545112 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0754904 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0324489 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0443255 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0502319 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0165586 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0234959 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0388579 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0185173 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0752363 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00635882 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0144148 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.05802 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.142791 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0142776 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.117605 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0385917 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0696702 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0424094 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0123297 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0276778 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0696702 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0127172 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0242413 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.145211 # DEPENDENCYPART_SIBL
(5,2),(5,30),0.0491603 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0235766 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0029296 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.106138 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0474791 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0350464 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00555375 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0291472 # DEPENDENCYPART_SIBL
