# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(8,3),-2.11995 # DEPENDENCYPART_ARC
(8,4),-1.65107 # DEPENDENCYPART_ARC
(8,5),-1.83178 # DEPENDENCYPART_ARC
(8,6),-1.26879 # DEPENDENCYPART_ARC
(8,7),0.976191 # DEPENDENCYPART_ARC
(8,9),-1.03192 # DEPENDENCYPART_ARC
(8,10),-1.7326 # DEPENDENCYPART_ARC
(8,11),-1.99624 # DEPENDENCYPART_ARC
(8,12),-2.44663 # DEPENDENCYPART_ARC
(9,1),-1.36437 # DEPENDENCYPART_ARC
(9,2),-0.806397 # DEPENDENCYPART_ARC
(9,3),-2.14561 # DEPENDENCYPART_ARC
(9,4),-1.87709 # DEPENDENCYPART_ARC
(9,5),-1.39518 # DEPENDENCYPART_ARC
(9,6),-0.0794886 # DEPENDENCYPART_ARC
(9,7),-1.2448 # DEPENDENCYPART_ARC
(9,8),0.367264 # DEPENDENCYPART_ARC
(9,10),0.944416 # DEPENDENCYPART_ARC
(9,11),-1.04501 # DEPENDENCYPART_ARC
(9,12),-0.323638 # DEPENDENCYPART_ARC
(9,13),0.0711447 # DEPENDENCYPART_ARC
(9,14),-2.22208 # DEPENDENCYPART_ARC
(9,15),-1.33682 # DEPENDENCYPART_ARC
(9,16),-0.502772 # DEPENDENCYPART_ARC
(9,17),-1.02012 # DEPENDENCYPART_ARC
(9,18),-0.77835 # DEPENDENCYPART_ARC
(9,19),-2.82011 # DEPENDENCYPART_ARC
(9,21),-2.53411 # DEPENDENCYPART_ARC
(9,22),-1.44827 # DEPENDENCYPART_ARC
(9,24),-2.33898 # DEPENDENCYPART_ARC
(9,27),-0.0483623 # DEPENDENCYPART_ARC
(10,2),-2.01501 # DEPENDENCYPART_ARC
(10,7),-2.09111 # DEPENDENCYPART_ARC
(10,8),-2.0466 # DEPENDENCYPART_ARC
(10,11),-1.166 # DEPENDENCYPART_ARC
(10,12),-1.27893 # DEPENDENCYPART_ARC
(10,13),-1.87976 # DEPENDENCYPART_ARC
(10,15),-2.0696 # DEPENDENCYPART_ARC
(10,16),-1.90236 # DEPENDENCYPART_ARC
(10,17),-2.00231 # DEPENDENCYPART_ARC
(11,1),-3.07393 # DEPENDENCYPART_ARC
(11,2),-2.57762 # DEPENDENCYPART_ARC
(11,7),-2.09552 # DEPENDENCYPART_ARC
(11,8),-2.47404 # DEPENDENCYPART_ARC
(11,9),-1.74172 # DEPENDENCYPART_ARC
(11,10),-0.897264 # DEPENDENCYPART_ARC
(11,12),-1.39374 # DEPENDENCYPART_ARC
(11,13),-1.61443 # DEPENDENCYPART_ARC
(12,2),-2.06663 # DEPENDENCYPART_ARC
(12,3),-1.7491 # DEPENDENCYPART_ARC
(12,4),-1.43418 # DEPENDENCYPART_ARC
(12,6),-2.44408 # DEPENDENCYPART_ARC
(12,7),-0.58565 # DEPENDENCYPART_ARC
(12,8),-1.4167 # DEPENDENCYPART_ARC
(12,9),-1.50988 # DEPENDENCYPART_ARC
(12,10),-0.92658 # DEPENDENCYPART_ARC
(12,11),1.51982 # DEPENDENCYPART_ARC
(12,13),-0.252773 # DEPENDENCYPART_ARC
(12,14),-1.45321 # DEPENDENCYPART_ARC
(12,15),-1.1917 # DEPENDENCYPART_ARC
(12,16),-1.28322 # DEPENDENCYPART_ARC
(12,17),-1.34779 # DEPENDENCYPART_ARC
(12,18),-1.88129 # DEPENDENCYPART_ARC
(12,19),-2.55997 # DEPENDENCYPART_ARC
(12,21),-1.9202 # DEPENDENCYPART_ARC
(12,22),-1.61723 # DEPENDENCYPART_ARC
(12,24),-2.49744 # DEPENDENCYPART_ARC
(12,25),-3.06375 # DEPENDENCYPART_ARC
(12,27),-2.22724 # DEPENDENCYPART_ARC
(13,1),-2.7757 # DEPENDENCYPART_ARC
(13,10),-2.08643 # DEPENDENCYPART_ARC
(13,11),-2.2164 # DEPENDENCYPART_ARC
(13,12),-1.25725 # DEPENDENCYPART_ARC
(13,14),-0.173017 # DEPENDENCYPART_ARC
(13,15),1.2287 # DEPENDENCYPART_ARC
(13,16),-1.35998 # DEPENDENCYPART_ARC
(13,17),-1.01012 # DEPENDENCYPART_ARC
(13,18),-1.70158 # DEPENDENCYPART_ARC
(13,19),-2.1946 # DEPENDENCYPART_ARC
(13,22),-1.88173 # DEPENDENCYPART_ARC
(13,27),-2.31652 # DEPENDENCYPART_ARC
(14,11),-2.29617 # DEPENDENCYPART_ARC
(14,12),-2.38135 # DEPENDENCYPART_ARC
(14,13),-1.48536 # DEPENDENCYPART_ARC
(14,16),-1.77886 # DEPENDENCYPART_ARC
(14,17),-1.68961 # DEPENDENCYPART_ARC
(15,2),-2.07871 # DEPENDENCYPART_ARC
(15,3),-2.81842 # DEPENDENCYPART_ARC
(15,7),-2.07058 # DEPENDENCYPART_ARC
(15,8),-2.21984 # DEPENDENCYPART_ARC
(15,10),-2.11152 # DEPENDENCYPART_ARC
(15,11),-0.981853 # DEPENDENCYPART_ARC
(15,12),-1.21951 # DEPENDENCYPART_ARC
(15,13),-1.00811 # DEPENDENCYPART_ARC
(15,14),1.58986 # DEPENDENCYPART_ARC
(15,16),-0.590591 # DEPENDENCYPART_ARC
(15,17),-1.04785 # DEPENDENCYPART_ARC
(15,18),-1.4798 # DEPENDENCYPART_ARC
(15,19),-2.06606 # DEPENDENCYPART_ARC
(15,21),-1.86944 # DEPENDENCYPART_ARC
(15,22),-1.59429 # DEPENDENCYPART_ARC
(15,24),-2.24064 # DEPENDENCYPART_ARC
(15,25),-2.62721 # DEPENDENCYPART_ARC
(15,26),-2.96238 # DEPENDENCYPART_ARC
(15,27),-2.33255 # DEPENDENCYPART_ARC
(16,15),-2.11899 # DEPENDENCYPART_ARC
(17,15),-2.1075 # DEPENDENCYPART_ARC
(17,16),-1.69004 # DEPENDENCYPART_ARC
(17,18),0.298989 # DEPENDENCYPART_ARC
(17,19),-1.13004 # DEPENDENCYPART_ARC
(17,21),-1.57502 # DEPENDENCYPART_ARC
(17,22),0.486372 # DEPENDENCYPART_ARC
(17,24),-2.30882 # DEPENDENCYPART_ARC
(17,25),-1.54585 # DEPENDENCYPART_ARC
(17,26),-3.3975 # DEPENDENCYPART_ARC
(18,19),0.679719 # DEPENDENCYPART_ARC
(18,21),-0.506379 # DEPENDENCYPART_ARC
(18,22),-0.062782 # DEPENDENCYPART_ARC
(18,24),-2.03721 # DEPENDENCYPART_ARC
(18,25),-1.18872 # DEPENDENCYPART_ARC
(18,26),-2.26204 # DEPENDENCYPART_ARC
(19,13),-2.58282 # DEPENDENCYPART_ARC
(19,17),-1.95744 # DEPENDENCYPART_ARC
(19,18),-0.716198 # DEPENDENCYPART_ARC
(19,20),-1.26527 # DEPENDENCYPART_ARC
(19,21),-1.19382 # DEPENDENCYPART_ARC
(19,22),-1.05987 # DEPENDENCYPART_ARC
(19,24),-1.82443 # DEPENDENCYPART_ARC
(19,25),-1.76665 # DEPENDENCYPART_ARC
(19,26),-2.86867 # DEPENDENCYPART_ARC
(20,18),-2.20797 # DEPENDENCYPART_ARC
(20,19),-1.86331 # DEPENDENCYPART_ARC
(21,18),-1.09071 # DEPENDENCYPART_ARC
(21,19),-0.880588 # DEPENDENCYPART_ARC
(21,20),1.92654 # DEPENDENCYPART_ARC
(21,22),-1.37032 # DEPENDENCYPART_ARC
(21,24),-1.99768 # DEPENDENCYPART_ARC
(21,25),-1.37793 # DEPENDENCYPART_ARC
(21,26),-2.50777 # DEPENDENCYPART_ARC
(22,1),-1.2508 # DEPENDENCYPART_ARC
(22,2),-1.64299 # DEPENDENCYPART_ARC
(22,5),-1.59851 # DEPENDENCYPART_ARC
(22,6),-1.3232 # DEPENDENCYPART_ARC
(22,7),-2.72317 # DEPENDENCYPART_ARC
(22,8),-1.998 # DEPENDENCYPART_ARC
(22,9),-1.39798 # DEPENDENCYPART_ARC
(22,10),-1.89204 # DEPENDENCYPART_ARC
(22,11),-2.11848 # DEPENDENCYPART_ARC
(22,12),-0.812362 # DEPENDENCYPART_ARC
(22,13),-1.46826 # DEPENDENCYPART_ARC
(22,14),-2.12917 # DEPENDENCYPART_ARC
(22,15),-0.918459 # DEPENDENCYPART_ARC
(22,16),-1.63321 # DEPENDENCYPART_ARC
(22,17),-1.7738 # DEPENDENCYPART_ARC
(22,18),-0.901313 # DEPENDENCYPART_ARC
(22,19),-1.34784 # DEPENDENCYPART_ARC
(22,20),-1.04709 # DEPENDENCYPART_ARC
(22,21),0.837005 # DEPENDENCYPART_ARC
(22,23),-0.785639 # DEPENDENCYPART_ARC
(22,24),0.39946 # DEPENDENCYPART_ARC
(22,25),-0.382766 # DEPENDENCYPART_ARC
(22,26),-1.9673 # DEPENDENCYPART_ARC
(22,27),-0.263723 # DEPENDENCYPART_ARC
(23,25),-1.37242 # DEPENDENCYPART_ARC
(23,26),-1.95296 # DEPENDENCYPART_ARC
(24,19),-2.84235 # DEPENDENCYPART_ARC
(24,20),-1.72365 # DEPENDENCYPART_ARC
(24,21),-1.3559 # DEPENDENCYPART_ARC
(24,23),1.52059 # DEPENDENCYPART_ARC
(24,25),0.857342 # DEPENDENCYPART_ARC
(24,26),-0.751304 # DEPENDENCYPART_ARC
(24,27),-1.42636 # DEPENDENCYPART_ARC
(25,24),-1.58815 # DEPENDENCYPART_ARC
(25,26),0.856012 # DEPENDENCYPART_ARC
(25,27),-1.66001 # DEPENDENCYPART_ARC
(26,25),-1.29001 # DEPENDENCYPART_ARC
(26,27),-1.68498 # DEPENDENCYPART_ARC
(27,26),-2.35475 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.103894 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.679805 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.681832 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.734461 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.722075 # DEPENDENCYPART_SIBL
(0,9),(0,22),-1.64924 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0784622 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00193696 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.298576 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.161189 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.491925 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.261936 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0055055 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.029796 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.125464 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.225908 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0341251 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.144727 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00363453 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0532385 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.016474 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00403446 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.225908 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0191383 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.315208 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.24355 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.646186 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0515018 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.432501 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.377364 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.158411 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.334503 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.489818 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0724911 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0515018 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.153329 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0338628 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.623403 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.024793 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.374372 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.398228 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.183355 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.359419 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.557102 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0350276 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.024793 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.088519 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.00558877 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0778104 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.549819 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.48173 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.178173 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.450581 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.938684 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0137689 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0778104 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0461284 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.100901 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.072721 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.368411 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.115009 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0254887 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0741007 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.530274 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0166881 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.480329 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.395117 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.596202 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.350505 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.553403 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.846417 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.153998 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.148981 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.099012 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.0681189 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0749511 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.253341 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.455563 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.126206 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.10989 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.193383 # DEPENDENCYPART_SIBL
(2,9),(2,27),0.398442 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.249983 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.298466 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.144439 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0042475 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.024066 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.111435 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.830792 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.131504 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.133092 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.143973 # DEPENDENCYPART_SIBL
(2,11),(2,27),-0.132988 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.211389 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.000170066 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0421578 # DEPENDENCYPART_SIBL
(2,12),(2,27),0.000673348 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0355458 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.071556 # DEPENDENCYPART_SIBL
(2,13),(2,27),0.0184423 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.480329 # DEPENDENCYPART_SIBL
(2,16),(2,27),0.395117 # DEPENDENCYPART_SIBL
(2,17),(2,27),0.0687683 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0384028 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0159351 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0213744 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00627517 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.122439 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.31883 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.129852 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0647469 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0620721 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0332668 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0323427 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.414429 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0517968 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0139198 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0027073 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.03138 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.15732 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0966437 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0401298 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.171508 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.111312 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.107317 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.155809 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0951024 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.03138 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0122469 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.101805 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0854411 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0574177 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0784149 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.111871 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0655571 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0661933 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0323904 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0944967 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0672726 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0661011 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0970569 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0229702 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0243829 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0780257 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0181822 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0323904 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0413749 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0657396 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0138766 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0813028 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0464863 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0201363 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0777617 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.234137 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0390032 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.178588 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.240279 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0382545 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0937791 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0148042 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0260732 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0572275 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.234137 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0301358 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0168877 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0628888 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.206959 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0834713 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.188957 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0243465 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0424143 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0239494 # DEPENDENCYPART_SIBL
(5,4),(5,9),4.40811e-05 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0181212 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0338538 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00976605 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0384809 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0193389 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0243465 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0143271 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0711014 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00423284 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0253684 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0378701 # DEPENDENCYPART_SIBL
(5,4),(5,27),0.00439907 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.143828 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.635898 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.491844 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0781047 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.342441 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.589676 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.158719 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.63255 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.117038 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.53332 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.191619 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.662035 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.466113 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.685534 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.00351166 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.103433 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0915475 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0844091 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0400142 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0143309 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.115404 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00937346 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0639134 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.1179 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.109735 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.084251 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.094441 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0908164 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.191069 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0431187 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0697631 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0161295 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0721852 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0224939 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0669675 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0405981 # DEPENDENCYPART_SIBL
