# _root_ In a statement , Chairman Frank Shrontz asserted that the company `` faces significant challenges and risks , '' on both its commercial and government contracts .
#goldHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,16,16,13,16,13,13,13,26,26,24,26,24,20,8,
#predictedHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,15,16,13,16,13,13,13,24,26,24,26,24,20,8,
(24,18),-1.2209 # DEPENDENCYPART_ARC
(24,19),-1.56111 # DEPENDENCYPART_ARC
(24,20),-1.26814 # DEPENDENCYPART_ARC
(24,21),-0.383612 # DEPENDENCYPART_ARC
(24,22),-0.460503 # DEPENDENCYPART_ARC
(24,23),2.03896 # DEPENDENCYPART_ARC
(24,25),2.06366 # DEPENDENCYPART_ARC
(24,26),0.336982 # DEPENDENCYPART_ARC
(24,27),-1.25284 # DEPENDENCYPART_ARC
(25,21),-2.81027 # DEPENDENCYPART_ARC
(25,22),-2.29003 # DEPENDENCYPART_ARC
(25,26),-0.912274 # DEPENDENCYPART_ARC
(26,18),-1.4129 # DEPENDENCYPART_ARC
(26,20),-1.19843 # DEPENDENCYPART_ARC
(26,21),-0.723336 # DEPENDENCYPART_ARC
(26,22),-0.13739 # DEPENDENCYPART_ARC
(26,23),-0.406524 # DEPENDENCYPART_ARC
(26,24),0.147736 # DEPENDENCYPART_ARC
(26,25),1.92697 # DEPENDENCYPART_ARC
(26,27),-0.375474 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0201358 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0196291 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.115975 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0709723 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0709723 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.0214423 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0578265 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.127259 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.128433 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.105554 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.105554 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0540966 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.123546 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.124721 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.10513 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.10513 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.0537567 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.225902 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.182078 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.182078 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.0716925 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.18208 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.18208 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.071706 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.118933 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.0596125 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.0596125 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0251243 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0071338 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0251274 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0251107 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.02511 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0149493 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00780622 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.108142 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.118637 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.116887 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0262903 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0445867 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0632243 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0623489 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00723804 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.121742 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.119992 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0250028 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.120137 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0250755 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0261502 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0105993 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.115603 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0280787 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0268484 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00898936 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0127241 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0169435 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0168407 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0210415 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0432355 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0204515 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0364473 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0091852 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.040608 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0300281 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.00898936 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.00330378 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0330335 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0418209 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0300281 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.000266244 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0936691 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.019346 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00898133 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00891478 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.30032 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0786295 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0113356 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.237925 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.327159 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0856707 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.106947 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0936691 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.176733 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.183859 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0264501 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.106947 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.00991792 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.111629 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0566459 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0583411 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0535206 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0347641 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0547383 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.118999 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0642638 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0470475 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0301135 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.052638 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0978144 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0861456 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0279974 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0301135 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0199138 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00751341 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00548523 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00528479 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0142575 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0209147 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0578056 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00585346 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00993435 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.032024 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0443731 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0326176 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0222746 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.000669183 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.032024 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0475826 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0136433 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00461362 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0256376 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0278358 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0513353 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00404495 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.000568672 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0393463 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0163838 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.024826 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0121538 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0100361 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0393463 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0248347 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00563359 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0255685 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0277607 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0513899 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00506492 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.000623339 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0392916 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0138832 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0248862 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0122228 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00998146 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0392916 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0253008 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00620444 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0381835 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0698728 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00393099 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00176464 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0256669 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0230724 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0756713 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.000694933 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00837082 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0256669 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.000100688 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0485538 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0330332 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0113958 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00241443 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0288258 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0166268 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0111234 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0190261 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0467572 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0288258 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0201919 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0550013 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00564008 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00559139 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0338164 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0317875 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.02776 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0190627 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.00586243 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0338164 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.0093148 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0611931 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0494145 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0662617 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.030958 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.404078 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0490836 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.0306263 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0662617 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.192086 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.00175717 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0256744 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0230704 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0756638 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.000708537 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.00837829 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0256744 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.00164248 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0313435 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.00970693 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0174893 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.00931126 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0148534 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0313435 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.00888705 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0191092 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0463503 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.00667708 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0134481 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.0317138 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.00407227 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0978144 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0861456 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0279974 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0301135 # DEPENDENCYPART_SIBL
(3,18),(3,27),0.0199138 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0171735 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.00338715 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.00272157 # DEPENDENCYPART_SIBL
(3,19),(3,27),-0.00064333 # DEPENDENCYPART_SIBL
(3,20),(3,21),-0.0133529 # DEPENDENCYPART_SIBL
