# _root_ It 's that last set of numbers , as much as anything else , that gives the Giants hope in the Series games to come .
#goldHeads=5,5,5,5,0,5,6,9,5,9,9,11,12,9,16,5,18,16,16,19,23,23,20,23,24,5,
#predictedHeads=2,3,5,5,24,5,6,10,10,5,10,11,12,16,16,0,19,19,16,19,23,23,20,19,24,16,
(16,12),-1.24825 # DEPENDENCYPART_ARC
(16,13),-1.16542 # DEPENDENCYPART_ARC
(16,14),-0.696385 # DEPENDENCYPART_ARC
(16,15),2.61749 # DEPENDENCYPART_ARC
(16,17),-0.755783 # DEPENDENCYPART_ARC
(16,18),-0.69734 # DEPENDENCYPART_ARC
(16,19),0.337315 # DEPENDENCYPART_ARC
(16,20),-0.314099 # DEPENDENCYPART_ARC
(16,22),-2.12967 # DEPENDENCYPART_ARC
(16,23),-1.50409 # DEPENDENCYPART_ARC
(16,24),-1.42172 # DEPENDENCYPART_ARC
(16,25),-1.80456 # DEPENDENCYPART_ARC
(16,26),-0.896782 # DEPENDENCYPART_ARC
(17,18),-2.10785 # DEPENDENCYPART_ARC
(18,17),-0.216474 # DEPENDENCYPART_ARC
(18,20),-1.78365 # DEPENDENCYPART_ARC
(18,23),-2.77391 # DEPENDENCYPART_ARC
(19,9),-2.72415 # DEPENDENCYPART_ARC
(19,10),-2.60964 # DEPENDENCYPART_ARC
(19,11),-1.91089 # DEPENDENCYPART_ARC
(19,12),-2.187 # DEPENDENCYPART_ARC
(19,13),-2.53777 # DEPENDENCYPART_ARC
(19,14),-2.01886 # DEPENDENCYPART_ARC
(19,15),-1.31418 # DEPENDENCYPART_ARC
(19,17),1.07821 # DEPENDENCYPART_ARC
(19,18),1.14784 # DEPENDENCYPART_ARC
(19,20),-0.177868 # DEPENDENCYPART_ARC
(19,22),-1.75775 # DEPENDENCYPART_ARC
(19,23),-1.73257 # DEPENDENCYPART_ARC
(19,24),-1.39653 # DEPENDENCYPART_ARC
(19,26),-1.91253 # DEPENDENCYPART_ARC
(20,19),-1.68383 # DEPENDENCYPART_ARC
(20,21),-1.20723 # DEPENDENCYPART_ARC
(20,22),-0.1988 # DEPENDENCYPART_ARC
(20,23),0.0560738 # DEPENDENCYPART_ARC
(20,24),-1.58375 # DEPENDENCYPART_ARC
(20,25),-1.4488 # DEPENDENCYPART_ARC
(20,26),-2.44135 # DEPENDENCYPART_ARC
(22,17),-2.45304 # DEPENDENCYPART_ARC
(22,18),-2.14762 # DEPENDENCYPART_ARC
(22,21),0.151599 # DEPENDENCYPART_ARC
(22,23),-1.54348 # DEPENDENCYPART_ARC
(22,24),-1.79688 # DEPENDENCYPART_ARC
(23,15),-2.49269 # DEPENDENCYPART_ARC
(23,17),-1.98258 # DEPENDENCYPART_ARC
(23,18),-0.779995 # DEPENDENCYPART_ARC
(23,19),-1.30742 # DEPENDENCYPART_ARC
(23,20),-1.30794 # DEPENDENCYPART_ARC
(23,21),1.10327 # DEPENDENCYPART_ARC
(23,22),1.63183 # DEPENDENCYPART_ARC
(23,24),-0.308756 # DEPENDENCYPART_ARC
(23,25),-1.50168 # DEPENDENCYPART_ARC
(23,26),-1.5147 # DEPENDENCYPART_ARC
(24,5),-2.48124 # DEPENDENCYPART_ARC
(24,19),-2.08486 # DEPENDENCYPART_ARC
(24,20),-1.49997 # DEPENDENCYPART_ARC
(24,21),-1.93747 # DEPENDENCYPART_ARC
(24,22),-1.92691 # DEPENDENCYPART_ARC
(24,23),-1.2023 # DEPENDENCYPART_ARC
(24,25),1.94186 # DEPENDENCYPART_ARC
(25,1),-3.30006 # DEPENDENCYPART_ARC
(25,3),-2.34977 # DEPENDENCYPART_ARC
(25,5),-1.98132 # DEPENDENCYPART_ARC
(25,6),-1.70501 # DEPENDENCYPART_ARC
(25,7),-1.77791 # DEPENDENCYPART_ARC
(25,10),-1.78622 # DEPENDENCYPART_ARC
(25,11),-1.59631 # DEPENDENCYPART_ARC
(25,15),-0.874051 # DEPENDENCYPART_ARC
(25,19),-1.49945 # DEPENDENCYPART_ARC
(25,20),-0.905383 # DEPENDENCYPART_ARC
(25,21),-1.46281 # DEPENDENCYPART_ARC
(25,22),-1.37 # DEPENDENCYPART_ARC
(25,23),-0.702628 # DEPENDENCYPART_ARC
(25,26),-1.5525 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0283952 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0602416 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0342253 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0202715 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0564415 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.625946 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.00448697 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.257555 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0168361 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0954732 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.257316 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.740133 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.108511 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0556299 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0231483 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.24199 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.662719 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0979815 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0553613 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.036566 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.720332 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.156897 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.112716 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.647082 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0369014 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.656258 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0987941 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.531994 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0720428 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.18154 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0620025 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00672343 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.256354 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.155585 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.173016 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0583429 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.2767 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.17173 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.28632 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0395274 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.191822 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0472362 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0566768 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.234951 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.161971 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0344718 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00991887 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.046493 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.35757 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0723781 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.12516 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0568967 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0375165 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0131131 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.009962 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0564001 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00652886 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.125826 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0393812 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.18267 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0399196 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.183904 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.321762 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.275316 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0105764 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.103616 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.125513 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0767862 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0859623 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.464179 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.14569 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.084474 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.123544 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0415377 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0807048 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0769612 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.129321 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0126266 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.136317 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0100202 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0807048 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00602941 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.166888 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0868913 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0842256 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.160324 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0280197 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0852847 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0498971 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.000144625 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00446791 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00408773 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0741522 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0297618 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00598227 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0289829 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00446791 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0227517 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00714507 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.101067 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0231744 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.191634 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.440884 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.142357 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.068053 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0115952 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.118299 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.148495 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.295352 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00204499 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0807345 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0115952 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0038665 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0153711 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.284186 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.250514 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.0865968 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0397867 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.142975 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0731515 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.2662 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00295234 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.119895 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.127003 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0821871 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0731515 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.156831 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.185095 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00595016 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0701502 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.0623087 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0411166 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00848037 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0426114 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.037334 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0683028 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0743732 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0898356 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00848037 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.176185 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0290636 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.153804 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.162723 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0503834 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0147979 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00186565 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00239364 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.010593 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.057624 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.00273037 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0147979 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0714063 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0708961 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0561329 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.00282505 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.0171513 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.376013 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.262382 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.380197 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.669312 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.249588 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0734679 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.486485 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.662028 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.107879 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0353466 # DEPENDENCYPART_SIBL
(5,8),(5,26),-0.0948943 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0317779 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0191743 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0807075 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.00411609 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0416248 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0182863 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0888301 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0786596 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.0544256 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0154054 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0259991 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0221888 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0852358 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.00573244 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0376993 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0200862 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0827837 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0418647 # DEPENDENCYPART_SIBL
(5,10),(5,26),-0.101701 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0354286 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.00962868 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.019641 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0557386 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0150038 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.119172 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0450773 # DEPENDENCYPART_SIBL
(5,11),(5,26),0.100048 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0523688 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0174962 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0207549 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0830014 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.108432 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.043379 # DEPENDENCYPART_SIBL
(5,12),(5,26),0.0709052 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0556139 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.00743272 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.11227 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.109768 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.141693 # DEPENDENCYPART_SIBL
(5,13),(5,26),-0.00757636 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.486485 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.662028 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.107879 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0353466 # DEPENDENCYPART_SIBL
(5,14),(5,26),-0.0948943 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.0642167 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.111351 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.00126578 # DEPENDENCYPART_SIBL
(5,16),(5,26),0.12466 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0726741 # DEPENDENCYPART_SIBL
(5,19),(5,24),-0.0695154 # DEPENDENCYPART_SIBL
(5,19),(5,26),0.0649169 # DEPENDENCYPART_SIBL
(5,20),(5,24),0.0777683 # DEPENDENCYPART_SIBL
(5,20),(5,26),0.0494308 # DEPENDENCYPART_SIBL
(5,24),(5,26),-0.0336249 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.58484 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00222431 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0735974 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0114475 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.103248 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00903367 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.10362 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0368787 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0106112 # DEPENDENCYPART_SIBL
