# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(5,4),-0.59716 # DEPENDENCYPART_ARC
(5,7),-1.11803 # DEPENDENCYPART_ARC
(5,10),-2.3304 # DEPENDENCYPART_ARC
(6,1),-2.18766 # DEPENDENCYPART_ARC
(6,3),-2.09771 # DEPENDENCYPART_ARC
(6,4),1.13688 # DEPENDENCYPART_ARC
(6,5),1.74598 # DEPENDENCYPART_ARC
(6,7),1.08186 # DEPENDENCYPART_ARC
(6,8),-1.0574 # DEPENDENCYPART_ARC
(6,9),-0.868109 # DEPENDENCYPART_ARC
(6,10),-1.0307 # DEPENDENCYPART_ARC
(6,11),-0.851959 # DEPENDENCYPART_ARC
(6,12),-1.22462 # DEPENDENCYPART_ARC
(6,13),-1.86044 # DEPENDENCYPART_ARC
(6,14),-1.27979 # DEPENDENCYPART_ARC
(6,16),-1.85765 # DEPENDENCYPART_ARC
(6,17),-0.517595 # DEPENDENCYPART_ARC
(6,19),-1.68708 # DEPENDENCYPART_ARC
(6,21),-3.55531 # DEPENDENCYPART_ARC
(6,22),-2.51059 # DEPENDENCYPART_ARC
(6,24),-1.95466 # DEPENDENCYPART_ARC
(6,25),-3.93386 # DEPENDENCYPART_ARC
(6,33),-2.28493 # DEPENDENCYPART_ARC
(7,8),-0.456525 # DEPENDENCYPART_ARC
(7,9),-0.0434142 # DEPENDENCYPART_ARC
(7,10),0.0975345 # DEPENDENCYPART_ARC
(7,11),-1.60971 # DEPENDENCYPART_ARC
(7,12),-2.05609 # DEPENDENCYPART_ARC
(7,13),-1.65859 # DEPENDENCYPART_ARC
(7,14),-1.70804 # DEPENDENCYPART_ARC
(7,16),-1.29286 # DEPENDENCYPART_ARC
(7,18),-2.90693 # DEPENDENCYPART_ARC
(8,9),-0.891546 # DEPENDENCYPART_ARC
(8,11),-1.52278 # DEPENDENCYPART_ARC
(8,13),-2.25052 # DEPENDENCYPART_ARC
(9,4),-2.4011 # DEPENDENCYPART_ARC
(9,8),-0.445791 # DEPENDENCYPART_ARC
(9,10),-1.4397 # DEPENDENCYPART_ARC
(9,12),-1.96283 # DEPENDENCYPART_ARC
(9,13),-2.55721 # DEPENDENCYPART_ARC
(9,14),-2.13686 # DEPENDENCYPART_ARC
(9,17),-1.93367 # DEPENDENCYPART_ARC
(9,19),-2.39693 # DEPENDENCYPART_ARC
(10,4),-1.74726 # DEPENDENCYPART_ARC
(10,5),-0.609578 # DEPENDENCYPART_ARC
(10,6),-1.30292 # DEPENDENCYPART_ARC
(10,7),-1.31522 # DEPENDENCYPART_ARC
(10,8),0.391823 # DEPENDENCYPART_ARC
(10,9),1.61164 # DEPENDENCYPART_ARC
(10,11),-0.937154 # DEPENDENCYPART_ARC
(10,12),-1.33676 # DEPENDENCYPART_ARC
(10,13),-1.14323 # DEPENDENCYPART_ARC
(10,14),-1.68057 # DEPENDENCYPART_ARC
(10,15),-2.13788 # DEPENDENCYPART_ARC
(10,16),-1.80384 # DEPENDENCYPART_ARC
(10,17),-0.546581 # DEPENDENCYPART_ARC
(10,19),-1.71612 # DEPENDENCYPART_ARC
(10,21),-3.4861 # DEPENDENCYPART_ARC
(10,22),-2.9694 # DEPENDENCYPART_ARC
(10,27),-3.80292 # DEPENDENCYPART_ARC
(10,33),-2.52134 # DEPENDENCYPART_ARC
(12,11),-1.87069 # DEPENDENCYPART_ARC
(12,13),-0.982231 # DEPENDENCYPART_ARC
(12,14),-1.27206 # DEPENDENCYPART_ARC
(12,16),-2.17669 # DEPENDENCYPART_ARC
(12,19),-1.77546 # DEPENDENCYPART_ARC
(13,4),-2.44134 # DEPENDENCYPART_ARC
(13,5),-1.83377 # DEPENDENCYPART_ARC
(13,8),-0.988227 # DEPENDENCYPART_ARC
(13,9),-0.676824 # DEPENDENCYPART_ARC
(13,10),-1.12812 # DEPENDENCYPART_ARC
(13,11),-1.06259 # DEPENDENCYPART_ARC
(13,12),0.274252 # DEPENDENCYPART_ARC
(13,14),1.40663 # DEPENDENCYPART_ARC
(13,15),-1.06708 # DEPENDENCYPART_ARC
(13,16),-0.952043 # DEPENDENCYPART_ARC
(13,17),-0.80848 # DEPENDENCYPART_ARC
(13,18),-2.19702 # DEPENDENCYPART_ARC
(13,19),-0.97585 # DEPENDENCYPART_ARC
(13,21),-2.46211 # DEPENDENCYPART_ARC
(13,22),-1.45692 # DEPENDENCYPART_ARC
(13,23),-2.59221 # DEPENDENCYPART_ARC
(13,24),-1.6828 # DEPENDENCYPART_ARC
(13,25),-3.03797 # DEPENDENCYPART_ARC
(13,27),-2.99456 # DEPENDENCYPART_ARC
(13,28),-3.57576 # DEPENDENCYPART_ARC
(13,33),-2.32407 # DEPENDENCYPART_ARC
(14,12),-2.44909 # DEPENDENCYPART_ARC
(14,15),0.796811 # DEPENDENCYPART_ARC
(14,16),0.398486 # DEPENDENCYPART_ARC
(14,17),-0.987612 # DEPENDENCYPART_ARC
(14,18),-2.60488 # DEPENDENCYPART_ARC
(14,19),-0.731752 # DEPENDENCYPART_ARC
(14,21),-1.44187 # DEPENDENCYPART_ARC
(14,23),-1.93061 # DEPENDENCYPART_ARC
(15,19),-1.40325 # DEPENDENCYPART_ARC
(16,4),-2.43325 # DEPENDENCYPART_ARC
(16,8),-0.671153 # DEPENDENCYPART_ARC
(16,9),-0.279295 # DEPENDENCYPART_ARC
(16,10),-1.51471 # DEPENDENCYPART_ARC
(16,11),-2.12796 # DEPENDENCYPART_ARC
(16,12),-1.49423 # DEPENDENCYPART_ARC
(16,13),-0.644906 # DEPENDENCYPART_ARC
(16,14),-1.33712 # DEPENDENCYPART_ARC
(16,15),1.67225 # DEPENDENCYPART_ARC
(16,17),-0.252171 # DEPENDENCYPART_ARC
(16,18),-1.98051 # DEPENDENCYPART_ARC
(16,19),-1.20109 # DEPENDENCYPART_ARC
(16,21),-1.98238 # DEPENDENCYPART_ARC
(16,22),-1.7696 # DEPENDENCYPART_ARC
(16,23),-2.1603 # DEPENDENCYPART_ARC
(16,24),-2.11049 # DEPENDENCYPART_ARC
(16,25),-2.84909 # DEPENDENCYPART_ARC
(16,27),-2.78441 # DEPENDENCYPART_ARC
(16,29),-2.87634 # DEPENDENCYPART_ARC
(18,16),-2.23444 # DEPENDENCYPART_ARC
(18,17),-1.63379 # DEPENDENCYPART_ARC
(18,21),-2.19393 # DEPENDENCYPART_ARC
(19,2),-1.91997 # DEPENDENCYPART_ARC
(19,6),-2.49673 # DEPENDENCYPART_ARC
(19,10),-2.50944 # DEPENDENCYPART_ARC
(19,11),-2.55503 # DEPENDENCYPART_ARC
(19,12),-1.79935 # DEPENDENCYPART_ARC
(19,13),-1.82059 # DEPENDENCYPART_ARC
(19,14),-2.0572 # DEPENDENCYPART_ARC
(19,15),-1.62231 # DEPENDENCYPART_ARC
(19,16),-2.10583 # DEPENDENCYPART_ARC
(19,17),-1.02455 # DEPENDENCYPART_ARC
(19,18),2.20004 # DEPENDENCYPART_ARC
(19,20),-0.829761 # DEPENDENCYPART_ARC
(19,21),0.473551 # DEPENDENCYPART_ARC
(19,22),-0.593581 # DEPENDENCYPART_ARC
(19,23),-0.526048 # DEPENDENCYPART_ARC
(19,24),-0.598586 # DEPENDENCYPART_ARC
(19,25),-1.21278 # DEPENDENCYPART_ARC
(19,27),-1.62561 # DEPENDENCYPART_ARC
(19,28),-1.56733 # DEPENDENCYPART_ARC
(19,29),-2.41895 # DEPENDENCYPART_ARC
(19,30),-0.866312 # DEPENDENCYPART_ARC
(19,32),-2.03035 # DEPENDENCYPART_ARC
(19,33),-0.237852 # DEPENDENCYPART_ARC
(21,18),-1.7191 # DEPENDENCYPART_ARC
(21,20),1.1792 # DEPENDENCYPART_ARC
(21,22),0.905282 # DEPENDENCYPART_ARC
(21,23),-0.825438 # DEPENDENCYPART_ARC
(21,24),-0.408391 # DEPENDENCYPART_ARC
(21,25),-1.42224 # DEPENDENCYPART_ARC
(21,27),-1.4885 # DEPENDENCYPART_ARC
(21,28),-1.87731 # DEPENDENCYPART_ARC
(21,29),-2.12193 # DEPENDENCYPART_ARC
(21,30),-0.722024 # DEPENDENCYPART_ARC
(21,33),-1.99048 # DEPENDENCYPART_ARC
(22,18),-1.66287 # DEPENDENCYPART_ARC
(22,21),-1.01159 # DEPENDENCYPART_ARC
(22,23),1.82824 # DEPENDENCYPART_ARC
(22,24),-1.1961 # DEPENDENCYPART_ARC
(22,25),-0.7653 # DEPENDENCYPART_ARC
(22,27),-1.212 # DEPENDENCYPART_ARC
(22,32),-1.86444 # DEPENDENCYPART_ARC
(23,18),-2.59418 # DEPENDENCYPART_ARC
(23,20),-1.95658 # DEPENDENCYPART_ARC
(23,21),-1.35276 # DEPENDENCYPART_ARC
(23,22),-1.20964 # DEPENDENCYPART_ARC
(23,24),-0.194533 # DEPENDENCYPART_ARC
(23,25),-1.01764 # DEPENDENCYPART_ARC
(23,27),-1.24165 # DEPENDENCYPART_ARC
(23,28),-1.72998 # DEPENDENCYPART_ARC
(23,29),-2.15807 # DEPENDENCYPART_ARC
(23,30),-0.78523 # DEPENDENCYPART_ARC
(24,18),-1.90448 # DEPENDENCYPART_ARC
(24,21),-1.64631 # DEPENDENCYPART_ARC
(24,22),-1.41412 # DEPENDENCYPART_ARC
(24,23),-1.25046 # DEPENDENCYPART_ARC
(24,25),1.02707 # DEPENDENCYPART_ARC
(24,27),-0.961115 # DEPENDENCYPART_ARC
(24,28),-1.13977 # DEPENDENCYPART_ARC
(24,29),-1.9474 # DEPENDENCYPART_ARC
(24,30),-1.36077 # DEPENDENCYPART_ARC
(24,32),-1.47989 # DEPENDENCYPART_ARC
(25,24),-1.01736 # DEPENDENCYPART_ARC
(25,26),-1.49139 # DEPENDENCYPART_ARC
(25,27),0.738298 # DEPENDENCYPART_ARC
(25,28),-1.33603 # DEPENDENCYPART_ARC
(25,29),-1.72633 # DEPENDENCYPART_ARC
(25,32),-0.859283 # DEPENDENCYPART_ARC
(27,24),-1.61477 # DEPENDENCYPART_ARC
(27,25),-1.41572 # DEPENDENCYPART_ARC
(27,26),1.4708 # DEPENDENCYPART_ARC
(27,28),0.831441 # DEPENDENCYPART_ARC
(27,29),-1.14652 # DEPENDENCYPART_ARC
(27,30),-0.410631 # DEPENDENCYPART_ARC
(27,31),-1.5061 # DEPENDENCYPART_ARC
(27,32),-1.41715 # DEPENDENCYPART_ARC
(28,29),0.0174147 # DEPENDENCYPART_ARC
(28,30),-1.10043 # DEPENDENCYPART_ARC
(28,31),-1.54893 # DEPENDENCYPART_ARC
(28,32),1.07603 # DEPENDENCYPART_ARC
(29,28),-1.0567 # DEPENDENCYPART_ARC
(29,30),1.92643 # DEPENDENCYPART_ARC
(29,31),-1.03492 # DEPENDENCYPART_ARC
(29,32),-1.37449 # DEPENDENCYPART_ARC
(30,31),1.22957 # DEPENDENCYPART_ARC
(30,32),-0.11451 # DEPENDENCYPART_ARC
(31,29),-1.60932 # DEPENDENCYPART_ARC
(31,32),-1.22799 # DEPENDENCYPART_ARC
(32,26),-1.72216 # DEPENDENCYPART_ARC
(32,27),-1.64959 # DEPENDENCYPART_ARC
(32,29),-0.133195 # DEPENDENCYPART_ARC
(32,30),-1.42044 # DEPENDENCYPART_ARC
(32,31),0.883612 # DEPENDENCYPART_ARC
(33,32),-2.5772 # DEPENDENCYPART_ARC
(0,2),(0,19),-1.35514 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.145244 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00416202 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.107172 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0278519 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.106034 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.110617 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0585537 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0465935 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0795762 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0690214 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0505238 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.121135 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0385945 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0795762 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.103953 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0438838 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.106034 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.00157849 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.106034 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.121135 # DEPENDENCYPART_SIBL
(2,1),(2,33),-0.0450843 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0629564 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.156243 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.15381 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.121367 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.156243 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.151092 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.152802 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0105206 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00809178 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.147735 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.104526 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.178931 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0105206 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0648823 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0485029 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.121367 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0319174 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.121367 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.104526 # DEPENDENCYPART_SIBL
(2,3),(2,33),0.00776296 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0807917 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.195397 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.138741 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0807917 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.19092 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.191182 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0877755 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.109517 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.190307 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0814044 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.142587 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0877755 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0880151 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0974975 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.138741 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0963281 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.138741 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0814044 # DEPENDENCYPART_SIBL
(2,4),(2,33),-0.156209 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.237138 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0309507 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.190887 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.230454 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.230676 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00913791 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0728402 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.229801 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0396135 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.209175 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00913791 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0685706 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0292263 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0309507 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.009052 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.0309507 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.0396135 # DEPENDENCYPART_SIBL
(2,5),(2,33),-0.0405666 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00959309 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0425362 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.262236 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.252149 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0232198 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0186859 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.251274 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0518224 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.293101 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0232198 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0971354 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.055466 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.00959309 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0869287 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.00959309 # DEPENDENCYPART_SIBL
(2,6),(2,30),0.0518224 # DEPENDENCYPART_SIBL
(2,6),(2,33),-0.0649751 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0972267 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00523901 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.000225423 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0675504 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0614996 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00204403 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0173594 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0917271 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0675504 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0988564 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.060578 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.457845 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.107429 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.457845 # DEPENDENCYPART_SIBL
(2,7),(2,30),0.0173594 # DEPENDENCYPART_SIBL
(2,7),(2,33),-0.0364935 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.233326 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.233548 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0124242 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0767134 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.232674 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0446857 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.211344 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0124242 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0692554 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0299111 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0348918 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.00511096 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0348918 # DEPENDENCYPART_SIBL
(2,8),(2,30),0.0446857 # DEPENDENCYPART_SIBL
(2,8),(2,33),-0.0356969 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.221865 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00508188 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.062965 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.220991 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0882363 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.228736 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00508188 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0668943 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0453347 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0588169 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.122873 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0588169 # DEPENDENCYPART_SIBL
(2,9),(2,30),0.0882363 # DEPENDENCYPART_SIBL
(2,9),(2,33),-0.102489 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00917009 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0271516 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.242064 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0545506 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.285553 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00917009 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0895981 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0477707 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.023379 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.101419 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.023379 # DEPENDENCYPART_SIBL
(2,10),(2,30),0.0545506 # DEPENDENCYPART_SIBL
(2,10),(2,33),-0.0431574 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.117566 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0536607 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.607085 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.000385385 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.10674 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.174659 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.263756 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.114077 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.229682 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.114077 # DEPENDENCYPART_SIBL
(2,11),(2,30),0.607085 # DEPENDENCYPART_SIBL
(2,11),(2,33),-0.115383 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.10553 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.00966069 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0996786 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0216606 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0845274 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.10354 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0692048 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.0444551 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.0692048 # DEPENDENCYPART_SIBL
(2,12),(2,30),-0.00966069 # DEPENDENCYPART_SIBL
(2,12),(2,33),-0.074486 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0602792 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.281575 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0169707 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0856195 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0438545 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0323987 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.109669 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0323987 # DEPENDENCYPART_SIBL
(2,13),(2,30),0.0602792 # DEPENDENCYPART_SIBL
(2,13),(2,33),-0.0372075 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0278563 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0146761 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0559625 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0176674 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0152445 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0835964 # DEPENDENCYPART_SIBL
(2,14),(2,25),0.0152445 # DEPENDENCYPART_SIBL
(2,14),(2,30),-0.912742 # DEPENDENCYPART_SIBL
(2,14),(2,33),0.0387643 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.103887 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0225857 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0461803 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0344146 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.163279 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0344146 # DEPENDENCYPART_SIBL
(2,16),(2,30),0.0945307 # DEPENDENCYPART_SIBL
(2,16),(2,33),0.0517974 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.174659 # DEPENDENCYPART_SIBL
