# _root_ Because we refuse to face the tough answers , the questions continue as fodder for the commissions and committees , for the media and politicians .
#goldHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,15,15,24,24,21,24,12,
#predictedHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,18,18,24,24,21,24,12,
(8,18),-1.17299 # DEPENDENCYPART_ARC
(8,20),-1.18893 # DEPENDENCYPART_ARC
(8,21),-1.80541 # DEPENDENCYPART_ARC
(8,22),-1.57504 # DEPENDENCYPART_ARC
(8,24),-0.925725 # DEPENDENCYPART_ARC
(8,26),-2.01203 # DEPENDENCYPART_ARC
(10,9),0.0312396 # DEPENDENCYPART_ARC
(10,13),-1.52404 # DEPENDENCYPART_ARC
(11,6),-1.60866 # DEPENDENCYPART_ARC
(11,7),-1.79868 # DEPENDENCYPART_ARC
(11,8),-1.99333 # DEPENDENCYPART_ARC
(11,9),-1.12481 # DEPENDENCYPART_ARC
(11,10),1.15928 # DEPENDENCYPART_ARC
(11,12),-0.0869012 # DEPENDENCYPART_ARC
(11,13),-0.939092 # DEPENDENCYPART_ARC
(11,14),-1.46355 # DEPENDENCYPART_ARC
(11,15),-1.25052 # DEPENDENCYPART_ARC
(12,1),-0.635094 # DEPENDENCYPART_ARC
(12,3),-1.15286 # DEPENDENCYPART_ARC
(12,4),-1.73213 # DEPENDENCYPART_ARC
(12,5),-1.1128 # DEPENDENCYPART_ARC
(12,6),-1.49772 # DEPENDENCYPART_ARC
(12,7),-1.32608 # DEPENDENCYPART_ARC
(12,8),-1.35362 # DEPENDENCYPART_ARC
(12,9),-0.287949 # DEPENDENCYPART_ARC
(12,10),-0.321421 # DEPENDENCYPART_ARC
(12,11),0.844797 # DEPENDENCYPART_ARC
(12,13),0.899448 # DEPENDENCYPART_ARC
(12,14),-0.552318 # DEPENDENCYPART_ARC
(12,15),-0.445554 # DEPENDENCYPART_ARC
(12,16),-1.17595 # DEPENDENCYPART_ARC
(12,17),-1.22583 # DEPENDENCYPART_ARC
(12,18),-0.744576 # DEPENDENCYPART_ARC
(12,20),-1.17758 # DEPENDENCYPART_ARC
(12,21),-1.74676 # DEPENDENCYPART_ARC
(12,24),-1.43057 # DEPENDENCYPART_ARC
(12,26),-0.517365 # DEPENDENCYPART_ARC
(13,11),-1.35148 # DEPENDENCYPART_ARC
(13,14),0.429454 # DEPENDENCYPART_ARC
(13,15),-1.0115 # DEPENDENCYPART_ARC
(13,17),-1.57259 # DEPENDENCYPART_ARC
(13,18),-0.769845 # DEPENDENCYPART_ARC
(13,19),-2.09944 # DEPENDENCYPART_ARC
(13,24),-1.27248 # DEPENDENCYPART_ARC
(14,3),-2.22009 # DEPENDENCYPART_ARC
(14,10),-1.7922 # DEPENDENCYPART_ARC
(14,11),-1.53279 # DEPENDENCYPART_ARC
(14,12),-0.953415 # DEPENDENCYPART_ARC
(14,13),-0.240531 # DEPENDENCYPART_ARC
(14,15),0.496005 # DEPENDENCYPART_ARC
(14,16),-1.277 # DEPENDENCYPART_ARC
(14,17),-1.19923 # DEPENDENCYPART_ARC
(14,18),-0.929812 # DEPENDENCYPART_ARC
(14,19),-1.28959 # DEPENDENCYPART_ARC
(14,20),-1.42046 # DEPENDENCYPART_ARC
(14,21),-1.70173 # DEPENDENCYPART_ARC
(14,22),-1.88432 # DEPENDENCYPART_ARC
(14,26),-1.83876 # DEPENDENCYPART_ARC
(15,13),-1.20436 # DEPENDENCYPART_ARC
(15,14),-0.553737 # DEPENDENCYPART_ARC
(15,16),-0.0319081 # DEPENDENCYPART_ARC
(15,17),0.206447 # DEPENDENCYPART_ARC
(15,18),-0.623041 # DEPENDENCYPART_ARC
(15,19),-0.758504 # DEPENDENCYPART_ARC
(15,20),-1.17752 # DEPENDENCYPART_ARC
(15,21),-1.10713 # DEPENDENCYPART_ARC
(15,24),-1.22522 # DEPENDENCYPART_ARC
(15,25),-2.55811 # DEPENDENCYPART_ARC
(16,17),-0.376307 # DEPENDENCYPART_ARC
(17,14),-1.84108 # DEPENDENCYPART_ARC
(17,15),-1.41008 # DEPENDENCYPART_ARC
(17,16),0.606046 # DEPENDENCYPART_ARC
(17,19),-1.33192 # DEPENDENCYPART_ARC
(18,1),-0.568991 # DEPENDENCYPART_ARC
(18,2),-1.96294 # DEPENDENCYPART_ARC
(18,3),-2.38334 # DEPENDENCYPART_ARC
(18,4),-1.67807 # DEPENDENCYPART_ARC
(18,5),-2.17144 # DEPENDENCYPART_ARC
(18,6),-2.60214 # DEPENDENCYPART_ARC
(18,7),-1.79163 # DEPENDENCYPART_ARC
(18,8),-0.913018 # DEPENDENCYPART_ARC
(18,9),-1.22463 # DEPENDENCYPART_ARC
(18,10),-1.68774 # DEPENDENCYPART_ARC
(18,11),-0.660646 # DEPENDENCYPART_ARC
(18,12),-0.799697 # DEPENDENCYPART_ARC
(18,13),-0.922358 # DEPENDENCYPART_ARC
(18,14),-0.269157 # DEPENDENCYPART_ARC
(18,15),-0.637805 # DEPENDENCYPART_ARC
(18,16),0.150381 # DEPENDENCYPART_ARC
(18,17),2.22861 # DEPENDENCYPART_ARC
(18,19),1.94377 # DEPENDENCYPART_ARC
(18,20),-0.431993 # DEPENDENCYPART_ARC
(18,21),-1.24285 # DEPENDENCYPART_ARC
(18,22),-1.50847 # DEPENDENCYPART_ARC
(18,23),-1.49946 # DEPENDENCYPART_ARC
(18,24),-1.26871 # DEPENDENCYPART_ARC
(18,25),-1.44954 # DEPENDENCYPART_ARC
(18,26),-1.90403 # DEPENDENCYPART_ARC
(19,14),-2.18819 # DEPENDENCYPART_ARC
(19,16),-1.37611 # DEPENDENCYPART_ARC
(19,17),-1.05258 # DEPENDENCYPART_ARC
(19,18),-0.333285 # DEPENDENCYPART_ARC
(19,20),-0.373048 # DEPENDENCYPART_ARC
(19,21),-1.99774 # DEPENDENCYPART_ARC
(19,22),-2.23601 # DEPENDENCYPART_ARC
(19,23),-2.10874 # DEPENDENCYPART_ARC
(19,24),-1.85172 # DEPENDENCYPART_ARC
(19,25),-2.16698 # DEPENDENCYPART_ARC
(19,26),-2.15688 # DEPENDENCYPART_ARC
(20,21),-0.619423 # DEPENDENCYPART_ARC
(21,19),-1.83074 # DEPENDENCYPART_ARC
(21,20),-0.0365409 # DEPENDENCYPART_ARC
(21,22),-0.0996007 # DEPENDENCYPART_ARC
(21,23),-0.142428 # DEPENDENCYPART_ARC
(21,24),-0.680533 # DEPENDENCYPART_ARC
(21,25),-1.04317 # DEPENDENCYPART_ARC
(21,26),-1.36646 # DEPENDENCYPART_ARC
(22,23),-0.390298 # DEPENDENCYPART_ARC
(23,16),-2.87786 # DEPENDENCYPART_ARC
(23,22),0.580068 # DEPENDENCYPART_ARC
(23,25),-1.33869 # DEPENDENCYPART_ARC
(24,1),-0.27407 # DEPENDENCYPART_ARC
(24,2),-1.69304 # DEPENDENCYPART_ARC
(24,3),-2.29817 # DEPENDENCYPART_ARC
(24,4),-1.47876 # DEPENDENCYPART_ARC
(24,5),-2.09243 # DEPENDENCYPART_ARC
(24,6),-2.74626 # DEPENDENCYPART_ARC
(24,7),-1.80524 # DEPENDENCYPART_ARC
(24,8),-0.909015 # DEPENDENCYPART_ARC
(24,9),-2.17321 # DEPENDENCYPART_ARC
(24,10),-2.90438 # DEPENDENCYPART_ARC
(24,11),-1.37337 # DEPENDENCYPART_ARC
(24,12),-1.61522 # DEPENDENCYPART_ARC
(24,13),-1.59486 # DEPENDENCYPART_ARC
(24,14),-1.03057 # DEPENDENCYPART_ARC
(24,15),-1.44543 # DEPENDENCYPART_ARC
(24,16),-1.65153 # DEPENDENCYPART_ARC
(24,17),-0.387885 # DEPENDENCYPART_ARC
(24,18),-0.870881 # DEPENDENCYPART_ARC
(24,19),-0.580341 # DEPENDENCYPART_ARC
(24,20),-0.682367 # DEPENDENCYPART_ARC
(24,21),-0.655319 # DEPENDENCYPART_ARC
(24,22),0.193001 # DEPENDENCYPART_ARC
(24,23),2.29586 # DEPENDENCYPART_ARC
(24,25),1.96031 # DEPENDENCYPART_ARC
(24,26),-0.830552 # DEPENDENCYPART_ARC
(25,16),-2.9782 # DEPENDENCYPART_ARC
(25,22),-1.33597 # DEPENDENCYPART_ARC
(25,23),-1.10453 # DEPENDENCYPART_ARC
(25,26),-0.531982 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.106672 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.107679 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.109009 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0546313 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0546313 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.165552 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.16575 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.131702 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.16619 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.131911 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.131911 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.133145 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.133145 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.113963 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.031991 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0346307 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0319914 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0174075 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00142649 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0193158 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0316735 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0102863 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.075792 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0301193 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00220144 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.107323 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0698501 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.057262 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0349536 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0287666 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0168718 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.058886 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0275114 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0712191 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0436441 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.03999 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0154232 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.058886 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.03999 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0154232 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0610828 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0880138 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00731714 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0390252 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00309038 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.038159 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0117597 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0241297 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0183638 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00190744 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0360348 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.00765748 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0117597 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0360348 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.00765748 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.066847 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0237814 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.027998 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0526228 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0251955 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00251193 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.022812 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0250437 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.03019 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0197729 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0470575 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.00251193 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0197729 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0470575 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.00819998 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0256977 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0463101 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0289596 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.000339494 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0251757 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.033286 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0348967 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0100207 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0590101 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.000339494 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0100207 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0590101 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.00781882 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.046492 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0447635 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0394711 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0423784 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0490155 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0412433 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0290623 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0425881 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0394711 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0290623 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0425881 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0198013 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0154848 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0426602 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0130936 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00857581 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00968193 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0412967 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0105023 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0426602 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0412967 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0105023 # DEPENDENCYPART_SIBL
(3,7),(3,26),0.0106374 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00810315 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0269819 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0295403 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00364878 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0191091 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0368277 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.00810315 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0191091 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0368277 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.00938839 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00272063 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0270805 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00644428 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0193769 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.00199766 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0319443 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0193769 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.00199766 # DEPENDENCYPART_SIBL
(3,9),(3,26),0.00521875 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0129991 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0103636 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00509665 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0228277 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0357339 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.00509665 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0228277 # DEPENDENCYPART_SIBL
(3,11),(3,26),0.0108538 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0292393 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00351095 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0563419 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0073371 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.00351095 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0563419 # DEPENDENCYPART_SIBL
(3,12),(3,26),0.030712 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.062029 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0303333 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.00472273 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.062029 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0303333 # DEPENDENCYPART_SIBL
(3,13),(3,26),0.0120378 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.034316 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0189459 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0399955 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.034316 # DEPENDENCYPART_SIBL
(3,15),(3,26),-0.00859945 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.00127246 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0433509 # DEPENDENCYPART_SIBL
(3,18),(3,24),-0.0457582 # DEPENDENCYPART_SIBL
(3,18),(3,26),0.00498492 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0193769 # DEPENDENCYPART_SIBL
(3,20),(3,24),-0.00199766 # DEPENDENCYPART_SIBL
(3,20),(3,26),0.00521875 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.034316 # DEPENDENCYPART_SIBL
(3,21),(3,26),-0.00859945 # DEPENDENCYPART_SIBL
(3,24),(3,26),0.00498492 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0532799 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0429438 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0421438 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0299502 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0292816 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0703639 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.111489 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0385479 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0408543 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0422991 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0213971 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0219911 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0663089 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0422991 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0326308 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0633058 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0356205 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.021451 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0319664 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00405128 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0663089 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0319664 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.00405128 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0696865 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00799454 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.145878 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0393568 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00274112 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0214177 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0113508 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0393568 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00738836 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0253052 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00238156 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0191432 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0365089 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.00601598 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0113508 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0365089 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.00601598 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.0652603 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0137263 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0617432 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00354213 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0173111 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0510771 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0617432 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0303727 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00895624 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0581992 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0160186 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0416721 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0163373 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0510771 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0416721 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0163373 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.0186323 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00688383 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00268062 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.136998 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0499431 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00688383 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.164511 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00699399 # DEPENDENCYPART_SIBL
