# _root_ Echoing a phrase from Mr. de Klerk , Mr. Sisulu said , `` Let all of us who love this country engage in the task of building a new South Africa .
#goldHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,22,15,16,19,15,21,19,14,22,25,23,25,26,31,31,31,27,11,
#predictedHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,14,15,16,19,17,21,22,19,22,25,23,25,26,31,31,31,27,11,
(9,13),-2.16597 # DEPENDENCYPART_ARC
(9,14),-2.34144 # DEPENDENCYPART_ARC
(10,2),-2.18658 # DEPENDENCYPART_ARC
(10,3),-2.54878 # DEPENDENCYPART_ARC
(10,5),-1.17426 # DEPENDENCYPART_ARC
(10,6),-1.14147 # DEPENDENCYPART_ARC
(10,7),-1.70072 # DEPENDENCYPART_ARC
(10,8),-1.17571 # DEPENDENCYPART_ARC
(10,9),1.59849 # DEPENDENCYPART_ARC
(10,11),-0.187314 # DEPENDENCYPART_ARC
(10,12),-1.12837 # DEPENDENCYPART_ARC
(10,13),-1.8053 # DEPENDENCYPART_ARC
(10,14),-2.14728 # DEPENDENCYPART_ARC
(10,16),-1.97888 # DEPENDENCYPART_ARC
(11,1),-1.43576 # DEPENDENCYPART_ARC
(11,2),-1.82089 # DEPENDENCYPART_ARC
(11,3),-1.72192 # DEPENDENCYPART_ARC
(11,4),-1.17272 # DEPENDENCYPART_ARC
(11,5),-1.97135 # DEPENDENCYPART_ARC
(11,6),-1.93735 # DEPENDENCYPART_ARC
(11,7),-1.81564 # DEPENDENCYPART_ARC
(11,8),-0.424276 # DEPENDENCYPART_ARC
(11,9),-0.400996 # DEPENDENCYPART_ARC
(11,10),0.871105 # DEPENDENCYPART_ARC
(11,12),0.940815 # DEPENDENCYPART_ARC
(11,13),-0.845532 # DEPENDENCYPART_ARC
(11,14),-1.38171 # DEPENDENCYPART_ARC
(11,16),-2.18673 # DEPENDENCYPART_ARC
(11,19),-2.00441 # DEPENDENCYPART_ARC
(11,22),-1.89086 # DEPENDENCYPART_ARC
(11,32),-0.066131 # DEPENDENCYPART_ARC
(14,3),-1.3073 # DEPENDENCYPART_ARC
(14,4),-1.24096 # DEPENDENCYPART_ARC
(14,5),-1.37538 # DEPENDENCYPART_ARC
(14,6),-1.37525 # DEPENDENCYPART_ARC
(14,7),-1.29263 # DEPENDENCYPART_ARC
(14,8),-2.29289 # DEPENDENCYPART_ARC
(14,10),-2.23616 # DEPENDENCYPART_ARC
(14,12),-0.77365 # DEPENDENCYPART_ARC
(14,13),0.309078 # DEPENDENCYPART_ARC
(14,15),0.55199 # DEPENDENCYPART_ARC
(14,16),-0.335741 # DEPENDENCYPART_ARC
(14,17),-0.561642 # DEPENDENCYPART_ARC
(14,19),-0.559468 # DEPENDENCYPART_ARC
(14,20),-0.8983 # DEPENDENCYPART_ARC
(14,21),-1.11993 # DEPENDENCYPART_ARC
(14,22),-0.842264 # DEPENDENCYPART_ARC
(14,23),-1.29872 # DEPENDENCYPART_ARC
(14,25),-1.1917 # DEPENDENCYPART_ARC
(14,26),-1.69212 # DEPENDENCYPART_ARC
(14,27),-0.831355 # DEPENDENCYPART_ARC
(14,32),0.548407 # DEPENDENCYPART_ARC
(15,14),0.00811656 # DEPENDENCYPART_ARC
(15,16),0.478784 # DEPENDENCYPART_ARC
(15,19),-0.70781 # DEPENDENCYPART_ARC
(15,23),-0.864386 # DEPENDENCYPART_ARC
(16,15),-0.416804 # DEPENDENCYPART_ARC
(16,17),0.508458 # DEPENDENCYPART_ARC
(16,19),-0.795541 # DEPENDENCYPART_ARC
(16,21),-1.33418 # DEPENDENCYPART_ARC
(16,22),-1.37784 # DEPENDENCYPART_ARC
(16,23),-1.29054 # DEPENDENCYPART_ARC
(16,25),-2.25746 # DEPENDENCYPART_ARC
(16,26),-1.35646 # DEPENDENCYPART_ARC
(16,27),-1.26213 # DEPENDENCYPART_ARC
(17,19),-0.75198 # DEPENDENCYPART_ARC
(17,22),-1.24075 # DEPENDENCYPART_ARC
(17,23),-1.15437 # DEPENDENCYPART_ARC
(19,1),-1.89171 # DEPENDENCYPART_ARC
(19,3),-1.92607 # DEPENDENCYPART_ARC
(19,4),-1.95657 # DEPENDENCYPART_ARC
(19,7),-1.97782 # DEPENDENCYPART_ARC
(19,8),-2.90809 # DEPENDENCYPART_ARC
(19,10),-2.86405 # DEPENDENCYPART_ARC
(19,11),-2.04894 # DEPENDENCYPART_ARC
(19,12),-2.20736 # DEPENDENCYPART_ARC
(19,13),-1.55972 # DEPENDENCYPART_ARC
(19,14),-1.76363 # DEPENDENCYPART_ARC
(19,15),-1.511 # DEPENDENCYPART_ARC
(19,16),-0.933169 # DEPENDENCYPART_ARC
(19,17),-0.960892 # DEPENDENCYPART_ARC
(19,18),0.30559 # DEPENDENCYPART_ARC
(19,20),0.385692 # DEPENDENCYPART_ARC
(19,21),0.310935 # DEPENDENCYPART_ARC
(19,22),-0.371008 # DEPENDENCYPART_ARC
(19,23),-0.791798 # DEPENDENCYPART_ARC
(19,25),-0.805762 # DEPENDENCYPART_ARC
(19,26),-1.2733 # DEPENDENCYPART_ARC
(19,27),-1.09128 # DEPENDENCYPART_ARC
(19,29),-1.3878 # DEPENDENCYPART_ARC
(19,32),-0.306311 # DEPENDENCYPART_ARC
(20,22),-1.00119 # DEPENDENCYPART_ARC
(20,23),-1.27516 # DEPENDENCYPART_ARC
(20,26),-1.49303 # DEPENDENCYPART_ARC
(21,13),-1.68884 # DEPENDENCYPART_ARC
(21,15),-2.39228 # DEPENDENCYPART_ARC
(21,16),-1.43493 # DEPENDENCYPART_ARC
(21,17),-1.50635 # DEPENDENCYPART_ARC
(21,18),-1.39676 # DEPENDENCYPART_ARC
(21,19),-0.733063 # DEPENDENCYPART_ARC
(21,20),1.17743 # DEPENDENCYPART_ARC
(21,22),-0.286873 # DEPENDENCYPART_ARC
(21,23),-1.26148 # DEPENDENCYPART_ARC
(21,25),-1.73263 # DEPENDENCYPART_ARC
(21,26),-1.89638 # DEPENDENCYPART_ARC
(21,27),-1.79033 # DEPENDENCYPART_ARC
(21,31),-1.98742 # DEPENDENCYPART_ARC
(22,12),-1.68923 # DEPENDENCYPART_ARC
(22,14),-1.55102 # DEPENDENCYPART_ARC
(22,16),-0.841926 # DEPENDENCYPART_ARC
(22,17),-1.6623 # DEPENDENCYPART_ARC
(22,18),-0.949633 # DEPENDENCYPART_ARC
(22,19),-1.30265 # DEPENDENCYPART_ARC
(22,20),-0.580169 # DEPENDENCYPART_ARC
(22,21),0.443794 # DEPENDENCYPART_ARC
(22,23),1.02425 # DEPENDENCYPART_ARC
(22,24),-0.816335 # DEPENDENCYPART_ARC
(22,25),-0.821205 # DEPENDENCYPART_ARC
(22,26),-0.906941 # DEPENDENCYPART_ARC
(22,27),-1.05182 # DEPENDENCYPART_ARC
(22,28),-1.33285 # DEPENDENCYPART_ARC
(22,31),-1.62913 # DEPENDENCYPART_ARC
(22,32),-0.0991157 # DEPENDENCYPART_ARC
(23,18),-1.48753 # DEPENDENCYPART_ARC
(23,21),-1.63079 # DEPENDENCYPART_ARC
(23,24),0.109876 # DEPENDENCYPART_ARC
(23,25),0.0614961 # DEPENDENCYPART_ARC
(23,26),-1.1383 # DEPENDENCYPART_ARC
(23,27),-1.03698 # DEPENDENCYPART_ARC
(23,29),-1.22433 # DEPENDENCYPART_ARC
(23,30),-2.16338 # DEPENDENCYPART_ARC
(23,31),-2.28965 # DEPENDENCYPART_ARC
(24,26),-1.20091 # DEPENDENCYPART_ARC
(24,27),-1.36869 # DEPENDENCYPART_ARC
(25,15),-3.15183 # DEPENDENCYPART_ARC
(25,18),-2.09088 # DEPENDENCYPART_ARC
(25,20),-2.03466 # DEPENDENCYPART_ARC
(25,21),-1.99169 # DEPENDENCYPART_ARC
(25,24),0.988563 # DEPENDENCYPART_ARC
(25,26),0.472356 # DEPENDENCYPART_ARC
(25,27),-0.517126 # DEPENDENCYPART_ARC
(25,28),-1.13868 # DEPENDENCYPART_ARC
(25,29),-1.23614 # DEPENDENCYPART_ARC
(25,30),-1.09645 # DEPENDENCYPART_ARC
(25,31),-1.4064 # DEPENDENCYPART_ARC
(26,18),-1.26624 # DEPENDENCYPART_ARC
(26,21),-1.58356 # DEPENDENCYPART_ARC
(26,24),-1.24492 # DEPENDENCYPART_ARC
(26,25),-0.259445 # DEPENDENCYPART_ARC
(26,27),0.74974 # DEPENDENCYPART_ARC
(26,28),-0.930186 # DEPENDENCYPART_ARC
(26,29),-1.17809 # DEPENDENCYPART_ARC
(26,30),-1.69885 # DEPENDENCYPART_ARC
(26,31),-1.59404 # DEPENDENCYPART_ARC
(27,21),-2.17801 # DEPENDENCYPART_ARC
(27,23),-2.00652 # DEPENDENCYPART_ARC
(27,25),-1.72655 # DEPENDENCYPART_ARC
(27,26),-0.683562 # DEPENDENCYPART_ARC
(27,28),-0.0940031 # DEPENDENCYPART_ARC
(27,29),-0.835168 # DEPENDENCYPART_ARC
(27,30),-0.320741 # DEPENDENCYPART_ARC
(27,31),-0.232796 # DEPENDENCYPART_ARC
(27,32),-0.627285 # DEPENDENCYPART_ARC
(28,29),-0.378436 # DEPENDENCYPART_ARC
(29,21),-1.54007 # DEPENDENCYPART_ARC
(29,28),-0.113834 # DEPENDENCYPART_ARC
(29,30),-0.387235 # DEPENDENCYPART_ARC
(30,28),-1.33557 # DEPENDENCYPART_ARC
(30,29),-0.435233 # DEPENDENCYPART_ARC
(30,31),-0.665545 # DEPENDENCYPART_ARC
(31,24),-2.32699 # DEPENDENCYPART_ARC
(31,27),-1.33005 # DEPENDENCYPART_ARC
(31,28),-0.62514 # DEPENDENCYPART_ARC
(31,29),-0.0776995 # DEPENDENCYPART_ARC
(31,30),1.3885 # DEPENDENCYPART_ARC
(31,32),-0.290409 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0604817 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.189686 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.16611 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.164275 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.118904 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.106906 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.10198 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.172663 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.170829 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.162824 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0291981 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0480038 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0293343 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.04035 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0291861 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0437148 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0252241 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0437148 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0452182 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0312891 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0316193 # DEPENDENCYPART_SIBL
(1,2),(1,32),-0.0344209 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0197067 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.025326 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0478322 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0251058 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0170683 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0262923 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0170683 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0329964 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0120843 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0124159 # DEPENDENCYPART_SIBL
(1,3),(1,32),-0.00698987 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0145388 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0376016 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0142955 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0453044 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00315266 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0453044 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.00684404 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0216581 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.021318 # DEPENDENCYPART_SIBL
(1,4),(1,32),0.0136856 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0536396 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0309131 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00113474 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0302319 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00113474 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0369347 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0160225 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.0163541 # DEPENDENCYPART_SIBL
(1,5),(1,32),-0.0133671 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0333358 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00422145 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0344463 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00422145 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0411505 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0202383 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.0205699 # DEPENDENCYPART_SIBL
(1,6),(1,32),-0.0358743 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00811894 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0269032 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.00811894 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0336073 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0126952 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.0130268 # DEPENDENCYPART_SIBL
(1,7),(1,32),-0.00843741 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.00221582 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0319326 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.00474162 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0368258 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0364737 # DEPENDENCYPART_SIBL
(1,8),(1,32),0.00521978 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0349136 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0111867 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.00618223 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.00585227 # DEPENDENCYPART_SIBL
(1,11),(1,32),0.0309158 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.00474162 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0368258 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.0364737 # DEPENDENCYPART_SIBL
(1,12),(1,32),0.00521978 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.0143483 # DEPENDENCYPART_SIBL
(1,14),(1,22),-0.0146782 # DEPENDENCYPART_SIBL
(1,14),(1,32),0.0153064 # DEPENDENCYPART_SIBL
(1,19),(1,22),-0.0209088 # DEPENDENCYPART_SIBL
(1,19),(1,32),0.00634887 # DEPENDENCYPART_SIBL
(1,22),(1,32),0.00635813 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0191138 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00766365 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0151066 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0349085 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0139356 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.012232 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0139356 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0248286 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.012232 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0264692 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0025652 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0797845 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0140435 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0190051 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0189865 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0420436 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0364125 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0639904 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0349591 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0685051 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0349591 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.2551 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0685051 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.077901 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.271877 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.059995 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.200783 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.256842 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.256862 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0240626 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00348718 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0259201 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.119721 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0259201 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0623773 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.119721 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0787078 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0588668 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0210994 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0610401 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0526902 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0526852 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0287451 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0161208 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00385429 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0161208 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.019779 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00385429 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0208144 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0208266 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00259808 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0117817 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0183677 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0183691 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0339723 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0177116 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0339723 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0405108 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0177116 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0072503 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0415598 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0177952 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.031385 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0391008 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0391022 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.014679 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0129346 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0175741 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.014679 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0241637 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.018623 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.000881835 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00944963 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0161641 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0161655 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0413101 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00276125 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0369619 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0236135 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0100788 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0151568 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0345931 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0212476 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0212357 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0175741 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.014679 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0241637 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.018623 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.000881835 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00944987 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0161641 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0161655 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0215221 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0359974 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0193358 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0144406 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00087709 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0197457 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0197455 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0236135 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0100788 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0151568 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0345931 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0212476 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0212357 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0243242 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.028777 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0276567 # DEPENDENCYPART_SIBL
