# _root_ The group 's bid for $ 34.2 million of wastewater treatment bonds , Series 1989 B , produced a 7.0808 % true interest cost .
#goldHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
#predictedHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
(12,17),-0.836701 # DEPENDENCYPART_ARC
(12,18),-1.73502 # DEPENDENCYPART_ARC
(12,19),-1.59391 # DEPENDENCYPART_ARC
(12,20),-2.07514 # DEPENDENCYPART_ARC
(12,21),-1.74663 # DEPENDENCYPART_ARC
(12,22),-1.55369 # DEPENDENCYPART_ARC
(12,24),-2.17573 # DEPENDENCYPART_ARC
(12,25),-1.61813 # DEPENDENCYPART_ARC
(14,4),-3.01576 # DEPENDENCYPART_ARC
(14,5),-2.08083 # DEPENDENCYPART_ARC
(14,6),-2.43645 # DEPENDENCYPART_ARC
(14,9),-1.80161 # DEPENDENCYPART_ARC
(14,10),-1.50475 # DEPENDENCYPART_ARC
(14,11),-1.47142 # DEPENDENCYPART_ARC
(14,12),-1.2151 # DEPENDENCYPART_ARC
(14,13),-0.14854 # DEPENDENCYPART_ARC
(14,15),-0.0763362 # DEPENDENCYPART_ARC
(14,16),-1.16924 # DEPENDENCYPART_ARC
(14,17),-1.11594 # DEPENDENCYPART_ARC
(14,18),-1.75187 # DEPENDENCYPART_ARC
(14,19),-2.05438 # DEPENDENCYPART_ARC
(14,20),-2.2517 # DEPENDENCYPART_ARC
(14,21),-1.86773 # DEPENDENCYPART_ARC
(14,22),-1.86843 # DEPENDENCYPART_ARC
(14,24),-2.24187 # DEPENDENCYPART_ARC
(14,25),-1.8959 # DEPENDENCYPART_ARC
(15,14),-0.416157 # DEPENDENCYPART_ARC
(15,16),-0.209373 # DEPENDENCYPART_ARC
(15,18),-1.67058 # DEPENDENCYPART_ARC
(15,24),-2.29098 # DEPENDENCYPART_ARC
(16,10),-2.14016 # DEPENDENCYPART_ARC
(16,11),-1.8752 # DEPENDENCYPART_ARC
(16,12),-2.08182 # DEPENDENCYPART_ARC
(16,13),-1.66912 # DEPENDENCYPART_ARC
(16,14),-0.43096 # DEPENDENCYPART_ARC
(16,15),0.537205 # DEPENDENCYPART_ARC
(16,17),0.195618 # DEPENDENCYPART_ARC
(16,18),-1.59823 # DEPENDENCYPART_ARC
(16,20),-2.24734 # DEPENDENCYPART_ARC
(16,21),-1.61304 # DEPENDENCYPART_ARC
(16,24),-1.95554 # DEPENDENCYPART_ARC
(16,25),-2.01624 # DEPENDENCYPART_ARC
(18,2),-0.703095 # DEPENDENCYPART_ARC
(18,4),-0.925242 # DEPENDENCYPART_ARC
(18,5),-0.836492 # DEPENDENCYPART_ARC
(18,6),-1.18002 # DEPENDENCYPART_ARC
(18,7),-1.15759 # DEPENDENCYPART_ARC
(18,8),-1.03023 # DEPENDENCYPART_ARC
(18,9),-0.843825 # DEPENDENCYPART_ARC
(18,10),-0.832833 # DEPENDENCYPART_ARC
(18,11),-0.915542 # DEPENDENCYPART_ARC
(18,12),-0.563257 # DEPENDENCYPART_ARC
(18,13),-1.39687 # DEPENDENCYPART_ARC
(18,14),-1.7163 # DEPENDENCYPART_ARC
(18,15),-1.4423 # DEPENDENCYPART_ARC
(18,16),-1.2539 # DEPENDENCYPART_ARC
(18,17),0.659119 # DEPENDENCYPART_ARC
(18,19),0.410803 # DEPENDENCYPART_ARC
(18,20),-0.323256 # DEPENDENCYPART_ARC
(18,21),-0.121639 # DEPENDENCYPART_ARC
(18,22),-0.58055 # DEPENDENCYPART_ARC
(18,23),-0.208947 # DEPENDENCYPART_ARC
(18,24),-0.29459 # DEPENDENCYPART_ARC
(18,25),0.23212 # DEPENDENCYPART_ARC
(19,20),-0.0804004 # DEPENDENCYPART_ARC
(20,19),-0.108894 # DEPENDENCYPART_ARC
(20,21),-0.0575854 # DEPENDENCYPART_ARC
(20,22),-0.905656 # DEPENDENCYPART_ARC
(20,23),-1.20306 # DEPENDENCYPART_ARC
(20,24),-1.41574 # DEPENDENCYPART_ARC
(21,15),-2.23078 # DEPENDENCYPART_ARC
(21,19),-0.0324884 # DEPENDENCYPART_ARC
(21,20),0.431115 # DEPENDENCYPART_ARC
(21,22),-0.155562 # DEPENDENCYPART_ARC
(21,23),-0.907514 # DEPENDENCYPART_ARC
(21,24),-1.38062 # DEPENDENCYPART_ARC
(21,25),-1.01722 # DEPENDENCYPART_ARC
(22,19),-1.28494 # DEPENDENCYPART_ARC
(22,20),-1.23471 # DEPENDENCYPART_ARC
(22,21),-0.0281714 # DEPENDENCYPART_ARC
(22,23),-0.23973 # DEPENDENCYPART_ARC
(22,24),-1.0884 # DEPENDENCYPART_ARC
(22,25),-1.23705 # DEPENDENCYPART_ARC
(23,19),-1.459 # DEPENDENCYPART_ARC
(23,20),-1.55011 # DEPENDENCYPART_ARC
(23,21),-1.00146 # DEPENDENCYPART_ARC
(23,22),0.278337 # DEPENDENCYPART_ARC
(23,24),-0.560663 # DEPENDENCYPART_ARC
(24,14),-2.06001 # DEPENDENCYPART_ARC
(24,15),-1.67986 # DEPENDENCYPART_ARC
(24,19),-0.286846 # DEPENDENCYPART_ARC
(24,20),-0.588911 # DEPENDENCYPART_ARC
(24,21),-0.369171 # DEPENDENCYPART_ARC
(24,22),0.386493 # DEPENDENCYPART_ARC
(24,23),1.89936 # DEPENDENCYPART_ARC
(24,25),-0.122245 # DEPENDENCYPART_ARC
(25,24),-0.323368 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.0496546 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0250284 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.015699 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0168993 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0470523 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.105412 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0367416 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0295976 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0325671 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0182451 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.119091 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0149278 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0191557 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.00906107 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.105194 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0404125 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0333685 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0878854 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0320123 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0851927 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0959864 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.450848 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0714725 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00891689 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0266539 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0982241 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0820787 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.26172 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0643915 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.104673 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.104673 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.225086 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0423687 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0744387 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.011917 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0043923 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00761965 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0505159 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0591268 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00144017 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0144814 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0266709 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0266709 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0237528 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0352991 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0121107 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0321762 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0163832 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00630486 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.000354487 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.011915 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00818151 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0816655 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0816655 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00398574 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0167447 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0283756 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00107052 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0241631 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0329003 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00638133 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0160734 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0380874 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0380874 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0287872 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0354145 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0528889 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0402276 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0494986 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.02313 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0152873 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00935951 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00935951 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0472024 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00689127 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0142054 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00590524 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0176022 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0422121 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0349603 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0349603 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0107711 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0146369 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0192752 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0471024 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0475693 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0190137 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0190137 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0152332 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0288729 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.00937408 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0235175 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0432311 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0432311 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0475265 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.000977847 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0203833 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0639786 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0639786 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0101543 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0170923 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.0267073 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0983842 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0517935 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0610357 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0131913 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0517935 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.0610357 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.0131913 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.00028298 # DEPENDENCYPART_SIBL
(2,18),(2,25),-0.000786337 # DEPENDENCYPART_SIBL
(2,22),(2,25),-0.0021177 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0170919 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0835005 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0742763 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0117579 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.117036 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.100992 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.303566 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00951955 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0701693 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0259701 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0701693 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.188751 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.019479 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0508597 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0841235 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0340389 # DEPENDENCYPART_SIBL
(4,2),(4,5),-5.38977e-05 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.048128 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0881338 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.102756 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0382038 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0327447 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00978838 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.014181 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00978838 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0192714 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0591382 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0268838 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.00771905 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0124405 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00502479 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0548374 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0589207 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00783301 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00927917 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0144995 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0205885 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0144995 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0433221 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.00492924 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0189967 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0816722 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0289576 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00179572 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0105527 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0559714 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.041092 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0734942 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0504605 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0734942 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0162865 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0114886 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0670913 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0856561 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0427042 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0519921 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.009219 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0102657 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00806578 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00266813 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00806578 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0392947 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.016023 # DEPENDENCYPART_SIBL
(4,6),(4,22),-1.64738e-06 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0184987 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00147222 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.029122 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0419672 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0289133 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0368973 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0289133 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00772993 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.025769 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0126032 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0209594 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.058275 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0475955 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0126289 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0435849 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0126289 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0124631 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0319047 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0271104 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0107866 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0045293 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0657292 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00561471 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0657292 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0110997 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0431198 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0255348 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.00584965 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0384241 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00961605 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0384241 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.00277255 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.00506989 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0123263 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.0241944 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0502324 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.069083 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0365707 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.00155799 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.0545395 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.00543063 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0375544 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.00318007 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.00702639 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0196476 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.0277856 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0365707 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.00155799 # DEPENDENCYPART_SIBL
(4,17),(4,22),0.0545395 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.00543063 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0330085 # DEPENDENCYPART_SIBL
(4,18),(4,22),0.0068866 # DEPENDENCYPART_SIBL
(4,18),(4,25),0.00913612 # DEPENDENCYPART_SIBL
