# _root_ The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .
#goldHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,9,18,21,18,21,9,7,
#predictedHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,15,18,21,18,21,12,7,
(11,9),-2.25757 # DEPENDENCYPART_ARC
(11,10),-1.51388 # DEPENDENCYPART_ARC
(11,12),-0.481263 # DEPENDENCYPART_ARC
(11,13),-0.181869 # DEPENDENCYPART_ARC
(11,15),-2.22702 # DEPENDENCYPART_ARC
(11,16),-1.4821 # DEPENDENCYPART_ARC
(12,1),-3.36135 # DEPENDENCYPART_ARC
(12,2),-2.8972 # DEPENDENCYPART_ARC
(12,3),-2.42116 # DEPENDENCYPART_ARC
(12,4),-2.82208 # DEPENDENCYPART_ARC
(12,5),-2.28438 # DEPENDENCYPART_ARC
(12,6),-2.63065 # DEPENDENCYPART_ARC
(12,8),-0.959161 # DEPENDENCYPART_ARC
(12,9),-1.92139 # DEPENDENCYPART_ARC
(12,10),-1.33535 # DEPENDENCYPART_ARC
(12,11),1.4545 # DEPENDENCYPART_ARC
(12,13),1.78633 # DEPENDENCYPART_ARC
(12,14),-1.34657 # DEPENDENCYPART_ARC
(12,15),-0.966931 # DEPENDENCYPART_ARC
(12,16),-0.167575 # DEPENDENCYPART_ARC
(12,17),-1.77827 # DEPENDENCYPART_ARC
(12,18),-3.0989 # DEPENDENCYPART_ARC
(12,19),-2.10421 # DEPENDENCYPART_ARC
(12,20),-2.91006 # DEPENDENCYPART_ARC
(12,21),-1.98442 # DEPENDENCYPART_ARC
(12,22),-2.01947 # DEPENDENCYPART_ARC
(13,12),-1.41012 # DEPENDENCYPART_ARC
(13,14),0.439887 # DEPENDENCYPART_ARC
(13,15),-0.156932 # DEPENDENCYPART_ARC
(13,16),-0.887108 # DEPENDENCYPART_ARC
(13,17),-2.85942 # DEPENDENCYPART_ARC
(13,18),-1.69038 # DEPENDENCYPART_ARC
(13,21),-2.05007 # DEPENDENCYPART_ARC
(14,15),-0.988328 # DEPENDENCYPART_ARC
(14,16),-1.49934 # DEPENDENCYPART_ARC
(14,18),-3.43887 # DEPENDENCYPART_ARC
(14,19),-3.23068 # DEPENDENCYPART_ARC
(14,21),-3.23633 # DEPENDENCYPART_ARC
(14,22),-2.90856 # DEPENDENCYPART_ARC
(15,1),-3.81312 # DEPENDENCYPART_ARC
(15,3),-2.8924 # DEPENDENCYPART_ARC
(15,5),-2.7395 # DEPENDENCYPART_ARC
(15,6),-3.16889 # DEPENDENCYPART_ARC
(15,8),-2.42408 # DEPENDENCYPART_ARC
(15,9),-3.51115 # DEPENDENCYPART_ARC
(15,10),-2.19179 # DEPENDENCYPART_ARC
(15,11),-0.480988 # DEPENDENCYPART_ARC
(15,12),-1.42603 # DEPENDENCYPART_ARC
(15,14),1.42219 # DEPENDENCYPART_ARC
(15,16),0.103616 # DEPENDENCYPART_ARC
(15,17),-1.80595 # DEPENDENCYPART_ARC
(15,18),-2.42777 # DEPENDENCYPART_ARC
(15,19),-1.67914 # DEPENDENCYPART_ARC
(15,20),-2.4502 # DEPENDENCYPART_ARC
(15,21),-2.44812 # DEPENDENCYPART_ARC
(15,22),-2.23016 # DEPENDENCYPART_ARC
(17,19),-2.28299 # DEPENDENCYPART_ARC
(18,9),-4.30236 # DEPENDENCYPART_ARC
(18,11),-2.51405 # DEPENDENCYPART_ARC
(18,14),-0.782202 # DEPENDENCYPART_ARC
(18,15),-1.46711 # DEPENDENCYPART_ARC
(18,16),-1.46928 # DEPENDENCYPART_ARC
(18,17),1.24496 # DEPENDENCYPART_ARC
(18,19),1.14468 # DEPENDENCYPART_ARC
(18,20),-1.23016 # DEPENDENCYPART_ARC
(18,22),-2.1451 # DEPENDENCYPART_ARC
(19,17),-1.33024 # DEPENDENCYPART_ARC
(19,18),-0.952754 # DEPENDENCYPART_ARC
(19,20),-1.34916 # DEPENDENCYPART_ARC
(19,21),-1.86158 # DEPENDENCYPART_ARC
(20,17),-1.71513 # DEPENDENCYPART_ARC
(20,18),-1.96415 # DEPENDENCYPART_ARC
(20,19),-1.30327 # DEPENDENCYPART_ARC
(21,3),-3.09519 # DEPENDENCYPART_ARC
(21,4),-1.80184 # DEPENDENCYPART_ARC
(21,5),-2.20038 # DEPENDENCYPART_ARC
(21,9),-3.45002 # DEPENDENCYPART_ARC
(21,11),-2.32221 # DEPENDENCYPART_ARC
(21,12),-2.78438 # DEPENDENCYPART_ARC
(21,14),-1.96337 # DEPENDENCYPART_ARC
(21,15),-2.37406 # DEPENDENCYPART_ARC
(21,17),-0.501853 # DEPENDENCYPART_ARC
(21,18),-0.634836 # DEPENDENCYPART_ARC
(21,19),-0.955534 # DEPENDENCYPART_ARC
(21,20),1.14261 # DEPENDENCYPART_ARC
(21,22),-1.40234 # DEPENDENCYPART_ARC
(22,21),-2.6575 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0250836 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.793933 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.76136 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0986056 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0576467 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0807712 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0850374 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.153646 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0492002 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0827328 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0829776 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0975952 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0187163 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0169482 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0176144 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00496446 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0187384 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0169482 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0154702 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.431115 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0132443 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0600183 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0738492 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00925016 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00528547 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0203855 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0938628 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0820734 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0100653 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0805046 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00108319 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0774225 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0100653 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0729514 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0400542 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0199113 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.097668 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0264249 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.136987 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0586323 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0256034 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0524031 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0185825 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0519111 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0952972 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0524253 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0185825 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0510279 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.131805 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0759461 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0597431 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0796179 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0675847 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0773812 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0986339 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.100223 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0986131 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.149125 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0986118 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.100223 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.100009 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.171405 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0155241 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.144389 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0056619 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0668459 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0533685 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0472734 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0486884 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00281903 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0486872 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0472734 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.050311 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.12365 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.112025 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0614215 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0187104 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0240198 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.139147 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0240058 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.115683 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0239978 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.139147 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0253953 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.135007 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0177608 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0132453 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.104097 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0150536 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.102229 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.013024 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.102249 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0150536 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.10362 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.150454 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0409489 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0565742 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.000193787 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0912003 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.01822 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0912207 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.000193787 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0925912 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.149443 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0285355 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.050134 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.47648 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.417624 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.480148 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.018992 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.47557 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0340406 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.634002 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0244969 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0185564 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0911922 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.00037857 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0925626 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.149414 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0285063 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0591931 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0388396 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0846124 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0373511 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.193205 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0194515 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0312555 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0144787 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0925626 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.149414 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0285063 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0569722 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.47557 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0340406 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.634002 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0244969 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.150785 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0298762 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0424914 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.160097 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.243691 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.0247861 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0959124 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0507785 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.114197 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0609618 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0668334 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00618357 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0668943 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0230625 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0175333 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.708301 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.415757 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.586066 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.469668 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.115124 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.469664 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.183957 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.129917 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.453466 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.711421 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.555396 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.113482 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.550733 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0659853 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0983575 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.465385 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.336621 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0586182 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.336624 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.277615 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.313472 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.83432 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0882965 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.832469 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0522268 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.047111 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.122658 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.815854 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0916246 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0587549 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0681767 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.480329 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.395117 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0921626 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0498975 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.0687683 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.154815 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.149663 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.114869 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.892791 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0717429 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.135005 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0402811 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.111047 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0268533 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0556189 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0928827 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00905514 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.591633 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0056777 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0489841 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0712995 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.104399 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0529941 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.04279 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0347658 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.231434 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00658878 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00706661 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00505828 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.019638 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0162301 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0791909 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.125758 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0746782 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0089501 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0422453 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0289476 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.053435 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0134603 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0717429 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.135005 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0402811 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.111047 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0268533 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0556189 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00219093 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0114791 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.284572 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00274941 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.211842 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.150214 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0362342 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.15709 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0449775 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0433003 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.138312 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0393298 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.584166 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.494968 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0325803 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0895212 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.252675 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.168409 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.585756 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.19311 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.219465 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.218879 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.154913 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.218591 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.208237 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.173581 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.218487 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.213071 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.154913 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.235058 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.11113 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.131275 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.224223 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.150027 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0647954 # DEPENDENCYPART_SIBL
