# _root_ Now , according to a Kidder World story about Mr. Megargel , all the firm has to do is `` position ourselves more in the deal flow . ''
#goldHeads=19,19,19,3,8,8,8,4,8,11,9,19,19,15,16,13,18,16,0,19,19,21,21,23,27,27,24,19,19,
#predictedHeads=19,19,19,3,8,8,8,4,8,11,9,19,15,15,19,15,18,16,0,19,19,21,24,21,27,27,24,19,19,
(16,9),-1.24959 # DEPENDENCYPART_ARC
(16,11),-1.83151 # DEPENDENCYPART_ARC
(16,12),-0.760457 # DEPENDENCYPART_ARC
(16,13),-0.908701 # DEPENDENCYPART_ARC
(16,14),-0.516739 # DEPENDENCYPART_ARC
(16,15),0.929452 # DEPENDENCYPART_ARC
(16,17),0.355509 # DEPENDENCYPART_ARC
(16,18),0.243978 # DEPENDENCYPART_ARC
(16,19),-0.474587 # DEPENDENCYPART_ARC
(16,20),-1.3034 # DEPENDENCYPART_ARC
(16,21),-0.715746 # DEPENDENCYPART_ARC
(16,24),-1.43414 # DEPENDENCYPART_ARC
(16,28),-0.365733 # DEPENDENCYPART_ARC
(16,29),-0.453174 # DEPENDENCYPART_ARC
(17,18),-0.254409 # DEPENDENCYPART_ARC
(17,19),-1.32834 # DEPENDENCYPART_ARC
(17,20),-1.61712 # DEPENDENCYPART_ARC
(17,24),-1.92886 # DEPENDENCYPART_ARC
(17,27),-2.70985 # DEPENDENCYPART_ARC
(18,2),-2.42057 # DEPENDENCYPART_ARC
(18,8),-2.04963 # DEPENDENCYPART_ARC
(18,9),-1.76281 # DEPENDENCYPART_ARC
(18,11),-2.11484 # DEPENDENCYPART_ARC
(18,12),-1.54733 # DEPENDENCYPART_ARC
(18,13),-1.35137 # DEPENDENCYPART_ARC
(18,14),-1.23384 # DEPENDENCYPART_ARC
(18,15),-0.763045 # DEPENDENCYPART_ARC
(18,16),-1.12532 # DEPENDENCYPART_ARC
(18,17),1.53816 # DEPENDENCYPART_ARC
(18,19),0.642444 # DEPENDENCYPART_ARC
(18,20),-1.31127 # DEPENDENCYPART_ARC
(18,21),-1.20037 # DEPENDENCYPART_ARC
(18,22),-1.64947 # DEPENDENCYPART_ARC
(18,23),-1.89445 # DEPENDENCYPART_ARC
(18,24),-1.97474 # DEPENDENCYPART_ARC
(18,27),-1.80421 # DEPENDENCYPART_ARC
(18,28),-1.40921 # DEPENDENCYPART_ARC
(18,29),-1.27641 # DEPENDENCYPART_ARC
(19,1),-1.0053 # DEPENDENCYPART_ARC
(19,2),-2.50684 # DEPENDENCYPART_ARC
(19,3),-1.00979 # DEPENDENCYPART_ARC
(19,8),-2.01898 # DEPENDENCYPART_ARC
(19,9),-1.66942 # DEPENDENCYPART_ARC
(19,11),-2.06381 # DEPENDENCYPART_ARC
(19,12),-1.41969 # DEPENDENCYPART_ARC
(19,13),-1.32432 # DEPENDENCYPART_ARC
(19,14),-1.32701 # DEPENDENCYPART_ARC
(19,15),-0.799462 # DEPENDENCYPART_ARC
(19,16),-1.18383 # DEPENDENCYPART_ARC
(19,17),-0.355292 # DEPENDENCYPART_ARC
(19,18),-0.174831 # DEPENDENCYPART_ARC
(19,20),0.550087 # DEPENDENCYPART_ARC
(19,21),0.402814 # DEPENDENCYPART_ARC
(19,23),-1.22134 # DEPENDENCYPART_ARC
(19,24),-0.940205 # DEPENDENCYPART_ARC
(19,26),-1.46499 # DEPENDENCYPART_ARC
(19,27),-1.35897 # DEPENDENCYPART_ARC
(19,28),-0.183186 # DEPENDENCYPART_ARC
(19,29),-0.531581 # DEPENDENCYPART_ARC
(21,2),-2.73729 # DEPENDENCYPART_ARC
(21,8),-2.55746 # DEPENDENCYPART_ARC
(21,9),-2.40466 # DEPENDENCYPART_ARC
(21,12),-1.96506 # DEPENDENCYPART_ARC
(21,13),-1.64589 # DEPENDENCYPART_ARC
(21,15),-1.39833 # DEPENDENCYPART_ARC
(21,16),-1.67156 # DEPENDENCYPART_ARC
(21,17),-0.958319 # DEPENDENCYPART_ARC
(21,18),-1.60393 # DEPENDENCYPART_ARC
(21,19),-1.31179 # DEPENDENCYPART_ARC
(21,20),0.285011 # DEPENDENCYPART_ARC
(21,22),0.447148 # DEPENDENCYPART_ARC
(21,23),-0.381069 # DEPENDENCYPART_ARC
(21,24),-0.466472 # DEPENDENCYPART_ARC
(21,25),-1.09536 # DEPENDENCYPART_ARC
(21,26),-0.726997 # DEPENDENCYPART_ARC
(21,27),-0.719525 # DEPENDENCYPART_ARC
(21,28),-0.270398 # DEPENDENCYPART_ARC
(21,29),-0.614905 # DEPENDENCYPART_ARC
(22,24),-1.15121 # DEPENDENCYPART_ARC
(22,26),-1.39469 # DEPENDENCYPART_ARC
(22,27),-1.49438 # DEPENDENCYPART_ARC
(23,22),-0.401644 # DEPENDENCYPART_ARC
(23,24),-0.140523 # DEPENDENCYPART_ARC
(23,28),-1.45602 # DEPENDENCYPART_ARC
(24,23),-0.144045 # DEPENDENCYPART_ARC
(24,25),0.100108 # DEPENDENCYPART_ARC
(24,26),-0.0706049 # DEPENDENCYPART_ARC
(24,27),-0.578996 # DEPENDENCYPART_ARC
(24,28),-0.977177 # DEPENDENCYPART_ARC
(24,29),-0.992106 # DEPENDENCYPART_ARC
(25,26),-0.408001 # DEPENDENCYPART_ARC
(26,22),-2.27519 # DEPENDENCYPART_ARC
(26,23),-2.12285 # DEPENDENCYPART_ARC
(26,25),-0.0527275 # DEPENDENCYPART_ARC
(26,27),-0.812212 # DEPENDENCYPART_ARC
(26,29),-1.46094 # DEPENDENCYPART_ARC
(27,13),-3.17256 # DEPENDENCYPART_ARC
(27,20),-1.39283 # DEPENDENCYPART_ARC
(27,21),-1.44466 # DEPENDENCYPART_ARC
(27,22),-1.12479 # DEPENDENCYPART_ARC
(27,23),-1.26043 # DEPENDENCYPART_ARC
(27,24),-1.02953 # DEPENDENCYPART_ARC
(27,25),0.434128 # DEPENDENCYPART_ARC
(27,26),1.746 # DEPENDENCYPART_ARC
(27,28),-0.26457 # DEPENDENCYPART_ARC
(27,29),-1.37716 # DEPENDENCYPART_ARC
(28,24),-1.38187 # DEPENDENCYPART_ARC
(28,27),-0.332836 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.105815 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.106779 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.113293 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.11788 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.105952 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.217679 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.233476 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.232316 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.226 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.246642 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.247435 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.239137 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.249157 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.239895 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.254448 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0754383 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.011892 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0342671 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.020891 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0288594 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0228356 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0565246 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0197154 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0512033 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.100853 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0122946 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0255012 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00672777 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0562557 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00145399 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0340334 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.000129521 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0257209 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0356972 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.000541451 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0509315 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0152242 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0671774 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.152067 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0238388 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0481656 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00594681 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0133769 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0259718 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.170265 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0282675 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0137842 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0319871 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.00696648 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.033518 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0204713 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.107829 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0983319 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0989165 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0965973 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.127857 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.097463 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0832599 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.123736 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0909746 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.141789 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.107065 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.121687 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.13085 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0390076 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0398344 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0372187 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0929038 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0381449 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0711161 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0663815 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0440424 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0722558 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0562249 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0695931 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0546577 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0516483 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0475249 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0378593 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0490223 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0231354 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0449115 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00983875 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0365436 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0286704 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0400445 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.0232714 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0364989 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.02222 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0379963 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0168085 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0261949 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00880869 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0178206 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00994381 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0316129 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0171381 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0145015 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0333683 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00117749 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0277893 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00728348 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0194174 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0115482 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.00500869 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.0107455 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0294241 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00137071 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0683903 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.000787099 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0922678 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0350899 # DEPENDENCYPART_SIBL
(3,9),(3,28),-0.0669668 # DEPENDENCYPART_SIBL
(3,9),(3,29),-0.000897886 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0116851 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.039179 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00410617 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0308068 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0229379 # DEPENDENCYPART_SIBL
(3,11),(3,28),-0.032872 # DEPENDENCYPART_SIBL
(3,11),(3,29),-0.0188291 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.00875506 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0720293 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0214323 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.0127339 # DEPENDENCYPART_SIBL
(3,12),(3,28),-0.0277674 # DEPENDENCYPART_SIBL
(3,12),(3,29),0.0172008 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0517975 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0453773 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0558127 # DEPENDENCYPART_SIBL
(3,16),(3,28),-0.011711 # DEPENDENCYPART_SIBL
(3,16),(3,29),0.0116451 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0264533 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.035492 # DEPENDENCYPART_SIBL
(3,18),(3,28),-0.00201878 # DEPENDENCYPART_SIBL
(3,18),(3,29),0.0585417 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0587181 # DEPENDENCYPART_SIBL
(3,19),(3,28),-0.0126387 # DEPENDENCYPART_SIBL
(3,19),(3,29),0.0419541 # DEPENDENCYPART_SIBL
(3,21),(3,28),-0.0104168 # DEPENDENCYPART_SIBL
(3,21),(3,29),-0.00314744 # DEPENDENCYPART_SIBL
(3,28),(3,29),0.114038 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0424206 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0450538 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0373875 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0459587 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0016112 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0384621 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0400546 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.313085 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0411679 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.030952 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0313705 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0309622 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0274685 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.030965 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.030952 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0102658 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0309958 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.10042 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0991916 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0118995 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0992295 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0997612 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00057312 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0950837 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0969771 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00775813 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0970151 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0975468 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0024036 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0928692 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00580279 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0963611 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0968927 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00685109 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0922152 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0239883 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0194176 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0299737 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0350344 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.101665 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00149448 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0969875 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.00553051 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0933392 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0876483 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00312603 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00984486 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0196621 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0145354 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.36684 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.213382 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0177611 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.000170724 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0158535 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.013862 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0367019 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00892618 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00807753 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0153354 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0423328 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00404448 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.014511 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0320899 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.020123 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0393311 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.0646906 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00928126 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0143308 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0182236 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.101591 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0264631 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0240056 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.024257 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00284396 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0289475 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00212515 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.110043 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0042492 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0059548 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0028527 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00650053 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0934321 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0154178 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00375756 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00073335 # DEPENDENCYPART_SIBL
