# _root_ The ordinance , in Moon Township , prohibits locating a group home for the handicapped within a mile of another such facility .
#goldHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,9,18,16,18,22,22,19,8,
#predictedHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,15,18,16,18,22,22,19,8,
(6,15),-1.8935 # DEPENDENCYPART_ARC
(6,18),-2.03876 # DEPENDENCYPART_ARC
(7,4),-1.07305 # DEPENDENCYPART_ARC
(8,1),-1.49596 # DEPENDENCYPART_ARC
(8,2),-0.414548 # DEPENDENCYPART_ARC
(8,3),-1.27553 # DEPENDENCYPART_ARC
(8,4),-0.826555 # DEPENDENCYPART_ARC
(8,5),-1.59482 # DEPENDENCYPART_ARC
(8,6),-1.14624 # DEPENDENCYPART_ARC
(8,7),0.854209 # DEPENDENCYPART_ARC
(8,9),1.4226 # DEPENDENCYPART_ARC
(8,10),-1.00845 # DEPENDENCYPART_ARC
(8,11),-0.933368 # DEPENDENCYPART_ARC
(8,12),-0.74032 # DEPENDENCYPART_ARC
(8,13),-1.21042 # DEPENDENCYPART_ARC
(8,15),-1.38666 # DEPENDENCYPART_ARC
(8,16),-1.39393 # DEPENDENCYPART_ARC
(8,18),-1.68243 # DEPENDENCYPART_ARC
(8,23),-0.00402871 # DEPENDENCYPART_ARC
(9,2),-2.02715 # DEPENDENCYPART_ARC
(9,4),-2.10047 # DEPENDENCYPART_ARC
(9,7),-1.91875 # DEPENDENCYPART_ARC
(9,8),-1.1819 # DEPENDENCYPART_ARC
(9,10),-0.137861 # DEPENDENCYPART_ARC
(9,11),-0.126693 # DEPENDENCYPART_ARC
(9,12),0.0684796 # DEPENDENCYPART_ARC
(9,13),-0.729496 # DEPENDENCYPART_ARC
(9,15),-0.721937 # DEPENDENCYPART_ARC
(9,16),-1.00719 # DEPENDENCYPART_ARC
(9,18),-0.980845 # DEPENDENCYPART_ARC
(9,19),-1.89718 # DEPENDENCYPART_ARC
(9,22),-1.37181 # DEPENDENCYPART_ARC
(9,23),0.13367 # DEPENDENCYPART_ARC
(10,11),-0.428002 # DEPENDENCYPART_ARC
(10,13),-1.46739 # DEPENDENCYPART_ARC
(11,7),-2.41275 # DEPENDENCYPART_ARC
(11,10),0.419911 # DEPENDENCYPART_ARC
(11,12),-0.518119 # DEPENDENCYPART_ARC
(11,13),-0.968812 # DEPENDENCYPART_ARC
(11,15),-1.71367 # DEPENDENCYPART_ARC
(11,16),-1.54348 # DEPENDENCYPART_ARC
(11,18),-1.82553 # DEPENDENCYPART_ARC
(11,19),-2.15389 # DEPENDENCYPART_ARC
(11,23),-1.79296 # DEPENDENCYPART_ARC
(12,1),-2.10275 # DEPENDENCYPART_ARC
(12,2),-2.53713 # DEPENDENCYPART_ARC
(12,3),-2.39904 # DEPENDENCYPART_ARC
(12,4),-2.24995 # DEPENDENCYPART_ARC
(12,7),-1.8991 # DEPENDENCYPART_ARC
(12,8),-1.30525 # DEPENDENCYPART_ARC
(12,9),-1.10103 # DEPENDENCYPART_ARC
(12,10),0.279145 # DEPENDENCYPART_ARC
(12,11),1.72033 # DEPENDENCYPART_ARC
(12,13),0.0405073 # DEPENDENCYPART_ARC
(12,15),-1.42149 # DEPENDENCYPART_ARC
(12,16),-1.46942 # DEPENDENCYPART_ARC
(12,18),-1.62287 # DEPENDENCYPART_ARC
(12,19),-2.09209 # DEPENDENCYPART_ARC
(12,22),-1.92302 # DEPENDENCYPART_ARC
(12,23),-1.79072 # DEPENDENCYPART_ARC
(13,4),-1.82505 # DEPENDENCYPART_ARC
(13,12),-0.692858 # DEPENDENCYPART_ARC
(13,14),-0.168202 # DEPENDENCYPART_ARC
(13,15),-0.190814 # DEPENDENCYPART_ARC
(13,16),-1.44531 # DEPENDENCYPART_ARC
(13,18),-1.49541 # DEPENDENCYPART_ARC
(13,19),-1.66219 # DEPENDENCYPART_ARC
(13,22),-1.99602 # DEPENDENCYPART_ARC
(14,16),-1.38878 # DEPENDENCYPART_ARC
(14,19),-1.72969 # DEPENDENCYPART_ARC
(15,10),-1.67728 # DEPENDENCYPART_ARC
(15,11),-1.07635 # DEPENDENCYPART_ARC
(15,12),-1.46908 # DEPENDENCYPART_ARC
(15,13),-1.06559 # DEPENDENCYPART_ARC
(15,14),1.25132 # DEPENDENCYPART_ARC
(15,16),0.196727 # DEPENDENCYPART_ARC
(15,18),-1.31951 # DEPENDENCYPART_ARC
(15,19),-1.2642 # DEPENDENCYPART_ARC
(15,22),-1.66297 # DEPENDENCYPART_ARC
(15,23),-1.53324 # DEPENDENCYPART_ARC
(16,4),-1.76325 # DEPENDENCYPART_ARC
(16,12),-1.67348 # DEPENDENCYPART_ARC
(16,13),-1.3073 # DEPENDENCYPART_ARC
(16,14),-1.50256 # DEPENDENCYPART_ARC
(16,15),-0.59822 # DEPENDENCYPART_ARC
(16,17),-0.0305846 # DEPENDENCYPART_ARC
(16,18),-0.124836 # DEPENDENCYPART_ARC
(16,19),-1.36814 # DEPENDENCYPART_ARC
(16,22),-1.32346 # DEPENDENCYPART_ARC
(16,23),-1.21456 # DEPENDENCYPART_ARC
(17,19),-1.13491 # DEPENDENCYPART_ARC
(18,13),-1.57966 # DEPENDENCYPART_ARC
(18,14),-1.5237 # DEPENDENCYPART_ARC
(18,15),-1.47759 # DEPENDENCYPART_ARC
(18,16),-1.07621 # DEPENDENCYPART_ARC
(18,17),1.23081 # DEPENDENCYPART_ARC
(18,19),0.767105 # DEPENDENCYPART_ARC
(18,20),-0.969158 # DEPENDENCYPART_ARC
(18,21),-0.981873 # DEPENDENCYPART_ARC
(18,22),-1.02575 # DEPENDENCYPART_ARC
(18,23),-0.993676 # DEPENDENCYPART_ARC
(19,15),-1.78481 # DEPENDENCYPART_ARC
(19,17),-1.53862 # DEPENDENCYPART_ARC
(19,18),-0.689361 # DEPENDENCYPART_ARC
(19,20),-0.229678 # DEPENDENCYPART_ARC
(19,21),-0.945667 # DEPENDENCYPART_ARC
(19,22),-0.620311 # DEPENDENCYPART_ARC
(19,23),-1.41985 # DEPENDENCYPART_ARC
(20,21),-0.390922 # DEPENDENCYPART_ARC
(21,12),-1.57193 # DEPENDENCYPART_ARC
(21,15),-1.54808 # DEPENDENCYPART_ARC
(21,20),-0.101097 # DEPENDENCYPART_ARC
(22,13),-1.24127 # DEPENDENCYPART_ARC
(22,16),-1.28727 # DEPENDENCYPART_ARC
(22,17),-1.34023 # DEPENDENCYPART_ARC
(22,18),-0.954939 # DEPENDENCYPART_ARC
(22,19),-0.874047 # DEPENDENCYPART_ARC
(22,20),0.413234 # DEPENDENCYPART_ARC
(22,21),1.68425 # DEPENDENCYPART_ARC
(22,23),-0.476926 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.0574867 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.123583 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.123546 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.123583 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.123546 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.225457 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.017774 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0116585 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.017774 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0150223 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.101448 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0571308 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0189545 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0108935 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00253929 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00253577 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0189545 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.140537 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.134377 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00204252 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0526323 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.116152 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0810748 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0116071 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0438129 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.044203 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0393972 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.022395 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0223699 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0410178 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0156306 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0167358 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0050613 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0138916 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0142827 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0237808 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00534535 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00534321 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0103518 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0210443 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00627863 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0037042 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0136686 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0151416 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0166548 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0166074 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0160517 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00212437 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.015834 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0258193 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0159302 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0162599 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0162125 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0149007 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00141969 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0151293 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0262092 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.022395 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0223699 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0410178 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0156306 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0167358 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0050613 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00790672 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0121708 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00368172 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.000154987 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.00159945 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0121729 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00368104 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.000154303 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0016227 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.00470814 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0177106 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0210494 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00243148 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0474318 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.0208655 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0484417 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0219898 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0219774 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.153776 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0236174 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.223584 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.223576 # DEPENDENCYPART_SIBL
(4,3),(4,7),1.16777 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.197716 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.120502 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00621455 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0261612 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00661927 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0261501 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00603082 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.019324 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.126141 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.026177 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0455921 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0191917 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0164154 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0409071 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0205135 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.141868 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.135707 # DEPENDENCYPART_SIBL
(6,1),(6,12),-6.59551e-06 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.000499334 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.000524655 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0429147 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00438376 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0105039 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0533683 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00524372 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0128343 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0332815 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0222937 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0236489 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0443125 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0119955 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.119288 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0207954 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0173544 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00662605 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0206479 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0192921 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.013473 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00814148 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0225603 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0259884 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00891456 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0217478 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0204406 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0461676 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0102975 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0178881 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0277325 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0167448 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0180999 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0232321 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.023207 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0473873 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0505731 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0505728 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00854032 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0108617 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00906275 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.00908841 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0108639 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.00906491 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.00909057 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0130937 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0130939 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0118577 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.041809 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.127448 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.063053 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0430628 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0415979 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.127448 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0884942 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.134187 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0594152 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0760162 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.00325425 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0836788 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0372231 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0847181 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.0929235 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00104121 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.000789119 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0987894 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0988822 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00104121 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.00169131 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.128755 # DEPENDENCYPART_SIBL
(8,2),(8,11),6.96747e-05 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00199365 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.000443203 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0126885 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0296848 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0130674 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0209712 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0282211 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0026857 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00255733 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0259738 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00082495 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.139948 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0266922 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00547974 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.106029 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0119217 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0197514 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0122998 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0559137 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0383981 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0366572 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0586241 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00589442 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0653765 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00543556 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0217054 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0469155 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.000155624 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0056586 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.000318904 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.0418348 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.100533 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00719419 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.000506266 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.124336 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.00151566 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.000587537 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00845316 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0112824 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0376636 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0116612 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0349781 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.000999974 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00236106 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.128716 # DEPENDENCYPART_SIBL
(8,6),(8,11),5.60415e-05 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.00204716 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.000524315 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.012742 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.029744 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0131209 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.0210177 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00082495 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.139948 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0266922 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.00547974 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.106029 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0119217 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0197514 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0122998 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0559137 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0291721 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0220117 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0186284 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0188065 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0172485 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.00965135 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.018039 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.00878788 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.044702 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0384127 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0486934 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0378871 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0417881 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0386266 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.049412 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0153262 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0133001 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0191417 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0380879 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0198813 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.0115744 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00914626 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0293507 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0222481 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0300902 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.00757175 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.00386677 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0147764 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.00460636 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0134959 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0258113 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0352414 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.00244542 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.00936468 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0121826 # DEPENDENCYPART_SIBL
(8,18),(8,23),-0.0035343 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.000789119 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00104121 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00283629 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.128755 # DEPENDENCYPART_SIBL
(9,2),(9,11),6.91921e-05 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00199413 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.000184156 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.012689 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0294257 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0130678 # DEPENDENCYPART_SIBL
