# _root_ Far better for policy makers to concentrate on the war against drugs , Panama and the deficit , all of them parades that seem never to end .
#goldHeads=3,1,0,5,6,3,6,7,10,8,10,11,10,10,14,17,15,10,22,19,20,10,24,22,26,24,26,3,
#predictedHeads=2,0,2,5,6,3,6,7,10,8,10,11,12,12,14,17,15,12,12,19,22,20,24,22,24,24,26,2,
(5,14),-2.48774 # DEPENDENCYPART_ARC
(5,15),-1.42357 # DEPENDENCYPART_ARC
(5,18),-1.4711 # DEPENDENCYPART_ARC
(5,24),-1.92705 # DEPENDENCYPART_ARC
(6,1),-2.10366 # DEPENDENCYPART_ARC
(6,2),-2.11341 # DEPENDENCYPART_ARC
(6,3),-1.43903 # DEPENDENCYPART_ARC
(6,4),-2.00105 # DEPENDENCYPART_ARC
(6,5),-1.16022 # DEPENDENCYPART_ARC
(6,7),1.93924 # DEPENDENCYPART_ARC
(6,8),-1.1097 # DEPENDENCYPART_ARC
(6,10),-1.24409 # DEPENDENCYPART_ARC
(6,12),-1.7265 # DEPENDENCYPART_ARC
(6,13),-1.31589 # DEPENDENCYPART_ARC
(6,15),-1.75861 # DEPENDENCYPART_ARC
(7,1),-1.91979 # DEPENDENCYPART_ARC
(7,2),-1.84878 # DEPENDENCYPART_ARC
(7,3),-1.34451 # DEPENDENCYPART_ARC
(7,5),-1.04933 # DEPENDENCYPART_ARC
(7,6),-0.98968 # DEPENDENCYPART_ARC
(7,8),0.89411 # DEPENDENCYPART_ARC
(7,10),-0.435343 # DEPENDENCYPART_ARC
(7,11),-0.101601 # DEPENDENCYPART_ARC
(7,12),-0.788605 # DEPENDENCYPART_ARC
(7,13),-1.15942 # DEPENDENCYPART_ARC
(7,14),-2.01451 # DEPENDENCYPART_ARC
(7,15),-1.40328 # DEPENDENCYPART_ARC
(7,17),-1.58781 # DEPENDENCYPART_ARC
(7,18),-1.1597 # DEPENDENCYPART_ARC
(7,19),-2.59871 # DEPENDENCYPART_ARC
(7,25),-2.3042 # DEPENDENCYPART_ARC
(7,26),-2.59908 # DEPENDENCYPART_ARC
(7,28),-1.75436 # DEPENDENCYPART_ARC
(8,9),-1.26053 # DEPENDENCYPART_ARC
(8,10),1.08143 # DEPENDENCYPART_ARC
(8,11),-1.30001 # DEPENDENCYPART_ARC
(8,12),-0.236373 # DEPENDENCYPART_ARC
(8,13),-1.48926 # DEPENDENCYPART_ARC
(8,14),-2.27725 # DEPENDENCYPART_ARC
(8,15),-1.34254 # DEPENDENCYPART_ARC
(8,17),-1.48218 # DEPENDENCYPART_ARC
(8,18),-1.51975 # DEPENDENCYPART_ARC
(8,19),-3.00593 # DEPENDENCYPART_ARC
(8,28),-1.91016 # DEPENDENCYPART_ARC
(10,5),-1.9691 # DEPENDENCYPART_ARC
(10,8),-1.02368 # DEPENDENCYPART_ARC
(10,9),1.64973 # DEPENDENCYPART_ARC
(10,11),0.277169 # DEPENDENCYPART_ARC
(10,12),-0.876682 # DEPENDENCYPART_ARC
(10,13),-1.15141 # DEPENDENCYPART_ARC
(10,14),-2.0046 # DEPENDENCYPART_ARC
(10,15),-1.04097 # DEPENDENCYPART_ARC
(10,17),-2.21242 # DEPENDENCYPART_ARC
(10,18),-1.50876 # DEPENDENCYPART_ARC
(10,20),-2.60349 # DEPENDENCYPART_ARC
(10,26),-2.38428 # DEPENDENCYPART_ARC
(10,28),-2.10335 # DEPENDENCYPART_ARC
(11,10),-1.66661 # DEPENDENCYPART_ARC
(11,12),1.64502 # DEPENDENCYPART_ARC
(11,13),-1.32668 # DEPENDENCYPART_ARC
(11,14),-1.9249 # DEPENDENCYPART_ARC
(11,15),-1.64008 # DEPENDENCYPART_ARC
(11,17),-1.99297 # DEPENDENCYPART_ARC
(12,9),-1.59613 # DEPENDENCYPART_ARC
(12,10),-1.12797 # DEPENDENCYPART_ARC
(12,11),-1.11084 # DEPENDENCYPART_ARC
(12,13),-0.730478 # DEPENDENCYPART_ARC
(12,14),-1.62656 # DEPENDENCYPART_ARC
(12,15),-1.42319 # DEPENDENCYPART_ARC
(12,17),-1.75161 # DEPENDENCYPART_ARC
(12,18),-0.903272 # DEPENDENCYPART_ARC
(12,19),-2.41782 # DEPENDENCYPART_ARC
(12,20),-2.43851 # DEPENDENCYPART_ARC
(12,22),-2.38224 # DEPENDENCYPART_ARC
(12,24),-1.54476 # DEPENDENCYPART_ARC
(12,25),-2.30083 # DEPENDENCYPART_ARC
(13,14),-2.09681 # DEPENDENCYPART_ARC
(14,9),-2.26506 # DEPENDENCYPART_ARC
(14,10),-2.5095 # DEPENDENCYPART_ARC
(14,11),-1.94284 # DEPENDENCYPART_ARC
(14,12),-1.20334 # DEPENDENCYPART_ARC
(14,13),-1.25799 # DEPENDENCYPART_ARC
(14,15),0.99388 # DEPENDENCYPART_ARC
(14,16),-1.51569 # DEPENDENCYPART_ARC
(14,17),-1.4168 # DEPENDENCYPART_ARC
(14,18),-0.849589 # DEPENDENCYPART_ARC
(14,19),-2.23268 # DEPENDENCYPART_ARC
(14,20),-1.78965 # DEPENDENCYPART_ARC
(14,22),-2.43317 # DEPENDENCYPART_ARC
(14,24),-1.71733 # DEPENDENCYPART_ARC
(15,14),-1.51526 # DEPENDENCYPART_ARC
(15,16),-0.767565 # DEPENDENCYPART_ARC
(15,17),0.427518 # DEPENDENCYPART_ARC
(15,18),-0.942998 # DEPENDENCYPART_ARC
(15,19),-2.28615 # DEPENDENCYPART_ARC
(15,20),-1.51109 # DEPENDENCYPART_ARC
(15,22),-1.96556 # DEPENDENCYPART_ARC
(15,23),-3.1363 # DEPENDENCYPART_ARC
(15,24),-1.2644 # DEPENDENCYPART_ARC
(15,26),-1.46476 # DEPENDENCYPART_ARC
(17,14),-1.21323 # DEPENDENCYPART_ARC
(17,16),1.42193 # DEPENDENCYPART_ARC
(17,18),-0.643508 # DEPENDENCYPART_ARC
(17,19),-2.10035 # DEPENDENCYPART_ARC
(17,20),-1.01796 # DEPENDENCYPART_ARC
(17,22),-1.7496 # DEPENDENCYPART_ARC
(17,24),-1.42043 # DEPENDENCYPART_ARC
(17,25),-2.15406 # DEPENDENCYPART_ARC
(17,26),-1.89322 # DEPENDENCYPART_ARC
(17,28),-1.88963 # DEPENDENCYPART_ARC
(19,17),-2.4035 # DEPENDENCYPART_ARC
(19,18),-1.63208 # DEPENDENCYPART_ARC
(19,20),0.572626 # DEPENDENCYPART_ARC
(19,21),-1.81731 # DEPENDENCYPART_ARC
(19,22),-1.42202 # DEPENDENCYPART_ARC
(19,23),-1.99507 # DEPENDENCYPART_ARC
(19,24),-0.990152 # DEPENDENCYPART_ARC
(19,25),-1.71698 # DEPENDENCYPART_ARC
(19,26),-1.48714 # DEPENDENCYPART_ARC
(20,19),-1.49344 # DEPENDENCYPART_ARC
(20,21),-0.0707634 # DEPENDENCYPART_ARC
(20,22),1.3925 # DEPENDENCYPART_ARC
(20,23),-0.956499 # DEPENDENCYPART_ARC
(20,24),-0.648751 # DEPENDENCYPART_ARC
(20,25),-1.67415 # DEPENDENCYPART_ARC
(20,26),-1.95182 # DEPENDENCYPART_ARC
(20,27),-1.65643 # DEPENDENCYPART_ARC
(21,23),-2.25282 # DEPENDENCYPART_ARC
(21,24),-1.40987 # DEPENDENCYPART_ARC
(22,17),-2.18889 # DEPENDENCYPART_ARC
(22,19),-1.22233 # DEPENDENCYPART_ARC
(22,21),1.33215 # DEPENDENCYPART_ARC
(22,23),-1.11663 # DEPENDENCYPART_ARC
(22,24),0.315111 # DEPENDENCYPART_ARC
(22,25),-1.1119 # DEPENDENCYPART_ARC
(22,26),-0.902579 # DEPENDENCYPART_ARC
(22,27),-1.89667 # DEPENDENCYPART_ARC
(22,28),-1.77452 # DEPENDENCYPART_ARC
(23,21),-1.87189 # DEPENDENCYPART_ARC
(23,22),-1.52648 # DEPENDENCYPART_ARC
(23,25),-2.50678 # DEPENDENCYPART_ARC
(24,1),-1.8364 # DEPENDENCYPART_ARC
(24,2),-3.12097 # DEPENDENCYPART_ARC
(24,3),-2.26766 # DEPENDENCYPART_ARC
(24,5),-2.09393 # DEPENDENCYPART_ARC
(24,6),-2.68134 # DEPENDENCYPART_ARC
(24,8),-2.15866 # DEPENDENCYPART_ARC
(24,10),-2.42879 # DEPENDENCYPART_ARC
(24,11),-1.88717 # DEPENDENCYPART_ARC
(24,12),-1.99606 # DEPENDENCYPART_ARC
(24,13),-2.43648 # DEPENDENCYPART_ARC
(24,14),-2.27984 # DEPENDENCYPART_ARC
(24,17),-2.15482 # DEPENDENCYPART_ARC
(24,18),-1.54208 # DEPENDENCYPART_ARC
(24,19),-1.83104 # DEPENDENCYPART_ARC
(24,20),-1.76559 # DEPENDENCYPART_ARC
(24,21),-1.7233 # DEPENDENCYPART_ARC
(24,22),-0.756169 # DEPENDENCYPART_ARC
(24,23),2.01549 # DEPENDENCYPART_ARC
(24,25),0.781947 # DEPENDENCYPART_ARC
(24,26),0.112042 # DEPENDENCYPART_ARC
(24,27),-1.00833 # DEPENDENCYPART_ARC
(24,28),-1.20856 # DEPENDENCYPART_ARC
(25,23),-1.95977 # DEPENDENCYPART_ARC
(25,26),-0.372392 # DEPENDENCYPART_ARC
(25,27),-0.979435 # DEPENDENCYPART_ARC
(26,1),-3.14013 # DEPENDENCYPART_ARC
(26,2),-3.24923 # DEPENDENCYPART_ARC
(26,3),-2.70583 # DEPENDENCYPART_ARC
(26,6),-2.36315 # DEPENDENCYPART_ARC
(26,23),-1.51537 # DEPENDENCYPART_ARC
(26,25),-0.606088 # DEPENDENCYPART_ARC
(26,27),1.81954 # DEPENDENCYPART_ARC
(27,1),-2.20489 # DEPENDENCYPART_ARC
(27,2),-2.53675 # DEPENDENCYPART_ARC
(27,3),-1.89897 # DEPENDENCYPART_ARC
(27,5),-2.15924 # DEPENDENCYPART_ARC
(27,6),-2.04098 # DEPENDENCYPART_ARC
(27,11),-1.23433 # DEPENDENCYPART_ARC
(27,19),-2.01317 # DEPENDENCYPART_ARC
(27,20),-1.11591 # DEPENDENCYPART_ARC
(27,22),-0.962057 # DEPENDENCYPART_ARC
(27,23),-0.363563 # DEPENDENCYPART_ARC
(27,25),-0.826289 # DEPENDENCYPART_ARC
(27,28),-1.81849 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.06318 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0969911 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0580774 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0097919 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.052154 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.058278 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.371877 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0494852 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00641465 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.108004 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.027261 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0660193 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.108004 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.259976 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.06607 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.107175 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.199534 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.150572 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.106551 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.330808 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.155195 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0314683 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0526001 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.345526 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.359048 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.0600391 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.126914 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.083467 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.322784 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.130818 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.132819 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.350064 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.445793 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.358984 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.0594501 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.422443 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.233267 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0574 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0687349 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.300716 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.313648 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0574756 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.287149 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.135481 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.317345 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.123197 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.186342 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.111064 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0384253 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.102671 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.190451 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.154652 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.161122 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0780486 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.0120138 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.239989 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0552894 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0187954 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.212969 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00214208 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0273282 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0163371 # DEPENDENCYPART_SIBL
(1,4),(1,28),-0.0793573 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.217947 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.119896 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.109955 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.059482 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0150082 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0476183 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.00350271 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.120366 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.102201 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0454169 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.190208 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.00343509 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.198015 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0980686 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.114381 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.117211 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.00286419 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.0137194 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0197194 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0508912 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.000121403 # DEPENDENCYPART_SIBL
(1,10),(1,28),-0.0762517 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.164645 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0341286 # DEPENDENCYPART_SIBL
(1,11),(1,28),-0.00910835 # DEPENDENCYPART_SIBL
(1,15),(1,20),0.162724 # DEPENDENCYPART_SIBL
(1,15),(1,28),-0.00539439 # DEPENDENCYPART_SIBL
(1,20),(1,28),-0.0545289 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0458006 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.016809 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0648328 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0276947 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0325912 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0384955 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0411327 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0426783 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.00895829 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0886805 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.154474 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0713402 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0408831 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0321415 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.161086 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.158507 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.250635 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.13829 # DEPENDENCYPART_SIBL
(2,3),(2,28),0.205145 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.24015 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0188054 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0660777 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0457687 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.200917 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0554289 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0351589 # DEPENDENCYPART_SIBL
(2,4),(2,28),0.033632 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0614573 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00327651 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.123489 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.129047 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0829004 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0580587 # DEPENDENCYPART_SIBL
(2,5),(2,28),0.0585457 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0641592 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.172576 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00395801 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.110154 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.053005 # DEPENDENCYPART_SIBL
(2,6),(2,28),0.162783 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0402054 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.153132 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0652663 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0527216 # DEPENDENCYPART_SIBL
(2,7),(2,28),0.0962568 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.06738 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.202148 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0491979 # DEPENDENCYPART_SIBL
(2,8),(2,28),0.19221 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0772908 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0516178 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.0367378 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0637246 # DEPENDENCYPART_SIBL
(2,11),(2,28),0.177215 # DEPENDENCYPART_SIBL
(2,20),(2,28),0.128072 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0393035 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0744643 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.137916 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0816528 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0308874 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0396654 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0490087 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0911535 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0816528 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.224927 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0217243 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0735341 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.039741 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0532539 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0029908 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0772376 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0205749 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.039741 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.131725 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.941895 # DEPENDENCYPART_SIBL
(3,4),(3,6),-1.05623 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.440798 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.04121 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0588726 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00528025 # DEPENDENCYPART_SIBL
(3,4),(3,26),-1.05623 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0117168 # DEPENDENCYPART_SIBL
(3,5),(3,6),-1.12257 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.396329 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.064504 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0531311 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0983918 # DEPENDENCYPART_SIBL
(3,5),(3,26),-1.12257 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0522267 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.278788 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.088674 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00807979 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.189274 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.926899 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0117229 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0640643 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.21699 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.163525 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.666625 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.132178 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0938776 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.000469498 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.690678 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.0955746 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.66383 # DEPENDENCYPART_SIBL
(3,13),(3,26),-0.387887 # DEPENDENCYPART_SIBL
(3,13),(3,28),0.199741 # DEPENDENCYPART_SIBL
(3,15),(3,26),-0.67408 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.00139664 # DEPENDENCYPART_SIBL
(3,26),(3,28),0.0117229 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.134412 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00962826 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0142923 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.199736 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00281745 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0284528 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0863202 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.11834 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.188912 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0439821 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.162188 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0546008 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0196287 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0236509 # DEPENDENCYPART_SIBL
