# _root_ Ms. Johnson tells them that , if the appliances ca n't be salvaged , their policy covers the replacement cost .
#goldHeads=2,3,0,3,17,17,10,9,10,17,10,10,12,17,16,17,3,20,20,17,3,
#predictedHeads=2,3,0,3,10,10,10,9,10,3,10,10,12,17,16,17,13,20,20,17,3,
(4,5),-0.00985619 # DEPENDENCYPART_ARC
(4,6),-0.735703 # DEPENDENCYPART_ARC
(4,7),-1.41484 # DEPENDENCYPART_ARC
(4,12),-1.69549 # DEPENDENCYPART_ARC
(5,6),-0.363962 # DEPENDENCYPART_ARC
(5,7),-1.78409 # DEPENDENCYPART_ARC
(5,9),-2.51375 # DEPENDENCYPART_ARC
(5,10),-2.11874 # DEPENDENCYPART_ARC
(7,5),-1.65216 # DEPENDENCYPART_ARC
(7,6),-0.128343 # DEPENDENCYPART_ARC
(7,8),-0.309421 # DEPENDENCYPART_ARC
(7,9),-0.643157 # DEPENDENCYPART_ARC
(7,10),-1.33352 # DEPENDENCYPART_ARC
(7,11),-1.50974 # DEPENDENCYPART_ARC
(7,12),-1.49108 # DEPENDENCYPART_ARC
(7,16),-3.22688 # DEPENDENCYPART_ARC
(7,17),-2.39024 # DEPENDENCYPART_ARC
(8,7),-0.143419 # DEPENDENCYPART_ARC
(8,10),-1.10815 # DEPENDENCYPART_ARC
(8,13),-1.66701 # DEPENDENCYPART_ARC
(9,5),-1.80991 # DEPENDENCYPART_ARC
(9,6),-1.66514 # DEPENDENCYPART_ARC
(9,7),-0.854205 # DEPENDENCYPART_ARC
(9,8),1.15538 # DEPENDENCYPART_ARC
(9,10),-0.333059 # DEPENDENCYPART_ARC
(9,11),-1.10823 # DEPENDENCYPART_ARC
(9,12),-0.985232 # DEPENDENCYPART_ARC
(9,13),-1.41342 # DEPENDENCYPART_ARC
(9,14),-1.73736 # DEPENDENCYPART_ARC
(9,16),-1.70363 # DEPENDENCYPART_ARC
(9,17),-2.30496 # DEPENDENCYPART_ARC
(9,20),-1.8457 # DEPENDENCYPART_ARC
(10,1),-1.63295 # DEPENDENCYPART_ARC
(10,2),-1.72471 # DEPENDENCYPART_ARC
(10,3),-1.39116 # DEPENDENCYPART_ARC
(10,5),-0.834207 # DEPENDENCYPART_ARC
(10,6),-1.00599 # DEPENDENCYPART_ARC
(10,7),-0.31298 # DEPENDENCYPART_ARC
(10,8),-0.637162 # DEPENDENCYPART_ARC
(10,9),0.858099 # DEPENDENCYPART_ARC
(10,11),1.01497 # DEPENDENCYPART_ARC
(10,12),0.826008 # DEPENDENCYPART_ARC
(10,13),-0.258988 # DEPENDENCYPART_ARC
(10,14),-0.622206 # DEPENDENCYPART_ARC
(10,17),-1.3765 # DEPENDENCYPART_ARC
(10,21),-0.941675 # DEPENDENCYPART_ARC
(11,2),-2.32204 # DEPENDENCYPART_ARC
(11,7),-1.64736 # DEPENDENCYPART_ARC
(11,9),-1.49719 # DEPENDENCYPART_ARC
(11,12),-0.481459 # DEPENDENCYPART_ARC
(11,13),-1.43158 # DEPENDENCYPART_ARC
(11,16),-2.31523 # DEPENDENCYPART_ARC
(11,17),-2.30691 # DEPENDENCYPART_ARC
(12,2),-2.23235 # DEPENDENCYPART_ARC
(12,3),-1.81911 # DEPENDENCYPART_ARC
(12,5),-1.72912 # DEPENDENCYPART_ARC
(12,6),-1.56007 # DEPENDENCYPART_ARC
(12,7),-1.02361 # DEPENDENCYPART_ARC
(12,8),-1.4429 # DEPENDENCYPART_ARC
(12,9),-0.973852 # DEPENDENCYPART_ARC
(12,10),-1.28063 # DEPENDENCYPART_ARC
(12,11),0.0630751 # DEPENDENCYPART_ARC
(12,13),1.19385 # DEPENDENCYPART_ARC
(12,14),-0.889808 # DEPENDENCYPART_ARC
(12,16),-1.92183 # DEPENDENCYPART_ARC
(12,17),-1.60298 # DEPENDENCYPART_ARC
(12,20),-2.33768 # DEPENDENCYPART_ARC
(12,21),-1.71354 # DEPENDENCYPART_ARC
(13,2),-2.84276 # DEPENDENCYPART_ARC
(13,5),-1.82724 # DEPENDENCYPART_ARC
(13,6),-1.97389 # DEPENDENCYPART_ARC
(13,7),-1.23324 # DEPENDENCYPART_ARC
(13,9),-1.51967 # DEPENDENCYPART_ARC
(13,11),-1.32271 # DEPENDENCYPART_ARC
(13,14),0.0670883 # DEPENDENCYPART_ARC
(13,16),-1.70899 # DEPENDENCYPART_ARC
(13,17),-1.74519 # DEPENDENCYPART_ARC
(13,20),-2.34514 # DEPENDENCYPART_ARC
(13,21),-2.27838 # DEPENDENCYPART_ARC
(16,8),-2.26351 # DEPENDENCYPART_ARC
(16,12),-1.84167 # DEPENDENCYPART_ARC
(16,13),-1.58669 # DEPENDENCYPART_ARC
(16,14),-1.04141 # DEPENDENCYPART_ARC
(16,15),0.815877 # DEPENDENCYPART_ARC
(16,17),-0.519359 # DEPENDENCYPART_ARC
(16,20),-1.68152 # DEPENDENCYPART_ARC
(16,21),-1.94773 # DEPENDENCYPART_ARC
(17,1),-1.6484 # DEPENDENCYPART_ARC
(17,2),-1.60987 # DEPENDENCYPART_ARC
(17,3),-1.46726 # DEPENDENCYPART_ARC
(17,5),-0.919437 # DEPENDENCYPART_ARC
(17,6),-2.34468 # DEPENDENCYPART_ARC
(17,7),-1.2848 # DEPENDENCYPART_ARC
(17,9),-2.26087 # DEPENDENCYPART_ARC
(17,10),-1.55275 # DEPENDENCYPART_ARC
(17,11),-1.91429 # DEPENDENCYPART_ARC
(17,12),-1.51686 # DEPENDENCYPART_ARC
(17,13),-1.1825 # DEPENDENCYPART_ARC
(17,14),-0.766165 # DEPENDENCYPART_ARC
(17,16),0.582881 # DEPENDENCYPART_ARC
(17,18),0.26947 # DEPENDENCYPART_ARC
(17,19),0.0837507 # DEPENDENCYPART_ARC
(17,20),0.0347312 # DEPENDENCYPART_ARC
(17,21),0.467572 # DEPENDENCYPART_ARC
(18,19),-0.369897 # DEPENDENCYPART_ARC
(19,15),-2.40005 # DEPENDENCYPART_ARC
(19,18),0.0206037 # DEPENDENCYPART_ARC
(19,20),-0.728129 # DEPENDENCYPART_ARC
(19,21),-1.25963 # DEPENDENCYPART_ARC
(20,8),-2.60403 # DEPENDENCYPART_ARC
(20,14),-1.79896 # DEPENDENCYPART_ARC
(20,15),-1.12623 # DEPENDENCYPART_ARC
(20,16),-1.01484 # DEPENDENCYPART_ARC
(20,18),0.471284 # DEPENDENCYPART_ARC
(20,19),1.72753 # DEPENDENCYPART_ARC
(20,21),-0.258948 # DEPENDENCYPART_ARC
(21,20),-0.323368 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0524834 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.101946 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.041361 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.109491 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.101518 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.102861 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.102432 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.041361 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.109977 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.102004 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.103347 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.06712 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.170993 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.164275 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.164299 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0926806 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0922644 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0922737 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.175166 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.175189 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.164299 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0203022 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00204281 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0435616 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.024993 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.00274263 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0186575 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00351107 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00324588 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00293596 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0197571 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.000548441 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0481491 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0178843 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.00972292 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.00729241 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0216828 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.00818125 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0237834 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0277814 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0537626 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.00321083 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0312899 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0592285 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0926628 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0768244 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0262075 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.000998204 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0768244 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0326327 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0380951 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.00719293 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00486569 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00460379 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0219991 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00546509 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00158134 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0219991 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00618535 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00257642 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0083824 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0481517 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00725032 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.000384369 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0178843 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00725032 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.017147 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.00765861 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0110805 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00571023 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0104322 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.021684 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00571023 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0255578 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.00582563 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0199941 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0551777 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00338575 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0459242 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0311972 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0631136 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.000725673 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0209067 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0175243 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0140688 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.00222288 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0164078 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.030254 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0036324 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.00791938 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0499744 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0311972 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0631136 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.000725673 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.00782799 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.00895882 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0108294 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.115051 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00507518 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0743527 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0157112 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0522297 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0231589 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00688275 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0422994 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0231145 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00754288 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0157112 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0317474 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.00401896 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.000328963 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0119701 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0557829 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0266839 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0336599 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00549821 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00647292 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0509949 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00313508 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.018706 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0266839 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0043293 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0365623 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0308492 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0727122 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0117564 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0980974 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.021713 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0342314 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0212824 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0428963 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0230026 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0117564 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0237746 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0268041 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0794055 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0581143 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.132367 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0536237 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0554486 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0575161 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.100988 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0608191 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0581143 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0557087 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0664326 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0827289 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0390225 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00984781 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00956715 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0148818 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0191564 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0306135 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0331595 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0119296 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0253967 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.00365062 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0383302 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0411453 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0389605 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0742872 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.034884 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0155541 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0404163 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0404974 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0470358 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0442573 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0178778 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0607817 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0141255 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.012421 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0322123 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0199886 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00882021 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0143834 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0341045 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00375541 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0106336 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0445621 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0075569 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.00505839 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0305672 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0830164 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0283757 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0111412 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0759878 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.00306393 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00605796 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0147761 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0211694 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.00986413 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.0268144 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.00714307 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0281409 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0269078 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.000693809 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0119296 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0253967 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.00365062 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0226819 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0211677 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.0125106 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0216882 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00498523 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0125348 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0442691 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0262896 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00970542 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0375153 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0269127 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00286621 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0230321 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0201788 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0276723 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0373079 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0265758 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.105725 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0066398 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0190484 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0258455 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.106119 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0207956 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.076628 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.109912 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.113996 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0468745 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.153331 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.117009 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.117953 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0389916 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00940685 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0134627 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0299881 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.040464 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0312525 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0276347 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0299518 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0291841 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0779022 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0259806 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.016044 # DEPENDENCYPART_SIBL
(7,10),(7,12),7.71894e-05 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0288374 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0036782 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0100614 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0341776 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0118411 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0276034 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0226343 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0293267 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.00491125 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.041527 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.00701573 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0532117 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.124294 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0566851 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0120812 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.000800486 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0585685 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0590734 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0528353 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0913041 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0569723 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0725521 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.125501 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.059046 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0244378 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0523208 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0550954 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.010083 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.140625 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.00951076 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0129171 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.00665058 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0280913 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0084359 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0632237 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00460822 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0201604 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0502247 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00656117 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0222615 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0273384 # DEPENDENCYPART_SIBL
