# _root_ `` The market was pretty dull '' for most of the day , said Robert H. Chandross , vice president at Lloyds Bank PLC .
#goldHeads=14,3,4,14,6,4,4,4,8,9,12,10,14,0,17,17,14,17,20,17,20,24,24,21,14,
#predictedHeads=4,3,4,14,6,4,6,6,8,9,12,10,14,0,17,17,14,17,20,17,20,24,24,21,14,
(4,25),0.434909 # DEPENDENCYPART_ARC
(5,3),-1.44228 # DEPENDENCYPART_ARC
(5,6),-0.135182 # DEPENDENCYPART_ARC
(5,7),-0.781798 # DEPENDENCYPART_ARC
(5,8),-0.883307 # DEPENDENCYPART_ARC
(5,10),-1.0992 # DEPENDENCYPART_ARC
(5,12),-1.40135 # DEPENDENCYPART_ARC
(5,13),-1.13339 # DEPENDENCYPART_ARC
(5,14),-1.63245 # DEPENDENCYPART_ARC
(6,2),-0.880083 # DEPENDENCYPART_ARC
(6,3),-0.595141 # DEPENDENCYPART_ARC
(6,5),1.02063 # DEPENDENCYPART_ARC
(6,7),0.360658 # DEPENDENCYPART_ARC
(6,8),-0.639538 # DEPENDENCYPART_ARC
(6,10),-0.814759 # DEPENDENCYPART_ARC
(6,12),-1.36161 # DEPENDENCYPART_ARC
(6,13),-0.916677 # DEPENDENCYPART_ARC
(6,14),-1.59478 # DEPENDENCYPART_ARC
(6,18),-1.43852 # DEPENDENCYPART_ARC
(6,20),-1.57022 # DEPENDENCYPART_ARC
(8,3),-1.38138 # DEPENDENCYPART_ARC
(8,5),-0.873795 # DEPENDENCYPART_ARC
(8,6),-0.974728 # DEPENDENCYPART_ARC
(8,9),0.337175 # DEPENDENCYPART_ARC
(8,10),-0.675281 # DEPENDENCYPART_ARC
(8,12),-0.797152 # DEPENDENCYPART_ARC
(8,13),-1.0442 # DEPENDENCYPART_ARC
(8,14),-1.67913 # DEPENDENCYPART_ARC
(8,17),-2.8557 # DEPENDENCYPART_ARC
(8,21),-1.10955 # DEPENDENCYPART_ARC
(9,10),0.626546 # DEPENDENCYPART_ARC
(9,13),-0.689319 # DEPENDENCYPART_ARC
(9,14),-1.17738 # DEPENDENCYPART_ARC
(10,8),-1.20824 # DEPENDENCYPART_ARC
(10,9),-0.4909 # DEPENDENCYPART_ARC
(10,11),0.256574 # DEPENDENCYPART_ARC
(10,12),0.243201 # DEPENDENCYPART_ARC
(10,13),-0.830468 # DEPENDENCYPART_ARC
(10,14),-1.63558 # DEPENDENCYPART_ARC
(10,15),-2.20445 # DEPENDENCYPART_ARC
(10,16),-2.6015 # DEPENDENCYPART_ARC
(10,17),-2.48025 # DEPENDENCYPART_ARC
(10,20),-2.71375 # DEPENDENCYPART_ARC
(12,1),-1.43999 # DEPENDENCYPART_ARC
(12,4),-1.63216 # DEPENDENCYPART_ARC
(12,6),-2.02261 # DEPENDENCYPART_ARC
(12,8),-1.30853 # DEPENDENCYPART_ARC
(12,9),-1.42349 # DEPENDENCYPART_ARC
(12,10),-0.790307 # DEPENDENCYPART_ARC
(12,11),1.15214 # DEPENDENCYPART_ARC
(12,13),0.02817 # DEPENDENCYPART_ARC
(12,14),-1.61967 # DEPENDENCYPART_ARC
(12,15),-1.6639 # DEPENDENCYPART_ARC
(12,16),-1.86429 # DEPENDENCYPART_ARC
(12,17),-2.00483 # DEPENDENCYPART_ARC
(12,18),-1.45251 # DEPENDENCYPART_ARC
(12,20),-2.24558 # DEPENDENCYPART_ARC
(12,21),-2.0462 # DEPENDENCYPART_ARC
(12,24),-2.74344 # DEPENDENCYPART_ARC
(14,1),-1.08717 # DEPENDENCYPART_ARC
(14,3),-2.32298 # DEPENDENCYPART_ARC
(14,4),-0.803271 # DEPENDENCYPART_ARC
(14,5),-1.60001 # DEPENDENCYPART_ARC
(14,6),-1.55287 # DEPENDENCYPART_ARC
(14,7),-1.40601 # DEPENDENCYPART_ARC
(14,8),-1.28116 # DEPENDENCYPART_ARC
(14,9),-1.4093 # DEPENDENCYPART_ARC
(14,10),-1.19837 # DEPENDENCYPART_ARC
(14,11),-1.46828 # DEPENDENCYPART_ARC
(14,12),-1.34818 # DEPENDENCYPART_ARC
(14,13),0.866218 # DEPENDENCYPART_ARC
(14,15),0.317121 # DEPENDENCYPART_ARC
(14,16),-0.306192 # DEPENDENCYPART_ARC
(14,17),-0.464033 # DEPENDENCYPART_ARC
(14,18),-1.16811 # DEPENDENCYPART_ARC
(14,20),-1.77645 # DEPENDENCYPART_ARC
(14,21),-1.56275 # DEPENDENCYPART_ARC
(14,24),-2.08476 # DEPENDENCYPART_ARC
(14,25),0.565101 # DEPENDENCYPART_ARC
(15,16),-0.474189 # DEPENDENCYPART_ARC
(15,17),-1.51948 # DEPENDENCYPART_ARC
(15,18),-1.6629 # DEPENDENCYPART_ARC
(15,20),-2.30802 # DEPENDENCYPART_ARC
(15,21),-1.97607 # DEPENDENCYPART_ARC
(15,24),-2.79315 # DEPENDENCYPART_ARC
(16,11),-2.58992 # DEPENDENCYPART_ARC
(16,14),-1.44745 # DEPENDENCYPART_ARC
(16,15),0.283936 # DEPENDENCYPART_ARC
(16,17),-0.708361 # DEPENDENCYPART_ARC
(16,18),-1.43585 # DEPENDENCYPART_ARC
(16,20),-2.16101 # DEPENDENCYPART_ARC
(16,21),-2.30774 # DEPENDENCYPART_ARC
(16,24),-2.84478 # DEPENDENCYPART_ARC
(17,6),-2.93174 # DEPENDENCYPART_ARC
(17,11),-2.08259 # DEPENDENCYPART_ARC
(17,12),-1.97713 # DEPENDENCYPART_ARC
(17,13),-1.74013 # DEPENDENCYPART_ARC
(17,14),-1.02256 # DEPENDENCYPART_ARC
(17,15),0.612494 # DEPENDENCYPART_ARC
(17,16),1.31989 # DEPENDENCYPART_ARC
(17,18),0.441946 # DEPENDENCYPART_ARC
(17,19),-1.12161 # DEPENDENCYPART_ARC
(17,20),-1.44153 # DEPENDENCYPART_ARC
(17,21),-1.8687 # DEPENDENCYPART_ARC
(17,22),-1.88481 # DEPENDENCYPART_ARC
(17,23),-2.00355 # DEPENDENCYPART_ARC
(17,24),-2.19241 # DEPENDENCYPART_ARC
(17,25),-1.67383 # DEPENDENCYPART_ARC
(19,11),-2.11478 # DEPENDENCYPART_ARC
(19,15),-2.09239 # DEPENDENCYPART_ARC
(19,16),-2.01309 # DEPENDENCYPART_ARC
(19,17),-1.62256 # DEPENDENCYPART_ARC
(19,18),-0.502552 # DEPENDENCYPART_ARC
(19,20),-0.54722 # DEPENDENCYPART_ARC
(19,21),-0.9438 # DEPENDENCYPART_ARC
(19,24),-2.25658 # DEPENDENCYPART_ARC
(20,10),-1.52158 # DEPENDENCYPART_ARC
(20,11),-1.24287 # DEPENDENCYPART_ARC
(20,12),-2.35117 # DEPENDENCYPART_ARC
(20,15),-1.12949 # DEPENDENCYPART_ARC
(20,16),-1.194 # DEPENDENCYPART_ARC
(20,17),-1.64911 # DEPENDENCYPART_ARC
(20,18),-1.09324 # DEPENDENCYPART_ARC
(20,19),1.71151 # DEPENDENCYPART_ARC
(20,21),0.457455 # DEPENDENCYPART_ARC
(20,22),-0.824714 # DEPENDENCYPART_ARC
(20,23),-1.19623 # DEPENDENCYPART_ARC
(20,24),-1.51237 # DEPENDENCYPART_ARC
(20,25),-1.07373 # DEPENDENCYPART_ARC
(21,20),-0.631905 # DEPENDENCYPART_ARC
(21,22),0.282734 # DEPENDENCYPART_ARC
(21,23),-0.62444 # DEPENDENCYPART_ARC
(21,24),-0.87973 # DEPENDENCYPART_ARC
(22,23),-0.608164 # DEPENDENCYPART_ARC
(22,24),-1.68929 # DEPENDENCYPART_ARC
(23,19),-1.83948 # DEPENDENCYPART_ARC
(23,22),-0.131586 # DEPENDENCYPART_ARC
(23,24),-0.719024 # DEPENDENCYPART_ARC
(24,15),-1.59185 # DEPENDENCYPART_ARC
(24,16),-1.76643 # DEPENDENCYPART_ARC
(24,17),-2.28637 # DEPENDENCYPART_ARC
(24,18),-1.87472 # DEPENDENCYPART_ARC
(24,19),-0.291267 # DEPENDENCYPART_ARC
(24,20),-1.07715 # DEPENDENCYPART_ARC
(24,22),0.615695 # DEPENDENCYPART_ARC
(24,23),1.57979 # DEPENDENCYPART_ARC
(24,25),-0.35158 # DEPENDENCYPART_ARC
(25,21),-1.19601 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.108489 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0236768 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0486093 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.118092 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0621826 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0493788 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.193787 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.00131627 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.068117 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.135729 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00021815 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0107755 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0297136 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0315108 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0245129 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0151725 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0334147 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.732398 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0448555 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0297392 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0994151 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.140075 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0410746 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0722606 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0221255 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.117326 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0201802 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.016926 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.115435 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.202784 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0107134 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0415953 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0130306 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00318891 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.10453 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0163341 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0113281 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00217406 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0247146 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0267582 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0182185 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00905028 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0124647 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0139406 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0139228 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0158546 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.018305 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00623311 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00541455 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.016999 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00722749 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00998664 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0142544 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00306038 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0338708 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0852539 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0069244 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0381681 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0401076 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0192959 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0012851 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0322487 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.000547038 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00292932 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0201028 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.007107 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0020006 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0390852 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0325601 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0157535 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0526908 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0737135 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.481402 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.104627 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00824511 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0357743 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.137952 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0296264 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.137952 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0240684 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0277066 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0477541 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.112795 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.025533 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0150169 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0382332 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.232298 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.055536 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0441032 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0795141 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0441032 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0211918 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.122188 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0458347 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0367764 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00930563 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0878154 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0349442 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0852884 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0167594 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0237682 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0167594 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00467797 # DEPENDENCYPART_SIBL
(4,3),(4,25),-4.82018e-05 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00235463 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00235315 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0119178 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00160185 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00932419 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.013258 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.010999 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.013258 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0560273 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0175931 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0341465 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0137718 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0119821 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0120424 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.000328032 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0103733 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.000328032 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0470142 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.00287869 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.038505 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0051966 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0253447 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0231142 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00858308 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0231142 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.00905573 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0616303 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.079713 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00439829 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0227119 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0362714 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0227119 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.010477 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0202935 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00850167 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0157539 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0709762 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0157539 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0856942 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.00568266 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0226524 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0650539 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0226524 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0662161 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.00985187 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00788688 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0313414 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0354473 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.00960865 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0253016 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0100831 # DEPENDENCYPART_SIBL
(4,14),(4,25),0.028596 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.0354473 # DEPENDENCYPART_SIBL
(4,18),(4,25),0.00960865 # DEPENDENCYPART_SIBL
(4,21),(4,25),0.0334288 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0516728 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00131924 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0156113 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0665519 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.122748 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0842882 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0296751 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0311692 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0646058 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0642645 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.000380929 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00442993 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.042047 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0391166 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0859971 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0229259 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0114485 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0102599 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0103462 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0237633 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0124939 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00113349 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0448771 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0281874 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00481981 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0136082 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.00306515 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0204535 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00710133 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00122697 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.139979 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.273092 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.434205 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.103445 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.220383 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.158635 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.220383 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.1003 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0565179 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0184827 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0167398 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.000139036 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00698301 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0495959 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0248815 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0495959 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0511822 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0517301 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0186065 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00651863 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0147676 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0667728 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0292918 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0667728 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0182956 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.021071 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0687798 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0682906 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0115933 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00825729 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0115933 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0681962 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0102822 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0714728 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0475878 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.000387989 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0475878 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0645726 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.103501 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0807762 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0401148 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0807762 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.0927433 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0215271 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.00365318 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0215271 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.0131102 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.00344286 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.105181 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.1352 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0728584 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.0398873 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.1352 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0554827 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0053093 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0355833 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0140184 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0608494 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.100198 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0659586 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.03339 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0159143 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0223794 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0392218 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.136876 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0460385 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.189137 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0347773 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0570463 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0420218 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0717643 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0678135 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0544835 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.14178 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0300034 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.057556 # DEPENDENCYPART_SIBL
