# _root_ Some lawyers say the slump , while more obvious in recent weeks , began earlier this year .
#goldHeads=2,3,0,5,14,14,9,9,14,9,12,10,14,3,17,17,14,3,
#predictedHeads=2,3,0,5,14,5,14,9,5,9,12,10,5,3,17,17,14,3,
(11,14),-1.76355 # DEPENDENCYPART_ARC
(11,15),-2.057 # DEPENDENCYPART_ARC
(12,4),-2.61861 # DEPENDENCYPART_ARC
(12,5),-2.57445 # DEPENDENCYPART_ARC
(12,6),-1.88686 # DEPENDENCYPART_ARC
(12,7),-1.3042 # DEPENDENCYPART_ARC
(12,8),-0.999942 # DEPENDENCYPART_ARC
(12,9),-1.02168 # DEPENDENCYPART_ARC
(12,10),-0.842374 # DEPENDENCYPART_ARC
(12,11),1.47637 # DEPENDENCYPART_ARC
(12,13),0.2019 # DEPENDENCYPART_ARC
(12,14),-1.59797 # DEPENDENCYPART_ARC
(12,15),-1.78955 # DEPENDENCYPART_ARC
(12,17),-1.81521 # DEPENDENCYPART_ARC
(12,18),-2.2919 # DEPENDENCYPART_ARC
(14,1),-1.44493 # DEPENDENCYPART_ARC
(14,2),-0.928862 # DEPENDENCYPART_ARC
(14,3),-1.21047 # DEPENDENCYPART_ARC
(14,4),-1.22553 # DEPENDENCYPART_ARC
(14,5),-0.457868 # DEPENDENCYPART_ARC
(14,6),-1.51401 # DEPENDENCYPART_ARC
(14,7),-0.976368 # DEPENDENCYPART_ARC
(14,8),-1.39191 # DEPENDENCYPART_ARC
(14,9),-1.31367 # DEPENDENCYPART_ARC
(14,10),-0.892307 # DEPENDENCYPART_ARC
(14,11),-1.22472 # DEPENDENCYPART_ARC
(14,12),-1.19081 # DEPENDENCYPART_ARC
(14,13),0.543467 # DEPENDENCYPART_ARC
(14,15),0.94005 # DEPENDENCYPART_ARC
(14,16),-0.250434 # DEPENDENCYPART_ARC
(14,17),0.00909267 # DEPENDENCYPART_ARC
(14,18),0.191978 # DEPENDENCYPART_ARC
(15,2),-1.5567 # DEPENDENCYPART_ARC
(15,5),-1.55492 # DEPENDENCYPART_ARC
(15,6),-2.29225 # DEPENDENCYPART_ARC
(15,7),-2.13783 # DEPENDENCYPART_ARC
(15,9),-2.35399 # DEPENDENCYPART_ARC
(15,10),-2.22771 # DEPENDENCYPART_ARC
(15,12),-1.8525 # DEPENDENCYPART_ARC
(15,13),-1.29226 # DEPENDENCYPART_ARC
(15,16),0.0288085 # DEPENDENCYPART_ARC
(15,17),-0.787033 # DEPENDENCYPART_ARC
(16,15),-0.0573521 # DEPENDENCYPART_ARC
(16,17),-0.365981 # DEPENDENCYPART_ARC
(17,3),-1.74314 # DEPENDENCYPART_ARC
(17,10),-1.93747 # DEPENDENCYPART_ARC
(17,11),-2.28609 # DEPENDENCYPART_ARC
(17,12),-2.40591 # DEPENDENCYPART_ARC
(17,13),-1.66243 # DEPENDENCYPART_ARC
(17,14),-1.066 # DEPENDENCYPART_ARC
(17,15),-0.25834 # DEPENDENCYPART_ARC
(17,16),1.18235 # DEPENDENCYPART_ARC
(17,18),-0.379936 # DEPENDENCYPART_ARC
(18,17),-0.335918 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.103177 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.103804 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.156814 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0118145 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0489192 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0946625 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.025129 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0630016 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0421949 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0249895 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0541013 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0338838 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0408264 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0421949 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0260403 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00621507 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0213065 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.018427 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00725628 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0224683 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00625682 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00209788 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0138787 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00725628 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00582538 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0290128 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00150417 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0155146 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00632065 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00736488 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0384014 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0117781 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0155146 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.017057 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0246622 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0200032 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0106917 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0443286 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00057862 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0433323 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0369747 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0135636 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0531149 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00261569 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0199383 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0162807 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.000355875 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0211171 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.00891002 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.00269005 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.000410045 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00629817 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0085932 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0164799 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.000759905 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0124415 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00132516 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0355004 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0340445 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0116044 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0265142 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0364042 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.00998848 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0205856 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0207822 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0136896 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0135636 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0531149 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.00261569 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0310524 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00592427 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0150556 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0227609 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0170861 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0326772 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.115063 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00111012 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0299314 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0534888 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0720872 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.048381 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0307245 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.115063 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0423867 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0437532 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0143471 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0800898 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.117818 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0584077 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0493019 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0867747 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0887992 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.034554 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0400019 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0381354 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0733823 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0493019 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0148047 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0683342 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0866857 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0359274 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0518881 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0399743 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0772236 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0230505 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0468324 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0649695 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0469089 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0489659 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0399743 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0523138 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0245853 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0186238 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0566765 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.027479 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.109783 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0247608 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.067083 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0214463 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0671242 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0656588 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.027479 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0674944 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0349954 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0423852 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.111431 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0712045 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00779874 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0190809 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0226305 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0191227 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0364304 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0126398 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0291091 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00629062 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.00163183 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0972166 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0301166 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0473833 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0435177 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0474196 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0297496 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0167131 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0345385 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0576026 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0145513 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0880721 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0385156 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0491703 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0385535 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0922933 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0336827 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0369216 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.064005 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0576303 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0941584 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0214731 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0398245 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0240451 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0222239 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0132858 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0183702 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0114569 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0466831 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0344891 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0130606 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0233013 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0062775 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.00983219 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.026767 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0715863 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0270722 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0192331 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0163638 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0213893 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0084297 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0498166 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0548243 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0925615 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0506863 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0555912 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.142275 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0291091 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00629062 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.00163183 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0972166 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0425807 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0141918 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.011606 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.00506563 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0105526 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.122099 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.032589 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0278735 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0533843 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.256572 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0304153 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0127243 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0144881 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0436317 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0965323 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0485493 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.029915 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0304153 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0105253 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0134634 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0171265 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0233352 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0525897 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.119739 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0514486 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0330011 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.027749 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0117776 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0537643 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0134748 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.031241 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0514486 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.02641 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00121839 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0253565 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.02667 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0083238 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0103405 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00777201 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00368251 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0464178 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0816441 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0480563 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00149743 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0103405 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0435324 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0090565 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.00578587 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0488965 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0155928 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0370214 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00981903 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0780944 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.058317 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0862909 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0174949 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0155928 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.109823 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.000320508 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0777486 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.109933 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00780611 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0106885 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0443238 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00156705 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0443214 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.043792 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0369581 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0135696 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0019328 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0535745 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00273232 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.000192546 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0168658 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.000786569 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0168719 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0089612 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0055474 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0170094 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00696716 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0110677 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0373313 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0199579 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0172278 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0199603 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00084759 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0211026 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00888215 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0238299 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.00219834 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.000502214 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00728293 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0157857 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00812574 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0164737 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.000752417 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0179324 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0119741 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0014375 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0224179 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0357774 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0329314 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0104562 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00904019 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0267912 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0350173 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.00812904 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0164832 # DEPENDENCYPART_SIBL
