# _root_ Also , a cockpit warning system failed to alert the pilots the flaps and slats were not set for takeoff , the NTSB said .
#goldHeads=24,24,6,6,6,7,24,9,7,11,9,14,14,16,14,9,16,16,18,19,24,23,24,0,24,
#predictedHeads=24,7,6,6,6,7,24,9,7,11,9,14,14,16,14,24,16,16,18,19,24,23,24,0,24,
(4,7),(4,12),-0.0179041 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0269063 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00207171 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0250409 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00801189 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.018039 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0268535 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.011641 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00574213 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0206799 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0123296 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00981892 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00421927 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00833681 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00712754 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00343558 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0100931 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.158058 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0518618 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0181581 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00951351 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00774672 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.010874 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00985153 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0259656 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0080779 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0136632 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00762976 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0238943 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0177348 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0121907 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0213771 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0211641 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0169163 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0286709 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0278765 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00354586 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0100897 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0400781 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0174851 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0559766 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0190699 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0663658 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0235672 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.00350689 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.00846429 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0184592 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0457278 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0111515 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0495588 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0212464 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.00282238 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.00688445 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0570131 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.023782 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0672698 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0284053 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.00315202 # DEPENDENCYPART_SIBL
(5,9),(5,25),0.00469391 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.00965114 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.000548256 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.00878932 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.00446713 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.002448 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.07831 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0458463 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.00133484 # DEPENDENCYPART_SIBL
(5,16),(5,25),-0.00435042 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.0443453 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.0250757 # DEPENDENCYPART_SIBL
(5,17),(5,25),0.00747931 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.00944278 # DEPENDENCYPART_SIBL
(5,18),(5,25),-0.00102756 # DEPENDENCYPART_SIBL
(5,21),(5,25),0.00515376 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0172933 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0344456 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0169227 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0175593 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00326244 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00495442 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00845629 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0339171 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0217155 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.096909 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0290979 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0387771 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0363919 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.076779 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.205482 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.334575 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.183699 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.336422 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0877968 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0309849 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0593894 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0444597 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0158451 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0188448 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.028141 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00674825 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0192132 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00935697 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0327548 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0197248 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0412591 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00854492 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0211843 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0424434 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0177867 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0124853 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.01331 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0191564 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0132284 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0387338 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0274533 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0496935 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.063458 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0188443 # DEPENDENCYPART_SIBL
(7,1),(7,25),0.159754 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0135493 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00798438 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0167444 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0353462 # DEPENDENCYPART_SIBL
(7,2),(7,8),-2.808e-05 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0372713 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0090502 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00761786 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0042218 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0401795 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.019908 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0213288 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0508234 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.169658 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.0592659 # DEPENDENCYPART_SIBL
(7,2),(7,25),0.0798472 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0419451 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.038306 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0256787 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0695894 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00537375 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0674062 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.068831 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0292656 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0118854 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0656505 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.00403117 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.111358 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.000687583 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.0080045 # DEPENDENCYPART_SIBL
(7,3),(7,25),-0.0366885 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0195722 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0685475 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.011176 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.014542 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0223218 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0251364 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0209285 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0222976 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00139988 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0146284 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0358321 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.00919836 # DEPENDENCYPART_SIBL
(7,4),(7,24),0.0097187 # DEPENDENCYPART_SIBL
(7,4),(7,25),0.00909777 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00374208 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0524963 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00732412 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00647991 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00790532 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0345938 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0261652 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0184318 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.00834073 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0515761 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0571824 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.00499978 # DEPENDENCYPART_SIBL
(7,5),(7,25),0.0172573 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00826045 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0455557 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0119039 # DEPENDENCYPART_SIBL
