# _root_ `` We wo n't have any more of this wayward behavior , '' says Sir Peter Hordern , a backbench Tory member of Parliament .
#goldHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
#predictedHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
(3,4),(3,18),-0.154271 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0189985 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.063136 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0632437 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0664566 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0268629 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.119442 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0664566 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.022559 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0483787 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0370286 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0414423 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.057788 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0370286 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.000447416 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0271993 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00883771 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0758247 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0271993 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.0150947 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0390605 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0155598 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0299325 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0155106 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0176264 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0556828 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.0786179 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0878158 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.0157681 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0155106 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0732518 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00269343 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0186186 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0370812 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0327299 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0766746 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00871079 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0608812 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0398174 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0420752 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.139138 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.010344 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00677766 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0442604 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.030657 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0712061 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0346002 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0399791 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00671603 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.106593 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.439178 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00867383 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.00742846 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.106593 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.000535033 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0377993 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00589951 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0296329 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0104268 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0206785 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0133879 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0204839 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0276475 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0246258 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.107044 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0625403 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00949828 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.024062 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.107044 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0297159 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.163265 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0027425 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.104101 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.115317 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.132954 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0863187 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.104173 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0841761 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.135236 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0694872 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.12914 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0836174 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.135236 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0892564 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.00819447 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0932344 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0694422 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0347215 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0698282 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0887079 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0834787 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0916839 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0185398 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.03482 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0829178 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0916839 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0889829 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.000440594 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0236994 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0273696 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0133043 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.025794 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0258189 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.013153 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0099896 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0288839 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0257986 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.013153 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0333948 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.00237519 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0280871 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0459596 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0937801 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.09277 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00151436 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0500486 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.04975 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0927496 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00151436 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.101241 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0461636 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0935529 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0717906 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0445738 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0385869 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.122612 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0730823 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0445534 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0385869 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0576309 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0626266 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0187238 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00220497 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0142515 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0284092 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0227103 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.00218462 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0142515 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0097809 # DEPENDENCYPART_SIBL
(5,9),(5,25),0.0116496 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0564644 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00419213 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0371667 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0436111 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.056444 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.00419213 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0649357 # DEPENDENCYPART_SIBL
(5,10),(5,25),-0.0426248 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0260671 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.008222 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0424755 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0332624 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0260671 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0364664 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.00138763 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0175171 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0295771 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0160473 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.00817081 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0330681 # DEPENDENCYPART_SIBL
(5,12),(5,25),-0.00620596 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0310035 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.000787519 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0220589 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.00663766 # DEPENDENCYPART_SIBL
(5,13),(5,25),-0.0745342 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0209701 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.0147311 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.0305428 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.0326986 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.0320493 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.0340673 # DEPENDENCYPART_SIBL
(5,17),(5,25),0.00238904 # DEPENDENCYPART_SIBL
(5,18),(5,22),-0.0330681 # DEPENDENCYPART_SIBL
(5,18),(5,25),-0.00620596 # DEPENDENCYPART_SIBL
(5,22),(5,25),-0.0104856 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00164416 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0165903 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0780332 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.000218016 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00109897 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0391883 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0253465 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.125779 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0256227 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0584695 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0707985 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0176241 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00522187 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0136164 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0654783 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0546727 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0306099 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.234782 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0107461 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.00455005 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.105573 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0922707 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0632446 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.09396 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.139023 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.155503 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00455941 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0731998 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0388682 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.045936 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00772151 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.029738 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.00321117 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.00905032 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0137062 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0208743 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.00367904 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.004239 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0252367 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0233817 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0509157 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.176896 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0633339 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.000109996 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.026696 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.176645 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.175286 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.146802 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.146037 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.116063 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.152797 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0875771 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0642671 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.117094 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.115664 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0126243 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0333928 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0185637 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.010956 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0303254 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0333928 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0349749 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0488869 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0102148 # DEPENDENCYPART_SIBL
