# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(7,8),-2.17581 # DEPENDENCYPART_ARC
(7,9),-2.13322 # DEPENDENCYPART_ARC
(8,1),-2.98264 # DEPENDENCYPART_ARC
(8,2),-2.57778 # DEPENDENCYPART_ARC
(8,3),-2.08408 # DEPENDENCYPART_ARC
(8,4),-2.57348 # DEPENDENCYPART_ARC
(8,5),-2.10192 # DEPENDENCYPART_ARC
(8,6),-1.40618 # DEPENDENCYPART_ARC
(8,7),-0.862964 # DEPENDENCYPART_ARC
(8,9),-1.10115 # DEPENDENCYPART_ARC
(8,10),-1.93198 # DEPENDENCYPART_ARC
(8,11),-2.13419 # DEPENDENCYPART_ARC
(8,14),-2.36125 # DEPENDENCYPART_ARC
(8,15),-1.97686 # DEPENDENCYPART_ARC
(9,1),-0.920727 # DEPENDENCYPART_ARC
(9,2),-1.84421 # DEPENDENCYPART_ARC
(9,3),-1.13684 # DEPENDENCYPART_ARC
(9,4),-2.04915 # DEPENDENCYPART_ARC
(9,5),-1.03924 # DEPENDENCYPART_ARC
(9,6),-0.740985 # DEPENDENCYPART_ARC
(9,7),-0.474304 # DEPENDENCYPART_ARC
(9,8),0.35301 # DEPENDENCYPART_ARC
(9,10),1.12089 # DEPENDENCYPART_ARC
(9,11),0.63696 # DEPENDENCYPART_ARC
(9,12),-1.82657 # DEPENDENCYPART_ARC
(9,13),-1.01704 # DEPENDENCYPART_ARC
(9,14),-0.0764004 # DEPENDENCYPART_ARC
(9,15),-0.757122 # DEPENDENCYPART_ARC
(9,16),-0.666682 # DEPENDENCYPART_ARC
(9,18),-1.72313 # DEPENDENCYPART_ARC
(9,19),-1.54573 # DEPENDENCYPART_ARC
(9,20),-0.458844 # DEPENDENCYPART_ARC
(10,1),-2.1289 # DEPENDENCYPART_ARC
(10,7),-2.30347 # DEPENDENCYPART_ARC
(10,8),-2.36659 # DEPENDENCYPART_ARC
(10,9),-1.31926 # DEPENDENCYPART_ARC
(10,11),-0.890417 # DEPENDENCYPART_ARC
(10,12),-1.38577 # DEPENDENCYPART_ARC
(10,14),-1.93592 # DEPENDENCYPART_ARC
(10,15),-1.94096 # DEPENDENCYPART_ARC
(10,16),-1.58828 # DEPENDENCYPART_ARC
(10,19),-1.74231 # DEPENDENCYPART_ARC
(11,1),-1.86324 # DEPENDENCYPART_ARC
(11,3),-2.06144 # DEPENDENCYPART_ARC
(11,4),-2.0405 # DEPENDENCYPART_ARC
(11,5),-1.93292 # DEPENDENCYPART_ARC
(11,6),-2.01828 # DEPENDENCYPART_ARC
(11,7),-1.57907 # DEPENDENCYPART_ARC
(11,8),-1.56855 # DEPENDENCYPART_ARC
(11,9),-1.68755 # DEPENDENCYPART_ARC
(11,10),-0.0148244 # DEPENDENCYPART_ARC
(11,12),-0.382909 # DEPENDENCYPART_ARC
(11,13),-0.294829 # DEPENDENCYPART_ARC
(11,14),0.588138 # DEPENDENCYPART_ARC
(11,15),-0.887807 # DEPENDENCYPART_ARC
(11,16),-0.762085 # DEPENDENCYPART_ARC
(11,18),-0.674135 # DEPENDENCYPART_ARC
(11,19),-0.871098 # DEPENDENCYPART_ARC
(12,10),-2.18139 # DEPENDENCYPART_ARC
(12,11),-1.69992 # DEPENDENCYPART_ARC
(12,13),-1.58411 # DEPENDENCYPART_ARC
(12,19),-1.65328 # DEPENDENCYPART_ARC
(13,8),-2.31847 # DEPENDENCYPART_ARC
(13,10),-1.75791 # DEPENDENCYPART_ARC
(13,11),-1.79649 # DEPENDENCYPART_ARC
(13,12),-0.548054 # DEPENDENCYPART_ARC
(13,18),-2.45371 # DEPENDENCYPART_ARC
(14,2),-2.1423 # DEPENDENCYPART_ARC
(14,4),-2.9324 # DEPENDENCYPART_ARC
(14,5),-3.08629 # DEPENDENCYPART_ARC
(14,7),-2.06876 # DEPENDENCYPART_ARC
(14,8),-2.4686 # DEPENDENCYPART_ARC
(14,10),-0.968071 # DEPENDENCYPART_ARC
(14,11),-1.29385 # DEPENDENCYPART_ARC
(14,12),1.3237 # DEPENDENCYPART_ARC
(14,13),1.99256 # DEPENDENCYPART_ARC
(14,15),-1.25044 # DEPENDENCYPART_ARC
(14,16),-1.21937 # DEPENDENCYPART_ARC
(14,18),-2.07799 # DEPENDENCYPART_ARC
(14,19),-1.96312 # DEPENDENCYPART_ARC
(16,14),-2.82545 # DEPENDENCYPART_ARC
(16,18),-2.15621 # DEPENDENCYPART_ARC
(17,14),-2.44142 # DEPENDENCYPART_ARC
(17,16),-1.60616 # DEPENDENCYPART_ARC
(18,12),-1.39246 # DEPENDENCYPART_ARC
(18,13),-1.28434 # DEPENDENCYPART_ARC
(18,14),-2.07882 # DEPENDENCYPART_ARC
(18,15),-1.61212 # DEPENDENCYPART_ARC
(18,16),-1.22866 # DEPENDENCYPART_ARC
(18,17),1.72626 # DEPENDENCYPART_ARC
(18,19),-0.783381 # DEPENDENCYPART_ARC
(19,1),-2.52891 # DEPENDENCYPART_ARC
(19,2),-2.39933 # DEPENDENCYPART_ARC
(19,3),-2.46835 # DEPENDENCYPART_ARC
(19,4),-3.64729 # DEPENDENCYPART_ARC
(19,5),-2.47149 # DEPENDENCYPART_ARC
(19,6),-2.33648 # DEPENDENCYPART_ARC
(19,7),-1.09006 # DEPENDENCYPART_ARC
(19,8),-2.03056 # DEPENDENCYPART_ARC
(19,9),-0.890811 # DEPENDENCYPART_ARC
(19,10),-2.30885 # DEPENDENCYPART_ARC
(19,11),-2.21516 # DEPENDENCYPART_ARC
(19,12),-2.38133 # DEPENDENCYPART_ARC
(19,13),-2.23793 # DEPENDENCYPART_ARC
(19,14),-1.77743 # DEPENDENCYPART_ARC
(19,15),-0.488091 # DEPENDENCYPART_ARC
(19,16),-0.687531 # DEPENDENCYPART_ARC
(19,17),-1.31095 # DEPENDENCYPART_ARC
(19,18),0.58371 # DEPENDENCYPART_ARC
(19,20),1.17374 # DEPENDENCYPART_ARC
(0,9),(0,19),-2.43279 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.269311 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0791451 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.196152 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0389491 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0196373 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.120885 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.330921 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.133682 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.234618 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0389491 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0679623 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.260166 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.519714 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.635161 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0814805 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.243659 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.441885 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.634656 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0518874 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.536839 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0814805 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0843238 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.636326 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.429706 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0776455 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.191249 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.260475 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.500676 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0308478 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.339872 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0776455 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.125201 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.34116 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0598683 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.279563 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.490789 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.633082 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00580313 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.591322 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0598683 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.141209 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.650743 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.299226 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.189044 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.222104 # DEPENDENCYPART_SIBL
(1,6),(1,10),1.00507 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.247799 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.00553981 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.186709 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0873621 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.111174 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0222219 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.197473 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0150745 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.012561 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.413745 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0684917 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.616952 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0162996 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.524121 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0108127 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.01842 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.506324 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.108273 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.243546 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.14916 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.127955 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.78488 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.264497 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0522528 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0626722 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.27958 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.157029 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.00777642 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.46716 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.186709 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0873621 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.270085 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00232853 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0493746 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0871465 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.183648 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0863594 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0260981 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0188376 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0573676 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0257976 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0352684 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0226682 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0175834 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0260981 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0188376 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0203518 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0424847 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0197524 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0315888 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0965236 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.247922 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00340262 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.255297 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.11452 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.140716 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0604021 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0965236 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.247922 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.135963 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00478469 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.108691 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.275967 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0300346 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.245787 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.172038 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.247553 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.177258 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.172784 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.275967 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0300346 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0235111 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.299661 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.185813 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0936598 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0182636 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0187916 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0517992 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0122442 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0156499 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0674909 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0936598 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00625378 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0969625 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0333908 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.437479 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.800695 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.606509 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.751565 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.627107 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.676526 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.287247 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.467765 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.793968 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.412862 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.215438 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.309938 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.052842 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0788588 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.167374 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0607108 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.363283 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.187822 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.248237 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0384205 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.031793 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.057821 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.104482 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0992244 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.00343202 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.078489 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0296777 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.055859 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0410037 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.143706 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.263322 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00710909 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0912229 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.435447 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0412573 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.176987 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0569396 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0501303 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.1819 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0359225 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0851009 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.188602 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00760124 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0527459 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0780291 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0936598 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.00625378 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0969625 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0333908 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.467765 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.793968 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.412862 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.280547 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0312804 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0893066 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0735419 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0630305 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0350261 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0229708 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0578334 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0702689 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0375866 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0729545 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0493411 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.025352 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0427646 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0451631 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.044715 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.273672 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.288864 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.468585 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.208528 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0801695 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0499732 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0710233 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.620279 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.199807 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0652636 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0360276 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.154466 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0870679 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0781826 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0655451 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0419046 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0116627 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.000136716 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.154466 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0410592 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0665248 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.193818 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.291318 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.052936 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0612334 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.166902 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0527809 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.171104 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0893 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0332313 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.052936 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0798367 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0658886 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.479796 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0542337 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00140393 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.064218 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0170837 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.107026 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00203883 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0267819 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0542337 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0743115 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.000631321 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.188707 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0164363 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.112028 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.11275 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.16846 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00385974 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0898589 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.188707 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.119469 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.120998 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.323408 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.628332 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.459561 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.625427 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.521199 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.613626 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.187978 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.374245 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.716531 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.209225 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.28721 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.039448 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0748725 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.22679 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.102755 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.365105 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.240183 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0738679 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0578419 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0744615 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0575502 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.110678 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.00604718 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0386126 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0591849 # DEPENDENCYPART_SIBL
