# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(1,2),(1,9),-0.084297 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0357048 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0360544 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0459507 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0107391 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0102498 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.000658639 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0216009 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0309123 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0505228 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0418693 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0217148 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0251131 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0149539 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0399229 # DEPENDENCYPART_SIBL
(2,1),(2,36),0.00541885 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00762077 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00294311 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00759669 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.000370451 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0572374 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00248331 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00640846 # DEPENDENCYPART_SIBL
(2,4),(2,36),0.0106871 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0303334 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0290907 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00302182 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0234152 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.000212141 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0144524 # DEPENDENCYPART_SIBL
(2,5),(2,36),-0.0155029 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0160284 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00142728 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0343336 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0093342 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.012529 # DEPENDENCYPART_SIBL
(2,6),(2,36),0.0856904 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00477786 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0553716 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00763147 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0120263 # DEPENDENCYPART_SIBL
(2,7),(2,36),-1.45873e-05 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0120921 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0270656 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00185248 # DEPENDENCYPART_SIBL
(2,9),(2,36),0.0107497 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0560731 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0681551 # DEPENDENCYPART_SIBL
(2,10),(2,36),0.0224069 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.00781907 # DEPENDENCYPART_SIBL
(2,12),(2,36),0.0231919 # DEPENDENCYPART_SIBL
(2,13),(2,36),0.0500485 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0226929 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0154971 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0426587 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.000226689 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0755581 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00639122 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0567835 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.000819977 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0112916 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0185704 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0384919 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.000819977 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.0343147 # DEPENDENCYPART_SIBL
(4,1),(4,32),0.013804 # DEPENDENCYPART_SIBL
(4,1),(4,36),0.0418486 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0713033 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00914676 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0343917 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.012472 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0251088 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00124829 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0173886 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00931032 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.047977 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.00124829 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0247682 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.0359781 # DEPENDENCYPART_SIBL
(4,2),(4,36),0.0105197 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0127264 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.175684 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0121242 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0391988 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.127271 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0385943 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0107791 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0813531 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.127271 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0196915 # DEPENDENCYPART_SIBL
(4,3),(4,32),-0.0409868 # DEPENDENCYPART_SIBL
(4,3),(4,36),-0.170232 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00203705 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0416537 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00442023 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0182226 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0199677 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0347504 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0199341 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0182226 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0343227 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.0260769 # DEPENDENCYPART_SIBL
(4,5),(4,36),0.0103631 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.017342 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0415096 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0140829 # DEPENDENCYPART_SIBL
