# _root_ The high point of foreigners ' copper stocks this year was 136,000 tons at the end of April , according to Mr. Demler .
#goldHeads=3,3,11,3,8,5,8,4,10,11,0,13,11,11,16,14,16,17,11,11,20,23,21,11,
#predictedHeads=3,3,11,3,8,5,8,4,10,3,0,13,11,11,16,14,16,17,11,11,20,23,21,11,
(10,12),-1.52381 # DEPENDENCYPART_ARC
(10,14),-1.43362 # DEPENDENCYPART_ARC
(11,1),-1.3719 # DEPENDENCYPART_ARC
(11,2),-1.27239 # DEPENDENCYPART_ARC
(11,3),-0.552673 # DEPENDENCYPART_ARC
(11,4),-1.15963 # DEPENDENCYPART_ARC
(11,5),-0.606085 # DEPENDENCYPART_ARC
(11,7),-0.698257 # DEPENDENCYPART_ARC
(11,8),-0.44205 # DEPENDENCYPART_ARC
(11,9),-0.512605 # DEPENDENCYPART_ARC
(11,10),0.831952 # DEPENDENCYPART_ARC
(11,12),0.0785788 # DEPENDENCYPART_ARC
(11,13),0.150991 # DEPENDENCYPART_ARC
(11,14),-0.395231 # DEPENDENCYPART_ARC
(11,16),-0.790566 # DEPENDENCYPART_ARC
(11,17),-1.40498 # DEPENDENCYPART_ARC
(11,18),-1.52871 # DEPENDENCYPART_ARC
(11,19),-0.891741 # DEPENDENCYPART_ARC
(11,20),-1.25082 # DEPENDENCYPART_ARC
(11,21),-2.1582 # DEPENDENCYPART_ARC
(11,24),0.206779 # DEPENDENCYPART_ARC
(12,9),-1.5173 # DEPENDENCYPART_ARC
(12,10),-1.42664 # DEPENDENCYPART_ARC
(12,13),-0.385226 # DEPENDENCYPART_ARC
(12,14),-1.24381 # DEPENDENCYPART_ARC
(12,16),-1.52173 # DEPENDENCYPART_ARC
(12,17),-1.63647 # DEPENDENCYPART_ARC
(12,18),-1.72309 # DEPENDENCYPART_ARC
(12,19),-1.3903 # DEPENDENCYPART_ARC
(12,20),-1.93029 # DEPENDENCYPART_ARC
(13,4),-1.33087 # DEPENDENCYPART_ARC
(13,7),-1.65791 # DEPENDENCYPART_ARC
(13,8),-1.54217 # DEPENDENCYPART_ARC
(13,9),-1.28939 # DEPENDENCYPART_ARC
(13,10),-1.10166 # DEPENDENCYPART_ARC
(13,11),-0.901037 # DEPENDENCYPART_ARC
(13,12),1.35114 # DEPENDENCYPART_ARC
(13,14),0.252265 # DEPENDENCYPART_ARC
(13,16),-1.00025 # DEPENDENCYPART_ARC
(13,17),-1.26517 # DEPENDENCYPART_ARC
(13,18),-1.42831 # DEPENDENCYPART_ARC
(13,19),-1.69252 # DEPENDENCYPART_ARC
(13,20),-1.84399 # DEPENDENCYPART_ARC
(13,21),-2.07807 # DEPENDENCYPART_ARC
(13,23),-1.73923 # DEPENDENCYPART_ARC
(13,24),-2.18639 # DEPENDENCYPART_ARC
(14,10),-1.78176 # DEPENDENCYPART_ARC
(14,12),-1.64163 # DEPENDENCYPART_ARC
(14,13),-0.667493 # DEPENDENCYPART_ARC
(14,15),-0.0252602 # DEPENDENCYPART_ARC
(14,16),-0.0322907 # DEPENDENCYPART_ARC
(14,17),-1.24406 # DEPENDENCYPART_ARC
(14,18),-0.993167 # DEPENDENCYPART_ARC
(14,20),-1.99323 # DEPENDENCYPART_ARC
(14,21),-2.26768 # DEPENDENCYPART_ARC
(14,23),-2.78329 # DEPENDENCYPART_ARC
(15,17),-1.4282 # DEPENDENCYPART_ARC
(16,12),-1.36924 # DEPENDENCYPART_ARC
(16,13),-1.66059 # DEPENDENCYPART_ARC
(16,14),-1.23098 # DEPENDENCYPART_ARC
(16,15),1.03671 # DEPENDENCYPART_ARC
(16,17),0.521634 # DEPENDENCYPART_ARC
(16,18),-0.962677 # DEPENDENCYPART_ARC
(16,19),-1.48218 # DEPENDENCYPART_ARC
(16,20),-1.55934 # DEPENDENCYPART_ARC
(16,21),-1.8791 # DEPENDENCYPART_ARC
(16,23),-1.72673 # DEPENDENCYPART_ARC
(16,24),-1.82402 # DEPENDENCYPART_ARC
(17,13),-1.6357 # DEPENDENCYPART_ARC
(17,15),-1.44039 # DEPENDENCYPART_ARC
(17,16),-0.507236 # DEPENDENCYPART_ARC
(17,18),0.854289 # DEPENDENCYPART_ARC
(17,19),-1.05704 # DEPENDENCYPART_ARC
(17,20),-1.75204 # DEPENDENCYPART_ARC
(17,21),-2.14105 # DEPENDENCYPART_ARC
(17,23),-2.71612 # DEPENDENCYPART_ARC
(18,15),-1.95818 # DEPENDENCYPART_ARC
(18,19),-0.28979 # DEPENDENCYPART_ARC
(18,20),-1.81019 # DEPENDENCYPART_ARC
(18,23),-1.96856 # DEPENDENCYPART_ARC
(18,24),-2.08934 # DEPENDENCYPART_ARC
(19,17),-1.39092 # DEPENDENCYPART_ARC
(19,20),-0.630123 # DEPENDENCYPART_ARC
(20,8),-2.95588 # DEPENDENCYPART_ARC
(20,10),-3.00987 # DEPENDENCYPART_ARC
(20,11),-2.32356 # DEPENDENCYPART_ARC
(20,13),-2.83641 # DEPENDENCYPART_ARC
(20,14),-2.25718 # DEPENDENCYPART_ARC
(20,16),-2.74854 # DEPENDENCYPART_ARC
(20,17),-2.19955 # DEPENDENCYPART_ARC
(20,18),-2.30014 # DEPENDENCYPART_ARC
(20,19),-0.369035 # DEPENDENCYPART_ARC
(20,21),0.41916 # DEPENDENCYPART_ARC
(20,22),-0.645223 # DEPENDENCYPART_ARC
(20,23),-0.733366 # DEPENDENCYPART_ARC
(20,24),-0.687349 # DEPENDENCYPART_ARC
(21,22),0.325035 # DEPENDENCYPART_ARC
(21,23),-0.421459 # DEPENDENCYPART_ARC
(21,24),-0.760631 # DEPENDENCYPART_ARC
(22,23),-0.359992 # DEPENDENCYPART_ARC
(23,18),-2.26122 # DEPENDENCYPART_ARC
(23,22),1.321 # DEPENDENCYPART_ARC
(23,24),-0.429376 # DEPENDENCYPART_ARC
(24,23),-0.644338 # DEPENDENCYPART_ARC
(0,3),(0,8),-0.0480246 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.125459 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.150203 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.125788 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.151253 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.216333 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00174544 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.590727 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.106061 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.158517 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0689952 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.298038 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0142596 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.254085 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0143181 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0251926 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.117718 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0295436 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0873915 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.123916 # DEPENDENCYPART_SIBL
(3,1),(3,13),4.09173e-06 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0330763 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0374936 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.298038 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0335683 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0220574 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0775585 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0311036 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0376188 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0112397 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0360144 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0460417 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0827595 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0557016 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0398825 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.171971 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.031282 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00747492 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0454323 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0311036 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.109787 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.017202 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0707573 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0148906 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0219705 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0148981 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0311852 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0823083 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0172124 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0853954 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0853808 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0215145 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0304715 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0160156 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.17871 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0269496 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0341082 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0267702 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0180146 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0185299 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00476785 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0123683 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0521162 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0295655 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0124509 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0134224 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0130645 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0162234 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0198889 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0136676 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0030087 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0334926 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0316914 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0257441 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0269645 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0505781 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0416849 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0382531 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0249931 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0273891 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0320058 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0293554 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0607243 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0355664 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.00237096 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00384844 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0123712 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0502741 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0283108 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0124538 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.012503 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0130692 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.015304 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0198941 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.013654 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00301158 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.033503 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.015385 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0511213 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0288682 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0154663 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0133491 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0225401 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0161501 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0254479 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0261764 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.00341191 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.022112 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.050177 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0560186 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0250682 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.02431 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0396275 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0316041 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.042417 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0619753 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0457369 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00769296 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00406226 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00202931 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00396482 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.00679005 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00860928 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00682565 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0201193 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.00381607 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.03666 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0284629 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0256748 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0213689 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0330334 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0253593 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.00718798 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0187082 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0183184 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.010667 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.039634 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0185797 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0214856 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.000482353 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0130315 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0347952 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00634545 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0132867 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0133536 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.00753843 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.00283922 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0436846 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0130262 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0412511 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0251703 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.012435 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0538112 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0291376 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.00235586 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.00720667 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0423483 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0269496 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.0341082 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0267702 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.044369 # DEPENDENCYPART_SIBL
(3,19),(3,24),-0.0104057 # DEPENDENCYPART_SIBL
(3,21),(3,24),0.147435 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.153594 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.14566 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.149455 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.129595 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.146283 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.113989 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.106783 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.108356 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.115933 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.105859 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.10651 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.115009 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.102655 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.111153 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.117402 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0768635 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0399077 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0405313 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.269951 # DEPENDENCYPART_SIBL
(5,1),(5,7),-8.05379e-06 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0108824 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.037433 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.100589 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00936848 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0219977 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0780457 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0299922 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0691174 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0153475 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0373313 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0473586 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0479637 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0277473 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0153318 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.079169 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0833402 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00763995 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0817079 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00635173 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00358591 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00585342 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.039593 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0266369 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0423243 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.00786688 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0247399 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.011207 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0142971 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0113311 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0474013 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0502371 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.05895 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.00359381 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0316133 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.025666 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0502244 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0375625 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.017767 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0352481 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0141808 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.000965899 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0471159 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0221318 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0018401 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0150077 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0254728 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0479632 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0226891 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00763081 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.00248531 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0140817 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0105627 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0220205 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0491023 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0290936 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0014839 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0461557 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.00418842 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.0153323 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0464759 # DEPENDENCYPART_SIBL
(5,19),(5,24),0.000411876 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0300048 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0356502 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00760724 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0468805 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0488183 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.027654 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0321209 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0153407 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0120787 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0158659 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00293136 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00688449 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0398679 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.024212 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0268226 # DEPENDENCYPART_SIBL
