# _root_ Spencer J. Volk , president and chief operating officer of this consumer and industrial products company , was elected a director .
#goldHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
#predictedHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
(6,18),-2.22509 # DEPENDENCYPART_ARC
(6,19),-2.92224 # DEPENDENCYPART_ARC
(6,22),-1.72897 # DEPENDENCYPART_ARC
(7,8),-0.875857 # DEPENDENCYPART_ARC
(7,10),-1.75344 # DEPENDENCYPART_ARC
(8,1),-2.38295 # DEPENDENCYPART_ARC
(8,3),-2.31166 # DEPENDENCYPART_ARC
(8,4),-1.85025 # DEPENDENCYPART_ARC
(8,5),-1.32592 # DEPENDENCYPART_ARC
(8,6),-0.697152 # DEPENDENCYPART_ARC
(8,7),0.665051 # DEPENDENCYPART_ARC
(8,9),-0.847436 # DEPENDENCYPART_ARC
(8,10),-1.61498 # DEPENDENCYPART_ARC
(8,16),-2.2969 # DEPENDENCYPART_ARC
(9,1),-1.17086 # DEPENDENCYPART_ARC
(9,2),-1.21692 # DEPENDENCYPART_ARC
(9,3),-1.81363 # DEPENDENCYPART_ARC
(9,4),-1.12761 # DEPENDENCYPART_ARC
(9,5),-0.409854 # DEPENDENCYPART_ARC
(9,6),-0.355857 # DEPENDENCYPART_ARC
(9,7),1.11091 # DEPENDENCYPART_ARC
(9,8),2.27374 # DEPENDENCYPART_ARC
(9,10),0.336661 # DEPENDENCYPART_ARC
(9,11),-1.40075 # DEPENDENCYPART_ARC
(9,12),-1.20009 # DEPENDENCYPART_ARC
(9,13),-0.928699 # DEPENDENCYPART_ARC
(9,14),-1.38237 # DEPENDENCYPART_ARC
(9,15),-1.26648 # DEPENDENCYPART_ARC
(9,16),-1.26933 # DEPENDENCYPART_ARC
(9,17),-1.58913 # DEPENDENCYPART_ARC
(9,18),-1.7427 # DEPENDENCYPART_ARC
(9,19),-2.32366 # DEPENDENCYPART_ARC
(9,21),-1.71891 # DEPENDENCYPART_ARC
(9,22),-2.02748 # DEPENDENCYPART_ARC
(10,11),-0.0940031 # DEPENDENCYPART_ARC
(10,12),-0.0276658 # DEPENDENCYPART_ARC
(10,13),-1.21236 # DEPENDENCYPART_ARC
(10,14),-1.36458 # DEPENDENCYPART_ARC
(10,15),-1.31335 # DEPENDENCYPART_ARC
(10,16),-1.38814 # DEPENDENCYPART_ARC
(11,12),-0.348017 # DEPENDENCYPART_ARC
(12,6),-1.48384 # DEPENDENCYPART_ARC
(12,7),-1.16887 # DEPENDENCYPART_ARC
(12,8),-1.06153 # DEPENDENCYPART_ARC
(12,10),-0.998503 # DEPENDENCYPART_ARC
(12,11),1.13046 # DEPENDENCYPART_ARC
(12,14),-1.34949 # DEPENDENCYPART_ARC
(12,17),-2.12457 # DEPENDENCYPART_ARC
(13,1),-1.68061 # DEPENDENCYPART_ARC
(13,2),-1.70623 # DEPENDENCYPART_ARC
(13,3),-1.28804 # DEPENDENCYPART_ARC
(13,4),-1.10888 # DEPENDENCYPART_ARC
(13,5),-0.422689 # DEPENDENCYPART_ARC
(13,6),-0.624159 # DEPENDENCYPART_ARC
(13,7),-0.94135 # DEPENDENCYPART_ARC
(13,8),-0.841501 # DEPENDENCYPART_ARC
(13,9),-0.793156 # DEPENDENCYPART_ARC
(13,10),-1.03716 # DEPENDENCYPART_ARC
(13,11),0.00942123 # DEPENDENCYPART_ARC
(13,12),1.41181 # DEPENDENCYPART_ARC
(13,14),0.543294 # DEPENDENCYPART_ARC
(13,15),0.819087 # DEPENDENCYPART_ARC
(13,16),0.133925 # DEPENDENCYPART_ARC
(13,17),-1.02498 # DEPENDENCYPART_ARC
(13,18),-1.61926 # DEPENDENCYPART_ARC
(13,19),-2.36045 # DEPENDENCYPART_ARC
(13,21),-1.84648 # DEPENDENCYPART_ARC
(13,22),-1.4903 # DEPENDENCYPART_ARC
(14,12),-1.50977 # DEPENDENCYPART_ARC
(14,15),-0.655773 # DEPENDENCYPART_ARC
(15,11),-2.1614 # DEPENDENCYPART_ARC
(15,12),-1.88477 # DEPENDENCYPART_ARC
(15,13),-1.21401 # DEPENDENCYPART_ARC
(15,14),-0.214921 # DEPENDENCYPART_ARC
(15,16),-0.84792 # DEPENDENCYPART_ARC
(15,18),-1.89924 # DEPENDENCYPART_ARC
(16,5),-1.86394 # DEPENDENCYPART_ARC
(16,7),-0.98851 # DEPENDENCYPART_ARC
(16,8),-1.06451 # DEPENDENCYPART_ARC
(16,9),-1.67701 # DEPENDENCYPART_ARC
(16,10),-1.15427 # DEPENDENCYPART_ARC
(16,11),-0.488337 # DEPENDENCYPART_ARC
(16,12),-0.509159 # DEPENDENCYPART_ARC
(16,13),-0.405267 # DEPENDENCYPART_ARC
(16,14),0.378329 # DEPENDENCYPART_ARC
(16,15),2.06572 # DEPENDENCYPART_ARC
(16,17),0.0385477 # DEPENDENCYPART_ARC
(16,18),-1.76552 # DEPENDENCYPART_ARC
(16,19),-2.3642 # DEPENDENCYPART_ARC
(16,21),-1.86594 # DEPENDENCYPART_ARC
(16,22),-2.29262 # DEPENDENCYPART_ARC
(18,1),-0.615114 # DEPENDENCYPART_ARC
(18,2),-0.737252 # DEPENDENCYPART_ARC
(18,3),-0.320362 # DEPENDENCYPART_ARC
(18,4),-2.12207 # DEPENDENCYPART_ARC
(18,5),-2.11362 # DEPENDENCYPART_ARC
(18,6),-1.65706 # DEPENDENCYPART_ARC
(18,7),-1.76981 # DEPENDENCYPART_ARC
(18,8),-1.63832 # DEPENDENCYPART_ARC
(18,9),-1.49368 # DEPENDENCYPART_ARC
(18,10),-1.61703 # DEPENDENCYPART_ARC
(18,11),-1.52396 # DEPENDENCYPART_ARC
(18,12),-1.59166 # DEPENDENCYPART_ARC
(18,13),-1.40383 # DEPENDENCYPART_ARC
(18,14),-1.36772 # DEPENDENCYPART_ARC
(18,15),-1.56716 # DEPENDENCYPART_ARC
(18,16),-1.07053 # DEPENDENCYPART_ARC
(18,17),0.974345 # DEPENDENCYPART_ARC
(18,19),1.49033 # DEPENDENCYPART_ARC
(18,20),-0.981447 # DEPENDENCYPART_ARC
(18,21),-0.73398 # DEPENDENCYPART_ARC
(18,22),-0.299169 # DEPENDENCYPART_ARC
(19,4),-3.13361 # DEPENDENCYPART_ARC
(19,6),-1.96418 # DEPENDENCYPART_ARC
(19,9),-2.87908 # DEPENDENCYPART_ARC
(19,13),-2.0962 # DEPENDENCYPART_ARC
(19,16),-2.77072 # DEPENDENCYPART_ARC
(19,17),-1.72531 # DEPENDENCYPART_ARC
(19,18),-0.986255 # DEPENDENCYPART_ARC
(19,20),-0.170998 # DEPENDENCYPART_ARC
(19,21),0.0455879 # DEPENDENCYPART_ARC
(19,22),-0.360741 # DEPENDENCYPART_ARC
(20,22),-1.26262 # DEPENDENCYPART_ARC
(21,19),-0.703333 # DEPENDENCYPART_ARC
(21,20),1.46806 # DEPENDENCYPART_ARC
(21,22),-0.248346 # DEPENDENCYPART_ARC
(22,19),-1.33582 # DEPENDENCYPART_ARC
(22,21),-0.620151 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0574888 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.105606 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0623077 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.105606 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.128929 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.123705 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.10513 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0623056 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.10513 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.128771 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.123547 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0616993 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.118933 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.160289 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.152851 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.108984 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.134326 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.128631 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.160289 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.152851 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.229762 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0125342 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0157935 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00441993 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.039184 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0193244 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0157935 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0193062 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0159306 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00440268 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0386943 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0193071 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0159306 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0191339 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.169242 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0150016 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0510608 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0393972 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0504886 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0578778 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0439114 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0156895 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0410617 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0419101 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0202362 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0135624 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0342373 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0394382 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0504886 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0103116 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0382744 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.156723 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0145666 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0368581 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0145666 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0161696 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0382744 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0399114 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0107128 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0114408 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00550817 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0396729 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.020386 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0396729 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0277883 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0114408 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0201124 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0242272 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.166322 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0122291 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0481855 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0122291 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0377255 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0334057 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0477168 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.00178756 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0588583 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0449922 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0588583 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0525201 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0111958 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0420422 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0197505 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0419749 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0316226 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0516925 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0181034 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0135628 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0039736 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0540067 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0183601 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0297475 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0404168 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.00309812 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0516925 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0181034 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0135628 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0039736 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0293452 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0206875 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0082413 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0477168 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.00178756 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.00463782 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0594176 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0447673 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.162766 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0182655 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0123455 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0422068 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0428829 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0124248 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0103242 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0182655 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0221943 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0447673 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0467954 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0286424 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0154037 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0948369 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.201166 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0456826 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0521115 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00243899 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0820619 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0249231 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.050092 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0456826 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0619558 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0948369 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0619297 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0716085 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0484377 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.169242 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0150016 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0149802 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0305889 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0510608 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0218514 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0441939 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0150016 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0406008 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0393972 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0504886 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.100553 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0050613 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0578778 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0448796 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0423138 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0439114 # DEPENDENCYPART_SIBL
(3,5),(3,10),-2.33155e-05 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0365696 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0578778 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0514393 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0156895 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0410617 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0424285 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.021735 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0461686 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.04135 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0419101 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00958209 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0386525 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0316219 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0516277 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0202362 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0135624 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0326537 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00447609 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00735269 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00961841 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00478087 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.000509192 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0437967 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0147199 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.043985 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0226945 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00322825 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0181327 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0253918 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0182523 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0185794 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.043965 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0327695 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.000730399 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0246851 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0212927 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00248271 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00920655 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00275218 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0530281 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0172813 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0342373 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0394382 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00674823 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.00508074 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0241593 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0588775 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00650971 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0170325 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.067866 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0243513 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0331566 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0387014 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0286535 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0159079 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0191448 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0171768 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0261985 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0516277 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0202362 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0135624 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0326537 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.00447609 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0338349 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.019709 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.00802117 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.0102239 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0504886 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.100553 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0050613 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0170537 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.00413117 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.0232816 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0304084 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0111641 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0151513 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0839982 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0204925 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0244835 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0715039 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0151513 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0836515 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.300012 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00060608 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0128457 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0265863 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0138688 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0143574 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00393081 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.127184 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00130702 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0343095 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0241377 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00172932 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0354022 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0128354 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0807428 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0108109 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0323524 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0788389 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0156922 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00542729 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0217335 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0075655 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00219405 # DEPENDENCYPART_SIBL
