# _root_ The internal investigation also criticized MiniScribe 's auditors , Coopers & Lybrand , for allegedly ignoring numerous red flags .
#goldHeads=3,3,5,5,0,8,6,5,8,11,8,11,8,5,16,14,19,19,16,5,
#predictedHeads=3,3,5,5,0,8,6,5,8,11,8,11,8,5,16,14,19,19,16,5,
(3,2),(3,13),-0.00731293 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0315547 # DEPENDENCYPART_SIBL
(3,2),(3,19),-3.45143e-05 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0540127 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0270914 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0174193 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0174194 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0239454 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00668631 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0239454 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00770641 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0174194 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0263304 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0117509 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0117508 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0233393 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0363662 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0233393 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00542 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0117508 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00496211 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0132701 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0149629 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.048639 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0149629 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00243772 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0132701 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0257988 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.014963 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0486389 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.014963 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00243888 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.01327 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.025799 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0374894 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0379684 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.019441 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0427789 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00419175 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00689178 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00761765 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0334273 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.013265 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.019441 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0427789 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.00419175 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0388262 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0495939 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0247348 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00214282 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0124244 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0400211 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0478498 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0478499 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0591401 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0120796 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0692448 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.112606 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.112606 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.105356 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0442478 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.201845 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.202395 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0759859 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0252464 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0252464 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0248966 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0398252 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0100445 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0100445 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.053701 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.036882 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0630531 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0774033 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0773975 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0201595 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0773975 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0994173 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0773975 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0201595 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0140337 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.113228 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.088186 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.101408 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0985752 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0923544 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0049027 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00311096 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00782048 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00782621 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00548953 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00782621 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0304415 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00782621 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00548953 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00537632 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0426852 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.012044 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0454326 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0468436 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0124941 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0239741 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0100978 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00954116 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00325167 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00954116 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0464558 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00954116 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00325167 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0121624 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00443123 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00211988 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0217451 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0191276 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0179685 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0161722 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0161796 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.057905 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0161796 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0229846 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0161796 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.057905 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0429951 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0453911 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.013858 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0418698 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0414145 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.189299 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0340101 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0110425 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0340101 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0523453 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0340101 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0110425 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0214621 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.00423831 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0117647 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0273628 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0233172 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.00869896 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0110433 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0340092 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0523445 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0340092 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0110433 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0214646 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00423912 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0117466 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0273619 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0233163 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.00869976 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00365625 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0336479 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00365625 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0265079 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0400586 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0402409 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0543958 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0025207 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.00152216 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0136295 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0523445 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0340092 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0110433 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0214646 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00423912 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0117466 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0273619 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0233163 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.00869976 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0416366 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0173109 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0240447 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0065948 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0198909 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0278301 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0237844 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0485519 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0110433 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0214646 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00423912 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0117466 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0273619 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0233163 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.00869976 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0400586 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0402409 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0543958 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0025207 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.00152216 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0136295 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0302495 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.00799092 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0309598 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0253875 # DEPENDENCYPART_SIBL
(5,14),(5,20),9.9485e-05 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00879021 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0069193 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.00223389 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.0203682 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0434962 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0397724 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0165447 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0598359 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0104469 # DEPENDENCYPART_SIBL
(5,18),(5,20),-0.0075686 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0889502 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0563397 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.014013 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.122254 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.451033 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.000548697 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0220384 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0412312 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0220384 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0437411 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0118377 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.130255 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0779909 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0577664 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0154635 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0493136 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0976787 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00976647 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0160778 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0315591 # DEPENDENCYPART_SIBL
