# _root_ MCI Communications Corp. said it won a $ 27 million contract from Stuart-James Co. , a Denver investment banking concern , to provide voice and data telecommunications services .
#goldHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,28,23,4,
#predictedHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,25,23,4,
(18,23),-2.01237 # DEPENDENCYPART_ARC
(19,7),-2.71272 # DEPENDENCYPART_ARC
(19,16),-1.08298 # DEPENDENCYPART_ARC
(19,17),-0.195442 # DEPENDENCYPART_ARC
(19,18),0.641135 # DEPENDENCYPART_ARC
(19,22),-2.03209 # DEPENDENCYPART_ARC
(19,23),-2.02595 # DEPENDENCYPART_ARC
(19,28),-2.60203 # DEPENDENCYPART_ARC
(20,7),-1.16521 # DEPENDENCYPART_ARC
(20,11),-2.04791 # DEPENDENCYPART_ARC
(20,13),-0.857579 # DEPENDENCYPART_ARC
(20,14),-1.63975 # DEPENDENCYPART_ARC
(20,15),-0.935743 # DEPENDENCYPART_ARC
(20,16),0.101163 # DEPENDENCYPART_ARC
(20,17),0.543806 # DEPENDENCYPART_ARC
(20,18),0.953075 # DEPENDENCYPART_ARC
(20,19),1.96908 # DEPENDENCYPART_ARC
(20,21),0.122086 # DEPENDENCYPART_ARC
(20,22),-1.76873 # DEPENDENCYPART_ARC
(20,23),-1.891 # DEPENDENCYPART_ARC
(20,24),-1.85879 # DEPENDENCYPART_ARC
(20,25),-1.63177 # DEPENDENCYPART_ARC
(20,28),-2.18179 # DEPENDENCYPART_ARC
(22,21),0.27928 # DEPENDENCYPART_ARC
(22,23),-0.387836 # DEPENDENCYPART_ARC
(22,24),-1.36939 # DEPENDENCYPART_ARC
(22,25),-1.34656 # DEPENDENCYPART_ARC
(22,26),-2.02889 # DEPENDENCYPART_ARC
(22,28),-2.55345 # DEPENDENCYPART_ARC
(23,11),-1.26327 # DEPENDENCYPART_ARC
(23,12),-1.1993 # DEPENDENCYPART_ARC
(23,13),-1.18333 # DEPENDENCYPART_ARC
(23,14),-1.35901 # DEPENDENCYPART_ARC
(23,15),-1.95853 # DEPENDENCYPART_ARC
(23,20),-2.07832 # DEPENDENCYPART_ARC
(23,21),-0.768164 # DEPENDENCYPART_ARC
(23,22),1.03176 # DEPENDENCYPART_ARC
(23,24),0.734217 # DEPENDENCYPART_ARC
(23,25),-0.661661 # DEPENDENCYPART_ARC
(23,26),-0.768002 # DEPENDENCYPART_ARC
(23,27),-0.75339 # DEPENDENCYPART_ARC
(23,28),-0.512382 # DEPENDENCYPART_ARC
(23,29),-1.23356 # DEPENDENCYPART_ARC
(24,22),-1.49839 # DEPENDENCYPART_ARC
(24,23),0.090227 # DEPENDENCYPART_ARC
(24,26),-1.20911 # DEPENDENCYPART_ARC
(24,28),-1.93284 # DEPENDENCYPART_ARC
(25,1),-1.83488 # DEPENDENCYPART_ARC
(25,2),-1.70173 # DEPENDENCYPART_ARC
(25,3),-1.39095 # DEPENDENCYPART_ARC
(25,4),-2.34089 # DEPENDENCYPART_ARC
(25,5),-0.99869 # DEPENDENCYPART_ARC
(25,6),-2.31814 # DEPENDENCYPART_ARC
(25,7),-2.19603 # DEPENDENCYPART_ARC
(25,8),-1.99773 # DEPENDENCYPART_ARC
(25,9),-1.21692 # DEPENDENCYPART_ARC
(25,10),-0.630485 # DEPENDENCYPART_ARC
(25,11),-1.30983 # DEPENDENCYPART_ARC
(25,12),-0.972083 # DEPENDENCYPART_ARC
(25,13),-1.19075 # DEPENDENCYPART_ARC
(25,14),-0.647949 # DEPENDENCYPART_ARC
(25,15),-1.79642 # DEPENDENCYPART_ARC
(25,16),-1.98389 # DEPENDENCYPART_ARC
(25,17),-1.51024 # DEPENDENCYPART_ARC
(25,18),-1.56964 # DEPENDENCYPART_ARC
(25,19),-1.47102 # DEPENDENCYPART_ARC
(25,20),-1.19928 # DEPENDENCYPART_ARC
(25,21),-1.08132 # DEPENDENCYPART_ARC
(25,22),-1.0958 # DEPENDENCYPART_ARC
(25,23),-0.744331 # DEPENDENCYPART_ARC
(25,24),1.89514 # DEPENDENCYPART_ARC
(25,26),1.93147 # DEPENDENCYPART_ARC
(25,27),0.265815 # DEPENDENCYPART_ARC
(25,28),-0.475292 # DEPENDENCYPART_ARC
(25,29),-1.32436 # DEPENDENCYPART_ARC
(26,24),-1.94025 # DEPENDENCYPART_ARC
(26,27),-0.692774 # DEPENDENCYPART_ARC
(26,28),-1.7608 # DEPENDENCYPART_ARC
(27,23),-1.46771 # DEPENDENCYPART_ARC
(27,24),-1.27912 # DEPENDENCYPART_ARC
(27,25),-0.653962 # DEPENDENCYPART_ARC
(27,26),0.501534 # DEPENDENCYPART_ARC
(27,28),-0.844188 # DEPENDENCYPART_ARC
(28,19),-1.58028 # DEPENDENCYPART_ARC
(28,20),-2.21306 # DEPENDENCYPART_ARC
(28,22),-1.51894 # DEPENDENCYPART_ARC
(28,23),-0.639825 # DEPENDENCYPART_ARC
(28,24),-0.361566 # DEPENDENCYPART_ARC
(28,25),-0.0952046 # DEPENDENCYPART_ARC
(28,26),0.904267 # DEPENDENCYPART_ARC
(28,27),1.98578 # DEPENDENCYPART_ARC
(28,29),-0.318101 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.126047 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.104692 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.170878 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0146811 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0143522 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.000604312 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0200703 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00486723 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.012989 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0359924 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0291577 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00662285 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0314166 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0223297 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0190382 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.000626862 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00383513 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00505309 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0221891 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0137942 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00483379 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0129999 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00724977 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0130204 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00831012 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00549071 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0127284 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00594991 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.000613298 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0337497 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0464513 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.116568 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0626254 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00551876 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0112176 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00597796 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00212407 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0375218 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0542096 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.111381 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0668796 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0244092 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0103469 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00400521 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00909862 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0526883 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0176913 # DEPENDENCYPART_SIBL
(3,4),(3,29),0.0233219 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00697126 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00865461 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0135368 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0248533 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0203966 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0219465 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0130512 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00300508 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0347203 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0173823 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.0181327 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.014757 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0165807 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0261754 # DEPENDENCYPART_SIBL
(3,8),(3,29),0.0394925 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.000103508 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.100439 # DEPENDENCYPART_SIBL
(3,12),(3,29),0.139977 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0452805 # DEPENDENCYPART_SIBL
(3,20),(3,29),0.0852812 # DEPENDENCYPART_SIBL
(3,21),(3,29),0.0805842 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.101781 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0805696 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.110687 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0136087 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0993494 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0247239 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.111128 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0874669 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00733224 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0268937 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.021073 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0931051 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.11378 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0117546 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.102443 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0240433 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.103269 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0918534 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00242956 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.00220045 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0247516 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.108275 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0149335 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0948242 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0212329 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.116176 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.124429 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00766251 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0146434 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0512079 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0470566 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0233755 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0473091 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.020994 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0457716 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.05857 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0551896 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.0974966 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0439008 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.047013 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0236349 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0640413 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0328651 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.107901 # DEPENDENCYPART_SIBL
(4,6),(4,29),0.0214038 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0434773 # DEPENDENCYPART_SIBL
(4,8),(4,11),-9.44519e-05 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0444739 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0424839 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.054695 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.0534318 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0398326 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0742598 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0380912 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0531171 # DEPENDENCYPART_SIBL
(4,9),(4,29),-0.0457233 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.1115 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.119764 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.152488 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.116379 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0246054 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0798529 # DEPENDENCYPART_SIBL
(4,12),(4,29),-0.065594 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.0328772 # DEPENDENCYPART_SIBL
(4,15),(4,29),-0.0300065 # DEPENDENCYPART_SIBL
(4,25),(4,29),0.0277286 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0921772 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0700059 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00858871 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0622343 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.107259 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0742967 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00510464 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0279669 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.017347 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0310917 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0188773 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.040887 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0301082 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0275454 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.00732591 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0301082 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.00969747 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.00971938 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.00987009 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.0146605 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.00757533 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0825413 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00123383 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.072361 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.112152 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0773903 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00442403 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0272863 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00948825 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0354782 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0110186 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0330283 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0350108 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0196866 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0151847 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0350108 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0157394 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.00786537 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.00201133 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.0100327 # DEPENDENCYPART_SIBL
(6,2),(6,29),0.0112539 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0228656 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0580417 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.117795 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0828004 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0146425 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0376831 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0319982 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0801317 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0335277 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0412522 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.039798 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0421957 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00781482 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.039798 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0205271 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.00821621 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0245204 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.012236 # DEPENDENCYPART_SIBL
(6,3),(6,29),0.0162929 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.036209 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0863721 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0222759 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0556233 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0651974 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00962783 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00217612 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0134994 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00868644 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0935127 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0170125 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00889708 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0935127 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0654948 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.00827594 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0110724 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.0310934 # DEPENDENCYPART_SIBL
(6,4),(6,29),0.0519095 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0576776 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0411011 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0355456 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0425171 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0356173 # DEPENDENCYPART_SIBL
