# _root_ That may leave a lot of leeway for U.S. Bankruptcy Judge Burton R. Lifland to decide what , if anything , the pilots actually collect .
#goldHeads=2,0,2,5,3,5,6,16,14,14,14,14,14,16,16,7,25,25,20,25,25,23,25,25,16,2,
#predictedHeads=2,0,2,5,3,5,6,7,14,14,14,14,14,8,16,5,25,25,25,19,25,23,25,25,16,2,
(5,1),-1.74456 # DEPENDENCYPART_ARC
(5,3),-0.973434 # DEPENDENCYPART_ARC
(5,4),1.28309 # DEPENDENCYPART_ARC
(5,6),0.535693 # DEPENDENCYPART_ARC
(5,7),-0.786997 # DEPENDENCYPART_ARC
(5,8),-0.666917 # DEPENDENCYPART_ARC
(5,11),-1.31205 # DEPENDENCYPART_ARC
(5,12),-1.37637 # DEPENDENCYPART_ARC
(5,13),-1.47402 # DEPENDENCYPART_ARC
(5,14),-1.47509 # DEPENDENCYPART_ARC
(5,15),-1.17388 # DEPENDENCYPART_ARC
(5,16),-0.890725 # DEPENDENCYPART_ARC
(5,18),-1.94347 # DEPENDENCYPART_ARC
(5,19),-2.6515 # DEPENDENCYPART_ARC
(5,20),-1.94089 # DEPENDENCYPART_ARC
(5,21),-2.09411 # DEPENDENCYPART_ARC
(5,24),-1.61825 # DEPENDENCYPART_ARC
(5,26),-2.00111 # DEPENDENCYPART_ARC
(6,4),-1.32465 # DEPENDENCYPART_ARC
(6,7),0.721802 # DEPENDENCYPART_ARC
(6,8),-1.00313 # DEPENDENCYPART_ARC
(6,9),-1.71052 # DEPENDENCYPART_ARC
(6,10),-1.7887 # DEPENDENCYPART_ARC
(6,11),-2.00802 # DEPENDENCYPART_ARC
(6,12),-2.47227 # DEPENDENCYPART_ARC
(6,14),-2.53571 # DEPENDENCYPART_ARC
(6,15),-2.25898 # DEPENDENCYPART_ARC
(7,1),-2.98659 # DEPENDENCYPART_ARC
(7,4),-1.43435 # DEPENDENCYPART_ARC
(7,5),-0.849536 # DEPENDENCYPART_ARC
(7,6),-0.255346 # DEPENDENCYPART_ARC
(7,8),0.309123 # DEPENDENCYPART_ARC
(7,9),-1.12487 # DEPENDENCYPART_ARC
(7,10),-1.38034 # DEPENDENCYPART_ARC
(7,13),-1.749 # DEPENDENCYPART_ARC
(7,14),-1.8643 # DEPENDENCYPART_ARC
(7,15),-1.32296 # DEPENDENCYPART_ARC
(7,16),-1.13394 # DEPENDENCYPART_ARC
(7,18),-2.18727 # DEPENDENCYPART_ARC
(7,21),-2.17792 # DEPENDENCYPART_ARC
(7,23),-2.35264 # DEPENDENCYPART_ARC
(7,25),-2.18993 # DEPENDENCYPART_ARC
(7,26),-2.22281 # DEPENDENCYPART_ARC
(8,5),-1.70592 # DEPENDENCYPART_ARC
(8,6),-1.37424 # DEPENDENCYPART_ARC
(8,7),-0.701446 # DEPENDENCYPART_ARC
(8,9),0.0611337 # DEPENDENCYPART_ARC
(8,10),-0.741544 # DEPENDENCYPART_ARC
(8,11),-1.4752 # DEPENDENCYPART_ARC
(8,12),-1.81156 # DEPENDENCYPART_ARC
(8,13),-2.10122 # DEPENDENCYPART_ARC
(8,14),-2.22409 # DEPENDENCYPART_ARC
(8,15),-2.00607 # DEPENDENCYPART_ARC
(8,16),-1.68706 # DEPENDENCYPART_ARC
(8,24),-1.60588 # DEPENDENCYPART_ARC
(9,8),-1.54324 # DEPENDENCYPART_ARC
(9,10),-0.61748 # DEPENDENCYPART_ARC
(10,8),-2.43891 # DEPENDENCYPART_ARC
(10,9),-0.154456 # DEPENDENCYPART_ARC
(10,11),-0.54794 # DEPENDENCYPART_ARC
(10,12),-1.47272 # DEPENDENCYPART_ARC
(10,13),-1.77498 # DEPENDENCYPART_ARC
(10,14),-2.09978 # DEPENDENCYPART_ARC
(11,7),-1.97911 # DEPENDENCYPART_ARC
(11,9),-0.657192 # DEPENDENCYPART_ARC
(11,10),0.103018 # DEPENDENCYPART_ARC
(11,12),-0.604616 # DEPENDENCYPART_ARC
(11,13),-1.52966 # DEPENDENCYPART_ARC
(12,7),-2.21501 # DEPENDENCYPART_ARC
(12,9),-1.2892 # DEPENDENCYPART_ARC
(12,10),-0.925614 # DEPENDENCYPART_ARC
(12,11),-0.0203719 # DEPENDENCYPART_ARC
(12,13),-0.506971 # DEPENDENCYPART_ARC
(12,14),-1.61974 # DEPENDENCYPART_ARC
(12,16),-1.3398 # DEPENDENCYPART_ARC
(12,20),-2.48795 # DEPENDENCYPART_ARC
(12,21),-2.1963 # DEPENDENCYPART_ARC
(13,9),-1.25797 # DEPENDENCYPART_ARC
(13,10),-1.34141 # DEPENDENCYPART_ARC
(13,11),-0.761498 # DEPENDENCYPART_ARC
(13,12),0.121688 # DEPENDENCYPART_ARC
(13,14),-0.760359 # DEPENDENCYPART_ARC
(13,16),-1.30172 # DEPENDENCYPART_ARC
(13,20),-2.47315 # DEPENDENCYPART_ARC
(13,21),-2.3397 # DEPENDENCYPART_ARC
(13,23),-2.551 # DEPENDENCYPART_ARC
(13,25),-2.61435 # DEPENDENCYPART_ARC
(14,5),-2.03931 # DEPENDENCYPART_ARC
(14,7),-1.59534 # DEPENDENCYPART_ARC
(14,9),-0.160376 # DEPENDENCYPART_ARC
(14,10),-0.453924 # DEPENDENCYPART_ARC
(14,11),-0.267667 # DEPENDENCYPART_ARC
(14,12),0.228945 # DEPENDENCYPART_ARC
(14,13),1.33835 # DEPENDENCYPART_ARC
(14,15),-0.523593 # DEPENDENCYPART_ARC
(14,16),-1.02245 # DEPENDENCYPART_ARC
(14,18),-2.00103 # DEPENDENCYPART_ARC
(14,19),-2.54982 # DEPENDENCYPART_ARC
(14,20),-2.03717 # DEPENDENCYPART_ARC
(14,21),-1.97912 # DEPENDENCYPART_ARC
(14,23),-2.08212 # DEPENDENCYPART_ARC
(14,24),-2.02951 # DEPENDENCYPART_ARC
(14,25),-2.45631 # DEPENDENCYPART_ARC
(14,26),-2.12448 # DEPENDENCYPART_ARC
(15,16),-0.444252 # DEPENDENCYPART_ARC
(15,18),-1.78218 # DEPENDENCYPART_ARC
(15,20),-2.81411 # DEPENDENCYPART_ARC
(15,23),-3.05815 # DEPENDENCYPART_ARC
(16,5),-1.38237 # DEPENDENCYPART_ARC
(16,6),-1.6443 # DEPENDENCYPART_ARC
(16,7),-1.1171 # DEPENDENCYPART_ARC
(16,8),-0.992677 # DEPENDENCYPART_ARC
(16,9),-1.34813 # DEPENDENCYPART_ARC
(16,10),-1.35158 # DEPENDENCYPART_ARC
(16,11),-1.3133 # DEPENDENCYPART_ARC
(16,12),-1.24062 # DEPENDENCYPART_ARC
(16,13),-1.15303 # DEPENDENCYPART_ARC
(16,14),-0.930592 # DEPENDENCYPART_ARC
(16,15),1.03703 # DEPENDENCYPART_ARC
(16,17),-0.024254 # DEPENDENCYPART_ARC
(16,18),-0.736908 # DEPENDENCYPART_ARC
(16,19),-1.628 # DEPENDENCYPART_ARC
(16,20),-1.54701 # DEPENDENCYPART_ARC
(16,21),-1.7274 # DEPENDENCYPART_ARC
(16,22),-1.46151 # DEPENDENCYPART_ARC
(16,23),-1.29679 # DEPENDENCYPART_ARC
(16,24),-1.31851 # DEPENDENCYPART_ARC
(16,25),-1.14431 # DEPENDENCYPART_ARC
(16,26),-1.30119 # DEPENDENCYPART_ARC
(17,19),-1.36915 # DEPENDENCYPART_ARC
(17,25),-1.40915 # DEPENDENCYPART_ARC
(18,19),-0.752369 # DEPENDENCYPART_ARC
(19,17),-1.60359 # DEPENDENCYPART_ARC
(19,18),-0.0746877 # DEPENDENCYPART_ARC
(19,20),0.0494176 # DEPENDENCYPART_ARC
(19,23),-2.96204 # DEPENDENCYPART_ARC
(19,24),-2.38882 # DEPENDENCYPART_ARC
(20,17),-1.61195 # DEPENDENCYPART_ARC
(20,18),-0.978673 # DEPENDENCYPART_ARC
(20,19),0.266174 # DEPENDENCYPART_ARC
(20,21),0.111982 # DEPENDENCYPART_ARC
(20,22),-1.66699 # DEPENDENCYPART_ARC
(20,23),-1.42942 # DEPENDENCYPART_ARC
(20,24),-1.59578 # DEPENDENCYPART_ARC
(20,25),-1.94815 # DEPENDENCYPART_ARC
(20,26),-1.96423 # DEPENDENCYPART_ARC
(23,17),-1.7638 # DEPENDENCYPART_ARC
(23,19),-1.77161 # DEPENDENCYPART_ARC
(23,20),-1.8028 # DEPENDENCYPART_ARC
(23,22),1.19628 # DEPENDENCYPART_ARC
(23,24),-0.280812 # DEPENDENCYPART_ARC
(23,25),-0.956879 # DEPENDENCYPART_ARC
(23,26),-1.47862 # DEPENDENCYPART_ARC
(24,5),-1.56525 # DEPENDENCYPART_ARC
(24,15),-1.59215 # DEPENDENCYPART_ARC
(24,19),-2.31492 # DEPENDENCYPART_ARC
(24,20),-2.03256 # DEPENDENCYPART_ARC
(24,22),-1.36652 # DEPENDENCYPART_ARC
(24,23),-0.429667 # DEPENDENCYPART_ARC
(24,25),-0.446934 # DEPENDENCYPART_ARC
(24,26),-1.55842 # DEPENDENCYPART_ARC
(25,1),0.155105 # DEPENDENCYPART_ARC
(25,3),-1.44505 # DEPENDENCYPART_ARC
(25,5),-0.76661 # DEPENDENCYPART_ARC
(25,7),-0.566486 # DEPENDENCYPART_ARC
(25,8),-0.78798 # DEPENDENCYPART_ARC
(25,9),-0.889574 # DEPENDENCYPART_ARC
(25,10),-0.904871 # DEPENDENCYPART_ARC
(25,11),-0.795475 # DEPENDENCYPART_ARC
(25,12),-0.842003 # DEPENDENCYPART_ARC
(25,13),-0.941778 # DEPENDENCYPART_ARC
(25,14),-0.674581 # DEPENDENCYPART_ARC
(25,15),-0.947653 # DEPENDENCYPART_ARC
(25,16),-0.77773 # DEPENDENCYPART_ARC
(25,17),0.0341747 # DEPENDENCYPART_ARC
(25,18),-1.33456 # DEPENDENCYPART_ARC
(25,19),-0.459127 # DEPENDENCYPART_ARC
(25,20),-1.36134 # DEPENDENCYPART_ARC
(25,21),-0.516879 # DEPENDENCYPART_ARC
(25,22),-0.418156 # DEPENDENCYPART_ARC
(25,23),0.217049 # DEPENDENCYPART_ARC
(25,24),1.31812 # DEPENDENCYPART_ARC
(25,26),0.762834 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0166442 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.107885 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.107878 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.120645 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.120496 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.217525 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0132558 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.079239 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0620573 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0813456 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0602181 # DEPENDENCYPART_SIBL
(2,1),(2,8),8.58013e-05 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.112538 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0413808 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0413808 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0716748 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.059309 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0668932 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0591225 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.062503 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0889061 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0508898 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0508898 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0128785 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0160143 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0343132 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00577901 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0619518 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00544975 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00544975 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.00672083 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0373649 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0193976 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.025359 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0472882 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0472882 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0247561 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00564939 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0680365 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00369295 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.00369295 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.00122659 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0197928 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0210216 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0210216 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.00181184 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0495833 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0495833 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.0313038 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0469963 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.0651137 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.0651137 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.000642042 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0513823 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0617033 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.137211 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0445979 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0488238 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0351045 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0445979 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0461342 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0445979 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0866644 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00698937 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0137738 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0411251 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0137738 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0159127 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.014516 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.0114585 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0973748 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0496881 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0719373 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0332914 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.070699 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0189949 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0332914 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0339186 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0332914 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0616907 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0715336 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0890989 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.119007 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0890989 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0652671 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0659765 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0569221 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0442059 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0706368 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0433613 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0660029 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0433263 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0433613 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0433626 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0433613 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0306613 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0560118 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0576938 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.116957 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0576938 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0210375 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0513019 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0467469 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0342304 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0556045 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0321863 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0615402 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0556045 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0574247 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0556045 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0398109 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0354609 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0126811 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.102875 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0126811 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0144538 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0434429 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.0135397 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0372329 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.103202 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0397289 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0372329 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0374219 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0372329 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0763781 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0886627 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0261993 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.180054 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0261993 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.039845 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0856925 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0409908 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0567047 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0668367 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0609009 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0627212 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0609009 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00364157 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0429806 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00423709 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.126511 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00423709 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.00420091 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0509626 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0198956 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0130826 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0103608 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0105217 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0103608 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0391821 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0252504 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0130568 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.101336 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0130568 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0218713 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.0216444 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.0150257 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0648057 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.066626 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0648057 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00414673 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0416128 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.00488527 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.126021 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.00488527 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.00540848 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.0495948 # DEPENDENCYPART_SIBL
(3,11),(3,26),-0.0104056 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0627212 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0609009 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00364157 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0429806 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.00423709 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.126511 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.00423709 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.00420091 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0509626 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.0198956 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0561943 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00423497 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0440679 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.00902188 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.127859 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.00902188 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0048077 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.0520499 # DEPENDENCYPART_SIBL
(3,13),(3,26),-0.023348 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00364157 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0429806 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.00423709 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.126511 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.00423709 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.00420091 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.0509626 # DEPENDENCYPART_SIBL
(3,14),(3,26),-0.0198956 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0275142 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.011226 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0692904 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.011226 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.00672657 # DEPENDENCYPART_SIBL
(3,15),(3,25),-0.0227901 # DEPENDENCYPART_SIBL
(3,15),(3,26),-0.00829684 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.00377468 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0725799 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.00377468 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.0143493 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.023345 # DEPENDENCYPART_SIBL
(3,16),(3,26),0.0132185 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0842905 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0185141 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0519113 # DEPENDENCYPART_SIBL
(3,18),(3,25),0.0334736 # DEPENDENCYPART_SIBL
(3,18),(3,26),0.0117146 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0292586 # DEPENDENCYPART_SIBL
(3,19),(3,24),-0.0141591 # DEPENDENCYPART_SIBL
(3,19),(3,25),-0.0526035 # DEPENDENCYPART_SIBL
(3,19),(3,26),-0.0352443 # DEPENDENCYPART_SIBL
(3,21),(3,24),0.0519113 # DEPENDENCYPART_SIBL
(3,21),(3,25),0.0334736 # DEPENDENCYPART_SIBL
(3,21),(3,26),0.0117146 # DEPENDENCYPART_SIBL
(3,24),(3,25),-0.00806076 # DEPENDENCYPART_SIBL
(3,24),(3,26),0.000388596 # DEPENDENCYPART_SIBL
(3,25),(3,26),0.0344303 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0249234 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0558518 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.282062 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.014138 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0894117 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.122365 # DEPENDENCYPART_SIBL
