# _root_ Mr. Ehrlich was succeeded as chairman by Gerd Krick , a director of Fresenius , a West German pharmaceutical concern .
#goldHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
#predictedHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
(19,17),-1.00768 # DEPENDENCYPART_ARC
(19,18),0.0486895 # DEPENDENCYPART_ARC
(20,10),-2.25372 # DEPENDENCYPART_ARC
(20,11),-2.21699 # DEPENDENCYPART_ARC
(20,12),-2.74479 # DEPENDENCYPART_ARC
(20,14),-2.30707 # DEPENDENCYPART_ARC
(20,15),-1.75553 # DEPENDENCYPART_ARC
(20,16),-0.504831 # DEPENDENCYPART_ARC
(20,17),-0.253778 # DEPENDENCYPART_ARC
(20,18),0.449229 # DEPENDENCYPART_ARC
(20,19),1.56095 # DEPENDENCYPART_ARC
(20,21),-0.538159 # DEPENDENCYPART_ARC
(21,20),-0.49071 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.128771 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.125135 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.229903 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.021925 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.018248 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0246191 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00877128 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0195343 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0158328 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00283763 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0146286 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00329304 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00043171 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00482235 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00747288 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00430615 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0183171 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0306224 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0448935 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.110921 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.234695 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.046181 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.299758 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.121468 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.011058 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.121468 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.00976017 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.069115 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0154983 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00297038 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0166608 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00342684 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0541357 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0182192 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0541357 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0364947 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.00413177 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000564116 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00685489 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00760634 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0313001 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0084108 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0313001 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0266937 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.00356193 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00634668 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0184379 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0408163 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0122938 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0408163 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0416123 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0454671 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0314336 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0498956 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00998227 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0498956 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.017381 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0468328 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00714882 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00178156 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00714882 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.029848 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.026987 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.100741 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0564556 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.00664926 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.00873496 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0283681 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0276362 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0224294 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.00664926 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.00873496 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0446483 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.16197 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0550355 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.110299 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0263943 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.24218 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.04701 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0120428 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0120428 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.00794453 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.047169 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00782151 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0335003 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0151435 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.171878 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0386632 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0153232 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0153232 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0222406 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.000682132 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0632445 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0498659 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0431135 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0354769 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.019339 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.019339 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0481622 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0106522 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0467553 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0866099 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0346768 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0122657 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0122657 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0498631 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.0229921 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0742346 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0777552 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0200478 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0200478 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.054915 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0183995 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0115691 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0288963 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0288963 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0308029 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0586229 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0105966 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0105966 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0509456 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00134761 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0592404 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00543307 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0104422 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.00543307 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.0104422 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.00436488 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.125292 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.021711 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0802661 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00819388 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.178842 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0182822 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.033099 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0100294 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0398869 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.033099 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0259292 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0217096 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.037093 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0231104 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0168831 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00504376 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0176549 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.110117 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0117252 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00413515 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00718672 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0324967 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00413515 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0136229 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00940319 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0436501 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.022745 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0443943 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0323262 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00508664 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00231338 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0233137 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00274743 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0103903 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0233137 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00875014 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.00926004 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0125193 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0620259 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0320106 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0308308 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.020751 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00503375 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0256739 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0818842 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00503375 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0499402 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.046336 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0367455 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0132593 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0146037 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0361513 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.000135579 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0439107 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00720197 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.000135579 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0326915 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0299128 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0373778 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.028989 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0166542 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0263534 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0129462 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0125909 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0263534 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.019666 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0160622 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.000667484 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0524948 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00792836 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0411584 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00261327 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00792836 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0303802 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0276015 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0346255 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.005926 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.015632 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0928494 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0223251 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00561866 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0048089 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0307003 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.00802362 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.00377362 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0518762 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0141339 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0113551 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0122987 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0278154 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0284369 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0644533 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0608453 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0497989 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0333385 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.00561866 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0048089 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0307003 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.00802362 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0582217 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0325873 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.00665083 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0308249 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.00680022 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0489362 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0414642 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0864522 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0864522 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00651525 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0147237 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0147237 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00434135 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0865773 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00445761 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00445761 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0278764 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.131992 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0444336 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0444336 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0647485 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0567397 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0304547 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.044376 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0647485 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.000305685 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.00443322 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0433502 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0221923 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00555409 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0354116 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0354116 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0702365 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0305179 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0150103 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0354215 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0702365 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0702647 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0700402 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0572063 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0453772 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00294599 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00294599 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0124005 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00481681 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0451091 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00294568 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0124005 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0028155 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.000267973 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0271487 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0196933 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00408737 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0359767 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00137164 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00995936 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00408707 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0359767 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.00392508 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.00152185 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.00619511 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0305268 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0359767 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00137164 # DEPENDENCYPART_SIBL
