# _root_ By October , when the committee rejected a much more modest covert proposal , even the administration was agreeing little should be done .
#goldHeads=18,1,2,7,6,7,2,13,11,11,13,13,7,2,17,17,18,0,18,21,19,21,22,18,
#predictedHeads=18,1,2,7,6,7,2,13,13,9,13,13,7,18,17,17,18,0,18,21,19,21,22,18,
(11,12),-0.323257 # DEPENDENCYPART_ARC
(11,13),-1.27625 # DEPENDENCYPART_ARC
(11,14),-1.25372 # DEPENDENCYPART_ARC
(11,15),-1.84715 # DEPENDENCYPART_ARC
(11,17),-2.13334 # DEPENDENCYPART_ARC
(11,18),-1.85775 # DEPENDENCYPART_ARC
(11,19),-2.08712 # DEPENDENCYPART_ARC
(11,21),-1.99121 # DEPENDENCYPART_ARC
(12,8),-1.58385 # DEPENDENCYPART_ARC
(12,9),-1.19944 # DEPENDENCYPART_ARC
(12,10),-0.93038 # DEPENDENCYPART_ARC
(12,11),-0.0477241 # DEPENDENCYPART_ARC
(12,18),-1.99367 # DEPENDENCYPART_ARC
(12,20),-2.05059 # DEPENDENCYPART_ARC
(13,3),-1.74539 # DEPENDENCYPART_ARC
(13,5),-2.2681 # DEPENDENCYPART_ARC
(13,6),-1.53343 # DEPENDENCYPART_ARC
(13,7),-1.41989 # DEPENDENCYPART_ARC
(13,8),-0.690135 # DEPENDENCYPART_ARC
(13,9),-0.709014 # DEPENDENCYPART_ARC
(13,10),-0.579639 # DEPENDENCYPART_ARC
(13,11),0.280178 # DEPENDENCYPART_ARC
(13,12),1.61712 # DEPENDENCYPART_ARC
(13,14),-0.132255 # DEPENDENCYPART_ARC
(13,15),-1.60673 # DEPENDENCYPART_ARC
(13,17),-1.88488 # DEPENDENCYPART_ARC
(13,18),-2.03292 # DEPENDENCYPART_ARC
(13,19),-2.46982 # DEPENDENCYPART_ARC
(13,20),-2.08615 # DEPENDENCYPART_ARC
(13,21),-2.17764 # DEPENDENCYPART_ARC
(13,24),-2.5991 # DEPENDENCYPART_ARC
(15,6),-1.76827 # DEPENDENCYPART_ARC
(15,11),-1.9252 # DEPENDENCYPART_ARC
(15,12),-1.80934 # DEPENDENCYPART_ARC
(15,13),-1.59257 # DEPENDENCYPART_ARC
(15,14),0.292498 # DEPENDENCYPART_ARC
(15,16),0.17753 # DEPENDENCYPART_ARC
(15,17),-0.78932 # DEPENDENCYPART_ARC
(15,18),-0.867674 # DEPENDENCYPART_ARC
(15,20),-1.24421 # DEPENDENCYPART_ARC
(15,21),-1.14032 # DEPENDENCYPART_ARC
(15,22),-1.20271 # DEPENDENCYPART_ARC
(15,24),-1.24803 # DEPENDENCYPART_ARC
(16,15),-0.22952 # DEPENDENCYPART_ARC
(16,19),-1.66728 # DEPENDENCYPART_ARC
(17,8),-2.05509 # DEPENDENCYPART_ARC
(17,11),-2.27468 # DEPENDENCYPART_ARC
(17,12),-1.84701 # DEPENDENCYPART_ARC
(17,13),-1.985 # DEPENDENCYPART_ARC
(17,14),-1.52791 # DEPENDENCYPART_ARC
(17,15),-0.43611 # DEPENDENCYPART_ARC
(17,16),1.52974 # DEPENDENCYPART_ARC
(17,18),-0.381781 # DEPENDENCYPART_ARC
(17,19),-1.29968 # DEPENDENCYPART_ARC
(17,20),-1.54981 # DEPENDENCYPART_ARC
(17,21),-1.4277 # DEPENDENCYPART_ARC
(18,1),-1.15571 # DEPENDENCYPART_ARC
(18,2),-1.3166 # DEPENDENCYPART_ARC
(18,3),-2.8873 # DEPENDENCYPART_ARC
(18,4),-2.37885 # DEPENDENCYPART_ARC
(18,6),-2.14562 # DEPENDENCYPART_ARC
(18,7),-1.94699 # DEPENDENCYPART_ARC
(18,8),-1.81374 # DEPENDENCYPART_ARC
(18,9),-1.82649 # DEPENDENCYPART_ARC
(18,10),-2.06765 # DEPENDENCYPART_ARC
(18,11),-1.64975 # DEPENDENCYPART_ARC
(18,12),-1.76601 # DEPENDENCYPART_ARC
(18,13),-1.79726 # DEPENDENCYPART_ARC
(18,14),-0.984528 # DEPENDENCYPART_ARC
(18,15),-0.781934 # DEPENDENCYPART_ARC
(18,16),-0.591156 # DEPENDENCYPART_ARC
(18,17),1.05748 # DEPENDENCYPART_ARC
(18,19),1.32483 # DEPENDENCYPART_ARC
(18,20),-0.76008 # DEPENDENCYPART_ARC
(18,21),-0.939297 # DEPENDENCYPART_ARC
(18,22),-1.2116 # DEPENDENCYPART_ARC
(18,23),-0.653982 # DEPENDENCYPART_ARC
(18,24),-0.772688 # DEPENDENCYPART_ARC
(19,7),-2.73578 # DEPENDENCYPART_ARC
(19,17),-1.57262 # DEPENDENCYPART_ARC
(19,20),0.605453 # DEPENDENCYPART_ARC
(19,21),-0.529775 # DEPENDENCYPART_ARC
(19,22),-0.657669 # DEPENDENCYPART_ARC
(19,23),-0.790631 # DEPENDENCYPART_ARC
(19,24),-1.01537 # DEPENDENCYPART_ARC
(20,13),-1.65673 # DEPENDENCYPART_ARC
(20,15),-1.23525 # DEPENDENCYPART_ARC
(20,16),-1.10298 # DEPENDENCYPART_ARC
(20,17),-0.976748 # DEPENDENCYPART_ARC
(20,19),0.22496 # DEPENDENCYPART_ARC
(20,21),-0.224157 # DEPENDENCYPART_ARC
(20,22),-0.845764 # DEPENDENCYPART_ARC
(20,23),-1.24062 # DEPENDENCYPART_ARC
(21,1),-1.42547 # DEPENDENCYPART_ARC
(21,2),-1.49208 # DEPENDENCYPART_ARC
(21,3),-2.64782 # DEPENDENCYPART_ARC
(21,6),-2.02298 # DEPENDENCYPART_ARC
(21,7),-1.59307 # DEPENDENCYPART_ARC
(21,8),-2.12639 # DEPENDENCYPART_ARC
(21,9),-1.661 # DEPENDENCYPART_ARC
(21,11),-1.75865 # DEPENDENCYPART_ARC
(21,12),-1.7389 # DEPENDENCYPART_ARC
(21,13),-1.67533 # DEPENDENCYPART_ARC
(21,14),-1.5617 # DEPENDENCYPART_ARC
(21,15),-1.10472 # DEPENDENCYPART_ARC
(21,16),-1.40396 # DEPENDENCYPART_ARC
(21,17),-0.791268 # DEPENDENCYPART_ARC
(21,18),-0.977792 # DEPENDENCYPART_ARC
(21,19),-0.746189 # DEPENDENCYPART_ARC
(21,20),0.44337 # DEPENDENCYPART_ARC
(21,22),1.50311 # DEPENDENCYPART_ARC
(21,23),-0.477189 # DEPENDENCYPART_ARC
(21,24),-0.810222 # DEPENDENCYPART_ARC
(22,3),-3.49383 # DEPENDENCYPART_ARC
(22,15),-1.89398 # DEPENDENCYPART_ARC
(22,17),-1.49869 # DEPENDENCYPART_ARC
(22,19),-1.70045 # DEPENDENCYPART_ARC
(22,20),-1.25529 # DEPENDENCYPART_ARC
(22,23),1.19681 # DEPENDENCYPART_ARC
(22,24),-0.950828 # DEPENDENCYPART_ARC
(23,7),-2.32262 # DEPENDENCYPART_ARC
(23,14),-2.45066 # DEPENDENCYPART_ARC
(23,17),-1.79156 # DEPENDENCYPART_ARC
(23,20),-1.57916 # DEPENDENCYPART_ARC
(23,24),0.208656 # DEPENDENCYPART_ARC
(24,21),-1.10103 # DEPENDENCYPART_ARC
(24,23),-0.133802 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0139523 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.110734 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.121544 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.110673 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0365569 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.107978 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.124118 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.129282 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.121365 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0359984 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.124956 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.219026 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.228445 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0984727 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.22596 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.232334 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.103027 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.22985 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0984633 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.22562 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0967484 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00858546 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.125424 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0307959 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0405843 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0506876 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0162839 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0174983 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0283047 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0396069 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0190514 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00863463 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0362109 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0332463 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0244771 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0363524 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00863463 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0477947 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.019464 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0218506 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0102413 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0131812 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0262656 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0619833 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0399985 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0120071 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0213603 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00241327 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0212775 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0130941 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0243669 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0172748 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00907316 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0149084 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0448694 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00313914 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.000132537 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0110346 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0282695 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.000296348 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0203181 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0307719 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0299639 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0156283 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0399985 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0120071 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.0103629 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0377889 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0399674 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0204918 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0728615 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.024494 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.036561 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0501602 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0247689 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0254798 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0341158 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0583667 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0127164 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.141291 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0121778 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0615568 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00894238 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.017328 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0310859 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0116959 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0144411 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0220537 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.11978 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0597102 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0733621 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0328582 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.131646 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0512734 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0116171 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0288702 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0389033 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0581274 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.129454 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0747209 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.000938363 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00932889 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0154664 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0123718 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.013924 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0103264 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0189535 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0327477 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0325945 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0232399 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.024345 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0115752 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.00928024 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.00160034 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0206006 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.107705 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0374825 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00600504 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.100576 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0772027 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0806899 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0521732 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0422936 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0652389 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.126207 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0594041 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0306783 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0788916 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0571936 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0409288 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0101372 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.013974 # DEPENDENCYPART_SIBL
(7,1),(7,24),0.00189962 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0168379 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0851145 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.115267 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0820203 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.128171 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0606054 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0463345 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0129953 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0058803 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0226075 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.00364115 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00253498 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.00321552 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00649952 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0186239 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.00738507 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.013928 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.0247861 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.0126387 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0945387 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0276472 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00419 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.144449 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0722549 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0641954 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0547379 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0322549 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0310289 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.180881 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0301228 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0213639 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0398001 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0083321 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.00557225 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0720599 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.0557555 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.0372008 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0286802 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0406948 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.056477 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0262827 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00619897 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0538428 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0612546 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0568766 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0930487 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00118214 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0819764 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.162768 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.177788 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0598714 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.00756135 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.141303 # DEPENDENCYPART_SIBL
(7,4),(7,24),-0.268884 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0263468 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.134188 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.138162 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.1122 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.1001 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0926906 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.095259 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0200503 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.119893 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0714474 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.130003 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0931686 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0997627 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0548628 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.0498561 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.103782 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.13438 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.074336 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0600651 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0294176 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0223026 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0332032 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.00742942 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0162729 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.014826 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0148641 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0118709 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0238076 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.0112971 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.031539 # DEPENDENCYPART_SIBL
(7,6),(7,24),0.0084938 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0381522 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.021629 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0543977 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0526293 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0385771 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0540106 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0440832 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0368563 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0529979 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0397761 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.047828 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0315563 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0403767 # DEPENDENCYPART_SIBL
(7,8),(7,24),-0.0707904 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0475814 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0389826 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.034094 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0628233 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0298902 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0352444 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0613631 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0282854 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0164317 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0278743 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0374699 # DEPENDENCYPART_SIBL
