# _root_ The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .
#goldHeads=2,3,26,3,4,7,9,7,13,13,12,13,5,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
#predictedHeads=2,3,26,3,4,7,9,7,5,4,12,13,4,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
(15,17),-1.20826 # DEPENDENCYPART_ARC
(15,18),-1.24367 # DEPENDENCYPART_ARC
(15,19),-1.65698 # DEPENDENCYPART_ARC
(16,6),-2.19673 # DEPENDENCYPART_ARC
(16,7),-2.13659 # DEPENDENCYPART_ARC
(16,9),-2.50274 # DEPENDENCYPART_ARC
(16,10),-1.92669 # DEPENDENCYPART_ARC
(16,11),-0.86392 # DEPENDENCYPART_ARC
(16,12),-1.09072 # DEPENDENCYPART_ARC
(16,13),-0.896376 # DEPENDENCYPART_ARC
(16,14),-0.0377372 # DEPENDENCYPART_ARC
(16,15),1.44834 # DEPENDENCYPART_ARC
(16,17),-0.155647 # DEPENDENCYPART_ARC
(16,18),-0.775739 # DEPENDENCYPART_ARC
(16,19),-1.17097 # DEPENDENCYPART_ARC
(16,21),-1.47894 # DEPENDENCYPART_ARC
(16,22),-1.90413 # DEPENDENCYPART_ARC
(16,23),-1.76397 # DEPENDENCYPART_ARC
(16,25),-1.83569 # DEPENDENCYPART_ARC
(16,26),-2.33271 # DEPENDENCYPART_ARC
(17,16),-0.35685 # DEPENDENCYPART_ARC
(17,18),-0.357701 # DEPENDENCYPART_ARC
(17,19),-1.6958 # DEPENDENCYPART_ARC
(17,21),-2.10598 # DEPENDENCYPART_ARC
(18,2),-2.86713 # DEPENDENCYPART_ARC
(18,3),-1.86499 # DEPENDENCYPART_ARC
(18,5),-2.04548 # DEPENDENCYPART_ARC
(18,9),-2.37914 # DEPENDENCYPART_ARC
(18,10),-1.49739 # DEPENDENCYPART_ARC
(18,12),-1.23821 # DEPENDENCYPART_ARC
(18,13),-0.985367 # DEPENDENCYPART_ARC
(18,15),-1.29192 # DEPENDENCYPART_ARC
(18,16),-0.802011 # DEPENDENCYPART_ARC
(18,17),1.21069 # DEPENDENCYPART_ARC
(18,19),0.62249 # DEPENDENCYPART_ARC
(18,20),-1.0071 # DEPENDENCYPART_ARC
(18,21),-0.596695 # DEPENDENCYPART_ARC
(18,22),-1.09457 # DEPENDENCYPART_ARC
(18,23),-1.37627 # DEPENDENCYPART_ARC
(18,25),-1.96068 # DEPENDENCYPART_ARC
(18,26),-2.10864 # DEPENDENCYPART_ARC
(18,27),-1.91093 # DEPENDENCYPART_ARC
(19,17),-1.73032 # DEPENDENCYPART_ARC
(19,18),-0.757548 # DEPENDENCYPART_ARC
(19,20),0.0840813 # DEPENDENCYPART_ARC
(19,21),0.225835 # DEPENDENCYPART_ARC
(19,22),-1.16876 # DEPENDENCYPART_ARC
(19,23),-1.29491 # DEPENDENCYPART_ARC
(19,24),-1.82187 # DEPENDENCYPART_ARC
(19,25),-2.03898 # DEPENDENCYPART_ARC
(19,26),-2.06243 # DEPENDENCYPART_ARC
(20,21),-0.461047 # DEPENDENCYPART_ARC
(21,11),-1.85722 # DEPENDENCYPART_ARC
(21,14),-1.8121 # DEPENDENCYPART_ARC
(21,19),-0.991269 # DEPENDENCYPART_ARC
(21,20),1.16542 # DEPENDENCYPART_ARC
(21,22),-0.283977 # DEPENDENCYPART_ARC
(21,23),-1.45518 # DEPENDENCYPART_ARC
(21,24),-1.70794 # DEPENDENCYPART_ARC
(21,25),-1.97238 # DEPENDENCYPART_ARC
(21,26),-2.08068 # DEPENDENCYPART_ARC
(22,19),-0.897448 # DEPENDENCYPART_ARC
(24,20),-2.12055 # DEPENDENCYPART_ARC
(24,21),-2.39498 # DEPENDENCYPART_ARC
(24,23),-0.452302 # DEPENDENCYPART_ARC
(24,25),-0.437701 # DEPENDENCYPART_ARC
(25,15),-2.84374 # DEPENDENCYPART_ARC
(25,20),-1.07086 # DEPENDENCYPART_ARC
(25,21),-1.72369 # DEPENDENCYPART_ARC
(25,22),-1.76718 # DEPENDENCYPART_ARC
(25,23),-0.895052 # DEPENDENCYPART_ARC
(25,24),1.58633 # DEPENDENCYPART_ARC
(25,26),-0.330433 # DEPENDENCYPART_ARC
(26,2),-1.36317 # DEPENDENCYPART_ARC
(26,3),-0.835517 # DEPENDENCYPART_ARC
(26,4),-1.34114 # DEPENDENCYPART_ARC
(26,7),-1.23198 # DEPENDENCYPART_ARC
(26,9),-1.52711 # DEPENDENCYPART_ARC
(26,10),-2.25734 # DEPENDENCYPART_ARC
(26,12),-2.29305 # DEPENDENCYPART_ARC
(26,13),-0.88051 # DEPENDENCYPART_ARC
(26,15),-1.73774 # DEPENDENCYPART_ARC
(26,16),-2.00773 # DEPENDENCYPART_ARC
(26,17),-2.21467 # DEPENDENCYPART_ARC
(26,18),-0.983587 # DEPENDENCYPART_ARC
(26,19),-0.870036 # DEPENDENCYPART_ARC
(26,20),-1.83355 # DEPENDENCYPART_ARC
(26,21),-1.90461 # DEPENDENCYPART_ARC
(26,22),-0.722998 # DEPENDENCYPART_ARC
(26,23),-0.415414 # DEPENDENCYPART_ARC
(26,24),-0.277822 # DEPENDENCYPART_ARC
(26,25),1.22555 # DEPENDENCYPART_ARC
(26,27),1.1784 # DEPENDENCYPART_ARC
(0,3),(0,13),-0.203365 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.282613 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.173919 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0315074 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.105294 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.107467 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.327597 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0376158 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0202829 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0508686 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0706232 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00331032 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0108897 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0322216 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0808748 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.13789 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.216889 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.105251 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.154777 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.109471 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.070505 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.107494 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.135339 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.132863 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.098329 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.166701 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.176342 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.070505 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.129033 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.232208 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.170206 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0649405 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0395776 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0747675 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00763322 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.107309 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0135895 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0943898 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0342892 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0269101 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0794205 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0521744 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0329055 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0135895 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0284476 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0334696 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0392379 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0192476 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0801618 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0145946 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0765546 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0303085 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0764561 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0500191 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.028258 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.076853 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0299882 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0587457 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0303085 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0452575 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0681195 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0128494 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0374096 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0162636 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0307697 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.031373 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.031162 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0536394 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0417397 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0325021 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.105277 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0914791 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.031373 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.120698 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.121474 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0406727 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0388264 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0527479 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00699733 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0531502 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0604863 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.034129 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0520137 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0400758 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0288545 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.00699733 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0120955 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0393866 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0116597 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0359623 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0285118 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0358638 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00779623 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0233546 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0362607 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0286471 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0223936 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0285118 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.00880944 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.0300978 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.000822978 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0152995 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.038147 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0474156 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0232758 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0370105 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0283015 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0161635 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0152995 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0164767 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.0266954 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0318459 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00614577 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.011358 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0256967 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.00512265 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00874065 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.00778761 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0346836 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.00730027 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.0422068 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.00253211 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0568019 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0326986 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0457878 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0372495 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0274186 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.000209334 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.00990658 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.0379505 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0062909 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.00339833 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0227475 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0142668 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.00142295 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.00570209 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0286498 # DEPENDENCYPART_SIBL
(3,13),(3,26),-0.025777 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.00783982 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0569935 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0357171 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.033631 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0186466 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.0993111 # DEPENDENCYPART_SIBL
(3,15),(3,26),-0.0361646 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.0108233 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.037996 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0282979 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.0206075 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.00713134 # DEPENDENCYPART_SIBL
(3,16),(3,26),-0.0388298 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0082911 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0320432 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0108429 # DEPENDENCYPART_SIBL
(3,17),(3,23),-0.0795733 # DEPENDENCYPART_SIBL
(3,17),(3,26),-0.0235064 # DEPENDENCYPART_SIBL
(3,17),(3,27),-0.027014 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0794732 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.0370954 # DEPENDENCYPART_SIBL
(3,18),(3,26),-0.110336 # DEPENDENCYPART_SIBL
(3,18),(3,27),-0.0192031 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.00730027 # DEPENDENCYPART_SIBL
(3,22),(3,26),-0.0422068 # DEPENDENCYPART_SIBL
(3,22),(3,27),0.00253211 # DEPENDENCYPART_SIBL
(3,23),(3,26),-0.0487403 # DEPENDENCYPART_SIBL
(3,23),(3,27),-0.0556428 # DEPENDENCYPART_SIBL
(3,26),(3,27),0.0208465 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0174355 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.426591 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0440081 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.082701 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.090209 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0753212 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0908682 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.120594 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0937534 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.188783 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0753212 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.0816757 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0581787 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0405748 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0684295 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0591751 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0209382 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.063509 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0538087 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0696666 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.071627 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0209382 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.052071 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0517033 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.204446 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.207153 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.225225 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.206934 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0907224 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.206306 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.00852777 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.225225 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0112224 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0231308 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0230405 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0326264 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.023141 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0131746 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0230814 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0453907 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0326264 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0352161 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.004251 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0311197 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00440307 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0482743 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00363722 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0301926 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0311197 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0309714 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0297821 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00138084 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0468086 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.000614991 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0353758 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0297821 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.0286581 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.162671 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0773748 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.162045 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0772452 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.23144 # DEPENDENCYPART_SIBL
(4,10),(4,27),0.0258578 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0467819 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00028301 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0298158 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0269623 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0350345 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0405885 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0141356 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.117373 # DEPENDENCYPART_SIBL
(4,13),(4,27),0.0547716 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0300267 # DEPENDENCYPART_SIBL
