# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(10,17),-1.11184 # DEPENDENCYPART_ARC
(10,21),-1.8757 # DEPENDENCYPART_ARC
(11,10),0.0104194 # DEPENDENCYPART_ARC
(11,12),-0.312557 # DEPENDENCYPART_ARC
(11,13),-1.15792 # DEPENDENCYPART_ARC
(12,2),-2.17027 # DEPENDENCYPART_ARC
(12,3),-2.67442 # DEPENDENCYPART_ARC
(12,7),-1.51246 # DEPENDENCYPART_ARC
(12,8),-1.73776 # DEPENDENCYPART_ARC
(12,10),-0.549114 # DEPENDENCYPART_ARC
(12,11),1.04177 # DEPENDENCYPART_ARC
(12,13),0.67944 # DEPENDENCYPART_ARC
(12,14),-1.05638 # DEPENDENCYPART_ARC
(12,15),-0.943324 # DEPENDENCYPART_ARC
(12,16),-1.2351 # DEPENDENCYPART_ARC
(12,17),-1.27965 # DEPENDENCYPART_ARC
(12,20),-1.60252 # DEPENDENCYPART_ARC
(12,21),-1.56155 # DEPENDENCYPART_ARC
(12,22),-1.83597 # DEPENDENCYPART_ARC
(12,23),-1.58369 # DEPENDENCYPART_ARC
(13,10),-1.31536 # DEPENDENCYPART_ARC
(13,11),-1.3196 # DEPENDENCYPART_ARC
(13,12),-0.451961 # DEPENDENCYPART_ARC
(13,14),-0.0197317 # DEPENDENCYPART_ARC
(13,15),-0.345744 # DEPENDENCYPART_ARC
(13,16),-0.721064 # DEPENDENCYPART_ARC
(13,17),-1.17188 # DEPENDENCYPART_ARC
(13,20),-2.38944 # DEPENDENCYPART_ARC
(13,22),-2.73835 # DEPENDENCYPART_ARC
(13,23),-1.85608 # DEPENDENCYPART_ARC
(14,15),-0.327554 # DEPENDENCYPART_ARC
(15,10),-2.06537 # DEPENDENCYPART_ARC
(15,14),-0.0124927 # DEPENDENCYPART_ARC
(15,16),-0.688719 # DEPENDENCYPART_ARC
(15,20),-2.17383 # DEPENDENCYPART_ARC
(15,22),-2.39084 # DEPENDENCYPART_ARC
(16,4),-1.9371 # DEPENDENCYPART_ARC
(16,6),-1.18646 # DEPENDENCYPART_ARC
(16,7),-1.60022 # DEPENDENCYPART_ARC
(16,10),-1.13771 # DEPENDENCYPART_ARC
(16,11),-1.08187 # DEPENDENCYPART_ARC
(16,12),-0.828654 # DEPENDENCYPART_ARC
(16,13),-0.709107 # DEPENDENCYPART_ARC
(16,14),0.500537 # DEPENDENCYPART_ARC
(16,15),1.84132 # DEPENDENCYPART_ARC
(16,17),0.38868 # DEPENDENCYPART_ARC
(16,18),-1.7948 # DEPENDENCYPART_ARC
(16,19),-1.69651 # DEPENDENCYPART_ARC
(16,20),-1.65339 # DEPENDENCYPART_ARC
(16,21),-2.02193 # DEPENDENCYPART_ARC
(16,22),-1.97907 # DEPENDENCYPART_ARC
(16,23),-1.62397 # DEPENDENCYPART_ARC
(18,17),0.113419 # DEPENDENCYPART_ARC
(18,21),-1.18012 # DEPENDENCYPART_ARC
(19,18),0.0580507 # DEPENDENCYPART_ARC
(19,21),-0.90738 # DEPENDENCYPART_ARC
(20,11),-2.69165 # DEPENDENCYPART_ARC
(20,14),-2.01397 # DEPENDENCYPART_ARC
(20,15),-1.54371 # DEPENDENCYPART_ARC
(20,16),-1.92613 # DEPENDENCYPART_ARC
(20,17),-1.6075 # DEPENDENCYPART_ARC
(20,18),0.201471 # DEPENDENCYPART_ARC
(20,19),1.39093 # DEPENDENCYPART_ARC
(20,21),0.485313 # DEPENDENCYPART_ARC
(20,22),-0.971502 # DEPENDENCYPART_ARC
(20,23),-1.04639 # DEPENDENCYPART_ARC
(21,20),-0.581678 # DEPENDENCYPART_ARC
(21,22),0.541966 # DEPENDENCYPART_ARC
(21,23),-1.21642 # DEPENDENCYPART_ARC
(22,14),-2.61474 # DEPENDENCYPART_ARC
(22,17),-1.89431 # DEPENDENCYPART_ARC
(22,18),-1.32107 # DEPENDENCYPART_ARC
(22,19),-1.22452 # DEPENDENCYPART_ARC
(22,20),-0.715073 # DEPENDENCYPART_ARC
(22,21),0.13386 # DEPENDENCYPART_ARC
(22,23),-0.262757 # DEPENDENCYPART_ARC
(23,21),-1.05109 # DEPENDENCYPART_ARC
(23,22),-0.315192 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.00888307 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0227476 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0883091 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0288893 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0977878 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.10318 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00373075 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0604638 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0210104 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0219674 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00226314 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0466735 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0278378 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00934784 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00133463 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0165328 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00959442 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00460544 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0373863 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00178363 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0408463 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0115635 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0235177 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0209214 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0047664 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0124807 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0228644 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.000680673 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0430936 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00342814 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.136725 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0579599 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0190388 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00837953 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0138843 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0326441 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0264429 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0311237 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0280928 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0240217 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0424992 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0236452 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0146454 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0160749 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0380129 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.10695 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.233167 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.091152 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.108418 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.113263 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0350026 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0136064 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0070559 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00813485 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0102127 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0300696 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0565995 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0693166 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.073495 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.124914 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0289577 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0224026 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0133546 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00948256 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0201876 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.031952 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0275573 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0129141 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00945551 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0329651 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0235585 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0127518 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0110154 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00778611 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0146917 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0708613 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0183578 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00348455 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.028948 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0149315 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0535987 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0582396 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0616887 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0694554 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0801763 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0141635 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.012444 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0648935 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0207696 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.129289 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0347264 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.175502 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0233046 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0737267 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0195159 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0979664 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0744274 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0729472 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00358012 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.138439 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0268095 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0061226 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.300984 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0164484 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0540461 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0484157 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0324819 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.113862 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0283226 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0814442 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.034247 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0560139 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0272667 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0153912 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0719643 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00859619 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0741247 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.010558 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0839562 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.00862135 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.047583 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0293749 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0476722 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.042986 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0341513 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00514317 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0317588 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0763186 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.026492 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0525202 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.150089 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00433772 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00820572 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.013535 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0106293 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00407506 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0122685 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0268588 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0137838 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0152377 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0176319 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00201198 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00393372 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0121248 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0200053 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0167254 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0258911 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0116223 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0212064 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0479652 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0123237 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0163289 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.00112373 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0166275 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.032951 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0194883 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.000802102 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0159401 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00834572 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0120145 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.00563095 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.005021 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.00478496 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0180659 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0164839 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0162703 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0117907 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0338287 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.00668752 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0174797 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.0631305 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.00761274 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0408935 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.00248435 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.00835112 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0369665 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0307272 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.00900514 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0170098 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0797416 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.0572028 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.0120691 # DEPENDENCYPART_SIBL
(5,17),(5,23),0.0366505 # DEPENDENCYPART_SIBL
(5,20),(5,21),-0.0252809 # DEPENDENCYPART_SIBL
(5,20),(5,23),0.0618399 # DEPENDENCYPART_SIBL
(5,21),(5,23),0.102101 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0838406 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0821046 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0489087 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0342563 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0223658 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0551229 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0694077 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0572452 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0602267 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0332276 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0235544 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0201025 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0453148 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0601948 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0152443 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00502605 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0126801 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0207366 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0363938 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0532074 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00103936 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0136592 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0592784 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0603268 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0615735 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0609108 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.01494 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0124796 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0263002 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.102172 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0167639 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.107436 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.1028 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0126977 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0331373 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0184285 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.114541 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.019397 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0200624 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.124773 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.045779 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0603856 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0491598 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0478214 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0311404 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0168221 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.106503 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.101867 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.0237584 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0548236 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.0544027 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.0506559 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.103631 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.0413693 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.0214236 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0545405 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0411541 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0210013 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0240365 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0476036 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0134692 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0208498 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0177727 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00970798 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00565385 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.169752 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0431371 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.106922 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0484079 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0532255 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0285552 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00589385 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00694568 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0489835 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0107674 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0461697 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0185042 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0123879 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0284725 # DEPENDENCYPART_SIBL
