# _root_ As they did when the Philippines was a colony of the U.S. , teachers for the most part teach in English , even though it is a foreign language for most Philippine children .
#goldHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,19,18,18,15,0,19,20,19,26,26,26,19,29,29,26,26,33,33,30,19,
#predictedHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,14,18,18,15,0,19,20,19,26,26,26,19,29,29,26,29,33,33,30,19,
(23,26),-0.897679 # DEPENDENCYPART_ARC
(23,28),-1.33932 # DEPENDENCYPART_ARC
(23,29),-1.63892 # DEPENDENCYPART_ARC
(23,30),-1.56474 # DEPENDENCYPART_ARC
(24,20),-1.57818 # DEPENDENCYPART_ARC
(24,23),0.0580994 # DEPENDENCYPART_ARC
(24,25),-0.202325 # DEPENDENCYPART_ARC
(24,26),-1.13298 # DEPENDENCYPART_ARC
(24,29),-1.98152 # DEPENDENCYPART_ARC
(24,30),-1.99148 # DEPENDENCYPART_ARC
(24,33),-2.55957 # DEPENDENCYPART_ARC
(25,29),-1.64473 # DEPENDENCYPART_ARC
(26,1),-2.07369 # DEPENDENCYPART_ARC
(26,3),-1.39633 # DEPENDENCYPART_ARC
(26,6),-1.41539 # DEPENDENCYPART_ARC
(26,7),-1.23018 # DEPENDENCYPART_ARC
(26,9),-1.29164 # DEPENDENCYPART_ARC
(26,12),-1.39586 # DEPENDENCYPART_ARC
(26,13),-2.61363 # DEPENDENCYPART_ARC
(26,14),-2.4422 # DEPENDENCYPART_ARC
(26,15),-2.13228 # DEPENDENCYPART_ARC
(26,18),-2.4801 # DEPENDENCYPART_ARC
(26,19),-1.46787 # DEPENDENCYPART_ARC
(26,20),-1.61818 # DEPENDENCYPART_ARC
(26,21),-2.20047 # DEPENDENCYPART_ARC
(26,22),-1.12639 # DEPENDENCYPART_ARC
(26,23),-0.790494 # DEPENDENCYPART_ARC
(26,24),-0.106689 # DEPENDENCYPART_ARC
(26,25),0.867635 # DEPENDENCYPART_ARC
(26,27),-0.114441 # DEPENDENCYPART_ARC
(26,28),-0.57729 # DEPENDENCYPART_ARC
(26,29),0.0145408 # DEPENDENCYPART_ARC
(26,30),-0.960366 # DEPENDENCYPART_ARC
(26,32),-1.24778 # DEPENDENCYPART_ARC
(26,33),-0.905544 # DEPENDENCYPART_ARC
(26,34),0.0952541 # DEPENDENCYPART_ARC
(27,28),-0.433786 # DEPENDENCYPART_ARC
(27,30),-1.26632 # DEPENDENCYPART_ARC
(28,24),-1.32664 # DEPENDENCYPART_ARC
(28,25),-1.57916 # DEPENDENCYPART_ARC
(28,27),0.074515 # DEPENDENCYPART_ARC
(28,30),-1.14153 # DEPENDENCYPART_ARC
(28,32),-1.21346 # DEPENDENCYPART_ARC
(28,33),-1.72745 # DEPENDENCYPART_ARC
(29,23),-1.66475 # DEPENDENCYPART_ARC
(29,24),-1.39384 # DEPENDENCYPART_ARC
(29,25),-1.20098 # DEPENDENCYPART_ARC
(29,27),0.283999 # DEPENDENCYPART_ARC
(29,28),1.5 # DEPENDENCYPART_ARC
(29,30),0.369888 # DEPENDENCYPART_ARC
(29,31),-1.33624 # DEPENDENCYPART_ARC
(29,32),-1.43172 # DEPENDENCYPART_ARC
(29,33),-1.65141 # DEPENDENCYPART_ARC
(29,34),-1.41226 # DEPENDENCYPART_ARC
(30,28),-1.58188 # DEPENDENCYPART_ARC
(30,29),-0.649661 # DEPENDENCYPART_ARC
(30,31),0.195192 # DEPENDENCYPART_ARC
(30,32),-0.754566 # DEPENDENCYPART_ARC
(30,33),-0.361186 # DEPENDENCYPART_ARC
(30,34),-1.08428 # DEPENDENCYPART_ARC
(31,29),-1.43563 # DEPENDENCYPART_ARC
(31,32),-0.268845 # DEPENDENCYPART_ARC
(32,28),-1.37276 # DEPENDENCYPART_ARC
(32,29),-1.1109 # DEPENDENCYPART_ARC
(32,31),0.062351 # DEPENDENCYPART_ARC
(33,23),-1.56509 # DEPENDENCYPART_ARC
(33,24),-1.54613 # DEPENDENCYPART_ARC
(33,27),-1.65418 # DEPENDENCYPART_ARC
(33,28),-0.829491 # DEPENDENCYPART_ARC
(33,29),-1.13555 # DEPENDENCYPART_ARC
(33,30),-1.18254 # DEPENDENCYPART_ARC
(33,31),0.383921 # DEPENDENCYPART_ARC
(33,32),1.51287 # DEPENDENCYPART_ARC
(33,34),-0.521313 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.118719 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.129025 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.12296 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.154261 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.222491 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.228335 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.238416 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.229688 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.238647 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.235539 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.019099 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0242894 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0294409 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0242894 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0299401 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0481852 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0299405 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0528936 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0867798 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.034616 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0143438 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00658646 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0143434 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00487126 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0287006 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0109899 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0302889 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0962787 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0376278 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0596032 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0395982 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0851028 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0411079 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.125734 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0560495 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0283969 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.125734 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0286789 # DEPENDENCYPART_SIBL
(3,1),(3,34),-0.102958 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0634563 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0326058 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0258652 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0335128 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0219987 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0289006 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00329315 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.057089 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0232063 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00329315 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.037459 # DEPENDENCYPART_SIBL
(3,2),(3,34),0.0700505 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0409281 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0355049 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0409283 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0583619 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0432955 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0380305 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0471933 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0189335 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0380305 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.0300145 # DEPENDENCYPART_SIBL
(3,5),(3,34),-0.00858529 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0405225 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0625508 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0608542 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0680114 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0406291 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.05981 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0261006 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0406291 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0185929 # DEPENDENCYPART_SIBL
(3,6),(3,34),0.00336758 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0527239 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.07291 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0550371 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.015462 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0783817 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0483286 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.015462 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0321078 # DEPENDENCYPART_SIBL
(3,7),(3,34),-0.010598 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0639577 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0698996 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0425241 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0643936 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0278161 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0425241 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.0203084 # DEPENDENCYPART_SIBL
(3,9),(3,34),0.00293302 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0641493 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0712092 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.127305 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0890468 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0712092 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.128943 # DEPENDENCYPART_SIBL
(3,10),(3,34),-0.0203738 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0294709 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0691442 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0309008 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0294709 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.0234005 # DEPENDENCYPART_SIBL
(3,12),(3,34),-0.00356105 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0502339 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.026368 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0447369 # DEPENDENCYPART_SIBL
(3,13),(3,26),-0.0124752 # DEPENDENCYPART_SIBL
(3,13),(3,34),-0.0227394 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0261511 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0324695 # DEPENDENCYPART_SIBL
(3,15),(3,26),-0.0773468 # DEPENDENCYPART_SIBL
(3,15),(3,34),0.0045587 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0320519 # DEPENDENCYPART_SIBL
(3,19),(3,26),-0.0350698 # DEPENDENCYPART_SIBL
(3,19),(3,34),-0.00341596 # DEPENDENCYPART_SIBL
(3,22),(3,26),-0.0124752 # DEPENDENCYPART_SIBL
(3,22),(3,34),-0.0227394 # DEPENDENCYPART_SIBL
(3,26),(3,34),0.00319695 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0138582 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0443384 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0414931 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00439101 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0498155 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00962126 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00438383 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00631998 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0204198 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00292742 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0111534 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00388406 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00293711 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0902117 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0147122 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.326305 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0303887 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0147056 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0220368 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00510579 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0265573 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0220337 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00415322 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0205982 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0143562 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00910715 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0226402 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0205596 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0811254 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0481744 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.144099 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0329716 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0131286 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.113186 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0666448 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0284854 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0976998 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0681553 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.111005 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.066504 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0113848 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0774217 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.000302059 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.111005 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0413437 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0449921 # DEPENDENCYPART_SIBL
(7,1),(7,26),-0.0105335 # DEPENDENCYPART_SIBL
(7,1),(7,34),-0.114141 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0699408 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0488266 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0288451 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0376075 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.111135 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0482337 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00453532 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0939787 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.043622 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00862862 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0480919 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0460289 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0534448 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0128252 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.00862862 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0133504 # DEPENDENCYPART_SIBL
(7,2),(7,24),-0.0613897 # DEPENDENCYPART_SIBL
(7,2),(7,26),0.0178643 # DEPENDENCYPART_SIBL
(7,2),(7,34),-0.0257869 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.101738 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0653791 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0413156 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.108524 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0139146 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0463618 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0942385 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0151428 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0473315 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0140571 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.061352 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.000779147 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0200142 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0473315 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.00838723 # DEPENDENCYPART_SIBL
