# _root_ The subsidiary also increased reserves by $ 140 million , however , and set aside an additional $ 25 million for claims connected with Hurricane Hugo .
#goldHeads=2,13,13,13,4,4,6,7,7,13,13,13,0,13,14,17,14,17,18,18,14,21,22,23,26,24,13,
#predictedHeads=2,4,4,13,4,4,6,7,7,4,4,13,0,13,14,17,14,17,18,18,17,21,22,23,26,24,13,
(4,27),-1.48617 # DEPENDENCYPART_ARC
(5,1),-1.33316 # DEPENDENCYPART_ARC
(5,2),-1.17954 # DEPENDENCYPART_ARC
(5,3),-0.69527 # DEPENDENCYPART_ARC
(5,4),0.526747 # DEPENDENCYPART_ARC
(5,6),0.454825 # DEPENDENCYPART_ARC
(5,7),-1.13859 # DEPENDENCYPART_ARC
(5,8),-1.29145 # DEPENDENCYPART_ARC
(5,9),-1.45321 # DEPENDENCYPART_ARC
(5,10),-1.43638 # DEPENDENCYPART_ARC
(5,11),-1.65812 # DEPENDENCYPART_ARC
(5,12),-1.56714 # DEPENDENCYPART_ARC
(5,13),-1.33154 # DEPENDENCYPART_ARC
(5,14),-1.6852 # DEPENDENCYPART_ARC
(5,16),-1.51294 # DEPENDENCYPART_ARC
(6,2),-1.52984 # DEPENDENCYPART_ARC
(6,3),-1.3478 # DEPENDENCYPART_ARC
(6,5),-0.36832 # DEPENDENCYPART_ARC
(6,7),-0.232335 # DEPENDENCYPART_ARC
(6,8),-0.94752 # DEPENDENCYPART_ARC
(6,9),-1.35966 # DEPENDENCYPART_ARC
(6,10),-1.20116 # DEPENDENCYPART_ARC
(6,11),-1.78496 # DEPENDENCYPART_ARC
(6,12),-1.66153 # DEPENDENCYPART_ARC
(6,13),-1.11498 # DEPENDENCYPART_ARC
(6,14),-1.72866 # DEPENDENCYPART_ARC
(6,15),-1.59752 # DEPENDENCYPART_ARC
(7,1),-1.67766 # DEPENDENCYPART_ARC
(7,3),-1.40391 # DEPENDENCYPART_ARC
(7,6),0.213336 # DEPENDENCYPART_ARC
(7,8),0.635526 # DEPENDENCYPART_ARC
(7,9),0.170578 # DEPENDENCYPART_ARC
(7,10),-0.843477 # DEPENDENCYPART_ARC
(7,11),-1.40109 # DEPENDENCYPART_ARC
(7,12),-1.55867 # DEPENDENCYPART_ARC
(7,13),-0.840024 # DEPENDENCYPART_ARC
(7,14),-1.24923 # DEPENDENCYPART_ARC
(7,17),-1.43712 # DEPENDENCYPART_ARC
(7,21),-1.84207 # DEPENDENCYPART_ARC
(7,23),-1.53706 # DEPENDENCYPART_ARC
(7,24),-1.78814 # DEPENDENCYPART_ARC
(7,27),-1.29153 # DEPENDENCYPART_ARC
(8,6),-1.39572 # DEPENDENCYPART_ARC
(8,7),-0.212942 # DEPENDENCYPART_ARC
(8,9),-0.482051 # DEPENDENCYPART_ARC
(8,10),-0.780291 # DEPENDENCYPART_ARC
(8,11),-1.25801 # DEPENDENCYPART_ARC
(8,12),-1.45822 # DEPENDENCYPART_ARC
(8,13),-1.11916 # DEPENDENCYPART_ARC
(8,14),-1.26673 # DEPENDENCYPART_ARC
(8,19),-1.59477 # DEPENDENCYPART_ARC
(9,7),-0.63758 # DEPENDENCYPART_ARC
(9,8),0.0707019 # DEPENDENCYPART_ARC
(9,10),-0.127159 # DEPENDENCYPART_ARC
(9,11),-1.27272 # DEPENDENCYPART_ARC
(9,14),-1.38984 # DEPENDENCYPART_ARC
(11,2),-1.73818 # DEPENDENCYPART_ARC
(11,5),-1.6652 # DEPENDENCYPART_ARC
(11,6),-1.71493 # DEPENDENCYPART_ARC
(11,7),-1.58242 # DEPENDENCYPART_ARC
(11,10),0.307615 # DEPENDENCYPART_ARC
(11,12),0.0156916 # DEPENDENCYPART_ARC
(11,13),-1.22557 # DEPENDENCYPART_ARC
(11,14),-1.43014 # DEPENDENCYPART_ARC
(11,15),-1.59886 # DEPENDENCYPART_ARC
(12,11),-0.181327 # DEPENDENCYPART_ARC
(13,1),-1.59474 # DEPENDENCYPART_ARC
(13,2),-0.70016 # DEPENDENCYPART_ARC
(13,3),-0.1779 # DEPENDENCYPART_ARC
(13,4),0.582167 # DEPENDENCYPART_ARC
(13,5),-0.494484 # DEPENDENCYPART_ARC
(13,6),-0.533002 # DEPENDENCYPART_ARC
(13,7),-0.447121 # DEPENDENCYPART_ARC
(13,8),-0.474332 # DEPENDENCYPART_ARC
(13,9),-0.412112 # DEPENDENCYPART_ARC
(13,10),-0.862947 # DEPENDENCYPART_ARC
(13,11),-0.441621 # DEPENDENCYPART_ARC
(13,12),1.69471 # DEPENDENCYPART_ARC
(13,14),1.40034 # DEPENDENCYPART_ARC
(13,15),-0.621175 # DEPENDENCYPART_ARC
(13,16),-1.18059 # DEPENDENCYPART_ARC
(13,17),-1.22063 # DEPENDENCYPART_ARC
(13,18),-1.06284 # DEPENDENCYPART_ARC
(13,19),-1.352 # DEPENDENCYPART_ARC
(13,20),-1.42679 # DEPENDENCYPART_ARC
(13,21),-1.49885 # DEPENDENCYPART_ARC
(13,22),-1.89821 # DEPENDENCYPART_ARC
(13,23),-1.66596 # DEPENDENCYPART_ARC
(13,26),-2.10012 # DEPENDENCYPART_ARC
(13,27),0.930944 # DEPENDENCYPART_ARC
(14,2),-2.10108 # DEPENDENCYPART_ARC
(14,3),-2.27346 # DEPENDENCYPART_ARC
(14,4),-1.89448 # DEPENDENCYPART_ARC
(14,5),-1.74002 # DEPENDENCYPART_ARC
(14,6),-1.63763 # DEPENDENCYPART_ARC
(14,7),-1.92999 # DEPENDENCYPART_ARC
(14,10),-2.37228 # DEPENDENCYPART_ARC
(14,11),-2.00346 # DEPENDENCYPART_ARC
(14,12),-1.23975 # DEPENDENCYPART_ARC
(14,13),-0.443206 # DEPENDENCYPART_ARC
(14,15),0.822491 # DEPENDENCYPART_ARC
(14,16),-0.517271 # DEPENDENCYPART_ARC
(14,17),-0.574283 # DEPENDENCYPART_ARC
(14,18),-0.757682 # DEPENDENCYPART_ARC
(14,19),-1.02 # DEPENDENCYPART_ARC
(14,21),-0.442674 # DEPENDENCYPART_ARC
(14,22),-0.998576 # DEPENDENCYPART_ARC
(14,23),-0.566332 # DEPENDENCYPART_ARC
(14,24),-0.940255 # DEPENDENCYPART_ARC
(14,26),-1.51232 # DEPENDENCYPART_ARC
(14,27),-0.579255 # DEPENDENCYPART_ARC
(15,2),-1.72771 # DEPENDENCYPART_ARC
(15,5),-1.66557 # DEPENDENCYPART_ARC
(15,7),-1.83846 # DEPENDENCYPART_ARC
(15,16),0.102443 # DEPENDENCYPART_ARC
(15,17),-0.708114 # DEPENDENCYPART_ARC
(15,18),-0.878365 # DEPENDENCYPART_ARC
(15,19),-0.969687 # DEPENDENCYPART_ARC
(15,20),-1.03298 # DEPENDENCYPART_ARC
(15,21),-1.01091 # DEPENDENCYPART_ARC
(15,22),-1.24769 # DEPENDENCYPART_ARC
(15,24),-1.18774 # DEPENDENCYPART_ARC
(16,15),0.0148025 # DEPENDENCYPART_ARC
(16,17),-0.315905 # DEPENDENCYPART_ARC
(17,15),-0.806962 # DEPENDENCYPART_ARC
(17,16),0.290631 # DEPENDENCYPART_ARC
(17,18),0.508672 # DEPENDENCYPART_ARC
(17,19),-0.764682 # DEPENDENCYPART_ARC
(17,20),-0.988728 # DEPENDENCYPART_ARC
(17,21),-0.618218 # DEPENDENCYPART_ARC
(17,22),-1.14973 # DEPENDENCYPART_ARC
(17,23),-0.880018 # DEPENDENCYPART_ARC
(17,24),-0.923295 # DEPENDENCYPART_ARC
(18,15),-0.756175 # DEPENDENCYPART_ARC
(18,16),-0.92905 # DEPENDENCYPART_ARC
(18,17),0.0921425 # DEPENDENCYPART_ARC
(18,19),0.743854 # DEPENDENCYPART_ARC
(18,20),0.195297 # DEPENDENCYPART_ARC
(18,21),-0.935062 # DEPENDENCYPART_ARC
(18,22),-1.12108 # DEPENDENCYPART_ARC
(18,23),-0.94865 # DEPENDENCYPART_ARC
(18,24),-1.33971 # DEPENDENCYPART_ARC
(18,25),-1.54071 # DEPENDENCYPART_ARC
(18,26),-1.64966 # DEPENDENCYPART_ARC
(18,27),-0.958339 # DEPENDENCYPART_ARC
(19,16),-1.32046 # DEPENDENCYPART_ARC
(19,17),-1.22535 # DEPENDENCYPART_ARC
(19,18),-0.198079 # DEPENDENCYPART_ARC
(19,20),-0.537305 # DEPENDENCYPART_ARC
(19,21),-0.814301 # DEPENDENCYPART_ARC
(19,23),-0.998801 # DEPENDENCYPART_ARC
(19,26),-1.51445 # DEPENDENCYPART_ARC
(20,16),-1.12212 # DEPENDENCYPART_ARC
(20,17),-1.08509 # DEPENDENCYPART_ARC
(20,18),-0.758323 # DEPENDENCYPART_ARC
(20,19),-0.116275 # DEPENDENCYPART_ARC
(20,21),-0.0960308 # DEPENDENCYPART_ARC
(20,23),-0.857813 # DEPENDENCYPART_ARC
(20,26),-1.45935 # DEPENDENCYPART_ARC
(21,18),-1.28493 # DEPENDENCYPART_ARC
(21,19),-1.36791 # DEPENDENCYPART_ARC
(21,20),-0.429448 # DEPENDENCYPART_ARC
(21,22),0.577878 # DEPENDENCYPART_ARC
(21,23),-0.913901 # DEPENDENCYPART_ARC
(21,24),-1.26387 # DEPENDENCYPART_ARC
(21,25),-1.96399 # DEPENDENCYPART_ARC
(21,26),-1.7831 # DEPENDENCYPART_ARC
(22,15),-2.00693 # DEPENDENCYPART_ARC
(22,16),-2.00555 # DEPENDENCYPART_ARC
(22,17),-1.84318 # DEPENDENCYPART_ARC
(22,18),-1.90946 # DEPENDENCYPART_ARC
(22,19),-1.85788 # DEPENDENCYPART_ARC
(22,20),-1.28504 # DEPENDENCYPART_ARC
(22,23),0.498526 # DEPENDENCYPART_ARC
(22,24),-0.618597 # DEPENDENCYPART_ARC
(22,26),-1.43346 # DEPENDENCYPART_ARC
(23,4),-2.13953 # DEPENDENCYPART_ARC
(23,6),-2.19466 # DEPENDENCYPART_ARC
(23,12),-2.40322 # DEPENDENCYPART_ARC
(23,13),-1.48988 # DEPENDENCYPART_ARC
(23,21),-0.69338 # DEPENDENCYPART_ARC
(23,22),-0.286543 # DEPENDENCYPART_ARC
(23,24),0.614719 # DEPENDENCYPART_ARC
(23,25),-1.10178 # DEPENDENCYPART_ARC
(23,26),-1.13408 # DEPENDENCYPART_ARC
(23,27),-0.350832 # DEPENDENCYPART_ARC
(24,22),-1.34992 # DEPENDENCYPART_ARC
(24,25),0.101038 # DEPENDENCYPART_ARC
(24,26),-0.554041 # DEPENDENCYPART_ARC
(25,26),-0.713018 # DEPENDENCYPART_ARC
(26,22),-1.47826 # DEPENDENCYPART_ARC
(26,24),-1.1303 # DEPENDENCYPART_ARC
(26,25),1.44334 # DEPENDENCYPART_ARC
(26,27),-0.280918 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.100007 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0496106 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0919198 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.104072 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0249238 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0622176 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.131954 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.165193 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0500589 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0919175 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.102829 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0249238 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.132275 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0419065 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0500477 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0355396 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.105312 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0192234 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.104659 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0254397 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.148905 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.133796 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00655993 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.047381 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00655993 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0235291 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.152317 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0145263 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.106609 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.125334 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0266091 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0221747 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00619462 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0110578 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0388703 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0462747 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0200263 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0301651 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0200263 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.014302 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0100098 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0142137 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0149761 # DEPENDENCYPART_SIBL
(2,3),(2,27),0.0223726 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0180175 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00286406 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0146758 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0223797 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0282263 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0174107 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.023938 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0174107 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.029192 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.000326713 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.013198 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.010536 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.00468992 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0147248 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00728822 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0094335 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0153777 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0365678 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0162786 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0365678 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0364736 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00216753 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.00169834 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0026778 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.0197612 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00450543 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0107446 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.019192 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00445082 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0126317 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00445082 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0150342 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0227128 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0233819 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0215197 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.0443295 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0400353 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0493019 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0122524 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.035485 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0122524 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0267339 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0420651 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0220406 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0215787 # DEPENDENCYPART_SIBL
(2,7),(2,27),0.0151516 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00655171 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0113981 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0202676 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0113981 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0143076 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.00416865 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00682367 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0103021 # DEPENDENCYPART_SIBL
(2,8),(2,27),0.0202864 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00253428 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0407394 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00253428 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.03286 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00862764 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0272965 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0144795 # DEPENDENCYPART_SIBL
(2,9),(2,27),0.0103898 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0133233 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0568535 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0232947 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0524844 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0187339 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00853914 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.005409 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0159579 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00635539 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0102496 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0164948 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0137268 # DEPENDENCYPART_SIBL
(2,11),(2,27),0.0263093 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0232947 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0524844 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0187339 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00853914 # DEPENDENCYPART_SIBL
(2,12),(2,27),0.005409 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.00227974 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0059687 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0180948 # DEPENDENCYPART_SIBL
(2,13),(2,27),0.00103415 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.00513408 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.00306264 # DEPENDENCYPART_SIBL
(2,14),(2,27),0.00752247 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0111591 # DEPENDENCYPART_SIBL
(2,15),(2,27),0.00718837 # DEPENDENCYPART_SIBL
(2,16),(2,27),0.00928266 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0622838 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.146593 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0522754 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0074679 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00344287 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00255382 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0529934 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00577471 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0130715 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00313141 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0179478 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.000728234 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0292414 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0129843 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0676971 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0352722 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0738401 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.044502 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0902805 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0178955 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.031992 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0202563 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0767658 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0811447 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0767658 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0396868 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0404266 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0847732 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.016663 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.126524 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0450334 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0423955 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0852348 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0149741 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0283798 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0532424 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0599743 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00701561 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0106306 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0177953 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0383156 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0177953 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0020126 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0200169 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00227936 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0190658 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00824096 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0150373 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0375231 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.023642 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0293246 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0746895 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0973429 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0486968 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0383818 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0516165 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0442912 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0516165 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.021599 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0356999 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0448721 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0346032 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0369643 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0277789 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0458628 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.15017 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0549616 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00899487 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0249362 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0169924 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.121675 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0725796 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.121675 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0458416 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0420503 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0535453 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00653942 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0275784 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0515637 # DEPENDENCYPART_SIBL
