# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,12,15,13,2,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(13,14),-0.831672 # DEPENDENCYPART_ARC
(13,15),0.826936 # DEPENDENCYPART_ARC
(13,16),-0.898521 # DEPENDENCYPART_ARC
(13,17),-1.79908 # DEPENDENCYPART_ARC
(13,19),-0.49652 # DEPENDENCYPART_ARC
(13,20),-1.23956 # DEPENDENCYPART_ARC
(13,21),-1.19694 # DEPENDENCYPART_ARC
(13,34),-2.86018 # DEPENDENCYPART_ARC
(15,10),-1.69435 # DEPENDENCYPART_ARC
(15,11),-1.62435 # DEPENDENCYPART_ARC
(15,12),-1.55037 # DEPENDENCYPART_ARC
(15,13),-1.49927 # DEPENDENCYPART_ARC
(15,14),1.76402 # DEPENDENCYPART_ARC
(15,16),-0.128572 # DEPENDENCYPART_ARC
(15,17),-1.5423 # DEPENDENCYPART_ARC
(15,19),-1.51849 # DEPENDENCYPART_ARC
(15,20),-1.55921 # DEPENDENCYPART_ARC
(15,21),-1.67495 # DEPENDENCYPART_ARC
(15,24),-1.79555 # DEPENDENCYPART_ARC
(16,2),-2.2552 # DEPENDENCYPART_ARC
(16,6),-2.62332 # DEPENDENCYPART_ARC
(16,7),-1.87267 # DEPENDENCYPART_ARC
(16,8),-1.31988 # DEPENDENCYPART_ARC
(16,9),-1.94859 # DEPENDENCYPART_ARC
(16,11),-1.80025 # DEPENDENCYPART_ARC
(16,12),-1.56103 # DEPENDENCYPART_ARC
(16,13),-1.12513 # DEPENDENCYPART_ARC
(16,14),-1.29092 # DEPENDENCYPART_ARC
(16,15),-0.787982 # DEPENDENCYPART_ARC
(16,17),-0.120862 # DEPENDENCYPART_ARC
(16,18),-0.698649 # DEPENDENCYPART_ARC
(16,19),0.177341 # DEPENDENCYPART_ARC
(16,20),-1.06771 # DEPENDENCYPART_ARC
(16,21),-1.00959 # DEPENDENCYPART_ARC
(16,22),-1.2074 # DEPENDENCYPART_ARC
(16,23),-1.60982 # DEPENDENCYPART_ARC
(16,24),-1.02682 # DEPENDENCYPART_ARC
(16,26),-2.00292 # DEPENDENCYPART_ARC
(16,29),-1.64654 # DEPENDENCYPART_ARC
(16,30),-1.54762 # DEPENDENCYPART_ARC
(16,33),-2.43959 # DEPENDENCYPART_ARC
(17,14),-1.73663 # DEPENDENCYPART_ARC
(17,15),-1.88274 # DEPENDENCYPART_ARC
(17,16),-1.35231 # DEPENDENCYPART_ARC
(17,18),-0.723491 # DEPENDENCYPART_ARC
(17,20),-1.11878 # DEPENDENCYPART_ARC
(17,21),-1.25519 # DEPENDENCYPART_ARC
(17,22),-1.79867 # DEPENDENCYPART_ARC
(17,24),-1.57728 # DEPENDENCYPART_ARC
(18,17),0.0521295 # DEPENDENCYPART_ARC
(19,6),-3.47148 # DEPENDENCYPART_ARC
(19,10),-2.08634 # DEPENDENCYPART_ARC
(19,11),-1.40111 # DEPENDENCYPART_ARC
(19,12),-2.16553 # DEPENDENCYPART_ARC
(19,14),-0.228888 # DEPENDENCYPART_ARC
(19,15),-1.3189 # DEPENDENCYPART_ARC
(19,16),-0.849557 # DEPENDENCYPART_ARC
(19,17),1.19794 # DEPENDENCYPART_ARC
(19,18),1.62673 # DEPENDENCYPART_ARC
(19,20),-0.901268 # DEPENDENCYPART_ARC
(19,21),-1.12737 # DEPENDENCYPART_ARC
(19,22),-1.69874 # DEPENDENCYPART_ARC
(19,23),-2.02402 # DEPENDENCYPART_ARC
(19,24),-2.0029 # DEPENDENCYPART_ARC
(19,29),-2.96447 # DEPENDENCYPART_ARC
(19,30),-2.57666 # DEPENDENCYPART_ARC
(19,33),-3.32127 # DEPENDENCYPART_ARC
(19,34),-3.19917 # DEPENDENCYPART_ARC
(21,1),-2.05219 # DEPENDENCYPART_ARC
(21,2),-1.36473 # DEPENDENCYPART_ARC
(21,3),-2.28932 # DEPENDENCYPART_ARC
(21,4),-1.08241 # DEPENDENCYPART_ARC
(21,5),-1.50091 # DEPENDENCYPART_ARC
(21,6),-2.34348 # DEPENDENCYPART_ARC
(21,7),-1.78915 # DEPENDENCYPART_ARC
(21,8),-1.57974 # DEPENDENCYPART_ARC
(21,9),-1.92629 # DEPENDENCYPART_ARC
(21,11),-1.0252 # DEPENDENCYPART_ARC
(21,12),-1.48457 # DEPENDENCYPART_ARC
(21,13),-1.1961 # DEPENDENCYPART_ARC
(21,14),-1.72331 # DEPENDENCYPART_ARC
(21,15),-0.387496 # DEPENDENCYPART_ARC
(21,16),-1.5933 # DEPENDENCYPART_ARC
(21,17),-1.51546 # DEPENDENCYPART_ARC
(21,18),-1.29265 # DEPENDENCYPART_ARC
(21,19),-0.234031 # DEPENDENCYPART_ARC
(21,20),-0.692322 # DEPENDENCYPART_ARC
(21,22),0.609962 # DEPENDENCYPART_ARC
(21,23),0.490646 # DEPENDENCYPART_ARC
(21,24),0.158183 # DEPENDENCYPART_ARC
(21,25),-1.97271 # DEPENDENCYPART_ARC
(21,26),-1.12237 # DEPENDENCYPART_ARC
(21,27),-2.28854 # DEPENDENCYPART_ARC
(21,28),-1.15882 # DEPENDENCYPART_ARC
(21,29),-0.824884 # DEPENDENCYPART_ARC
(21,30),-0.358317 # DEPENDENCYPART_ARC
(21,33),-2.10483 # DEPENDENCYPART_ARC
(21,34),1.13448 # DEPENDENCYPART_ARC
(22,23),-1.26396 # DEPENDENCYPART_ARC
(22,24),-1.27422 # DEPENDENCYPART_ARC
(22,26),-2.13645 # DEPENDENCYPART_ARC
(22,27),-2.27138 # DEPENDENCYPART_ARC
(22,29),-2.76935 # DEPENDENCYPART_ARC
(23,2),-3.09125 # DEPENDENCYPART_ARC
(23,13),-1.96561 # DEPENDENCYPART_ARC
(23,17),-1.77772 # DEPENDENCYPART_ARC
(23,18),-1.60576 # DEPENDENCYPART_ARC
(23,19),-1.96875 # DEPENDENCYPART_ARC
(23,22),0.996644 # DEPENDENCYPART_ARC
(23,24),-0.113133 # DEPENDENCYPART_ARC
(23,25),-1.92226 # DEPENDENCYPART_ARC
(23,26),-1.6965 # DEPENDENCYPART_ARC
(23,27),-1.76327 # DEPENDENCYPART_ARC
(23,28),-1.84862 # DEPENDENCYPART_ARC
(23,29),-2.2221 # DEPENDENCYPART_ARC
(23,30),-1.76868 # DEPENDENCYPART_ARC
(23,33),-2.40195 # DEPENDENCYPART_ARC
(24,22),-1.22624 # DEPENDENCYPART_ARC
(24,23),-1.55701 # DEPENDENCYPART_ARC
(24,25),-1.17535 # DEPENDENCYPART_ARC
(24,26),-1.10318 # DEPENDENCYPART_ARC
(24,27),-1.86883 # DEPENDENCYPART_ARC
(24,28),-1.23107 # DEPENDENCYPART_ARC
(24,29),-0.428103 # DEPENDENCYPART_ARC
(24,30),-1.65693 # DEPENDENCYPART_ARC
(24,33),-1.8808 # DEPENDENCYPART_ARC
(25,26),-1.6949 # DEPENDENCYPART_ARC
(25,27),-2.11467 # DEPENDENCYPART_ARC
(26,22),-1.78675 # DEPENDENCYPART_ARC
(26,23),-1.72479 # DEPENDENCYPART_ARC
(26,25),-0.926154 # DEPENDENCYPART_ARC
(26,27),-0.617031 # DEPENDENCYPART_ARC
(26,28),-1.0113 # DEPENDENCYPART_ARC
(26,30),-1.39844 # DEPENDENCYPART_ARC
(26,33),-2.14434 # DEPENDENCYPART_ARC
(27,23),-1.96638 # DEPENDENCYPART_ARC
(27,24),-1.41143 # DEPENDENCYPART_ARC
(27,25),-0.604955 # DEPENDENCYPART_ARC
(27,26),-0.48796 # DEPENDENCYPART_ARC
(27,28),-0.83547 # DEPENDENCYPART_ARC
(28,25),-1.52257 # DEPENDENCYPART_ARC
(28,26),-0.57367 # DEPENDENCYPART_ARC
(28,27),0.705869 # DEPENDENCYPART_ARC
(28,30),-1.79839 # DEPENDENCYPART_ARC
(28,33),-2.55274 # DEPENDENCYPART_ARC
(29,14),-1.76275 # DEPENDENCYPART_ARC
(29,19),-2.04345 # DEPENDENCYPART_ARC
(29,22),-1.825 # DEPENDENCYPART_ARC
(29,23),-2.12971 # DEPENDENCYPART_ARC
(29,24),-1.51566 # DEPENDENCYPART_ARC
(29,25),0.449554 # DEPENDENCYPART_ARC
(29,26),0.3031 # DEPENDENCYPART_ARC
(29,27),0.0598216 # DEPENDENCYPART_ARC
(29,28),1.36346 # DEPENDENCYPART_ARC
(29,30),0.569151 # DEPENDENCYPART_ARC
(29,31),-1.42317 # DEPENDENCYPART_ARC
(29,32),-0.889397 # DEPENDENCYPART_ARC
(29,33),-1.49156 # DEPENDENCYPART_ARC
(29,34),-1.78827 # DEPENDENCYPART_ARC
(30,29),-1.71816 # DEPENDENCYPART_ARC
(30,31),1.10641 # DEPENDENCYPART_ARC
(30,32),0.210736 # DEPENDENCYPART_ARC
(30,33),-0.0585698 # DEPENDENCYPART_ARC
(31,32),-1.4615 # DEPENDENCYPART_ARC
(32,25),-3.08708 # DEPENDENCYPART_ARC
(32,27),-2.57794 # DEPENDENCYPART_ARC
(32,31),-0.250825 # DEPENDENCYPART_ARC
(33,14),-1.65164 # DEPENDENCYPART_ARC
(33,17),-1.67531 # DEPENDENCYPART_ARC
(33,22),-1.79078 # DEPENDENCYPART_ARC
(33,23),-1.9536 # DEPENDENCYPART_ARC
(33,25),-1.33023 # DEPENDENCYPART_ARC
(33,26),-0.774857 # DEPENDENCYPART_ARC
(33,27),-1.39012 # DEPENDENCYPART_ARC
(33,28),-0.252706 # DEPENDENCYPART_ARC
(33,29),-0.805968 # DEPENDENCYPART_ARC
(33,30),-1.08992 # DEPENDENCYPART_ARC
(33,31),1.26779 # DEPENDENCYPART_ARC
(33,32),2.39211 # DEPENDENCYPART_ARC
(34,33),-2.59951 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.771899 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.804197 # DEPENDENCYPART_SIBL
(0,9),(0,21),-1.69288 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0324735 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.231199 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.123501 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0310665 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0537799 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0173828 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0560282 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0467624 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.050506 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.109766 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0374802 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0530137 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.166071 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.345892 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0917347 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0248112 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0453222 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0454128 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0315263 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.132005 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0520344 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0489744 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0259395 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.128634 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.177967 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0196367 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0454128 # DEPENDENCYPART_SIBL
(2,1),(2,34),-0.125789 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0498876 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0334877 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0922065 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.109284 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0167674 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0649228 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0635642 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0950035 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.159952 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0718141 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0334877 # DEPENDENCYPART_SIBL
(2,3),(2,34),-0.00659793 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00813118 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0286377 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0733883 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0645548 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0545568 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0559842 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0763449 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0484853 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0352931 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.00813118 # DEPENDENCYPART_SIBL
(2,4),(2,34),-0.0279958 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.23652 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.101293 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.208529 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.593698 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.596875 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.392673 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.203572 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.526201 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.108167 # DEPENDENCYPART_SIBL
(2,5),(2,34),0.00569634 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.146891 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0841573 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.042492 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0364789 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0669736 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.159572 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0948758 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0402705 # DEPENDENCYPART_SIBL
(2,6),(2,34),-0.107388 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.120834 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.173676 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0753396 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0102392 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00222444 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0604719 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0345729 # DEPENDENCYPART_SIBL
(2,7),(2,34),-0.0781265 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0199912 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0289114 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.038932 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.078725 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0451371 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0433794 # DEPENDENCYPART_SIBL
(2,8),(2,34),-0.06913 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00704403 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0111812 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0253375 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00239748 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.253708 # DEPENDENCYPART_SIBL
(2,9),(2,34),0.0389222 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0492444 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0160127 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0796922 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0114684 # DEPENDENCYPART_SIBL
(2,11),(2,34),0.0438378 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0505479 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0181234 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0357919 # DEPENDENCYPART_SIBL
(2,12),(2,34),0.0504247 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0229927 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0611036 # DEPENDENCYPART_SIBL
(2,13),(2,34),0.00490443 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.17659 # DEPENDENCYPART_SIBL
(2,16),(2,34),0.0123953 # DEPENDENCYPART_SIBL
(2,20),(2,34),0.00569634 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.320507 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.246272 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.122535 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.688434 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0380733 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0249974 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.027454 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.149219 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.462901 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.60305 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0200107 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0146421 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0269356 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0774231 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.075871 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0408427 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0146421 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.141293 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0265861 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0340723 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.117897 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0762554 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.013974 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0265861 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.00659566 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.243416 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.1469 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.212177 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.529655 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.146843 # DEPENDENCYPART_SIBL
(4,5),(4,34),0.0434101 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.124558 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0792837 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0618113 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0242586 # DEPENDENCYPART_SIBL
(4,6),(4,34),-0.082402 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.106113 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.189416 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00544129 # DEPENDENCYPART_SIBL
(4,7),(4,34),-0.0370543 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0427835 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0354105 # DEPENDENCYPART_SIBL
(4,8),(4,34),-0.0475592 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.256296 # DEPENDENCYPART_SIBL
(4,9),(4,34),0.0604333 # DEPENDENCYPART_SIBL
(4,20),(4,34),0.0434101 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00920548 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.152609 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0323859 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.022463 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0206941 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0367931 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.119568 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0479903 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0382566 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.215381 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0374973 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0545821 # DEPENDENCYPART_SIBL
