# _root_ Next spring , nearly 30 % of its suits will have pleated pants , compared with virtually none a couple of years ago .
#goldHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
#predictedHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
(2,5),(2,15),-0.0189802 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0386341 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0040224 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0170122 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0295138 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0115657 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0266799 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0232363 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0113929 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0180848 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00482786 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0274387 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00111249 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0288161 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0197856 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0754905 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0872386 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0204296 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0171793 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0164583 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00593801 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0126047 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0510446 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.016603 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.020066 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0183855 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00585877 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0061474 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0230631 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00434463 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.00153218 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0146762 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0161932 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0267246 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.00159339 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0382128 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0169884 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0357808 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00592351 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0889269 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0233942 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.00689732 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.017971 # DEPENDENCYPART_SIBL
(2,11),(2,24),-2.06994e-05 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0095025 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.00709229 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0115326 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.00574971 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.00500983 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0467095 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0456037 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.035285 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0259914 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0263965 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.00373565 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.00249004 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.011451 # DEPENDENCYPART_SIBL
(2,16),(2,24),-0.0292294 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.00632185 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00971168 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0394837 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0460086 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.105485 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0077297 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.111443 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00849337 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0591825 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.116697 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.123302 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0100358 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00668606 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0888453 # DEPENDENCYPART_SIBL
(4,2),(4,5),-5.41256e-05 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.157548 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0454956 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.190613 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0181142 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0494037 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.189079 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0757174 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0146461 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0187797 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0227309 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.209254 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0404833 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.211439 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0552252 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0952009 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.208211 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.57243 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0354463 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0334919 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0201402 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0407486 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0436772 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0188176 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0370503 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0436772 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0357933 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00760374 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0231681 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0404644 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0486239 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0224899 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00298274 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0484515 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0290513 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.020596 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0323909 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0486788 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.000269709 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0193392 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0493221 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0078117 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0273572 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.023053 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0128345 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00604889 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0478155 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00400664 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0219069 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.033418 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0329458 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.019625 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.00714525 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00611145 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00565666 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0287815 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.051064 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0659366 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00694381 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.000363206 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0103766 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0320132 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00184826 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0112535 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0357809 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0179384 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0151992 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.104376 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0107089 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0577627 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0102739 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0176725 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0468874 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.113673 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.047759 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0887126 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0157242 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0201858 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.105521 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0486187 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0648946 # DEPENDENCYPART_SIBL
