# _root_ `` Because of distance , it takes a while for them to appreciate the economic stability we 've achieved , '' says one economic policymaker .
#goldHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
#predictedHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
(16,24),-1.92526 # DEPENDENCYPART_ARC
(16,25),-1.65958 # DEPENDENCYPART_ARC
(16,26),-2.25898 # DEPENDENCYPART_ARC
(17,22),-2.23019 # DEPENDENCYPART_ARC
(17,25),-2.35535 # DEPENDENCYPART_ARC
(18,1),-1.55047 # DEPENDENCYPART_ARC
(18,2),-1.58856 # DEPENDENCYPART_ARC
(18,3),-2.39656 # DEPENDENCYPART_ARC
(18,4),-2.59602 # DEPENDENCYPART_ARC
(18,5),-1.55404 # DEPENDENCYPART_ARC
(18,7),-1.68201 # DEPENDENCYPART_ARC
(18,9),-1.21622 # DEPENDENCYPART_ARC
(18,10),-0.911816 # DEPENDENCYPART_ARC
(18,11),-1.60566 # DEPENDENCYPART_ARC
(18,12),-1.41891 # DEPENDENCYPART_ARC
(18,13),-1.66966 # DEPENDENCYPART_ARC
(18,14),-1.23282 # DEPENDENCYPART_ARC
(18,15),-1.1443 # DEPENDENCYPART_ARC
(18,16),-0.655981 # DEPENDENCYPART_ARC
(18,17),1.13599 # DEPENDENCYPART_ARC
(18,19),1.45063 # DEPENDENCYPART_ARC
(18,20),-1.16437 # DEPENDENCYPART_ARC
(18,21),-1.3894 # DEPENDENCYPART_ARC
(18,22),-1.88022 # DEPENDENCYPART_ARC
(18,25),-2.21284 # DEPENDENCYPART_ARC
(18,26),-1.84232 # DEPENDENCYPART_ARC
(19,2),-1.97373 # DEPENDENCYPART_ARC
(19,5),-2.12482 # DEPENDENCYPART_ARC
(19,9),-1.71142 # DEPENDENCYPART_ARC
(19,10),-1.23723 # DEPENDENCYPART_ARC
(19,15),-1.72367 # DEPENDENCYPART_ARC
(19,16),-1.27815 # DEPENDENCYPART_ARC
(19,17),-1.35548 # DEPENDENCYPART_ARC
(19,18),-0.883017 # DEPENDENCYPART_ARC
(19,20),-0.207503 # DEPENDENCYPART_ARC
(19,21),-1.51155 # DEPENDENCYPART_ARC
(19,22),-1.91947 # DEPENDENCYPART_ARC
(19,23),-2.42384 # DEPENDENCYPART_ARC
(19,25),-2.38861 # DEPENDENCYPART_ARC
(19,26),-2.77122 # DEPENDENCYPART_ARC
(22,1),0.246362 # DEPENDENCYPART_ARC
(22,2),-1.86938 # DEPENDENCYPART_ARC
(22,4),-1.92617 # DEPENDENCYPART_ARC
(22,5),-2.97514 # DEPENDENCYPART_ARC
(22,7),-1.45593 # DEPENDENCYPART_ARC
(22,9),-2.95096 # DEPENDENCYPART_ARC
(22,10),-2.08734 # DEPENDENCYPART_ARC
(22,11),-2.50661 # DEPENDENCYPART_ARC
(22,13),-1.22025 # DEPENDENCYPART_ARC
(22,14),-2.05608 # DEPENDENCYPART_ARC
(22,15),-1.80426 # DEPENDENCYPART_ARC
(22,16),-2.3906 # DEPENDENCYPART_ARC
(22,17),-2.03355 # DEPENDENCYPART_ARC
(22,18),-1.17798 # DEPENDENCYPART_ARC
(22,19),-0.887776 # DEPENDENCYPART_ARC
(22,20),-0.342752 # DEPENDENCYPART_ARC
(22,21),0.546558 # DEPENDENCYPART_ARC
(22,23),0.329314 # DEPENDENCYPART_ARC
(22,24),-0.389384 # DEPENDENCYPART_ARC
(22,25),-0.178305 # DEPENDENCYPART_ARC
(22,26),0.386426 # DEPENDENCYPART_ARC
(23,21),-1.2023 # DEPENDENCYPART_ARC
(23,24),0.105514 # DEPENDENCYPART_ARC
(23,25),-0.936046 # DEPENDENCYPART_ARC
(23,26),-1.06787 # DEPENDENCYPART_ARC
(24,23),-0.41468 # DEPENDENCYPART_ARC
(24,25),-0.420815 # DEPENDENCYPART_ARC
(25,13),-2.00292 # DEPENDENCYPART_ARC
(25,14),-2.4335 # DEPENDENCYPART_ARC
(25,15),-1.79979 # DEPENDENCYPART_ARC
(25,18),-1.8982 # DEPENDENCYPART_ARC
(25,19),-1.8813 # DEPENDENCYPART_ARC
(25,20),-1.71011 # DEPENDENCYPART_ARC
(25,21),-1.24924 # DEPENDENCYPART_ARC
(25,22),-0.979327 # DEPENDENCYPART_ARC
(25,23),0.0597394 # DEPENDENCYPART_ARC
(25,24),1.48129 # DEPENDENCYPART_ARC
(25,26),-0.460056 # DEPENDENCYPART_ARC
(26,25),-0.486635 # DEPENDENCYPART_ARC
(0,7),(0,22),-0.258639 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.150601 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0124915 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.191015 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0304465 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0107311 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0402683 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0556707 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.453859 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.00164935 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.479351 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.180304 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.138206 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.463565 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0982962 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.104496 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.13664 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.145503 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0129099 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0448242 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0507058 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0422703 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0413593 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.00997259 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.0284598 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00128434 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0131174 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00764868 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0155538 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0266818 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.00654493 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0278228 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0142859 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0252662 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0412875 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0590981 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0471942 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0411381 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0104033 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.0281029 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00618117 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0686064 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.060963 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0551202 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.0839648 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.0511287 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0183064 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0750897 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.193667 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0358229 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00334594 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.149909 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0733975 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0129485 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0560913 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0157096 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0350958 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00624071 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0997984 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00679509 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00301786 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0736572 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0934079 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0997984 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.825776 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.00226479 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0673745 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0166869 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0263124 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0462801 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00817566 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.020402 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0166869 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0175064 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.03637 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0692629 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0359148 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0363098 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0415895 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0130545 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0692629 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0172925 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.00363244 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00967485 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00975465 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00752628 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0300244 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0214636 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0719859 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.00556187 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00553565 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0182727 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00761956 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0069397 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.021296 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.00134457 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0213254 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0119851 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0247991 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0762542 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0029372 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0186283 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.00111612 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0206127 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0171637 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.00845866 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0246662 # DEPENDENCYPART_SIBL
(4,16),(4,26),0.0241705 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0719859 # DEPENDENCYPART_SIBL
(4,20),(4,26),-0.00556187 # DEPENDENCYPART_SIBL
(4,21),(4,26),-0.000280794 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0275264 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.050464 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0693095 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.00169188 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.026757 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0400607 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0054901 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.120664 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.078639 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0771831 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.022221 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0353023 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0355523 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0487635 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0282647 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0607077 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.024113 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.044827 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0978541 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.412985 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.010863 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0934645 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0474328 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0636325 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0453982 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.157075 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0511626 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00781612 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0690445 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0660853 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0960174 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0136306 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0624233 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0792535 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0912363 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0371829 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0143279 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0597856 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.0277667 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0640687 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0454327 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0872021 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0825036 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0292264 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0493617 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0777255 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0022261 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0502944 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0252726 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.01899 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0070081 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.080913 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0212984 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0388616 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.0470161 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0456788 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0337889 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.132416 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0544082 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0165964 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0143774 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0129556 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0226365 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0202163 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0119952 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00948155 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0219076 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0101533 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.00525381 # DEPENDENCYPART_SIBL
(7,4),(7,26),0.0460048 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0502446 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.136019 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00425016 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.120956 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0165701 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0223137 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.030022 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0337892 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0127689 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0181293 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.214209 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.00209228 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0102981 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.112721 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0868788 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0247343 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0727904 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0815388 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.11358 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0612362 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0636685 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0819493 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.109524 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0239555 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.014824 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0544306 # DEPENDENCYPART_SIBL
(7,6),(7,26),0.0683649 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0782468 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0432669 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0365123 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0366513 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0537561 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0371089 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0510324 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0378171 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0546651 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0573237 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0424988 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.0377126 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00265065 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0157648 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0198378 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0184306 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.020103 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.00371455 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0172791 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.0276121 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.00115058 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0171383 # DEPENDENCYPART_SIBL
(7,9),(7,26),0.0195262 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0484066 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.00707704 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0363451 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00616412 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0155549 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.00859933 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.00748612 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0225513 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0293761 # DEPENDENCYPART_SIBL
(7,10),(7,26),-0.0106864 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00954035 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0344028 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0263453 # DEPENDENCYPART_SIBL
