# _root_ However , HomeFed 's loan originations and purchases plunged 26 % in the quarter , to $ 1.4 billion from $ 1.9 billion a year earlier .
#goldHeads=9,9,7,3,7,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
#predictedHeads=9,9,6,3,6,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
(11,6),-1.71378 # DEPENDENCYPART_ARC
(11,7),-1.34385 # DEPENDENCYPART_ARC
(11,8),-1.17973 # DEPENDENCYPART_ARC
(11,9),-0.878819 # DEPENDENCYPART_ARC
(11,10),1.41868 # DEPENDENCYPART_ARC
(11,12),0.0998657 # DEPENDENCYPART_ARC
(11,13),-1.46212 # DEPENDENCYPART_ARC
(11,14),-1.15092 # DEPENDENCYPART_ARC
(11,15),-1.71023 # DEPENDENCYPART_ARC
(11,16),-2.12847 # DEPENDENCYPART_ARC
(11,17),-1.91557 # DEPENDENCYPART_ARC
(11,18),-2.41629 # DEPENDENCYPART_ARC
(11,20),-2.25415 # DEPENDENCYPART_ARC
(11,25),-1.77454 # DEPENDENCYPART_ARC
(11,27),-1.92006 # DEPENDENCYPART_ARC
(12,10),-1.63781 # DEPENDENCYPART_ARC
(12,11),-0.64486 # DEPENDENCYPART_ARC
(12,13),0.0894697 # DEPENDENCYPART_ARC
(12,14),0.288101 # DEPENDENCYPART_ARC
(12,15),-1.07299 # DEPENDENCYPART_ARC
(12,16),-1.78283 # DEPENDENCYPART_ARC
(12,17),-1.78858 # DEPENDENCYPART_ARC
(12,18),-2.15774 # DEPENDENCYPART_ARC
(12,19),-2.14081 # DEPENDENCYPART_ARC
(12,20),-1.68641 # DEPENDENCYPART_ARC
(14,3),-2.14704 # DEPENDENCYPART_ARC
(14,7),-1.68311 # DEPENDENCYPART_ARC
(14,10),-1.20227 # DEPENDENCYPART_ARC
(14,11),-1.37508 # DEPENDENCYPART_ARC
(14,13),1.26709 # DEPENDENCYPART_ARC
(14,15),-0.452625 # DEPENDENCYPART_ARC
(14,16),-1.88691 # DEPENDENCYPART_ARC
(14,17),-1.86628 # DEPENDENCYPART_ARC
(14,18),-2.19079 # DEPENDENCYPART_ARC
(14,19),-2.3144 # DEPENDENCYPART_ARC
(14,20),-2.13319 # DEPENDENCYPART_ARC
(14,21),-2.10092 # DEPENDENCYPART_ARC
(14,22),-2.50218 # DEPENDENCYPART_ARC
(14,23),-2.52678 # DEPENDENCYPART_ARC
(14,26),-2.33953 # DEPENDENCYPART_ARC
(14,27),-1.73524 # DEPENDENCYPART_ARC
(16,12),-1.47436 # DEPENDENCYPART_ARC
(16,15),0.0660066 # DEPENDENCYPART_ARC
(16,17),-0.0803732 # DEPENDENCYPART_ARC
(16,18),-0.798291 # DEPENDENCYPART_ARC
(16,19),-1.30948 # DEPENDENCYPART_ARC
(16,20),-0.963216 # DEPENDENCYPART_ARC
(16,25),-1.89029 # DEPENDENCYPART_ARC
(16,27),-0.826014 # DEPENDENCYPART_ARC
(17,12),-1.48914 # DEPENDENCYPART_ARC
(17,13),-1.49526 # DEPENDENCYPART_ARC
(17,14),-1.3456 # DEPENDENCYPART_ARC
(17,16),0.406848 # DEPENDENCYPART_ARC
(17,18),1.00798 # DEPENDENCYPART_ARC
(17,19),0.0911108 # DEPENDENCYPART_ARC
(17,20),-1.0986 # DEPENDENCYPART_ARC
(17,21),-0.788024 # DEPENDENCYPART_ARC
(17,22),-1.32396 # DEPENDENCYPART_ARC
(17,23),-1.39339 # DEPENDENCYPART_ARC
(17,25),-1.37736 # DEPENDENCYPART_ARC
(17,27),-0.992614 # DEPENDENCYPART_ARC
(18,12),-2.12265 # DEPENDENCYPART_ARC
(18,13),-2.22982 # DEPENDENCYPART_ARC
(18,14),-2.13027 # DEPENDENCYPART_ARC
(18,16),-1.53068 # DEPENDENCYPART_ARC
(18,17),-0.517394 # DEPENDENCYPART_ARC
(18,19),-0.614728 # DEPENDENCYPART_ARC
(18,20),-1.06227 # DEPENDENCYPART_ARC
(18,21),-1.05999 # DEPENDENCYPART_ARC
(18,22),-1.65385 # DEPENDENCYPART_ARC
(18,23),-1.94564 # DEPENDENCYPART_ARC
(18,25),-1.53571 # DEPENDENCYPART_ARC
(19,12),-1.73369 # DEPENDENCYPART_ARC
(19,14),-1.84325 # DEPENDENCYPART_ARC
(19,17),-1.11626 # DEPENDENCYPART_ARC
(19,18),0.473978 # DEPENDENCYPART_ARC
(19,20),-0.298242 # DEPENDENCYPART_ARC
(19,21),-1.00097 # DEPENDENCYPART_ARC
(19,22),-1.54902 # DEPENDENCYPART_ARC
(19,23),-1.76403 # DEPENDENCYPART_ARC
(20,16),-1.74537 # DEPENDENCYPART_ARC
(20,17),-1.49893 # DEPENDENCYPART_ARC
(20,18),-1.58652 # DEPENDENCYPART_ARC
(20,19),-0.559282 # DEPENDENCYPART_ARC
(20,21),0.000358076 # DEPENDENCYPART_ARC
(20,22),-0.612135 # DEPENDENCYPART_ARC
(20,23),-1.23067 # DEPENDENCYPART_ARC
(20,25),-0.990446 # DEPENDENCYPART_ARC
(20,26),-1.05866 # DEPENDENCYPART_ARC
(20,27),-1.10273 # DEPENDENCYPART_ARC
(21,17),-0.859684 # DEPENDENCYPART_ARC
(21,18),-1.2712 # DEPENDENCYPART_ARC
(21,19),-1.1244 # DEPENDENCYPART_ARC
(21,20),0.227545 # DEPENDENCYPART_ARC
(21,22),0.897956 # DEPENDENCYPART_ARC
(21,23),-0.107509 # DEPENDENCYPART_ARC
(21,24),-0.924038 # DEPENDENCYPART_ARC
(21,25),-1.03249 # DEPENDENCYPART_ARC
(21,26),-1.1243 # DEPENDENCYPART_ARC
(21,27),-0.961566 # DEPENDENCYPART_ARC
(22,18),-1.49284 # DEPENDENCYPART_ARC
(22,19),-1.41219 # DEPENDENCYPART_ARC
(22,20),-1.5056 # DEPENDENCYPART_ARC
(22,21),-0.557013 # DEPENDENCYPART_ARC
(22,23),-0.503963 # DEPENDENCYPART_ARC
(22,24),-0.949241 # DEPENDENCYPART_ARC
(22,25),-1.07208 # DEPENDENCYPART_ARC
(22,26),-1.08385 # DEPENDENCYPART_ARC
(23,19),-1.10689 # DEPENDENCYPART_ARC
(23,21),-1.02687 # DEPENDENCYPART_ARC
(23,22),0.476343 # DEPENDENCYPART_ARC
(23,24),-0.146198 # DEPENDENCYPART_ARC
(23,25),-0.748195 # DEPENDENCYPART_ARC
(23,26),-1.07148 # DEPENDENCYPART_ARC
(25,17),-2.43984 # DEPENDENCYPART_ARC
(25,21),-1.54233 # DEPENDENCYPART_ARC
(25,22),-1.46117 # DEPENDENCYPART_ARC
(25,23),-0.816233 # DEPENDENCYPART_ARC
(25,24),1.26898 # DEPENDENCYPART_ARC
(25,26),-0.544535 # DEPENDENCYPART_ARC
(26,25),0.463753 # DEPENDENCYPART_ARC
(26,27),-0.443963 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.019835 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0539838 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0959131 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0311221 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.10513 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.121733 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0484762 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.152852 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0663828 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0801074 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0161506 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0146246 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00973011 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0518956 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0422927 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0523597 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.01261 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0524396 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0152643 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0144229 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0435195 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.171872 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0042707 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00187115 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00920159 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0315113 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0128209 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00701907 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0192126 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0641928 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.269975 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0263687 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0217642 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0520032 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.000746488 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0220706 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0186594 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.117856 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0331259 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0302979 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0275275 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0149784 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0212719 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0452375 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00327975 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.032869 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.00556364 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00250522 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0404879 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.016229 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00222006 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00767772 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00886243 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0167649 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0390288 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.016841 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0122318 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00367359 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0159306 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0230083 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0125561 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0636675 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0191089 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0202362 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.00128776 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0371536 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00315702 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00995656 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0129043 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0324705 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0245129 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.000784796 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0253505 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.00208565 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.00187196 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0434506 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00203451 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0527853 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00272646 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00741148 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0238698 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0174185 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0294048 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00573572 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0948807 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0265396 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0539706 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00821266 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.026846 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.000119895 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0273511 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0136237 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00905624 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00821066 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0427038 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0765486 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00479029 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0242577 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00979884 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0330566 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00105173 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.042084 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00905226 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0178114 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.00299937 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00286716 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0673029 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0240692 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.034689 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.000261742 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0187044 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0435195 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00619466 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0528172 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00295659 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00920008 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.000269401 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0271411 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0128223 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0192141 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0287819 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00987811 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0949304 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0139933 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0520032 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0217991 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00511828 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0220705 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.117856 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.000682064 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0236018 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0198969 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00508633 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0103391 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0189124 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0433636 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0336376 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.081705 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00806529 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0260119 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.000230138 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00649105 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0284947 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0637096 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00164045 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.014589 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0312724 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0149556 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0224402 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0415174 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.072247 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0387029 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0125555 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0636675 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0202362 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0258026 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0158452 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0106916 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0165911 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00442299 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0355594 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0115508 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.00685433 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0245129 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0171279 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0196564 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0314417 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0410513 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0107546 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0428286 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0942333 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0675651 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00222207 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0630356 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0229738 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0926473 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.1116 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.00984801 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00194994 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00814601 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00349951 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0193805 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0139576 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0519217 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0159397 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0214922 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0182876 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0144345 # DEPENDENCYPART_SIBL
(7,2),(7,27),0.0143621 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.000409791 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0191394 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0502841 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0580733 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0345104 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0429318 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0182431 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0556205 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0172938 # DEPENDENCYPART_SIBL
(7,3),(7,27),-0.0141144 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0178442 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0912113 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.025307 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00670065 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0838538 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.000224158 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.096548 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0119535 # DEPENDENCYPART_SIBL
(7,5),(7,27),0.0412071 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.045843 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0639938 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0358612 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0384908 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0197342 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0511795 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0125477 # DEPENDENCYPART_SIBL
(7,6),(7,27),-0.0178832 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0131793 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.014328 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0336246 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00206874 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0190644 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.00237218 # DEPENDENCYPART_SIBL
(7,8),(7,27),-0.0527388 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00846979 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0267182 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0536612 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0092987 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.00635855 # DEPENDENCYPART_SIBL
(7,9),(7,27),0.0123857 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0223823 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00149416 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.00783822 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0206876 # DEPENDENCYPART_SIBL
