# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,19,21,16,
(19,21),-1.00613 # DEPENDENCYPART_ARC
(19,22),-0.753937 # DEPENDENCYPART_ARC
(19,23),-2.66683 # DEPENDENCYPART_ARC
(20,18),-1.66829 # DEPENDENCYPART_ARC
(20,19),-1.31156 # DEPENDENCYPART_ARC
(20,21),-1.50395 # DEPENDENCYPART_ARC
(20,22),-1.59413 # DEPENDENCYPART_ARC
(21,14),-1.66809 # DEPENDENCYPART_ARC
(21,15),-1.98307 # DEPENDENCYPART_ARC
(21,17),-1.926 # DEPENDENCYPART_ARC
(21,18),-1.37348 # DEPENDENCYPART_ARC
(21,19),-0.606275 # DEPENDENCYPART_ARC
(21,20),0.977412 # DEPENDENCYPART_ARC
(21,22),-0.546107 # DEPENDENCYPART_ARC
(22,2),-3.55158 # DEPENDENCYPART_ARC
(22,3),-4.16396 # DEPENDENCYPART_ARC
(22,5),-3.26468 # DEPENDENCYPART_ARC
(22,8),-2.48131 # DEPENDENCYPART_ARC
(22,14),-2.23365 # DEPENDENCYPART_ARC
(22,15),-2.95201 # DEPENDENCYPART_ARC
(22,17),-1.24825 # DEPENDENCYPART_ARC
(22,18),-1.98459 # DEPENDENCYPART_ARC
(22,19),-1.24582 # DEPENDENCYPART_ARC
(22,20),-0.723755 # DEPENDENCYPART_ARC
(22,21),0.196563 # DEPENDENCYPART_ARC
(22,23),-1.68269 # DEPENDENCYPART_ARC
(23,21),-3.02617 # DEPENDENCYPART_ARC
(23,22),-2.83587 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0165066 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.000948575 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0409324 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.677973 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.219079 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.174151 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.807419 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.174357 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.807531 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.753389 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.526857 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.280469 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.543876 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.515573 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.457878 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.79807 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.292295 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.543876 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.515573 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.457972 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.79807 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.196544 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.16817 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.152887 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0089711 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.515574 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.464695 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.79807 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.462183 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.800415 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.730566 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0984663 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0859772 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.105752 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0859772 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.102834 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0914753 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.000275068 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0212171 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0485022 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0789799 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0485022 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0382133 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0629391 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0899779 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.00814149 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.857273 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.191718 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.778414 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.676693 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.515829 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0458521 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.185829 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.000422888 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0351231 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0521884 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0337042 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.778414 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.676693 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.515829 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0458521 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0568821 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0821493 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.00463171 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0549579 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0478276 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.0148896 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0515368 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0515111 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0779863 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0515111 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0676598 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0750691 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.245298 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0699859 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0761504 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.130833 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.100837 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0819128 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00230966 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.051001 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0185563 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0451722 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.021084 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0451722 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0448049 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0257442 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0409371 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0236996 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.002799 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0524172 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0155273 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0141942 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0532704 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.032511 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0454614 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.811385 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.113001 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.768848 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.755365 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0266843 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.57343 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.565624 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.444919 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.639314 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.338919 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.483222 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.150117 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.021566 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.140861 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0189782 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00813985 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.096403 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00721242 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0048132 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0503039 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0384604 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0392046 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0580462 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0114017 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0322585 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.768848 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.755365 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0266843 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.57343 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.565624 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.444919 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.639314 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.338919 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.483222 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.150117 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.021566 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0209295 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.108774 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0051552 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00755442 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.032873 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0210295 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0463958 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0704158 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0129448 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0213444 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.112791 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00919006 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0115893 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0606546 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0488111 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00461444 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0765946 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0273964 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0145985 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0861131 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0891361 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.26225 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.239406 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.223684 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0549867 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.158986 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0791267 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0141808 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.043267 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0372437 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0158891 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0298974 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0800391 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0655954 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0675458 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0566952 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00606444 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0148658 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0951438 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0412087 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.239389 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.117907 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.051166 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0416262 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0788213 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0599616 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.062617 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0303538 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.042888 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.100123 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0529372 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0704022 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0344613 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.0144609 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0367996 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0459763 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0295966 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0190385 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.102881 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0954262 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.102835 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.249132 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0693258 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0754902 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.123832 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0938361 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0658185 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0793217 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.000267077 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0252417 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0789444 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0212171 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.118915 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.380766 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0642688 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0244721 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0435328 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00864705 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00136072 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0222613 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0672756 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.000668895 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.013881 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0234116 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0308581 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0382717 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00805767 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0123061 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.418459 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0690461 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0185365 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.000524197 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0404495 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0378886 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0169881 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0284396 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0395052 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0330477 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0158378 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0642379 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0609906 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0311917 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0618738 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.000156091 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.124997 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.162731 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.557779 # DEPENDENCYPART_SIBL
