# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,12,13,14,15,9,17,20,17,22,20,7,
(13,20),-1.22562 # DEPENDENCYPART_ARC
(13,21),-2.49622 # DEPENDENCYPART_ARC
(14,12),-1.80533 # DEPENDENCYPART_ARC
(14,13),-1.20116 # DEPENDENCYPART_ARC
(14,15),1.97669 # DEPENDENCYPART_ARC
(14,16),-0.939666 # DEPENDENCYPART_ARC
(14,17),-0.74278 # DEPENDENCYPART_ARC
(14,18),-1.53759 # DEPENDENCYPART_ARC
(14,19),-1.61722 # DEPENDENCYPART_ARC
(14,20),-1.06457 # DEPENDENCYPART_ARC
(14,21),-1.79868 # DEPENDENCYPART_ARC
(14,22),-2.14588 # DEPENDENCYPART_ARC
(15,16),1.11021 # DEPENDENCYPART_ARC
(15,17),-0.34135 # DEPENDENCYPART_ARC
(15,18),-1.12299 # DEPENDENCYPART_ARC
(15,19),-1.95166 # DEPENDENCYPART_ARC
(15,20),-0.489274 # DEPENDENCYPART_ARC
(15,21),-2.06127 # DEPENDENCYPART_ARC
(15,22),-1.9294 # DEPENDENCYPART_ARC
(16,17),-0.520638 # DEPENDENCYPART_ARC
(16,18),-1.65433 # DEPENDENCYPART_ARC
(16,20),-1.47242 # DEPENDENCYPART_ARC
(17,13),-1.43804 # DEPENDENCYPART_ARC
(17,14),-1.93072 # DEPENDENCYPART_ARC
(17,15),-1.488 # DEPENDENCYPART_ARC
(17,16),-1.22721 # DEPENDENCYPART_ARC
(17,18),0.789805 # DEPENDENCYPART_ARC
(17,19),-0.842936 # DEPENDENCYPART_ARC
(17,20),0.654727 # DEPENDENCYPART_ARC
(17,21),-1.75612 # DEPENDENCYPART_ARC
(17,22),-1.75306 # DEPENDENCYPART_ARC
(19,21),-1.67166 # DEPENDENCYPART_ARC
(19,22),-2.08116 # DEPENDENCYPART_ARC
(20,1),-2.87216 # DEPENDENCYPART_ARC
(20,2),-2.97389 # DEPENDENCYPART_ARC
(20,3),-2.8333 # DEPENDENCYPART_ARC
(20,4),-2.69734 # DEPENDENCYPART_ARC
(20,5),-2.88888 # DEPENDENCYPART_ARC
(20,6),-3.33467 # DEPENDENCYPART_ARC
(20,7),-1.73012 # DEPENDENCYPART_ARC
(20,8),-3.05805 # DEPENDENCYPART_ARC
(20,9),-1.76722 # DEPENDENCYPART_ARC
(20,11),-2.05071 # DEPENDENCYPART_ARC
(20,12),-1.74571 # DEPENDENCYPART_ARC
(20,13),-1.7015 # DEPENDENCYPART_ARC
(20,14),-2.27177 # DEPENDENCYPART_ARC
(20,15),-2.09038 # DEPENDENCYPART_ARC
(20,16),-2.01406 # DEPENDENCYPART_ARC
(20,17),-1.40415 # DEPENDENCYPART_ARC
(20,18),-1.0013 # DEPENDENCYPART_ARC
(20,19),1.23965 # DEPENDENCYPART_ARC
(20,21),-0.191591 # DEPENDENCYPART_ARC
(20,22),-0.0191963 # DEPENDENCYPART_ARC
(20,23),-0.950316 # DEPENDENCYPART_ARC
(21,19),-1.56112 # DEPENDENCYPART_ARC
(21,22),-0.975656 # DEPENDENCYPART_ARC
(22,2),-2.33641 # DEPENDENCYPART_ARC
(22,5),-2.63061 # DEPENDENCYPART_ARC
(22,12),-1.83071 # DEPENDENCYPART_ARC
(22,13),-1.69917 # DEPENDENCYPART_ARC
(22,14),-1.83199 # DEPENDENCYPART_ARC
(22,16),-1.48063 # DEPENDENCYPART_ARC
(22,17),-1.38824 # DEPENDENCYPART_ARC
(22,18),-1.20573 # DEPENDENCYPART_ARC
(22,19),-1.94686 # DEPENDENCYPART_ARC
(22,20),-1.13712 # DEPENDENCYPART_ARC
(22,21),1.12578 # DEPENDENCYPART_ARC
(23,22),-2.6414 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.170779 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.949597 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.69049 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.98836 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.747363 # DEPENDENCYPART_SIBL
(0,7),(0,9),-1.50616 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0199277 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0143196 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0143196 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0199277 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0734176 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0804779 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.500821 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.500821 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.172123 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.233346 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.427275 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0921772 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0391361 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0616668 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0883989 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0391361 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0616668 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0883989 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.233346 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.427275 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.228169 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.101619 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.131332 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.131332 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.101619 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.111969 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0582763 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0819788 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.016442 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0148537 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0458451 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0923289 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0242094 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0907813 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.091843 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.675647 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.675647 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.174637 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.337237 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.158977 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.514249 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.729032 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.728081 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.216829 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.437482 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.545858 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.414792 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0126302 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.115244 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.103005 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0229422 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0428876 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0330575 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0733224 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0734998 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0991427 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00766018 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0486388 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0197474 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0311528 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.103005 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0229422 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0428876 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0330575 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0733224 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0734998 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0991427 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00766018 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0486388 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0197474 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0311528 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.337237 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.158977 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.514249 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.729032 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.728081 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.216829 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.437482 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.545858 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.414792 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0126302 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0218152 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.110318 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0234975 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0233246 # DEPENDENCYPART_SIBL
(2,7),(2,13),2.16531e-05 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0513724 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0783443 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0392954 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.107814 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0396416 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0257065 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0255276 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0844789 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0343807 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0643368 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0224475 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0969129 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0183774 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0185564 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0581089 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0348538 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.100643 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0467395 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0441058 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.107646 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0671123 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00145982 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0292246 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0180347 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.00440661 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0659894 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.00137041 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0283216 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0181241 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.00408992 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.112374 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.205089 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0828565 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.128795 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0178719 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0898995 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0528257 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0162537 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0450084 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.047043 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.217107 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00472423 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0388057 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0110295 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0654931 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0108947 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0443216 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0713762 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0873644 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00828875 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0785701 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0299193 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0640953 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0185586 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00768445 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.118971 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00138496 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.156771 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0697361 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0791702 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.118625 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00642347 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.023866 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0853068 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0781522 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0417616 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.286734 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0682602 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.467 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.685758 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0230692 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.134445 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0398752 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0388673 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0341917 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0863696 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.217107 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00472423 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.145455 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0110295 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0654931 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0108947 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0443216 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0713762 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0351978 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0728497 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0873644 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.142355 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0785701 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0299193 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0640953 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0185586 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00768445 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0370266 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.103674 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.048802 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00138496 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.156771 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0697361 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0791702 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.118625 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0815626 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.177139 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0788217 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.063575 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0168981 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.020627 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0429974 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0693303 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0862086 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.286734 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0682602 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.467 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.685758 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.29656 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.449565 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0230692 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.134445 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0398752 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00355232 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0265737 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0388673 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0341917 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00590304 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0946652 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0863696 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0600247 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0999454 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0175251 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0404184 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0247163 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.157229 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.293458 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0464604 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0464604 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.293458 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0230782 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00219725 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0232729 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0224978 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0310183 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0634045 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0239002 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0594651 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00781435 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.103047 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0749314 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0130445 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.0448474 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.0675254 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.218138 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.467564 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.467564 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.218138 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0620615 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0428413 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.045187 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0428471 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0276169 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0328105 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0405567 # DEPENDENCYPART_SIBL
