# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,6,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(9,6),-1.53799 # DEPENDENCYPART_ARC
(9,7),-0.60919 # DEPENDENCYPART_ARC
(9,8),-0.496818 # DEPENDENCYPART_ARC
(9,10),1.581 # DEPENDENCYPART_ARC
(9,11),-0.176214 # DEPENDENCYPART_ARC
(9,13),-0.858067 # DEPENDENCYPART_ARC
(9,14),-1.50933 # DEPENDENCYPART_ARC
(9,16),-0.972816 # DEPENDENCYPART_ARC
(9,17),-1.97649 # DEPENDENCYPART_ARC
(9,18),0.123915 # DEPENDENCYPART_ARC
(10,1),-2.49495 # DEPENDENCYPART_ARC
(10,3),-2.08377 # DEPENDENCYPART_ARC
(10,5),-1.79553 # DEPENDENCYPART_ARC
(10,6),-1.98169 # DEPENDENCYPART_ARC
(10,7),-1.54843 # DEPENDENCYPART_ARC
(10,8),-1.77322 # DEPENDENCYPART_ARC
(10,11),0.894689 # DEPENDENCYPART_ARC
(10,12),-1.38418 # DEPENDENCYPART_ARC
(10,13),-0.0920011 # DEPENDENCYPART_ARC
(10,14),-0.736544 # DEPENDENCYPART_ARC
(10,15),-1.78535 # DEPENDENCYPART_ARC
(10,16),-1.11247 # DEPENDENCYPART_ARC
(10,17),-1.35176 # DEPENDENCYPART_ARC
(10,18),-2.11355 # DEPENDENCYPART_ARC
(11,3),-2.25968 # DEPENDENCYPART_ARC
(11,7),-2.15698 # DEPENDENCYPART_ARC
(11,8),-1.87374 # DEPENDENCYPART_ARC
(11,10),-1.65365 # DEPENDENCYPART_ARC
(11,12),-1.24074 # DEPENDENCYPART_ARC
(11,13),0.754009 # DEPENDENCYPART_ARC
(11,14),-1.32663 # DEPENDENCYPART_ARC
(11,16),-1.62157 # DEPENDENCYPART_ARC
(11,17),-1.26448 # DEPENDENCYPART_ARC
(11,18),-2.74914 # DEPENDENCYPART_ARC
(12,14),-1.78843 # DEPENDENCYPART_ARC
(13,3),-3.10899 # DEPENDENCYPART_ARC
(13,6),-2.51187 # DEPENDENCYPART_ARC
(13,8),-2.57432 # DEPENDENCYPART_ARC
(13,10),-1.7762 # DEPENDENCYPART_ARC
(13,11),-1.33871 # DEPENDENCYPART_ARC
(13,12),1.3908 # DEPENDENCYPART_ARC
(13,14),0.502272 # DEPENDENCYPART_ARC
(13,15),-1.46262 # DEPENDENCYPART_ARC
(13,16),-0.955314 # DEPENDENCYPART_ARC
(13,17),-1.31326 # DEPENDENCYPART_ARC
(13,18),-1.91725 # DEPENDENCYPART_ARC
(14,7),-2.17028 # DEPENDENCYPART_ARC
(14,13),-1.20375 # DEPENDENCYPART_ARC
(14,15),-0.930023 # DEPENDENCYPART_ARC
(14,16),-0.401491 # DEPENDENCYPART_ARC
(14,17),0.148068 # DEPENDENCYPART_ARC
(15,16),-1.16245 # DEPENDENCYPART_ARC
(16,1),-3.29655 # DEPENDENCYPART_ARC
(16,7),-2.65299 # DEPENDENCYPART_ARC
(16,15),-1.00147 # DEPENDENCYPART_ARC
(16,17),-0.091674 # DEPENDENCYPART_ARC
(16,18),-2.0386 # DEPENDENCYPART_ARC
(17,6),-2.22523 # DEPENDENCYPART_ARC
(17,12),-1.60222 # DEPENDENCYPART_ARC
(17,13),-1.3345 # DEPENDENCYPART_ARC
(17,14),-1.34594 # DEPENDENCYPART_ARC
(17,15),1.16154 # DEPENDENCYPART_ARC
(17,16),0.350484 # DEPENDENCYPART_ARC
(17,18),-1.64759 # DEPENDENCYPART_ARC
(18,17),-2.6589 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.14318 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.807594 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.750567 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.435575 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.198136 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.408023 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.466561 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.743207 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.15124 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.522333 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.433771 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.428257 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.697655 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.619313 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.063767 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0565519 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0571789 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0062145 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.110041 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0103564 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0376468 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.105384 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0500728 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0581155 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0430243 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0471527 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0474106 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0216911 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0275283 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0172663 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0201046 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.102022 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00698457 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0102647 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0256856 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0093788 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0455159 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.121357 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0871289 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0193986 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0858252 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.080515 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.069432 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0543408 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0211838 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.16224 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.177645 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0421848 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.171779 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0429893 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.200454 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.215685 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0744522 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.22625 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0410217 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.114537 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0496023 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.267979 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.280581 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0599432 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.522333 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.433771 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.428257 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.697655 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.619313 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.063767 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0800042 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0215943 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.132481 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.14767 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0130323 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.111112 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0498554 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0643628 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.163529 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.000791982 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0158682 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0101352 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.297999 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0513947 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0680736 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0172931 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.08497 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0339507 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0305035 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0765233 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0309261 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.167696 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0275166 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00492012 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0292827 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0133623 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0305612 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00563331 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0221281 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0473232 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0248466 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0313416 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0519635 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.577606 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.028756 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0209532 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0186824 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0401775 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0818707 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.046122 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0152358 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0390219 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0644488 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.000357451 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0182914 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0267894 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0430012 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0406754 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00411867 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0650263 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0433575 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0341453 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0213897 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0221545 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0363884 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0349641 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0323564 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.144409 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0109477 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0980553 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0338514 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.100665 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.143393 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.122435 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0334631 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0740925 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0646525 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.147571 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0189959 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0740925 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.13528 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00378578 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.107855 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.10834 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0367619 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.189637 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0197136 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.111861 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.107538 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.371051 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.41109 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.192778 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.223291 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.11832 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.409648 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.193491 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0117739 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0611026 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0729127 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0373333 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.011781 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.158887 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0572861 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.104068 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.103414 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.125973 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.058099 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.118327 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0622991 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.202492 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0377701 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0298697 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0850831 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.10194 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.196344 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0856861 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0591788 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.117355 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0825977 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00473829 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0239337 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.118576 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0108371 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0666143 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0718062 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0468872 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.117613 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0166263 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.062452 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0202925 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0726377 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.06532 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.022596 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0497985 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0426749 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.177407 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.104048 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.600188 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0850698 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0645197 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0722419 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.072312 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0318637 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.144368 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00329787 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0330324 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0266841 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.138477 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0950082 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00300398 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0748179 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.483707 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00139039 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00132593 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.101637 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.273105 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.154326 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0815421 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.201058 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0433659 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.114956 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0645658 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.161937 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0973328 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0451201 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0959618 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0525121 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0171954 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.141026 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.127525 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0702674 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0625457 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0213596 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00149134 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.104343 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0350372 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0169637 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.436374 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.19247 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.122685 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0572547 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.107854 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0665732 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0151881 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0750722 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.143102 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0751144 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0437364 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.025452 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0224315 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0373616 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00608749 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0297333 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0481965 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0363808 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0349915 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.171065 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0758096 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0405273 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.136664 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00802155 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.02487 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00257647 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0856129 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0833412 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00763178 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0066031 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.110183 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0130248 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.103723 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.079258 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0807947 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.110914 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0547003 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.122609 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0899002 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0623268 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.105081 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.129458 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0925007 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.100747 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.078201 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.115378 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.136507 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.06839 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0401047 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0761917 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0112565 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.125746 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00869268 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0666045 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.131177 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.108517 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.107142 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0162026 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.082319 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0539265 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0422428 # DEPENDENCYPART_SIBL
