# _root_ Instead , New York City police seized the stolen goods , and Mr. Krisher avoided jail .
#goldHeads=7,7,6,6,6,7,12,10,10,7,12,0,14,15,12,15,12,
#predictedHeads=7,7,6,6,6,7,12,10,10,7,12,0,14,15,12,15,12,
(12,4),-1.35738 # DEPENDENCYPART_ARC
(12,5),-1.31249 # DEPENDENCYPART_ARC
(12,6),-1.25722 # DEPENDENCYPART_ARC
(12,7),-1.59622 # DEPENDENCYPART_ARC
(12,8),-1.531 # DEPENDENCYPART_ARC
(12,9),-1.23731 # DEPENDENCYPART_ARC
(12,10),-0.580618 # DEPENDENCYPART_ARC
(12,11),1.28322 # DEPENDENCYPART_ARC
(12,13),0.632521 # DEPENDENCYPART_ARC
(12,14),-0.217535 # DEPENDENCYPART_ARC
(12,15),-0.566576 # DEPENDENCYPART_ARC
(12,16),-1.24374 # DEPENDENCYPART_ARC
(12,17),-0.315138 # DEPENDENCYPART_ARC
(13,14),-0.652199 # DEPENDENCYPART_ARC
(13,15),-0.972705 # DEPENDENCYPART_ARC
(13,16),-1.8671 # DEPENDENCYPART_ARC
(13,17),-1.73084 # DEPENDENCYPART_ARC
(14,3),-2.16899 # DEPENDENCYPART_ARC
(14,8),-2.02599 # DEPENDENCYPART_ARC
(14,9),-1.51281 # DEPENDENCYPART_ARC
(14,10),-1.62434 # DEPENDENCYPART_ARC
(14,11),-1.49348 # DEPENDENCYPART_ARC
(14,12),-0.401377 # DEPENDENCYPART_ARC
(14,13),1.46381 # DEPENDENCYPART_ARC
(14,15),-0.471765 # DEPENDENCYPART_ARC
(14,16),-1.41829 # DEPENDENCYPART_ARC
(14,17),-1.63348 # DEPENDENCYPART_ARC
(15,1),-1.49868 # DEPENDENCYPART_ARC
(15,2),-1.93514 # DEPENDENCYPART_ARC
(15,6),-2.03783 # DEPENDENCYPART_ARC
(15,7),-1.67048 # DEPENDENCYPART_ARC
(15,8),-2.04409 # DEPENDENCYPART_ARC
(15,9),-1.46409 # DEPENDENCYPART_ARC
(15,10),-1.97042 # DEPENDENCYPART_ARC
(15,11),-0.980026 # DEPENDENCYPART_ARC
(15,12),-0.603028 # DEPENDENCYPART_ARC
(15,13),-0.524884 # DEPENDENCYPART_ARC
(15,14),0.52709 # DEPENDENCYPART_ARC
(15,16),0.925047 # DEPENDENCYPART_ARC
(15,17),0.239598 # DEPENDENCYPART_ARC
(16,8),-2.11856 # DEPENDENCYPART_ARC
(16,11),-1.5207 # DEPENDENCYPART_ARC
(16,12),-1.02554 # DEPENDENCYPART_ARC
(16,13),-0.609672 # DEPENDENCYPART_ARC
(16,14),-0.389907 # DEPENDENCYPART_ARC
(16,15),0.56991 # DEPENDENCYPART_ARC
(16,17),-0.199792 # DEPENDENCYPART_ARC
(17,16),-0.295141 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.0187793 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0845806 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0845806 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0546273 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0187502 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0827355 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0187502 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0988773 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0987122 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0912498 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0513092 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0987097 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0512398 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.164981 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.131702 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0602935 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.164275 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0602936 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.131734 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0602951 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.164288 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0602952 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0609008 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.132251 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0609008 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.101479 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0512212 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0602935 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00448647 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0166895 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00639569 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.04804 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00860717 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00481774 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.048046 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0167037 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0165129 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0173844 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0164411 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.026235 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.017552 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0129816 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0185793 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0129123 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0265073 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.018747 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0216519 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0128056 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0262526 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0218196 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0131975 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0104005 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0165748 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0265523 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0190797 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0107488 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00114346 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.000827832 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00565002 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0107342 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0155023 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00807481 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0147408 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0193481 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00822931 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00537072 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0245833 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0257798 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0126962 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0124861 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0108838 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.023682 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0234719 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0231048 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0117308 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0191017 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0191087 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.000802011 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.109614 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00809093 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00260884 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00881723 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00533745 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.12101 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0152199 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0199021 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0109925 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0201585 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0126515 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0129591 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00629235 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.016504 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0246981 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.021206 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0250152 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0119136 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0179438 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.020177 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.000595717 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0697316 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0274509 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0126051 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00473307 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00950116 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0153337 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0719173 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00341406 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0100301 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0279428 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0909313 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0553869 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0299069 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0150684 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0122098 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0301633 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.109971 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0354134 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0269388 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0171022 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.02479 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0214252 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00788609 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00583559 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0249701 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.02297 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0397326 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0209866 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0382225 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0753073 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.046467 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0485175 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0788522 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0822384 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.031963 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0748687 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0474314 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0172619 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0170518 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0193564 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0067582 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.043552 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0163963 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.00362549 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00939886 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0171696 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0103201 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0269827 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0140688 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0154754 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0171766 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0101192 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0270199 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0140758 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0172105 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0024213 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0424769 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0142843 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.00104114 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0112823 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0490475 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0239581 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0302846 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0109882 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.00234637 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00288031 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0325057 # DEPENDENCYPART_SIBL
(6,1),(6,4),-4.84298e-05 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.000164043 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0071198 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0818421 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0118879 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00247572 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0420108 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00395355 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00282786 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00835973 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.000966759 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0382905 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0514673 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0257462 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0243342 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0120653 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.142384 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00920671 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0179453 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.138369 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0354903 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0147207 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00945156 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0164861 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0268366 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0508729 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0375951 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0103093 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.126767 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00825884 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00280996 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0796571 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0336649 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00679344 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00833629 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00496831 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0143572 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0882719 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0430828 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.141682 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0451333 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.050057 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0249014 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0249281 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0460736 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0450558 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0478987 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0223211 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0135435 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.107443 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.015594 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0217711 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0748792 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.02371 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0257546 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0155165 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0239295 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0278741 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0180801 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00913465 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0192812 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0182699 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0272514 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0161803 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00841806 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0179062 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.00623502 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.026195 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0139094 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0234741 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0119979 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0108441 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0261838 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.01257 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0136593 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0192881 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0180691 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0272887 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0161873 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.00843617 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0179132 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0079701 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0139626 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0377537 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.011379 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0131288 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0129796 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0192343 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0149933 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0466682 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0215007 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0378069 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.00451804 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0306884 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0119561 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0324143 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.000940274 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0152047 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0158287 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0179291 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0179061 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.00463029 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0200163 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0231622 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0213711 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0258277 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0188258 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0173694 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.071049 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0313445 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.000693629 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0603822 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00351131 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00375116 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.00181773 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0201985 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0018066 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0327361 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00525731 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0196707 # DEPENDENCYPART_SIBL
