# _root_ Fewer people said they were working up a sweat with such activities as jogging , tennis , swimming and aerobics .
#goldHeads=2,3,0,5,3,5,6,9,6,6,12,10,12,19,19,19,19,19,13,19,3,
#predictedHeads=2,3,0,5,3,5,6,9,6,9,12,10,12,19,19,19,19,19,13,19,3,
(5,6),(5,19),-0.101313 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0017479 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0498096 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0745852 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0579332 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0556536 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0430204 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0430204 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0431084 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0361324 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0111744 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0589579 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0907986 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0485719 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0485719 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0910246 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0413961 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0343941 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0702302 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0367949 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0367949 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0175419 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0172572 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.082134 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0315686 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0315686 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0846146 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0285344 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0146969 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0146969 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0656719 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.020158 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0016087 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0117406 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.00651999 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.0117406 # DEPENDENCYPART_SIBL
(5,17),(5,21),-0.00651999 # DEPENDENCYPART_SIBL
(5,19),(5,21),0.0151471 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0169937 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.109931 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0175639 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0545286 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.118455 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0142234 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0491141 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0272645 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0161213 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0206013 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00437263 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.000140777 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0066471 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.000140777 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0167353 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.00351761 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0135195 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00563411 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0684007 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.068129 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.111467 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0464416 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0835838 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0364977 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0450291 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0779147 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0435041 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0952641 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0435041 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0952641 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0253451 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0426488 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0267119 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.024123 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0909412 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0986 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.051069 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.065006 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0612254 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0533468 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0544764 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0491042 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0175341 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0491042 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0175341 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0728898 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.048249 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0353494 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0428108 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0868757 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.000829568 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0500055 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.045895 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00224208 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0462761 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00376715 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0411511 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.00376712 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0411511 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.00189635 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.00462235 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0609534 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0185538 # DEPENDENCYPART_SIBL
