# _root_ At Donaldson , Lufkin & Jenrette Inc. , head equity trader Dudley Eppel said : `` I think the opening was constructive .
#goldHeads=14,1,2,2,4,5,6,14,13,13,13,13,14,0,14,14,18,14,20,21,18,21,14,
#predictedHeads=14,1,2,2,4,5,6,14,13,13,13,13,14,0,14,14,18,14,20,21,18,21,14,
(5,10),-1.69296 # DEPENDENCYPART_ARC
(5,13),-2.57744 # DEPENDENCYPART_ARC
(5,14),-1.54997 # DEPENDENCYPART_ARC
(5,18),-1.93751 # DEPENDENCYPART_ARC
(5,21),-2.49653 # DEPENDENCYPART_ARC
(5,22),-3.34818 # DEPENDENCYPART_ARC
(6,1),-3.13855 # DEPENDENCYPART_ARC
(6,2),-3.02397 # DEPENDENCYPART_ARC
(6,3),-2.31522 # DEPENDENCYPART_ARC
(6,4),-1.59077 # DEPENDENCYPART_ARC
(6,5),-1.33242 # DEPENDENCYPART_ARC
(6,7),0.695619 # DEPENDENCYPART_ARC
(6,8),-0.775723 # DEPENDENCYPART_ARC
(6,9),-1.39111 # DEPENDENCYPART_ARC
(6,10),-1.93393 # DEPENDENCYPART_ARC
(6,11),-2.27344 # DEPENDENCYPART_ARC
(6,12),-3.11277 # DEPENDENCYPART_ARC
(6,13),-2.77728 # DEPENDENCYPART_ARC
(6,14),-2.21066 # DEPENDENCYPART_ARC
(6,15),-1.37393 # DEPENDENCYPART_ARC
(6,16),-2.1955 # DEPENDENCYPART_ARC
(6,18),-2.09358 # DEPENDENCYPART_ARC
(6,21),-2.81554 # DEPENDENCYPART_ARC
(6,22),-2.95628 # DEPENDENCYPART_ARC
(6,23),-2.51906 # DEPENDENCYPART_ARC
(7,1),-3.56988 # DEPENDENCYPART_ARC
(7,2),-3.17134 # DEPENDENCYPART_ARC
(7,3),-2.41047 # DEPENDENCYPART_ARC
(7,4),-1.99221 # DEPENDENCYPART_ARC
(7,6),0.0756633 # DEPENDENCYPART_ARC
(7,8),-0.990051 # DEPENDENCYPART_ARC
(7,9),-1.96864 # DEPENDENCYPART_ARC
(7,10),-2.65849 # DEPENDENCYPART_ARC
(7,11),-2.94514 # DEPENDENCYPART_ARC
(7,13),-4.05745 # DEPENDENCYPART_ARC
(7,15),-2.06939 # DEPENDENCYPART_ARC
(9,4),-2.52376 # DEPENDENCYPART_ARC
(9,6),-1.94767 # DEPENDENCYPART_ARC
(9,7),-2.02661 # DEPENDENCYPART_ARC
(9,10),-0.934018 # DEPENDENCYPART_ARC
(9,15),-1.47764 # DEPENDENCYPART_ARC
(10,6),-2.1081 # DEPENDENCYPART_ARC
(10,7),-2.44415 # DEPENDENCYPART_ARC
(10,9),-0.275352 # DEPENDENCYPART_ARC
(10,11),-1.00465 # DEPENDENCYPART_ARC
(11,1),-2.72447 # DEPENDENCYPART_ARC
(11,2),-3.71655 # DEPENDENCYPART_ARC
(11,4),-2.49175 # DEPENDENCYPART_ARC
(11,6),-1.58722 # DEPENDENCYPART_ARC
(11,7),-2.02841 # DEPENDENCYPART_ARC
(11,9),-0.156452 # DEPENDENCYPART_ARC
(11,10),0.342165 # DEPENDENCYPART_ARC
(11,12),-1.29518 # DEPENDENCYPART_ARC
(11,13),-1.73264 # DEPENDENCYPART_ARC
(11,14),-0.888025 # DEPENDENCYPART_ARC
(11,15),-1.25042 # DEPENDENCYPART_ARC
(11,16),-1.92081 # DEPENDENCYPART_ARC
(11,18),-1.70451 # DEPENDENCYPART_ARC
(11,20),-2.2147 # DEPENDENCYPART_ARC
(11,21),-2.05236 # DEPENDENCYPART_ARC
(11,22),-2.88209 # DEPENDENCYPART_ARC
(11,23),-2.18899 # DEPENDENCYPART_ARC
(12,2),-4.69367 # DEPENDENCYPART_ARC
(12,6),-3.245 # DEPENDENCYPART_ARC
(12,7),-2.68025 # DEPENDENCYPART_ARC
(12,9),-1.18443 # DEPENDENCYPART_ARC
(12,10),-0.865846 # DEPENDENCYPART_ARC
(12,11),-0.452465 # DEPENDENCYPART_ARC
(12,13),-0.548015 # DEPENDENCYPART_ARC
(12,15),-1.70028 # DEPENDENCYPART_ARC
(13,2),-3.76035 # DEPENDENCYPART_ARC
(13,4),-2.49421 # DEPENDENCYPART_ARC
(13,6),-1.59264 # DEPENDENCYPART_ARC
(13,7),-2.38173 # DEPENDENCYPART_ARC
(13,8),-1.62411 # DEPENDENCYPART_ARC
(13,9),0.106885 # DEPENDENCYPART_ARC
(13,10),0.378023 # DEPENDENCYPART_ARC
(13,11),0.804479 # DEPENDENCYPART_ARC
(13,12),1.39292 # DEPENDENCYPART_ARC
(14,1),-1.11925 # DEPENDENCYPART_ARC
(14,2),-1.87141 # DEPENDENCYPART_ARC
(14,3),-0.652748 # DEPENDENCYPART_ARC
(14,4),-1.11338 # DEPENDENCYPART_ARC
(14,5),-1.91657 # DEPENDENCYPART_ARC
(14,6),-1.6759 # DEPENDENCYPART_ARC
(14,7),-1.94552 # DEPENDENCYPART_ARC
(14,8),-0.443979 # DEPENDENCYPART_ARC
(14,9),-1.33645 # DEPENDENCYPART_ARC
(14,10),-1.27278 # DEPENDENCYPART_ARC
(14,11),-0.894616 # DEPENDENCYPART_ARC
(14,12),-0.745946 # DEPENDENCYPART_ARC
(14,13),0.308079 # DEPENDENCYPART_ARC
(14,15),0.270145 # DEPENDENCYPART_ARC
(14,16),-0.392863 # DEPENDENCYPART_ARC
(14,17),-1.71657 # DEPENDENCYPART_ARC
(14,18),-0.234328 # DEPENDENCYPART_ARC
(14,20),-2.4282 # DEPENDENCYPART_ARC
(14,21),0.188843 # DEPENDENCYPART_ARC
(14,22),-2.42193 # DEPENDENCYPART_ARC
(14,23),0.0246745 # DEPENDENCYPART_ARC
(15,16),-1.66298 # DEPENDENCYPART_ARC
(15,18),-1.9421 # DEPENDENCYPART_ARC
(16,17),-1.92411 # DEPENDENCYPART_ARC
(17,16),-1.6947 # DEPENDENCYPART_ARC
(17,20),-2.05899 # DEPENDENCYPART_ARC
(17,22),-2.81968 # DEPENDENCYPART_ARC
(18,1),-1.51029 # DEPENDENCYPART_ARC
(18,2),-2.13865 # DEPENDENCYPART_ARC
(18,3),-2.30571 # DEPENDENCYPART_ARC
(18,4),-2.02842 # DEPENDENCYPART_ARC
(18,5),-1.91685 # DEPENDENCYPART_ARC
(18,8),-1.32383 # DEPENDENCYPART_ARC
(18,11),-1.54546 # DEPENDENCYPART_ARC
(18,12),-1.8651 # DEPENDENCYPART_ARC
(18,13),-1.95124 # DEPENDENCYPART_ARC
(18,14),-1.51563 # DEPENDENCYPART_ARC
(18,15),-0.883283 # DEPENDENCYPART_ARC
(18,16),-0.461794 # DEPENDENCYPART_ARC
(18,17),1.76847 # DEPENDENCYPART_ARC
(18,19),-0.488489 # DEPENDENCYPART_ARC
(18,20),0.0655861 # DEPENDENCYPART_ARC
(18,21),0.121312 # DEPENDENCYPART_ARC
(18,22),-0.938951 # DEPENDENCYPART_ARC
(18,23),-0.55952 # DEPENDENCYPART_ARC
(20,16),-1.78272 # DEPENDENCYPART_ARC
(20,17),-2.19359 # DEPENDENCYPART_ARC
(20,18),-1.47411 # DEPENDENCYPART_ARC
(20,19),1.28731 # DEPENDENCYPART_ARC
(20,21),-1.09894 # DEPENDENCYPART_ARC
(20,22),-1.73656 # DEPENDENCYPART_ARC
(21,1),-1.28968 # DEPENDENCYPART_ARC
(21,2),-2.34111 # DEPENDENCYPART_ARC
(21,3),-1.52713 # DEPENDENCYPART_ARC
(21,4),-1.90716 # DEPENDENCYPART_ARC
(21,5),-2.21574 # DEPENDENCYPART_ARC
(21,8),-1.28568 # DEPENDENCYPART_ARC
(21,9),-1.55306 # DEPENDENCYPART_ARC
(21,11),-1.20479 # DEPENDENCYPART_ARC
(21,12),-1.99304 # DEPENDENCYPART_ARC
(21,13),-1.65479 # DEPENDENCYPART_ARC
(21,14),-1.95386 # DEPENDENCYPART_ARC
(21,15),-1.3427 # DEPENDENCYPART_ARC
(21,16),-1.16382 # DEPENDENCYPART_ARC
(21,17),-1.54351 # DEPENDENCYPART_ARC
(21,18),-1.14475 # DEPENDENCYPART_ARC
(21,19),-1.2208 # DEPENDENCYPART_ARC
(21,20),0.721221 # DEPENDENCYPART_ARC
(21,22),0.576395 # DEPENDENCYPART_ARC
(21,23),0.0719468 # DEPENDENCYPART_ARC
(22,19),-1.51236 # DEPENDENCYPART_ARC
(22,20),-1.50928 # DEPENDENCYPART_ARC
(22,21),-1.00947 # DEPENDENCYPART_ARC
(22,23),-1.42943 # DEPENDENCYPART_ARC
(23,22),-2.69672 # DEPENDENCYPART_ARC
(0,14),(0,18),-1.1219 # DEPENDENCYPART_SIBL
(0,14),(0,21),-2.01478 # DEPENDENCYPART_SIBL
(0,18),(0,21),-1.20296 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0702288 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.699127 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.201335 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.698995 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0702288 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.554881 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0424478 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.460875 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0167938 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0589584 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0519959 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.200734 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.701023 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.080789 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.554856 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0599074 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.147195 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.19137 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0793974 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.554856 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0519959 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0680361 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.113811 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0108658 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0207725 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0680361 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.030734 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0151905 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.11192 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0154361 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0750557 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.121671 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.021428 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.894191 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.411309 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.464432 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0951391 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.672956 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.712321 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.77856 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.316023 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0207518 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.391505 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.500892 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.194238 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.170262 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00913647 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0616341 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.058747 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0532124 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0798763 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0396626 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00797441 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0883967 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.13243 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0517238 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00252944 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00531369 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0362209 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.034705 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.167011 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0414634 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.00950686 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.054284 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0407142 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0436013 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0322633 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.125818 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0371141 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0110714 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.13029 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.672956 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.712321 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.77856 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.316023 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0207518 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.391505 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.500892 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.293123 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00312023 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0810836 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0231974 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00448382 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0366214 # DEPENDENCYPART_SIBL
(2,11),(2,13),7.77208e-05 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0736641 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0307578 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0119675 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0290126 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0790197 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.040769 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00707195 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0875402 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.092753 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0158529 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.332829 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.794404 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.636346 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.303302 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0363975 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.197558 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0156417 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.114663 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0228074 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0715848 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0235323 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0309306 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0153871 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.113557 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0154622 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0750293 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.121645 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0725558 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0214018 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.00763235 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0786036 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.439995 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0170978 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0177199 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.308796 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0148437 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0378484 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00450478 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0412718 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0138931 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0266443 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.041265 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0692025 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0021052 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0328464 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0561047 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0220431 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.318706 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.126672 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0404904 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00890876 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.149228 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.13649 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.115228 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.124736 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.430822 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.160455 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.123303 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0544851 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0551854 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0686735 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.123162 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00711514 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.169809 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0210902 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0142636 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.021459 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0136158 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00115903 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0520881 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.185522 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0599018 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0552442 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.00787622 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0194847 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.369345 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.177163 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00349271 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0254713 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.060975 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0580879 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0601138 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0785501 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0399768 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00743068 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0641244 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0870706 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0413923 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.00448247 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0545507 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.076262 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0407583 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0436454 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0184517 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.125084 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0369022 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0111654 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0542251 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.129555 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0419666 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.102618 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.780506 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.64346 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.682824 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.699449 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.287735 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00938722 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.361378 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.381955 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.472604 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.334741 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.00189016 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.2696 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.256429 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0233649 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0316245 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0602729 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0441588 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00472482 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0130284 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0205854 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0899646 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.293296 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0192525 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0805672 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0228858 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00415397 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0409301 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.036105 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0208327 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0640019 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0160546 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0731477 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0304463 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0116377 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0334127 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0284962 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0133561 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0884227 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0782861 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0405564 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00716662 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0638604 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0868066 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0411282 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.0053274 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0927856 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0158672 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0713322 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.331968 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0301044 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.0751134 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.79273 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.630841 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.635871 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.278869 # DEPENDENCYPART_SIBL
(4,15),(4,23),0.757409 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.239205 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.303148 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.114258 # DEPENDENCYPART_SIBL
