# _root_ Under the circumstances , it wo n't be easy for GM to exceed its record 1988 fourth-quarter net of $ 1.4 billion , the spokesman acknowledged .
#goldHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
#predictedHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
(13,25),-1.80833 # DEPENDENCYPART_ARC
(13,26),-1.65892 # DEPENDENCYPART_ARC
(13,27),-1.60038 # DEPENDENCYPART_ARC
(15,9),-1.9492 # DEPENDENCYPART_ARC
(15,11),-1.74848 # DEPENDENCYPART_ARC
(15,12),-1.75287 # DEPENDENCYPART_ARC
(15,14),-0.50665 # DEPENDENCYPART_ARC
(15,16),-0.293962 # DEPENDENCYPART_ARC
(15,17),-1.09381 # DEPENDENCYPART_ARC
(15,18),-1.38759 # DEPENDENCYPART_ARC
(15,19),-1.20435 # DEPENDENCYPART_ARC
(15,25),-2.08355 # DEPENDENCYPART_ARC
(16,14),-0.959024 # DEPENDENCYPART_ARC
(16,15),0.0873523 # DEPENDENCYPART_ARC
(16,17),0.0503369 # DEPENDENCYPART_ARC
(16,18),-0.833286 # DEPENDENCYPART_ARC
(16,19),-1.11986 # DEPENDENCYPART_ARC
(16,20),-1.10584 # DEPENDENCYPART_ARC
(16,21),-1.57902 # DEPENDENCYPART_ARC
(16,22),-1.57978 # DEPENDENCYPART_ARC
(16,25),-1.9468 # DEPENDENCYPART_ARC
(17,9),-1.57417 # DEPENDENCYPART_ARC
(17,12),-1.56303 # DEPENDENCYPART_ARC
(17,15),-1.02114 # DEPENDENCYPART_ARC
(17,16),-0.221959 # DEPENDENCYPART_ARC
(17,19),-1.0297 # DEPENDENCYPART_ARC
(17,21),-1.50324 # DEPENDENCYPART_ARC
(18,9),-1.76745 # DEPENDENCYPART_ARC
(18,10),-1.74669 # DEPENDENCYPART_ARC
(18,11),-2.11612 # DEPENDENCYPART_ARC
(18,14),-0.898638 # DEPENDENCYPART_ARC
(18,15),-0.52884 # DEPENDENCYPART_ARC
(18,16),-0.388446 # DEPENDENCYPART_ARC
(18,17),1.41429 # DEPENDENCYPART_ARC
(18,19),0.674224 # DEPENDENCYPART_ARC
(18,20),-0.819512 # DEPENDENCYPART_ARC
(18,21),-1.03038 # DEPENDENCYPART_ARC
(18,22),-1.19245 # DEPENDENCYPART_ARC
(18,23),-0.906405 # DEPENDENCYPART_ARC
(18,24),-1.54968 # DEPENDENCYPART_ARC
(18,25),-1.38412 # DEPENDENCYPART_ARC
(18,26),-1.65348 # DEPENDENCYPART_ARC
(18,27),-1.71112 # DEPENDENCYPART_ARC
(19,17),-1.30958 # DEPENDENCYPART_ARC
(19,20),-0.191565 # DEPENDENCYPART_ARC
(19,21),-0.889889 # DEPENDENCYPART_ARC
(19,22),-1.35993 # DEPENDENCYPART_ARC
(19,23),-1.20438 # DEPENDENCYPART_ARC
(19,25),-2.28955 # DEPENDENCYPART_ARC
(19,26),-2.08494 # DEPENDENCYPART_ARC
(20,15),-1.41507 # DEPENDENCYPART_ARC
(20,17),-1.1937 # DEPENDENCYPART_ARC
(20,18),-1.1829 # DEPENDENCYPART_ARC
(20,19),0.103653 # DEPENDENCYPART_ARC
(20,21),0.597539 # DEPENDENCYPART_ARC
(20,22),0.0893108 # DEPENDENCYPART_ARC
(20,23),-0.888798 # DEPENDENCYPART_ARC
(20,25),-1.70106 # DEPENDENCYPART_ARC
(20,26),-1.58722 # DEPENDENCYPART_ARC
(20,27),-1.63138 # DEPENDENCYPART_ARC
(21,17),-1.52136 # DEPENDENCYPART_ARC
(21,18),-1.37469 # DEPENDENCYPART_ARC
(21,20),-0.145516 # DEPENDENCYPART_ARC
(21,22),-0.414875 # DEPENDENCYPART_ARC
(21,23),-0.725158 # DEPENDENCYPART_ARC
(21,25),-1.53163 # DEPENDENCYPART_ARC
(21,26),-1.43413 # DEPENDENCYPART_ARC
(21,27),-1.46246 # DEPENDENCYPART_ARC
(22,20),-0.605064 # DEPENDENCYPART_ARC
(22,21),0.126557 # DEPENDENCYPART_ARC
(22,23),-0.114001 # DEPENDENCYPART_ARC
(22,24),-1.36918 # DEPENDENCYPART_ARC
(22,25),-1.55369 # DEPENDENCYPART_ARC
(22,26),-1.55841 # DEPENDENCYPART_ARC
(25,14),-2.18566 # DEPENDENCYPART_ARC
(25,16),-2.52366 # DEPENDENCYPART_ARC
(25,20),-2.06155 # DEPENDENCYPART_ARC
(25,21),-2.23362 # DEPENDENCYPART_ARC
(25,22),-2.00376 # DEPENDENCYPART_ARC
(25,24),1.21316 # DEPENDENCYPART_ARC
(25,26),-0.253892 # DEPENDENCYPART_ARC
(26,1),-1.14022 # DEPENDENCYPART_ARC
(26,3),-1.45886 # DEPENDENCYPART_ARC
(26,4),-2.42623 # DEPENDENCYPART_ARC
(26,5),-2.19318 # DEPENDENCYPART_ARC
(26,6),-1.15106 # DEPENDENCYPART_ARC
(26,7),-1.97666 # DEPENDENCYPART_ARC
(26,8),-1.2281 # DEPENDENCYPART_ARC
(26,9),-1.47006 # DEPENDENCYPART_ARC
(26,10),-1.24871 # DEPENDENCYPART_ARC
(26,11),-1.88176 # DEPENDENCYPART_ARC
(26,12),-2.29857 # DEPENDENCYPART_ARC
(26,13),-1.19326 # DEPENDENCYPART_ARC
(26,15),-1.42771 # DEPENDENCYPART_ARC
(26,16),-1.48119 # DEPENDENCYPART_ARC
(26,17),-1.43154 # DEPENDENCYPART_ARC
(26,18),-1.4832 # DEPENDENCYPART_ARC
(26,19),-1.16521 # DEPENDENCYPART_ARC
(26,20),-1.36314 # DEPENDENCYPART_ARC
(26,21),-1.50232 # DEPENDENCYPART_ARC
(26,22),-1.43188 # DEPENDENCYPART_ARC
(26,23),-0.272166 # DEPENDENCYPART_ARC
(26,24),-0.336657 # DEPENDENCYPART_ARC
(26,25),1.10306 # DEPENDENCYPART_ARC
(26,27),0.947865 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0226338 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.024761 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0964592 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.100346 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.0965834 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0411867 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.109451 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.102076 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.101569 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0956952 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0955667 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.0955667 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.175324 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.175498 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.164608 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0422653 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00884842 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0127889 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0168662 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0333517 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0184979 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0340347 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0369478 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0361489 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00632052 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0302838 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.021939 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0122702 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00329497 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0104521 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.056734 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0136959 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00392048 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.020992 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0374809 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0350926 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.026639 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0165558 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00651087 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0132372 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0085422 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.00392048 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0586619 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00692679 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0159866 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0298592 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.126551 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0876333 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00400734 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0110588 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00394103 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.100312 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.00692679 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.117837 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00471455 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00919921 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0189326 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0438176 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0052623 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0413787 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.038355 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0199737 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0368017 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.00278378 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0147899 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00720287 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0029849 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0228569 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00156949 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.013469 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00958259 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0204142 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0464932 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00794123 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0368441 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0362357 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0141417 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0130826 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0142175 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0456898 # DEPENDENCYPART_SIBL
(3,7),(3,27),8.7024e-05 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.01341 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00918178 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0314991 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0139286 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0315591 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.00300175 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0178332 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.005383 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0107568 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.013515 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00181704 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0164384 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.00678427 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0387151 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00173209 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0319627 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0171677 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0602796 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00283648 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0180987 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0151514 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.016811 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00648797 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.00463906 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0615602 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0182212 # DEPENDENCYPART_SIBL
(3,13),(3,27),-0.00285429 # DEPENDENCYPART_SIBL
(3,23),(3,27),-0.00278378 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.157987 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.115251 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0101985 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00337351 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0271686 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0285636 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0372596 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0676789 # DEPENDENCYPART_SIBL
(6,1),(6,8),6.83815e-05 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0188422 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00199677 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00652702 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0584311 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.000641501 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.0431415 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0228298 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0160813 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0555346 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0495521 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0224635 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0553991 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0341732 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.249408 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0219821 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0260158 # DEPENDENCYPART_SIBL
(6,2),(6,27),-0.112106 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0236046 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.102413 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.103106 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.125762 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0244864 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0343402 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.01099 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0349477 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0363043 # DEPENDENCYPART_SIBL
(6,3),(6,27),0.0251885 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0992906 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00638743 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.188976 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0759273 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0128393 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.149509 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.147432 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.0127704 # DEPENDENCYPART_SIBL
(6,4),(6,27),0.0671581 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0832165 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0423103 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0903143 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00530298 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0727711 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.076875 # DEPENDENCYPART_SIBL
(6,5),(6,26),-0.00435744 # DEPENDENCYPART_SIBL
(6,5),(6,27),-0.0135658 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.102145 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0557193 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0780245 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0288649 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.128317 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.0749632 # DEPENDENCYPART_SIBL
(6,7),(6,27),0.00481967 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0224332 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.10498 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0280572 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0447073 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.105154 # DEPENDENCYPART_SIBL
(6,8),(6,27),0.0430575 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0105594 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0328916 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.0221991 # DEPENDENCYPART_SIBL
(6,10),(6,26),0.0143097 # DEPENDENCYPART_SIBL
(6,10),(6,27),0.0237743 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0507981 # DEPENDENCYPART_SIBL
(6,13),(6,23),-0.0670768 # DEPENDENCYPART_SIBL
(6,13),(6,26),-0.0769926 # DEPENDENCYPART_SIBL
(6,13),(6,27),0.0164802 # DEPENDENCYPART_SIBL
(6,19),(6,23),0.00711336 # DEPENDENCYPART_SIBL
(6,19),(6,26),0.032009 # DEPENDENCYPART_SIBL
(6,19),(6,27),0.010377 # DEPENDENCYPART_SIBL
(6,23),(6,26),0.0227609 # DEPENDENCYPART_SIBL
(6,23),(6,27),-0.0391813 # DEPENDENCYPART_SIBL
(6,26),(6,27),0.013185 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0158505 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0139371 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0220691 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0240119 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0560749 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.100332 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0728757 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.020497 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0879957 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0146045 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0685292 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.048986 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00853561 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.15328 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0047937 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0409079 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.200734 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0910368 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0339898 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.228647 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0995479 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0818483 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0554446 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00878709 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.110427 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0508531 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0453019 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.10622 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.00318455 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0215424 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0596194 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00942933 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0624076 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0192694 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00755866 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0336406 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0226492 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.00182716 # DEPENDENCYPART_SIBL
