# _root_ The explosion sent shards of metal flying , severing the DC-10 's hydraulic or control systems , and led to the crash that killed 112 people .
#goldHeads=2,18,18,7,4,5,3,3,3,11,16,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
#predictedHeads=2,18,18,3,4,5,3,18,18,11,9,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
(11,9),-1.29947 # DEPENDENCYPART_ARC
(11,10),0.754813 # DEPENDENCYPART_ARC
(11,12),-0.239305 # DEPENDENCYPART_ARC
(11,13),-1.28554 # DEPENDENCYPART_ARC
(11,14),-1.15901 # DEPENDENCYPART_ARC
(11,16),-1.7031 # DEPENDENCYPART_ARC
(12,2),-2.07125 # DEPENDENCYPART_ARC
(12,3),-1.35032 # DEPENDENCYPART_ARC
(12,4),-1.95415 # DEPENDENCYPART_ARC
(12,5),-1.66891 # DEPENDENCYPART_ARC
(12,6),-1.94364 # DEPENDENCYPART_ARC
(12,7),-1.34981 # DEPENDENCYPART_ARC
(12,8),-1.29079 # DEPENDENCYPART_ARC
(12,9),-1.11151 # DEPENDENCYPART_ARC
(12,10),-0.524333 # DEPENDENCYPART_ARC
(12,11),0.690797 # DEPENDENCYPART_ARC
(12,13),0.57572 # DEPENDENCYPART_ARC
(12,14),-0.4408 # DEPENDENCYPART_ARC
(12,15),-0.666785 # DEPENDENCYPART_ARC
(12,16),-0.660234 # DEPENDENCYPART_ARC
(12,17),-1.26276 # DEPENDENCYPART_ARC
(12,18),-1.17717 # DEPENDENCYPART_ARC
(12,19),-1.90032 # DEPENDENCYPART_ARC
(12,20),-1.71369 # DEPENDENCYPART_ARC
(12,22),-2.21365 # DEPENDENCYPART_ARC
(12,24),-2.23878 # DEPENDENCYPART_ARC
(12,27),-1.2371 # DEPENDENCYPART_ARC
(13,10),-1.17266 # DEPENDENCYPART_ARC
(13,11),-1.00306 # DEPENDENCYPART_ARC
(13,14),-0.357421 # DEPENDENCYPART_ARC
(13,15),-1.0473 # DEPENDENCYPART_ARC
(13,16),-1.2942 # DEPENDENCYPART_ARC
(13,19),-1.70277 # DEPENDENCYPART_ARC
(14,2),-1.89594 # DEPENDENCYPART_ARC
(14,3),-2.61022 # DEPENDENCYPART_ARC
(14,4),-1.72511 # DEPENDENCYPART_ARC
(14,5),-1.82183 # DEPENDENCYPART_ARC
(14,6),-1.55842 # DEPENDENCYPART_ARC
(14,7),-2.14589 # DEPENDENCYPART_ARC
(14,8),-1.64453 # DEPENDENCYPART_ARC
(14,9),-1.74534 # DEPENDENCYPART_ARC
(14,10),-1.18624 # DEPENDENCYPART_ARC
(14,11),-0.619679 # DEPENDENCYPART_ARC
(14,12),-0.679879 # DEPENDENCYPART_ARC
(14,13),0.676977 # DEPENDENCYPART_ARC
(14,15),1.18401 # DEPENDENCYPART_ARC
(14,16),-0.144539 # DEPENDENCYPART_ARC
(14,17),-0.902798 # DEPENDENCYPART_ARC
(14,18),-1.22689 # DEPENDENCYPART_ARC
(14,19),-1.41849 # DEPENDENCYPART_ARC
(14,20),-1.79489 # DEPENDENCYPART_ARC
(14,22),-2.68191 # DEPENDENCYPART_ARC
(14,24),-2.30161 # DEPENDENCYPART_ARC
(14,26),-2.91364 # DEPENDENCYPART_ARC
(14,27),-2.29496 # DEPENDENCYPART_ARC
(15,10),-2.67346 # DEPENDENCYPART_ARC
(15,13),-1.60371 # DEPENDENCYPART_ARC
(15,14),-0.389159 # DEPENDENCYPART_ARC
(15,16),-0.758567 # DEPENDENCYPART_ARC
(16,8),-1.48053 # DEPENDENCYPART_ARC
(16,9),-1.14971 # DEPENDENCYPART_ARC
(16,10),-1.31886 # DEPENDENCYPART_ARC
(16,11),-0.908232 # DEPENDENCYPART_ARC
(16,13),-0.639085 # DEPENDENCYPART_ARC
(16,14),0.349361 # DEPENDENCYPART_ARC
(16,15),1.88496 # DEPENDENCYPART_ARC
(16,17),0.0999959 # DEPENDENCYPART_ARC
(16,18),-1.70197 # DEPENDENCYPART_ARC
(16,19),-1.94091 # DEPENDENCYPART_ARC
(16,20),-2.16386 # DEPENDENCYPART_ARC
(16,22),-1.93075 # DEPENDENCYPART_ARC
(16,24),-2.17669 # DEPENDENCYPART_ARC
(16,25),-2.38828 # DEPENDENCYPART_ARC
(16,26),-1.8869 # DEPENDENCYPART_ARC
(18,1),-2.63425 # DEPENDENCYPART_ARC
(18,2),-0.801618 # DEPENDENCYPART_ARC
(18,3),-0.942213 # DEPENDENCYPART_ARC
(18,4),-1.10661 # DEPENDENCYPART_ARC
(18,5),-0.414888 # DEPENDENCYPART_ARC
(18,6),-0.588466 # DEPENDENCYPART_ARC
(18,7),-0.427016 # DEPENDENCYPART_ARC
(18,8),-1.1564 # DEPENDENCYPART_ARC
(18,9),-0.369366 # DEPENDENCYPART_ARC
(18,10),-1.81011 # DEPENDENCYPART_ARC
(18,11),-0.623654 # DEPENDENCYPART_ARC
(18,12),0.210837 # DEPENDENCYPART_ARC
(18,13),-1.05084 # DEPENDENCYPART_ARC
(18,14),-0.602874 # DEPENDENCYPART_ARC
(18,15),-0.534935 # DEPENDENCYPART_ARC
(18,16),-0.403596 # DEPENDENCYPART_ARC
(18,17),1.72285 # DEPENDENCYPART_ARC
(18,19),1.38574 # DEPENDENCYPART_ARC
(18,20),-0.637653 # DEPENDENCYPART_ARC
(18,21),-1.19929 # DEPENDENCYPART_ARC
(18,22),-1.3686 # DEPENDENCYPART_ARC
(18,24),-1.34642 # DEPENDENCYPART_ARC
(18,25),-1.4868 # DEPENDENCYPART_ARC
(18,26),-1.84845 # DEPENDENCYPART_ARC
(18,27),0.350769 # DEPENDENCYPART_ARC
(19,2),-1.95742 # DEPENDENCYPART_ARC
(19,3),-2.47401 # DEPENDENCYPART_ARC
(19,4),-1.90173 # DEPENDENCYPART_ARC
(19,12),-2.18916 # DEPENDENCYPART_ARC
(19,16),-2.36865 # DEPENDENCYPART_ARC
(19,17),-1.25315 # DEPENDENCYPART_ARC
(19,20),0.599566 # DEPENDENCYPART_ARC
(19,21),-0.700993 # DEPENDENCYPART_ARC
(19,22),-0.537823 # DEPENDENCYPART_ARC
(19,24),-0.734358 # DEPENDENCYPART_ARC
(19,26),-1.40398 # DEPENDENCYPART_ARC
(19,27),-0.5303 # DEPENDENCYPART_ARC
(20,21),0.2357 # DEPENDENCYPART_ARC
(20,22),-0.111118 # DEPENDENCYPART_ARC
(20,24),-0.990948 # DEPENDENCYPART_ARC
(20,26),-1.61532 # DEPENDENCYPART_ARC
(22,10),-2.4987 # DEPENDENCYPART_ARC
(22,19),-0.982792 # DEPENDENCYPART_ARC
(22,20),-0.764202 # DEPENDENCYPART_ARC
(22,21),1.44058 # DEPENDENCYPART_ARC
(22,23),-0.109757 # DEPENDENCYPART_ARC
(22,24),-0.209709 # DEPENDENCYPART_ARC
(22,25),-1.41127 # DEPENDENCYPART_ARC
(22,26),-1.48359 # DEPENDENCYPART_ARC
(22,27),-1.34877 # DEPENDENCYPART_ARC
(24,2),-2.00945 # DEPENDENCYPART_ARC
(24,3),-2.30959 # DEPENDENCYPART_ARC
(24,4),-1.80829 # DEPENDENCYPART_ARC
(24,6),-1.73394 # DEPENDENCYPART_ARC
(24,7),-2.06736 # DEPENDENCYPART_ARC
(24,11),-2.59945 # DEPENDENCYPART_ARC
(24,12),-2.18076 # DEPENDENCYPART_ARC
(24,16),-2.47821 # DEPENDENCYPART_ARC
(24,20),-1.32059 # DEPENDENCYPART_ARC
(24,21),-1.37583 # DEPENDENCYPART_ARC
(24,22),-1.05182 # DEPENDENCYPART_ARC
(24,23),0.419157 # DEPENDENCYPART_ARC
(24,25),0.12996 # DEPENDENCYPART_ARC
(24,26),0.124228 # DEPENDENCYPART_ARC
(24,27),-0.508526 # DEPENDENCYPART_ARC
(25,21),-1.44073 # DEPENDENCYPART_ARC
(25,22),-1.35179 # DEPENDENCYPART_ARC
(26,20),-1.95056 # DEPENDENCYPART_ARC
(26,21),-1.17625 # DEPENDENCYPART_ARC
(26,22),-1.29078 # DEPENDENCYPART_ARC
(26,24),-0.578035 # DEPENDENCYPART_ARC
(26,25),1.00439 # DEPENDENCYPART_ARC
(26,27),-0.207581 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0983091 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0973487 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.101481 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.096121 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0991874 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.164652 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.164282 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.164504 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.131707 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.164699 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.166407 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.166629 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.166824 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.164498 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.131702 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.164692 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.132657 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.168456 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.132251 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.11938 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0094503 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.273783 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.126547 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00629433 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00565795 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0184075 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0136722 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00804341 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0167246 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0278297 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0085841 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00711765 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0142371 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0368851 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0379559 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0184468 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0478427 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00441921 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0287632 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.016497 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0376969 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0706542 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.254769 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0708443 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0459253 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0226671 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0577268 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0648099 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0324042 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0450339 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0226671 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0675544 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0503757 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0610245 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.114553 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0142735 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0149697 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0228625 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0584464 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0243166 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0435428 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0450599 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0144647 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0139589 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0243166 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0154522 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0559542 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0376718 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0346512 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0031095 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00276343 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0162608 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0282965 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00603484 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0157306 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0198185 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0233471 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0282965 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.019167 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0119217 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.00234905 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0188627 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00214966 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0354571 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00624089 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0349925 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.025378 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0532319 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0638112 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00624089 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0357328 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0288529 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0370941 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0138006 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0158599 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0279627 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00563389 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0153296 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0200075 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0235358 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0279627 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0193556 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0115207 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0019481 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0179243 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0288971 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00701639 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0185989 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0201247 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.044279 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0288971 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0257199 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00771362 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.00313091 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0787653 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0471041 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.044458 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0135457 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0139922 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.041495 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0123616 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0462017 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0452092 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.043314 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0202084 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0206471 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0448014 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0358874 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0262422 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.00932305 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00474034 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0753113 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0241064 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0387816 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0406301 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0270453 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00549525 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.000914133 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0764097 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0256743 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0270446 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0144879 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.00665377 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.00353332 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0266111 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0069558 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0153976 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0205392 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0173461 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.0342372 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0123616 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0462017 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.0452092 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.043314 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.00358811 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.000394969 # DEPENDENCYPART_SIBL
(3,18),(3,27),0.0271649 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.0024025 # DEPENDENCYPART_SIBL
(3,19),(3,27),0.0784139 # DEPENDENCYPART_SIBL
(3,24),(3,27),0.0696736 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0465581 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.114574 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.267873 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00736183 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.129124 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00872017 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.132546 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00961088 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0849779 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00872017 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.00582033 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.129667 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0322304 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0414644 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.01445 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0192954 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0528103 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0174269 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0204138 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00725632 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0528103 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0105707 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0213904 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0135711 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0114038 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0266171 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0127635 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0209749 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0136549 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0500808 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0127635 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.00458827 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0252379 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00422147 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0342164 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0225044 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0364125 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00422187 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00929816 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0225044 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0463804 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.036938 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0038256 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0175145 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0111077 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0112514 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00962454 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0175145 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0346305 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0121146 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00572053 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0124183 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0194386 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00430844 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.00572053 # DEPENDENCYPART_SIBL
