# _root_ With the golden share as protection , Jaguar officials have rebuffed Ford 's overtures , and moved instead to forge an alliance with GM .
#goldHeads=10,4,4,1,4,5,10,9,10,0,16,14,12,11,16,10,16,17,20,17,22,20,22,23,10,
#predictedHeads=10,4,4,1,4,5,10,9,10,16,10,14,12,11,16,0,16,17,20,17,22,20,22,23,16,
(10,6),-1.58015 # DEPENDENCYPART_ARC
(10,7),-0.738993 # DEPENDENCYPART_ARC
(10,8),-0.455273 # DEPENDENCYPART_ARC
(10,9),0.728234 # DEPENDENCYPART_ARC
(10,11),1.37002 # DEPENDENCYPART_ARC
(10,12),-0.574967 # DEPENDENCYPART_ARC
(10,14),-0.928562 # DEPENDENCYPART_ARC
(10,15),-1.40587 # DEPENDENCYPART_ARC
(10,16),-0.977738 # DEPENDENCYPART_ARC
(10,17),-2.10062 # DEPENDENCYPART_ARC
(10,18),-1.99097 # DEPENDENCYPART_ARC
(10,19),-1.88749 # DEPENDENCYPART_ARC
(10,20),-2.07427 # DEPENDENCYPART_ARC
(10,25),-0.978192 # DEPENDENCYPART_ARC
(11,1),-1.61692 # DEPENDENCYPART_ARC
(11,4),-2.69425 # DEPENDENCYPART_ARC
(11,5),-1.7134 # DEPENDENCYPART_ARC
(11,7),-1.78231 # DEPENDENCYPART_ARC
(11,8),-1.49831 # DEPENDENCYPART_ARC
(11,9),-1.40427 # DEPENDENCYPART_ARC
(11,10),-0.971349 # DEPENDENCYPART_ARC
(11,12),0.606109 # DEPENDENCYPART_ARC
(11,14),-0.306587 # DEPENDENCYPART_ARC
(11,15),-0.965589 # DEPENDENCYPART_ARC
(11,16),-1.21103 # DEPENDENCYPART_ARC
(11,17),-1.86975 # DEPENDENCYPART_ARC
(11,18),-1.88116 # DEPENDENCYPART_ARC
(11,19),-1.84975 # DEPENDENCYPART_ARC
(11,20),-1.93835 # DEPENDENCYPART_ARC
(11,22),-2.14009 # DEPENDENCYPART_ARC
(11,23),-1.99435 # DEPENDENCYPART_ARC
(11,25),-1.56455 # DEPENDENCYPART_ARC
(12,8),-0.709931 # DEPENDENCYPART_ARC
(12,9),-1.1191 # DEPENDENCYPART_ARC
(12,11),0.494437 # DEPENDENCYPART_ARC
(12,13),0.976158 # DEPENDENCYPART_ARC
(12,14),-0.992793 # DEPENDENCYPART_ARC
(12,15),-1.13944 # DEPENDENCYPART_ARC
(12,16),-1.11507 # DEPENDENCYPART_ARC
(12,17),-1.60874 # DEPENDENCYPART_ARC
(14,6),-2.26456 # DEPENDENCYPART_ARC
(14,8),-1.15571 # DEPENDENCYPART_ARC
(14,9),-1.172 # DEPENDENCYPART_ARC
(14,11),-0.828463 # DEPENDENCYPART_ARC
(14,12),0.32924 # DEPENDENCYPART_ARC
(14,13),-0.0268919 # DEPENDENCYPART_ARC
(14,15),-0.0523066 # DEPENDENCYPART_ARC
(14,16),-1.67339 # DEPENDENCYPART_ARC
(14,17),-1.83541 # DEPENDENCYPART_ARC
(14,18),-1.90413 # DEPENDENCYPART_ARC
(14,19),-2.15517 # DEPENDENCYPART_ARC
(14,20),-2.35412 # DEPENDENCYPART_ARC
(14,22),-1.6508 # DEPENDENCYPART_ARC
(16,1),-0.924306 # DEPENDENCYPART_ARC
(16,2),-2.42411 # DEPENDENCYPART_ARC
(16,3),-1.75032 # DEPENDENCYPART_ARC
(16,4),-1.04957 # DEPENDENCYPART_ARC
(16,5),-0.384384 # DEPENDENCYPART_ARC
(16,6),-1.02853 # DEPENDENCYPART_ARC
(16,7),-1.33051 # DEPENDENCYPART_ARC
(16,8),-1.41907 # DEPENDENCYPART_ARC
(16,9),-0.754934 # DEPENDENCYPART_ARC
(16,10),-0.574 # DEPENDENCYPART_ARC
(16,11),-0.26265 # DEPENDENCYPART_ARC
(16,12),-0.768182 # DEPENDENCYPART_ARC
(16,14),-0.659648 # DEPENDENCYPART_ARC
(16,15),1.50381 # DEPENDENCYPART_ARC
(16,17),1.55762 # DEPENDENCYPART_ARC
(16,18),-0.456182 # DEPENDENCYPART_ARC
(16,19),-0.942789 # DEPENDENCYPART_ARC
(16,20),-0.902853 # DEPENDENCYPART_ARC
(16,21),-1.1779 # DEPENDENCYPART_ARC
(16,22),-1.60297 # DEPENDENCYPART_ARC
(16,23),-1.29046 # DEPENDENCYPART_ARC
(16,24),-1.96661 # DEPENDENCYPART_ARC
(16,25),0.352682 # DEPENDENCYPART_ARC
(17,14),-2.99687 # DEPENDENCYPART_ARC
(17,18),0.169421 # DEPENDENCYPART_ARC
(17,19),-0.875904 # DEPENDENCYPART_ARC
(17,20),-0.840323 # DEPENDENCYPART_ARC
(17,22),-1.38138 # DEPENDENCYPART_ARC
(17,23),-1.31794 # DEPENDENCYPART_ARC
(17,25),-1.02806 # DEPENDENCYPART_ARC
(18,4),-1.37986 # DEPENDENCYPART_ARC
(18,9),-1.78462 # DEPENDENCYPART_ARC
(18,14),-1.67622 # DEPENDENCYPART_ARC
(18,15),-1.23257 # DEPENDENCYPART_ARC
(18,16),-0.941417 # DEPENDENCYPART_ARC
(18,19),0.223167 # DEPENDENCYPART_ARC
(18,20),-0.603107 # DEPENDENCYPART_ARC
(18,22),-1.21742 # DEPENDENCYPART_ARC
(18,23),-1.23931 # DEPENDENCYPART_ARC
(19,18),0.121517 # DEPENDENCYPART_ARC
(19,20),-0.313475 # DEPENDENCYPART_ARC
(19,22),-1.72144 # DEPENDENCYPART_ARC
(19,23),-1.72261 # DEPENDENCYPART_ARC
(19,24),-2.172 # DEPENDENCYPART_ARC
(20,4),-1.93662 # DEPENDENCYPART_ARC
(20,5),-1.84048 # DEPENDENCYPART_ARC
(20,6),-1.79416 # DEPENDENCYPART_ARC
(20,7),-3.0232 # DEPENDENCYPART_ARC
(20,10),-1.9333 # DEPENDENCYPART_ARC
(20,14),-2.44039 # DEPENDENCYPART_ARC
(20,15),-1.93945 # DEPENDENCYPART_ARC
(20,16),-1.38339 # DEPENDENCYPART_ARC
(20,18),-0.87536 # DEPENDENCYPART_ARC
(20,19),1.05287 # DEPENDENCYPART_ARC
(20,21),0.193269 # DEPENDENCYPART_ARC
(20,22),0.517756 # DEPENDENCYPART_ARC
(20,23),-0.529014 # DEPENDENCYPART_ARC
(20,24),-0.447767 # DEPENDENCYPART_ARC
(20,25),-0.599091 # DEPENDENCYPART_ARC
(21,23),-1.04071 # DEPENDENCYPART_ARC
(22,18),-1.50385 # DEPENDENCYPART_ARC
(22,19),-1.82251 # DEPENDENCYPART_ARC
(22,21),1.09802 # DEPENDENCYPART_ARC
(22,23),0.379559 # DEPENDENCYPART_ARC
(22,24),-1.12362 # DEPENDENCYPART_ARC
(22,25),-1.08832 # DEPENDENCYPART_ARC
(23,21),-1.38183 # DEPENDENCYPART_ARC
(23,22),-0.555466 # DEPENDENCYPART_ARC
(23,24),0.698559 # DEPENDENCYPART_ARC
(24,21),-1.67102 # DEPENDENCYPART_ARC
(24,22),-1.1605 # DEPENDENCYPART_ARC
(24,23),-0.395006 # DEPENDENCYPART_ARC
(24,25),-0.334716 # DEPENDENCYPART_ARC
(25,23),-1.04652 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0213543 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0963678 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0963616 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0654913 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0933164 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0963617 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0999104 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0914703 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0928049 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.088905 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0914703 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.167371 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.1373 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.167946 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.167371 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.131702 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.164852 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.164276 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.132873 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.132251 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.164298 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.02308 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.046018 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0454313 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0423438 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0154102 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0423395 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0396037 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.042339 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0673835 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.040943 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0264247 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0380087 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.005771 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0381258 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00989962 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0380039 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0648309 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0898213 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0947159 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.050424 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0911091 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0372082 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0935073 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.146034 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0225317 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0195577 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0214181 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0409567 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0205846 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0392784 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0350425 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0947011 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0502177 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0970993 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.147402 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0340438 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0590089 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0313228 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0519405 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0503328 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.09456 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.147855 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0236522 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0683399 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.146084 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00393576 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0722846 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0107784 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0352267 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.125302 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00262052 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.205833 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.10693 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0758113 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.014361 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0105185 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.054157 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0109502 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.042517 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0119984 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0201202 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0253038 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.042517 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0245348 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.058865 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.199578 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0496563 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0583303 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0613967 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.109595 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.12048 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0583303 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.12048 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.118402 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0263056 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0287839 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.016954 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0920739 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0778932 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0287839 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0778928 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0138549 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0261214 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0156684 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00587809 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.010282 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0261214 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0102821 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0111483 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0174199 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00811469 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00916789 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0111483 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0091679 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00155948 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0708009 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.000956221 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00322124 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.000956222 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00933698 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0103902 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00790576 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0103902 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00858802 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0872264 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.00858823 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0146635 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.00614436 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.000956222 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00513302 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0410542 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0467849 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0457236 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0440456 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0537758 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.033509 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00372932 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0994665 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0284161 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.121594 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0337955 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0126813 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.215207 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0337072 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.000585691 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0432975 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0137819 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00565869 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0338376 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0105779 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0135203 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0707956 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0311087 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.136268 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0512666 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.025944 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0531274 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0589746 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00175284 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0312239 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.136721 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0474681 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0659427 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0222316 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0195993 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0242928 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0184586 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0109778 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0477435 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0322854 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00292548 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0046012 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0352695 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0417297 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00304893 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0027499 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0322854 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0177549 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.00992368 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0258467 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0409608 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0590677 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0262548 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0176511 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00505523 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.011341 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0234686 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.11594 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.12491 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0112141 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.011204 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00505523 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00721706 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0170284 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00363728 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.124909 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.047116 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00835873 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0281623 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0226945 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0135009 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0610716 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0449762 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0226913 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0226986 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0281623 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.105442 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0324988 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00982489 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0449758 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0361994 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00460322 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00109095 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00663379 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00241671 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.038071 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00256253 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00642312 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00460322 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.012841 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0159892 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0845779 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0379655 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0872336 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0436416 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0453173 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00374848 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00654637 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.043765 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.043466 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0872336 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0470965 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00114525 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00798282 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.00577743 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0348393 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.027255 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0800641 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00771014 # DEPENDENCYPART_SIBL
