# _root_ Murata said , however , it will invest about 1.4 billion yen ( $ 9.9 million ) in the new company .
#goldHeads=2,0,2,2,2,7,2,7,12,9,9,8,14,12,14,14,14,8,21,21,18,2,
#predictedHeads=2,0,2,2,7,7,2,7,12,9,9,8,14,12,14,14,14,8,21,21,18,2,
(2,1),(2,4),0.000732596 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00129324 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0482692 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0102893 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0592461 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.101587 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0137567 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0597438 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0211772 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0648058 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0218161 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00926854 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00717308 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00688896 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00426894 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.169032 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0140955 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0300065 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0195867 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0246572 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0141072 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00848877 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0053173 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0732503 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0454383 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0333132 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00926854 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00717308 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00688896 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00426894 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.169032 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0140955 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0300065 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.051609 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0311986 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0530397 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.00998711 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0997821 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.000325429 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0975692 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0440026 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0242169 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0442621 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0203593 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.073759 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.010785 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.031579 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.100549 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0510615 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0621049 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.107833 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0369878 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0797764 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.0697032 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0646117 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.121539 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00863877 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.017278 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0508685 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.016431 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0061041 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00386262 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.637455 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.122778 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.173643 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.153486 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0981209 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0658585 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0602381 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.000373213 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0491501 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0380658 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00809603 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00371855 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00211788 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0139351 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00660079 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00494169 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0228666 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0212325 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0142295 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0334406 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00707471 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00544059 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00682982 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00142656 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.000129079 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0106349 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0111271 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0353414 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.116051 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0430544 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0046602 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0160507 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0046602 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.13342 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.012229 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00938075 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.015613 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0339931 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.00690075 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00728731 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0229605 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00728731 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0568378 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0338787 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0318158 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.00465536 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0213716 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0645578 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0560418 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0539497 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00487045 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0110758 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0498356 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.015065 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0911068 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.076333 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0590022 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0288271 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00233819 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0316928 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0576915 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0219467 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0545038 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00487045 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0110758 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0498356 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.015065 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0911068 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.076333 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0783083 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0526587 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0412902 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0688731 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0581441 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.108362 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0302892 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.036562 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0141106 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.00642977 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0124675 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0190652 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.0178276 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.00265459 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.0349569 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.000925023 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.061583 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.000925023 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0723004 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0728658 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0213804 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.00419977 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00485336 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.00964844 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0683657 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0166029 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0198855 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0379813 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.04565 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.0157521 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.112812 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0252901 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0135706 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0532662 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0181326 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0466902 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0432731 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.00806876 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0642466 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0269247 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0314409 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0425626 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0429 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0519198 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.101372 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0494578 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0555143 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0294637 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0538909 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0839974 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.000435385 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.044932 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0589787 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.07095 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00129619 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.0154133 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0669606 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0135706 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0532662 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0181326 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0466902 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0432731 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00806876 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0642466 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0269247 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0314409 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0425626 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0429 # DEPENDENCYPART_SIBL
(8,5),(8,22),0.0519198 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0010615 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0548051 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0412331 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0392762 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0137415 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0450299 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0289721 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.012605 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0115181 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0429338 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.00626861 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0536465 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0447235 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.037362 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0375415 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0562648 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0162548 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0644136 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0571597 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.0654442 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.00534579 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0633189 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.067218 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0769293 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0443639 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0156138 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.00382532 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0215114 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0705234 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0683745 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.000132378 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0516036 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0101551 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0501502 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.000841844 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0467159 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0511345 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.0137882 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0570292 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0052606 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0699488 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.00683138 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0444991 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.0553574 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.00968936 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0416824 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.00844695 # DEPENDENCYPART_SIBL
(8,12),(8,18),0.0236366 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0451011 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0396663 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0298938 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.0787488 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0146947 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0147201 # DEPENDENCYPART_SIBL
(8,14),(8,21),-7.88596e-05 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0107906 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0131391 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.032858 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0253044 # DEPENDENCYPART_SIBL
(8,17),(8,22),-0.0502305 # DEPENDENCYPART_SIBL
