# _root_ Most Wall Street firms , in pulling back , have merely stopped such trading for their own accounts .
#goldHeads=4,4,4,10,10,10,6,7,10,0,12,10,12,13,12,18,18,15,10,
#predictedHeads=4,4,4,10,10,10,6,7,10,0,10,10,12,13,14,18,18,15,10,
(8,11),-1.90394 # DEPENDENCYPART_ARC
(8,13),-2.00439 # DEPENDENCYPART_ARC
(8,15),-2.00966 # DEPENDENCYPART_ARC
(9,8),-0.0889525 # DEPENDENCYPART_ARC
(10,1),-0.785943 # DEPENDENCYPART_ARC
(10,2),-0.802897 # DEPENDENCYPART_ARC
(10,3),-0.752292 # DEPENDENCYPART_ARC
(10,4),-0.41519 # DEPENDENCYPART_ARC
(10,5),-1.65457 # DEPENDENCYPART_ARC
(10,6),-0.94065 # DEPENDENCYPART_ARC
(10,7),-0.844417 # DEPENDENCYPART_ARC
(10,8),-0.841587 # DEPENDENCYPART_ARC
(10,9),1.0168 # DEPENDENCYPART_ARC
(10,11),0.651498 # DEPENDENCYPART_ARC
(10,12),0.296185 # DEPENDENCYPART_ARC
(10,13),-0.99276 # DEPENDENCYPART_ARC
(10,14),-0.862059 # DEPENDENCYPART_ARC
(10,15),-1.08275 # DEPENDENCYPART_ARC
(10,18),-1.30363 # DEPENDENCYPART_ARC
(10,19),-0.505328 # DEPENDENCYPART_ARC
(11,4),-2.07511 # DEPENDENCYPART_ARC
(11,5),-2.6702 # DEPENDENCYPART_ARC
(11,9),-1.6543 # DEPENDENCYPART_ARC
(11,10),-0.446101 # DEPENDENCYPART_ARC
(11,12),-0.0236148 # DEPENDENCYPART_ARC
(11,13),-1.00061 # DEPENDENCYPART_ARC
(11,14),-1.05347 # DEPENDENCYPART_ARC
(11,15),-1.22908 # DEPENDENCYPART_ARC
(11,18),-1.6164 # DEPENDENCYPART_ARC
(11,19),-1.31392 # DEPENDENCYPART_ARC
(12,2),-2.06992 # DEPENDENCYPART_ARC
(12,4),-1.91542 # DEPENDENCYPART_ARC
(12,5),-3.03464 # DEPENDENCYPART_ARC
(12,6),-2.44415 # DEPENDENCYPART_ARC
(12,7),-1.97901 # DEPENDENCYPART_ARC
(12,8),-2.59358 # DEPENDENCYPART_ARC
(12,9),-1.97643 # DEPENDENCYPART_ARC
(12,11),-0.183738 # DEPENDENCYPART_ARC
(12,13),0.202765 # DEPENDENCYPART_ARC
(12,14),-0.422765 # DEPENDENCYPART_ARC
(12,15),-1.15741 # DEPENDENCYPART_ARC
(12,18),-1.43334 # DEPENDENCYPART_ARC
(12,19),-0.913603 # DEPENDENCYPART_ARC
(13,6),-1.59842 # DEPENDENCYPART_ARC
(13,8),-1.94134 # DEPENDENCYPART_ARC
(13,9),-1.4945 # DEPENDENCYPART_ARC
(13,11),-0.914283 # DEPENDENCYPART_ARC
(13,14),0.126934 # DEPENDENCYPART_ARC
(13,15),-1.07074 # DEPENDENCYPART_ARC
(13,17),-1.11864 # DEPENDENCYPART_ARC
(13,18),-1.48468 # DEPENDENCYPART_ARC
(13,19),-1.16299 # DEPENDENCYPART_ARC
(14,4),-2.1864 # DEPENDENCYPART_ARC
(14,6),-2.82028 # DEPENDENCYPART_ARC
(14,10),-2.2397 # DEPENDENCYPART_ARC
(14,12),-1.96262 # DEPENDENCYPART_ARC
(14,13),-0.755367 # DEPENDENCYPART_ARC
(14,15),0.27613 # DEPENDENCYPART_ARC
(14,17),-1.4507 # DEPENDENCYPART_ARC
(14,18),-1.19617 # DEPENDENCYPART_ARC
(14,19),-0.753233 # DEPENDENCYPART_ARC
(15,13),-1.32762 # DEPENDENCYPART_ARC
(15,14),-0.399794 # DEPENDENCYPART_ARC
(15,16),-0.20185 # DEPENDENCYPART_ARC
(15,17),-0.962948 # DEPENDENCYPART_ARC
(15,18),-0.763986 # DEPENDENCYPART_ARC
(15,19),-1.38669 # DEPENDENCYPART_ARC
(17,11),-1.68313 # DEPENDENCYPART_ARC
(17,13),-1.52677 # DEPENDENCYPART_ARC
(17,16),0.0185462 # DEPENDENCYPART_ARC
(18,8),-2.3378 # DEPENDENCYPART_ARC
(18,11),-1.5003 # DEPENDENCYPART_ARC
(18,12),-1.57221 # DEPENDENCYPART_ARC
(18,13),-1.15018 # DEPENDENCYPART_ARC
(18,14),-1.14078 # DEPENDENCYPART_ARC
(18,15),-1.17453 # DEPENDENCYPART_ARC
(18,16),0.0325004 # DEPENDENCYPART_ARC
(18,17),1.39071 # DEPENDENCYPART_ARC
(18,19),-0.55345 # DEPENDENCYPART_ARC
(19,15),-1.52635 # DEPENDENCYPART_ARC
(0,4),(0,7),-0.120327 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.125595 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.122812 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.124173 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.224498 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.224026 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.223259 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.226459 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.225692 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.223227 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00168893 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0146068 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00241455 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0238235 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.000815128 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0171414 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0236201 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00585979 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.000815128 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00349418 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0208965 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0201817 # DEPENDENCYPART_SIBL
(2,4),(2,8),-2.23818e-05 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00349418 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00890399 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0253354 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00205275 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0325411 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0101372 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00938012 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0273601 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00729604 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0215785 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00469776 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0368785 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0559402 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0180071 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0559402 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0143961 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0151473 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0143961 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0299916 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0539512 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.033338 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.137379 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.129851 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0314975 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0155065 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.032566 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00351867 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0314975 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00135579 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0197477 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0256866 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00049215 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0411549 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0966822 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0314332 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0460194 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0198374 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.051684 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00759152 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0460194 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0166273 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0281079 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0429485 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0356384 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0447971 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00910633 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.011897 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0422786 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0749863 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0101528 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.011897 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0399738 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0318094 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0662509 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0494666 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0681001 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0100337 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0139826 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0363009 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0131213 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0493937 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0837043 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0161726 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0363729 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0541292 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0192714 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.00212551 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00115583 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00323946 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00996237 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00529302 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.000965797 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0211752 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0100085 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0108149 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.011063 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00619395 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0349216 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00487515 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00477701 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00383887 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00692422 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00161782 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00894605 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0028231 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00966414 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.011785 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0135531 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0244203 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0248766 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0304577 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0837043 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0161726 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0363729 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0541292 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0192714 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.00212551 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00807051 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0170859 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0218336 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0116278 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0036696 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0062488 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0286003 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0175709 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.00721266 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.00665093 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00209246 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.00900162 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0160449 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0294418 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0250856 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00725487 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0346477 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0148346 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0452794 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.157216 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00462816 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0479145 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0316935 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0673244 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0110106 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.194158 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.124618 # DEPENDENCYPART_SIBL
(6,5),(6,9),1.16777 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.203444 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.121744 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.177966 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0602174 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.206989 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0127218 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0697776 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0369123 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0106457 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0416066 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00107056 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0324496 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0155272 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0237775 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0144457 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.038568 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0161782 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0450867 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0298088 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0376723 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0194687 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0283966 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0274426 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0138296 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0417528 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00215768 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0345488 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0330461 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.00274714 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0236344 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0104914 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.033348 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.0080449 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0164368 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0054879 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0271471 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0418947 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0780351 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0174217 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0556337 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.000851391 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0581451 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0225447 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0284588 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0446713 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.028221 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0478045 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.185511 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00461044 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0600524 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00686521 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0522909 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00787672 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.106288 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.00829989 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0559135 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.027499 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0381263 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00980681 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0241074 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00317304 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0513136 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0100616 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0462876 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0132043 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0414659 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.000956464 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00843442 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00502746 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00869942 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0111539 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0315144 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0324625 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0143538 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0781909 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0586519 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0412698 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0400473 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0142985 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00579215 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0246122 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.020767 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.00704259 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0193171 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00433029 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0491554 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0204142 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.00444596 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0161445 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.00204487 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0122915 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0212651 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0351038 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.000384408 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0398866 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0511349 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0527338 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0310326 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0187823 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0223085 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0109847 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0460634 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0348874 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.072864 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0653265 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0168431 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0115318 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.0088605 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.011628 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.013496 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.00665108 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0752895 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0158988 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0303688 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.07937 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0607315 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0115722 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0471364 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0350055 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0453409 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0309076 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.57732 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0961007 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0212787 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0827063 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.037596 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0170754 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0900555 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0502334 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0415206 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0727007 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.13815 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.121958 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.192417 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0323904 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0832073 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0887799 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0862046 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00708107 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0527546 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.00827512 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00242628 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0687651 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0865555 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0960785 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.00180108 # DEPENDENCYPART_SIBL
