# _root_ And some carriers are facing other unexpected headaches : USAir , for example , blamed some of its loss on merger expenses and on disruptions caused by Hurricane Hugo last month .
#goldHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
#predictedHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
(32,31),-0.273922 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0609008 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.132401 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.132262 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.132251 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.100359 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.101492 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.101479 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.177201 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.177222 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.164296 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.021873 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0341983 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0448586 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0263616 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.01895 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0274113 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.018949 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0331661 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0448384 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0293459 # DEPENDENCYPART_SIBL
(1,2),(1,32),-0.0625388 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00717333 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0155775 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00123733 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0167623 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0341781 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0177753 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00706789 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0155314 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0472165 # DEPENDENCYPART_SIBL
(1,3),(1,32),-0.0433959 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0183778 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0119715 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0189346 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0798016 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0189361 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0574089 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0183785 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0256002 # DEPENDENCYPART_SIBL
(1,4),(1,32),0.0989269 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0118556 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00533182 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.054945 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00533031 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00345265 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0363582 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.000859589 # DEPENDENCYPART_SIBL
(1,5),(1,32),0.0220738 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0229304 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0160274 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0229295 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0156237 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.025064 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.00182004 # DEPENDENCYPART_SIBL
(1,6),(1,32),-0.124264 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0341919 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0177659 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.00708256 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0155213 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.047976 # DEPENDENCYPART_SIBL
(1,8),(1,32),-0.0433805 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00667466 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0466691 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0305424 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0457822 # DEPENDENCYPART_SIBL
(1,9),(1,32),0.126943 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00708256 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0155213 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.047976 # DEPENDENCYPART_SIBL
(1,10),(1,32),-0.0433798 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.00596845 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0218698 # DEPENDENCYPART_SIBL
(1,11),(1,32),-0.00925661 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.000102904 # DEPENDENCYPART_SIBL
(1,15),(1,32),0.0160183 # DEPENDENCYPART_SIBL
(1,17),(1,32),-0.0280171 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0136588 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0120034 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00375127 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0555089 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0669832 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0486632 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0137767 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00471276 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.066659 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00469282 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00332615 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00897292 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0678609 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0239918 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0446978 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0548721 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0908294 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0548508 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0349976 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0744087 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00963905 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00709339 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00157467 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0712316 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00157182 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0448132 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0053589 # DEPENDENCYPART_SIBL
(3,5),(3,6),8.16657e-05 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0180919 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0526348 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0180891 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0163893 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0139844 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0138416 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00980983 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0138398 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.014247 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.01488 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0349334 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0123142 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0148986 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0113224 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.148686 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0190448 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0876634 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.014899 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0113221 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0137195 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0111411 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0415394 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0436784 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0499087 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.064542 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0110986 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0674186 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0442036 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0349026 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0442036 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0407934 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0126564 # DEPENDENCYPART_SIBL
(4,1),(4,32),0.0987892 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0433039 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0468641 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0600407 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0665236 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00877513 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0587512 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0497518 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0821966 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0497518 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0574138 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0155975 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.0641599 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0257349 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0210296 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0305131 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0196353 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0175165 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0173127 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0421264 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0173127 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0200525 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0107834 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.00283965 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0565916 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0560419 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0443268 # DEPENDENCYPART_SIBL
