# _root_ Directors of Bergen Bank and Den Norske Creditbank , two of Norway 's leading banks , announced they had agreed to the formal merger of the banks .
#goldHeads=17,1,4,5,2,8,8,5,5,5,10,15,12,15,11,5,0,19,17,19,20,24,24,21,24,27,25,17,
#predictedHeads=17,1,4,5,2,8,8,5,8,8,10,15,12,15,11,8,0,19,17,19,20,24,24,21,24,27,25,17,
(8,15),-1.92202 # DEPENDENCYPART_ARC
(8,16),-0.91208 # DEPENDENCYPART_ARC
(8,17),-1.794 # DEPENDENCYPART_ARC
(8,19),-1.97788 # DEPENDENCYPART_ARC
(8,20),-2.2045 # DEPENDENCYPART_ARC
(8,24),-1.70384 # DEPENDENCYPART_ARC
(8,28),-1.96323 # DEPENDENCYPART_ARC
(10,7),-1.34947 # DEPENDENCYPART_ARC
(10,8),-1.33562 # DEPENDENCYPART_ARC
(10,9),0.281683 # DEPENDENCYPART_ARC
(10,11),0.318135 # DEPENDENCYPART_ARC
(10,12),-0.507004 # DEPENDENCYPART_ARC
(10,14),-0.765686 # DEPENDENCYPART_ARC
(10,16),-0.69303 # DEPENDENCYPART_ARC
(10,17),-1.35476 # DEPENDENCYPART_ARC
(10,25),-1.54041 # DEPENDENCYPART_ARC
(11,9),-1.25014 # DEPENDENCYPART_ARC
(11,10),-0.453403 # DEPENDENCYPART_ARC
(11,12),0.486353 # DEPENDENCYPART_ARC
(11,14),-1.18446 # DEPENDENCYPART_ARC
(11,15),-0.849256 # DEPENDENCYPART_ARC
(11,21),-2.30269 # DEPENDENCYPART_ARC
(12,10),-1.50535 # DEPENDENCYPART_ARC
(12,11),-0.682073 # DEPENDENCYPART_ARC
(12,13),0.882308 # DEPENDENCYPART_ARC
(12,14),-0.899775 # DEPENDENCYPART_ARC
(12,15),-1.18617 # DEPENDENCYPART_ARC
(12,16),-1.2573 # DEPENDENCYPART_ARC
(12,17),-1.66527 # DEPENDENCYPART_ARC
(12,19),-1.82481 # DEPENDENCYPART_ARC
(14,12),-0.808619 # DEPENDENCYPART_ARC
(15,6),-1.93716 # DEPENDENCYPART_ARC
(15,7),-1.94471 # DEPENDENCYPART_ARC
(15,8),-2.28095 # DEPENDENCYPART_ARC
(15,9),-1.79814 # DEPENDENCYPART_ARC
(15,10),-1.20502 # DEPENDENCYPART_ARC
(15,11),-1.08989 # DEPENDENCYPART_ARC
(15,12),-0.234812 # DEPENDENCYPART_ARC
(15,13),-0.82285 # DEPENDENCYPART_ARC
(15,14),1.47681 # DEPENDENCYPART_ARC
(15,16),0.247712 # DEPENDENCYPART_ARC
(15,17),-1.53392 # DEPENDENCYPART_ARC
(15,19),-2.02501 # DEPENDENCYPART_ARC
(15,20),-2.17644 # DEPENDENCYPART_ARC
(15,21),-1.82959 # DEPENDENCYPART_ARC
(15,24),-1.46621 # DEPENDENCYPART_ARC
(17,1),-0.569558 # DEPENDENCYPART_ARC
(17,2),-1.05379 # DEPENDENCYPART_ARC
(17,3),-0.769487 # DEPENDENCYPART_ARC
(17,4),-0.962653 # DEPENDENCYPART_ARC
(17,5),-0.726682 # DEPENDENCYPART_ARC
(17,6),-0.77778 # DEPENDENCYPART_ARC
(17,7),-0.669131 # DEPENDENCYPART_ARC
(17,8),-0.475349 # DEPENDENCYPART_ARC
(17,9),-1.48346 # DEPENDENCYPART_ARC
(17,10),-1.5148 # DEPENDENCYPART_ARC
(17,11),-0.964356 # DEPENDENCYPART_ARC
(17,12),-1.56685 # DEPENDENCYPART_ARC
(17,14),-1.21606 # DEPENDENCYPART_ARC
(17,15),-1.14732 # DEPENDENCYPART_ARC
(17,16),0.801893 # DEPENDENCYPART_ARC
(17,18),0.624519 # DEPENDENCYPART_ARC
(17,19),0.427448 # DEPENDENCYPART_ARC
(17,20),-0.263241 # DEPENDENCYPART_ARC
(17,21),-0.497263 # DEPENDENCYPART_ARC
(17,23),-1.00059 # DEPENDENCYPART_ARC
(17,24),-0.62527 # DEPENDENCYPART_ARC
(17,25),-1.20155 # DEPENDENCYPART_ARC
(17,27),-1.01058 # DEPENDENCYPART_ARC
(17,28),-0.0474835 # DEPENDENCYPART_ARC
(18,19),-0.101481 # DEPENDENCYPART_ARC
(19,1),-1.3744 # DEPENDENCYPART_ARC
(19,3),-1.70789 # DEPENDENCYPART_ARC
(19,4),-1.93325 # DEPENDENCYPART_ARC
(19,5),-0.38795 # DEPENDENCYPART_ARC
(19,6),-1.64443 # DEPENDENCYPART_ARC
(19,7),-1.72921 # DEPENDENCYPART_ARC
(19,8),-1.54929 # DEPENDENCYPART_ARC
(19,9),-2.08002 # DEPENDENCYPART_ARC
(19,10),-2.03789 # DEPENDENCYPART_ARC
(19,11),-1.72991 # DEPENDENCYPART_ARC
(19,14),-1.91721 # DEPENDENCYPART_ARC
(19,15),-2.20428 # DEPENDENCYPART_ARC
(19,16),-1.41245 # DEPENDENCYPART_ARC
(19,17),-1.34138 # DEPENDENCYPART_ARC
(19,18),0.778959 # DEPENDENCYPART_ARC
(19,20),1.36262 # DEPENDENCYPART_ARC
(19,21),-0.682796 # DEPENDENCYPART_ARC
(19,24),-0.915153 # DEPENDENCYPART_ARC
(19,25),-1.43385 # DEPENDENCYPART_ARC
(19,27),-1.57311 # DEPENDENCYPART_ARC
(19,28),-0.3686 # DEPENDENCYPART_ARC
(20,9),-2.77558 # DEPENDENCYPART_ARC
(20,15),-2.63456 # DEPENDENCYPART_ARC
(20,17),-1.94825 # DEPENDENCYPART_ARC
(20,19),-0.825176 # DEPENDENCYPART_ARC
(20,21),0.411155 # DEPENDENCYPART_ARC
(20,22),-0.876191 # DEPENDENCYPART_ARC
(20,23),-1.06167 # DEPENDENCYPART_ARC
(20,24),-0.578198 # DEPENDENCYPART_ARC
(20,25),-1.0619 # DEPENDENCYPART_ARC
(20,27),-1.12134 # DEPENDENCYPART_ARC
(20,28),-0.361737 # DEPENDENCYPART_ARC
(21,22),0.179206 # DEPENDENCYPART_ARC
(21,23),-0.556736 # DEPENDENCYPART_ARC
(21,24),-0.5409 # DEPENDENCYPART_ARC
(21,25),-1.07109 # DEPENDENCYPART_ARC
(21,27),-1.22906 # DEPENDENCYPART_ARC
(21,28),-0.635656 # DEPENDENCYPART_ARC
(22,23),-0.412581 # DEPENDENCYPART_ARC
(22,25),-1.18125 # DEPENDENCYPART_ARC
(23,18),-1.81232 # DEPENDENCYPART_ARC
(23,21),-1.29038 # DEPENDENCYPART_ARC
(23,22),-0.107974 # DEPENDENCYPART_ARC
(23,25),-0.985563 # DEPENDENCYPART_ARC
(23,27),-1.58118 # DEPENDENCYPART_ARC
(24,14),-1.97896 # DEPENDENCYPART_ARC
(24,17),-1.51993 # DEPENDENCYPART_ARC
(24,19),-1.34832 # DEPENDENCYPART_ARC
(24,20),-1.11587 # DEPENDENCYPART_ARC
(24,21),-1.36882 # DEPENDENCYPART_ARC
(24,22),0.209946 # DEPENDENCYPART_ARC
(24,23),1.4686 # DEPENDENCYPART_ARC
(24,25),0.776193 # DEPENDENCYPART_ARC
(24,26),-1.03734 # DEPENDENCYPART_ARC
(24,27),-1.03674 # DEPENDENCYPART_ARC
(24,28),-1.07229 # DEPENDENCYPART_ARC
(25,21),-1.62619 # DEPENDENCYPART_ARC
(25,23),-1.4577 # DEPENDENCYPART_ARC
(25,26),-0.0528255 # DEPENDENCYPART_ARC
(25,27),0.0763175 # DEPENDENCYPART_ARC
(25,28),-1.14326 # DEPENDENCYPART_ARC
(27,22),-1.63532 # DEPENDENCYPART_ARC
(27,23),-1.4267 # DEPENDENCYPART_ARC
(27,25),-0.872878 # DEPENDENCYPART_ARC
(27,26),1.15902 # DEPENDENCYPART_ARC
(27,28),-0.296083 # DEPENDENCYPART_ARC
(28,25),-0.995464 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0912597 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.111465 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.100184 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.103435 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.13264 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.13866 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.133937 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.163899 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.166637 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.162254 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00105401 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00910696 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.052529 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00105401 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00105401 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00105401 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0185217 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0843348 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.136694 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.00166712 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0185217 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00319218 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0436236 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0503979 # DEPENDENCYPART_SIBL
(1,2),(1,28),-0.0140069 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0156858 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0388593 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.012273 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.012273 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.012273 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.014166 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0182744 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00953702 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0153501 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.014166 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.00877689 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.00288027 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0154419 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.0199243 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0418106 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0155467 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0155467 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0155467 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0241172 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0202481 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.021091 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0186238 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0241172 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0103852 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0046549 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0170662 # DEPENDENCYPART_SIBL
(1,4),(1,28),1.90537e-05 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0318861 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0318861 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0318861 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0226461 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0352166 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00345943 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0344369 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0226461 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.00134866 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0122605 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0160476 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.00100064 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.012273 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.012273 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.014166 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0182744 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00953702 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0153501 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.014166 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.00877689 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.00288027 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0154419 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.0199243 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.012273 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.014166 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0182744 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00953702 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0153501 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.014166 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.00877689 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.00288027 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0154419 # DEPENDENCYPART_SIBL
(1,7),(1,28),0.0199243 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.014166 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0182744 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.00953702 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0153501 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.014166 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.00877689 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.00288027 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.0154419 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.0199243 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0289711 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0378825 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0413434 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0399007 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0623567 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0446 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0113406 # DEPENDENCYPART_SIBL
(1,9),(1,28),0.00133769 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0114643 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0412455 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.000324315 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.00115318 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.00804251 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.0146364 # DEPENDENCYPART_SIBL
(1,10),(1,28),0.0116661 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.00166712 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0185217 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.00319218 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0436236 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.0503979 # DEPENDENCYPART_SIBL
(1,11),(1,28),-0.0140069 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0122863 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.0122008 # DEPENDENCYPART_SIBL
(1,15),(1,19),-0.00630418 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.0188658 # DEPENDENCYPART_SIBL
(1,15),(1,28),0.0064893 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0623567 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.0446 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.0113406 # DEPENDENCYPART_SIBL
(1,16),(1,28),0.00133769 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.00433772 # DEPENDENCYPART_SIBL
(1,17),(1,20),-0.00839629 # DEPENDENCYPART_SIBL
(1,17),(1,28),-0.000749406 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.00460313 # DEPENDENCYPART_SIBL
(1,19),(1,28),0.0124056 # DEPENDENCYPART_SIBL
(1,20),(1,28),-0.00550994 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.115643 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.147003 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.1091 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.1091 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.1091 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0427616 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.10963 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.149224 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.111274 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.111274 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.111274 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0323827 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.111804 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0797383 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0797383 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0797383 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.022925 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0797429 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.1091 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.1091 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0427616 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.10963 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.1091 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0427616 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.10963 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0427616 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.10963 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0434674 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0350319 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00492828 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0398338 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0170527 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0311214 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0239265 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0824263 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0824263 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0824263 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0378199 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0836741 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.000894234 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0231345 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0218513 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0218513 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0218513 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0451923 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0565704 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0396174 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0782567 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0782567 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0782567 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.03528 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0799824 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0320901 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0320901 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0320901 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0367435 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0147259 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.000373821 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.000373821 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.016067 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.000126761 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.000373821 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.016067 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.000126761 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.016067 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.000126761 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00466064 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0531408 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0326642 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0836253 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0602423 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0602423 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0602423 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00636998 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0596156 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0101418 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0602419 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0243111 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0197032 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00636998 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0660271 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0248565 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.107666 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0492339 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.029905 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0491908 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0805904 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.165791 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.165791 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.165791 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0945881 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0178047 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0691956 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.165791 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0713913 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.187674 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0945881 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.000833671 # DEPENDENCYPART_SIBL
