# _root_ `` With the decline in stock prices and continued low or stable interest rates , stocks are representing a better value all the time , '' Renaissance President Frank W. Terrizzi said yesterday .
#goldHeads=32,17,4,8,4,7,5,2,14,11,14,11,14,8,17,17,32,17,21,21,18,24,24,18,32,32,31,31,31,31,32,0,32,32,
#predictedHeads=32,8,4,2,4,7,5,17,8,11,14,11,14,9,17,17,32,17,21,21,18,24,24,21,32,32,31,31,31,31,32,0,32,32,
(9,2),-1.09967 # DEPENDENCYPART_ARC
(9,4),-1.31205 # DEPENDENCYPART_ARC
(9,5),-1.17322 # DEPENDENCYPART_ARC
(9,6),-1.27639 # DEPENDENCYPART_ARC
(9,7),-1.22473 # DEPENDENCYPART_ARC
(9,8),-0.307232 # DEPENDENCYPART_ARC
(9,10),0.640597 # DEPENDENCYPART_ARC
(9,11),-0.280687 # DEPENDENCYPART_ARC
(9,12),-0.798532 # DEPENDENCYPART_ARC
(9,13),-0.44794 # DEPENDENCYPART_ARC
(9,14),-0.445001 # DEPENDENCYPART_ARC
(9,15),-1.05879 # DEPENDENCYPART_ARC
(9,16),-1.65801 # DEPENDENCYPART_ARC
(9,17),-1.57898 # DEPENDENCYPART_ARC
(9,18),-1.80181 # DEPENDENCYPART_ARC
(9,21),-1.97579 # DEPENDENCYPART_ARC
(9,24),-1.88556 # DEPENDENCYPART_ARC
(9,25),-1.93714 # DEPENDENCYPART_ARC
(9,26),-0.783815 # DEPENDENCYPART_ARC
(9,32),-2.77714 # DEPENDENCYPART_ARC
(9,33),-1.00263 # DEPENDENCYPART_ARC
(9,34),-2.18916 # DEPENDENCYPART_ARC
(10,4),-1.41072 # DEPENDENCYPART_ARC
(10,5),-1.28774 # DEPENDENCYPART_ARC
(10,7),-1.21362 # DEPENDENCYPART_ARC
(10,8),-1.06178 # DEPENDENCYPART_ARC
(10,11),-0.347617 # DEPENDENCYPART_ARC
(10,12),-0.824147 # DEPENDENCYPART_ARC
(10,13),-1.25704 # DEPENDENCYPART_ARC
(10,14),-1.36956 # DEPENDENCYPART_ARC
(10,15),-1.22777 # DEPENDENCYPART_ARC
(10,16),-1.9449 # DEPENDENCYPART_ARC
(11,1),-0.98152 # DEPENDENCYPART_ARC
(11,2),-1.03318 # DEPENDENCYPART_ARC
(11,3),-1.79345 # DEPENDENCYPART_ARC
(11,4),-1.30753 # DEPENDENCYPART_ARC
(11,5),-0.80031 # DEPENDENCYPART_ARC
(11,6),-1.04685 # DEPENDENCYPART_ARC
(11,7),-0.617579 # DEPENDENCYPART_ARC
(11,8),-0.708641 # DEPENDENCYPART_ARC
(11,9),-0.619091 # DEPENDENCYPART_ARC
(11,10),1.1947 # DEPENDENCYPART_ARC
(11,12),1.60509 # DEPENDENCYPART_ARC
(11,13),0.117193 # DEPENDENCYPART_ARC
(11,14),-0.639889 # DEPENDENCYPART_ARC
(11,15),-0.873775 # DEPENDENCYPART_ARC
(11,16),-1.66135 # DEPENDENCYPART_ARC
(11,17),-1.51561 # DEPENDENCYPART_ARC
(11,18),-2.14332 # DEPENDENCYPART_ARC
(11,21),-2.47658 # DEPENDENCYPART_ARC
(11,25),-1.72202 # DEPENDENCYPART_ARC
(11,26),-0.890606 # DEPENDENCYPART_ARC
(11,27),-2.64879 # DEPENDENCYPART_ARC
(11,32),-3.17045 # DEPENDENCYPART_ARC
(12,4),-1.71285 # DEPENDENCYPART_ARC
(12,10),-1.42819 # DEPENDENCYPART_ARC
(12,13),-0.496853 # DEPENDENCYPART_ARC
(13,10),-1.61017 # DEPENDENCYPART_ARC
(13,11),-0.651849 # DEPENDENCYPART_ARC
(13,12),0.0511843 # DEPENDENCYPART_ARC
(13,14),-0.731441 # DEPENDENCYPART_ARC
(13,16),-2.03743 # DEPENDENCYPART_ARC
(13,17),-1.94627 # DEPENDENCYPART_ARC
(14,2),-1.55807 # DEPENDENCYPART_ARC
(14,6),-0.866118 # DEPENDENCYPART_ARC
(14,7),-1.8533 # DEPENDENCYPART_ARC
(14,8),-1.13217 # DEPENDENCYPART_ARC
(14,9),-0.86534 # DEPENDENCYPART_ARC
(14,10),-0.852306 # DEPENDENCYPART_ARC
(14,11),-0.267323 # DEPENDENCYPART_ARC
(14,12),0.238947 # DEPENDENCYPART_ARC
(14,13),1.81121 # DEPENDENCYPART_ARC
(14,15),0.477652 # DEPENDENCYPART_ARC
(14,16),-1.18593 # DEPENDENCYPART_ARC
(14,17),-1.55572 # DEPENDENCYPART_ARC
(14,18),-1.98173 # DEPENDENCYPART_ARC
(14,19),-1.90623 # DEPENDENCYPART_ARC
(14,20),-1.80043 # DEPENDENCYPART_ARC
(14,21),-1.68204 # DEPENDENCYPART_ARC
(14,24),-1.72551 # DEPENDENCYPART_ARC
(14,25),-1.1987 # DEPENDENCYPART_ARC
(14,26),-1.33941 # DEPENDENCYPART_ARC
(14,33),-2.2203 # DEPENDENCYPART_ARC
(14,34),-1.45437 # DEPENDENCYPART_ARC
(16,10),-2.05709 # DEPENDENCYPART_ARC
(16,11),-0.994077 # DEPENDENCYPART_ARC
(16,12),-1.37605 # DEPENDENCYPART_ARC
(16,13),-1.03679 # DEPENDENCYPART_ARC
(16,14),-0.813065 # DEPENDENCYPART_ARC
(16,15),0.204363 # DEPENDENCYPART_ARC
(16,17),-0.214462 # DEPENDENCYPART_ARC
(16,18),-1.18342 # DEPENDENCYPART_ARC
(16,21),-1.42805 # DEPENDENCYPART_ARC
(17,1),-0.840299 # DEPENDENCYPART_ARC
(17,2),-1.0285 # DEPENDENCYPART_ARC
(17,4),-1.55912 # DEPENDENCYPART_ARC
(17,5),-1.41312 # DEPENDENCYPART_ARC
(17,7),-1.71573 # DEPENDENCYPART_ARC
(17,8),-0.73994 # DEPENDENCYPART_ARC
(17,9),-1.19228 # DEPENDENCYPART_ARC
(17,10),-1.68927 # DEPENDENCYPART_ARC
(17,11),-1.3186 # DEPENDENCYPART_ARC
(17,12),-1.59683 # DEPENDENCYPART_ARC
(17,13),-1.61338 # DEPENDENCYPART_ARC
(17,14),-1.41356 # DEPENDENCYPART_ARC
(17,15),-0.161577 # DEPENDENCYPART_ARC
(17,16),1.04382 # DEPENDENCYPART_ARC
(17,18),1.40669 # DEPENDENCYPART_ARC
(17,19),-0.799262 # DEPENDENCYPART_ARC
(17,20),-1.0547 # DEPENDENCYPART_ARC
(17,21),-0.760218 # DEPENDENCYPART_ARC
(17,24),-1.14019 # DEPENDENCYPART_ARC
(17,25),-1.50012 # DEPENDENCYPART_ARC
(17,26),-0.983327 # DEPENDENCYPART_ARC
(17,32),-2.80783 # DEPENDENCYPART_ARC
(17,33),-1.81932 # DEPENDENCYPART_ARC
(17,34),-0.898913 # DEPENDENCYPART_ARC
(18,9),-2.36675 # DEPENDENCYPART_ARC
(18,15),-1.9035 # DEPENDENCYPART_ARC
(18,16),-1.52329 # DEPENDENCYPART_ARC
(18,17),-1.11798 # DEPENDENCYPART_ARC
(18,19),0.0502843 # DEPENDENCYPART_ARC
(18,20),-0.578885 # DEPENDENCYPART_ARC
(18,21),-0.16676 # DEPENDENCYPART_ARC
(18,24),-0.528446 # DEPENDENCYPART_ARC
(18,25),-1.00965 # DEPENDENCYPART_ARC
(18,26),-1.18347 # DEPENDENCYPART_ARC
(18,32),-2.40579 # DEPENDENCYPART_ARC
(18,33),-1.50605 # DEPENDENCYPART_ARC
(18,34),-1.94101 # DEPENDENCYPART_ARC
(19,20),-0.545043 # DEPENDENCYPART_ARC
(20,19),0.129158 # DEPENDENCYPART_ARC
(20,21),-0.201406 # DEPENDENCYPART_ARC
(20,24),-1.39902 # DEPENDENCYPART_ARC
(21,16),-1.48909 # DEPENDENCYPART_ARC
(21,18),-1.13024 # DEPENDENCYPART_ARC
(21,19),0.0317655 # DEPENDENCYPART_ARC
(21,20),1.16477 # DEPENDENCYPART_ARC
(21,23),-1.1632 # DEPENDENCYPART_ARC
(21,24),-1.17285 # DEPENDENCYPART_ARC
(21,25),-1.17415 # DEPENDENCYPART_ARC
(21,26),-1.51357 # DEPENDENCYPART_ARC
(21,27),-1.69059 # DEPENDENCYPART_ARC
(21,28),-1.67585 # DEPENDENCYPART_ARC
(21,29),-1.89993 # DEPENDENCYPART_ARC
(21,30),-1.92328 # DEPENDENCYPART_ARC
(21,31),-2.13798 # DEPENDENCYPART_ARC
(21,32),-1.59834 # DEPENDENCYPART_ARC
(21,34),-1.90936 # DEPENDENCYPART_ARC
(23,22),-0.286081 # DEPENDENCYPART_ARC
(24,18),-1.30896 # DEPENDENCYPART_ARC
(24,19),-1.0523 # DEPENDENCYPART_ARC
(24,20),-0.975385 # DEPENDENCYPART_ARC
(24,21),-0.916379 # DEPENDENCYPART_ARC
(24,22),-0.322778 # DEPENDENCYPART_ARC
(24,23),1.30241 # DEPENDENCYPART_ARC
(24,25),-0.204642 # DEPENDENCYPART_ARC
(24,26),-1.42325 # DEPENDENCYPART_ARC
(24,27),-1.60637 # DEPENDENCYPART_ARC
(24,28),-1.71982 # DEPENDENCYPART_ARC
(24,29),-1.93022 # DEPENDENCYPART_ARC
(24,30),-2.03888 # DEPENDENCYPART_ARC
(24,31),-2.20787 # DEPENDENCYPART_ARC
(24,32),-1.64292 # DEPENDENCYPART_ARC
(24,33),-2.26265 # DEPENDENCYPART_ARC
(24,34),-1.49129 # DEPENDENCYPART_ARC
(27,19),-2.85206 # DEPENDENCYPART_ARC
(27,23),-2.0196 # DEPENDENCYPART_ARC
(27,24),-2.46288 # DEPENDENCYPART_ARC
(27,26),-0.45004 # DEPENDENCYPART_ARC
(27,28),-0.313548 # DEPENDENCYPART_ARC
(27,29),-1.29294 # DEPENDENCYPART_ARC
(27,30),-1.65483 # DEPENDENCYPART_ARC
(28,19),-3.19312 # DEPENDENCYPART_ARC
(28,23),-2.31677 # DEPENDENCYPART_ARC
(28,27),-0.166627 # DEPENDENCYPART_ARC
(28,29),-0.372068 # DEPENDENCYPART_ARC
(28,30),-1.29848 # DEPENDENCYPART_ARC
(28,31),-1.82256 # DEPENDENCYPART_ARC
(29,23),-2.6372 # DEPENDENCYPART_ARC
(29,24),-2.79341 # DEPENDENCYPART_ARC
(29,27),-0.784061 # DEPENDENCYPART_ARC
(29,28),-0.0508821 # DEPENDENCYPART_ARC
(29,30),-0.43025 # DEPENDENCYPART_ARC
(29,31),-1.50287 # DEPENDENCYPART_ARC
(29,33),-1.9592 # DEPENDENCYPART_ARC
(30,23),-2.6104 # DEPENDENCYPART_ARC
(30,27),-1.2474 # DEPENDENCYPART_ARC
(30,28),-0.808923 # DEPENDENCYPART_ARC
(30,29),0.0810265 # DEPENDENCYPART_ARC
(30,31),-0.683022 # DEPENDENCYPART_ARC
(30,33),-1.85356 # DEPENDENCYPART_ARC
(31,23),-1.50349 # DEPENDENCYPART_ARC
(31,24),-2.16807 # DEPENDENCYPART_ARC
(31,27),-0.148949 # DEPENDENCYPART_ARC
(31,28),-0.0918147 # DEPENDENCYPART_ARC
(31,29),0.531607 # DEPENDENCYPART_ARC
(31,30),1.57816 # DEPENDENCYPART_ARC
(31,33),-1.09114 # DEPENDENCYPART_ARC
(32,1),1.02376 # DEPENDENCYPART_ARC
(32,2),-1.09335 # DEPENDENCYPART_ARC
(32,5),-0.784915 # DEPENDENCYPART_ARC
(32,7),-1.86061 # DEPENDENCYPART_ARC
(32,8),-0.255496 # DEPENDENCYPART_ARC
(32,9),-1.60896 # DEPENDENCYPART_ARC
(32,11),-1.45767 # DEPENDENCYPART_ARC
(32,13),-1.31725 # DEPENDENCYPART_ARC
(32,14),-1.39335 # DEPENDENCYPART_ARC
(32,15),-1.6477 # DEPENDENCYPART_ARC
(32,16),-2.16624 # DEPENDENCYPART_ARC
(32,17),-1.71717 # DEPENDENCYPART_ARC
(32,18),-1.5297 # DEPENDENCYPART_ARC
(32,19),-1.83059 # DEPENDENCYPART_ARC
(32,21),-1.99494 # DEPENDENCYPART_ARC
(32,23),-1.73879 # DEPENDENCYPART_ARC
(32,24),-1.81598 # DEPENDENCYPART_ARC
(32,25),-0.641533 # DEPENDENCYPART_ARC
(32,26),-0.219319 # DEPENDENCYPART_ARC
(32,27),-0.65795 # DEPENDENCYPART_ARC
(32,28),-0.756369 # DEPENDENCYPART_ARC
(32,29),-0.49215 # DEPENDENCYPART_ARC
(32,30),-0.363242 # DEPENDENCYPART_ARC
(32,31),0.833647 # DEPENDENCYPART_ARC
(32,33),0.762759 # DEPENDENCYPART_ARC
(32,34),0.504962 # DEPENDENCYPART_ARC
(33,19),-3.51088 # DEPENDENCYPART_ARC
(33,27),-2.0263 # DEPENDENCYPART_ARC
(33,28),-1.68472 # DEPENDENCYPART_ARC
(33,29),-1.46179 # DEPENDENCYPART_ARC
(33,30),-1.2913 # DEPENDENCYPART_ARC
(33,31),-1.00131 # DEPENDENCYPART_ARC
(33,32),0.14064 # DEPENDENCYPART_ARC
(33,34),-0.302634 # DEPENDENCYPART_ARC
(34,33),-0.332997 # DEPENDENCYPART_ARC
(0,17),(0,32),-0.205042 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00998053 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0130549 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00794422 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0122709 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0130045 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0173357 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0171531 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.026926 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00922697 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0148898 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.0219639 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0429321 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.054388 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.04334 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0406331 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0673835 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0423234 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0498698 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0428199 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.046172 # DEPENDENCYPART_SIBL
(2,3),(2,32),-0.0388982 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0590603 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0978207 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0957567 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.146091 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0514703 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.11087 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0887065 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0671162 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.0588746 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.023081 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00877729 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0574458 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0382707 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0508494 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0215639 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0279173 # DEPENDENCYPART_SIBL
(2,5),(2,32),-0.0522559 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.10314 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.151487 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.050188 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.115833 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0960878 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0658339 # DEPENDENCYPART_SIBL
(2,6),(2,32),-0.0572111 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.13951 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.038089 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.109582 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0911157 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0537349 # DEPENDENCYPART_SIBL
(2,7),(2,32),-0.0451724 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.042948 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0742907 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0667368 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0463892 # DEPENDENCYPART_SIBL
(2,8),(2,32),-0.0471624 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0538438 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0230473 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0272848 # DEPENDENCYPART_SIBL
(2,9),(2,32),-0.033086 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.056842 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0341257 # DEPENDENCYPART_SIBL
(2,11),(2,32),-0.0334725 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0704636 # DEPENDENCYPART_SIBL
(2,14),(2,32),-0.0629265 # DEPENDENCYPART_SIBL
(2,18),(2,32),-0.0315799 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.037156 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0436425 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0810652 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.128402 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0378688 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0558356 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0386128 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0228586 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0280112 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.123201 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0650545 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.123201 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.00147604 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00974967 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0387726 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00973074 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0189807 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.018336 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0430447 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0547178 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0406126 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0493109 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0406126 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.0218953 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0679217 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0248265 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0501639 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00469995 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.111893 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0911091 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0241518 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0816989 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0241518 # DEPENDENCYPART_SIBL
(4,3),(4,34),-0.114435 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0566143 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0832076 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00295516 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0325627 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0525508 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0554725 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0139849 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0554725 # DEPENDENCYPART_SIBL
(4,5),(4,34),0.0681193 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00798007 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0368045 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0158434 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00561748 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0264489 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0272661 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0264489 # DEPENDENCYPART_SIBL
(4,6),(4,34),0.00994858 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0301877 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00899338 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00222736 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0121127 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0213252 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0121127 # DEPENDENCYPART_SIBL
(4,7),(4,34),0.00603018 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0172734 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00465568 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0174489 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0249141 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0174489 # DEPENDENCYPART_SIBL
(4,8),(4,34),0.000822755 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00604659 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0102752 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0204466 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0102752 # DEPENDENCYPART_SIBL
(4,9),(4,34),-0.0160802 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0100066 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0165233 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0100066 # DEPENDENCYPART_SIBL
(4,10),(4,34),-0.0125614 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0167135 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0165836 # DEPENDENCYPART_SIBL
(4,15),(4,34),-0.0152373 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.0381762 # DEPENDENCYPART_SIBL
(4,17),(4,34),0.0386016 # DEPENDENCYPART_SIBL
(4,25),(4,34),-0.0152373 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0435673 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00462114 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00707686 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00956014 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0399729 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0127724 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0708639 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0133456 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0081241 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.000826003 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0448005 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00122985 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0391486 # DEPENDENCYPART_SIBL
