# _root_ Kemper Financial Services Inc. , charging that program trading is ruining the stock market , cut off four big Wall Street firms from doing any of its stock-trading business .
#goldHeads=4,4,4,16,16,16,10,9,10,6,10,14,14,11,16,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
#predictedHeads=4,4,4,16,4,4,10,9,10,6,10,14,14,11,4,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
(30,29),-0.627508 # DEPENDENCYPART_ARC
(0,4),(0,6),-0.125984 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.12962 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.127226 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.129297 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.23569 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.225721 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.225548 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.252661 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.252433 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.225398 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0121113 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00341055 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0110801 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0173721 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00473119 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0221159 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0110801 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00714201 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0226553 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0177588 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0084626 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0225019 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0226553 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00293239 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0203798 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0200731 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0251871 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.00293239 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0218421 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0263767 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0348915 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0314956 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0121456 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0221134 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0132331 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.00765111 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0143416 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0149129 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00143033 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0149498 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0453943 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00232161 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0228854 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.016888 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0453943 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0152638 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00777847 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0260703 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0180848 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00909906 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0228279 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0260703 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0284437 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00634736 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0207058 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0207096 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0255131 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00634736 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0310647 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0216948 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0271584 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0347442 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0393899 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0016192 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0101975 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0189093 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0212444 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0161155 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00797704 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0177565 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0135386 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0229242 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0572919 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0016192 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0713099 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0140739 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0759316 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0237635 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0759316 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.007473 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.122879 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0453106 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.122879 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0144935 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.025711 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0144935 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0139511 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0449022 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0259026 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0815093 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00894511 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00566076 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.106154 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0048241 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00850867 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0869129 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0362167 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00566076 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.119096 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0424244 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.0104414 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0281275 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0447607 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.140897 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.018684 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0149992 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.123158 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0127112 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0447607 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.15384 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0189166 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.0159362 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0100214 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.109506 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.000472213 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00415695 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0911442 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0318651 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0100214 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.122448 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0380726 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.00553828 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00458847 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0388826 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.000953852 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.00847273 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00646307 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00252353 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0246641 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0414032 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.0415924 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0371885 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0401136 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0405349 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0471957 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0204617 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0377464 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0394175 # DEPENDENCYPART_SIBL
(4,6),(4,30),0.0060219 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0343821 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0227377 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0290313 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0259322 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0282255 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0184876 # DEPENDENCYPART_SIBL
(4,8),(4,30),0.0837964 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00911897 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00874007 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0157429 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0146858 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.00573471 # DEPENDENCYPART_SIBL
(4,9),(4,30),0.105972 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0723084 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0187666 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0789154 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0645247 # DEPENDENCYPART_SIBL
(4,10),(4,30),0.0328489 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00681301 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0318705 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0183339 # DEPENDENCYPART_SIBL
(4,14),(4,30),0.073883 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0246641 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0414032 # DEPENDENCYPART_SIBL
(4,15),(4,30),0.0415924 # DEPENDENCYPART_SIBL
(4,16),(4,22),-0.0414416 # DEPENDENCYPART_SIBL
(4,16),(4,30),-0.00267802 # DEPENDENCYPART_SIBL
(4,22),(4,30),0.0562809 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0271474 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.116821 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0199294 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0174962 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0150744 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0298844 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0341404 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0163604 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0307187 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0245021 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.0436107 # DEPENDENCYPART_SIBL
(6,4),(6,30),0.0442921 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.106688 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.020711 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0210263 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0195435 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0014347 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00284188 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.185171 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0150294 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0135735 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.00430553 # DEPENDENCYPART_SIBL
(6,5),(6,30),0.055531 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0586563 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0729878 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.076178 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0577671 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0486966 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0879115 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0607224 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.0427471 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.0576302 # DEPENDENCYPART_SIBL
(6,7),(6,30),-0.0393905 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0410618 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0120087 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0123294 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00313586 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0453273 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00668868 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0721858 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.0108793 # DEPENDENCYPART_SIBL
(6,8),(6,30),0.0407369 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0063069 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00622587 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.000149138 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0104392 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0118666 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.046791 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.0076775 # DEPENDENCYPART_SIBL
(6,9),(6,30),0.00101557 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0409709 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0315315 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0259782 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0449687 # DEPENDENCYPART_SIBL
