# _root_ In the diversifed businesses segment , which includes herbicides , profit grew to $ 64 million from $ 27 million .
#goldHeads=12,5,5,5,1,5,8,5,8,5,12,0,12,13,14,14,12,17,18,18,12,
#predictedHeads=12,5,5,5,1,5,8,5,8,12,12,0,12,13,14,14,12,17,18,18,12,
(8,21),-1.53638 # DEPENDENCYPART_ARC
(9,1),-2.35846 # DEPENDENCYPART_ARC
(9,2),-2.54227 # DEPENDENCYPART_ARC
(9,3),-1.86182 # DEPENDENCYPART_ARC
(9,5),-1.95363 # DEPENDENCYPART_ARC
(9,6),-1.75954 # DEPENDENCYPART_ARC
(9,7),-1.04257 # DEPENDENCYPART_ARC
(9,8),0.33751 # DEPENDENCYPART_ARC
(9,10),-0.0278791 # DEPENDENCYPART_ARC
(9,11),-1.31144 # DEPENDENCYPART_ARC
(9,12),-1.69913 # DEPENDENCYPART_ARC
(9,13),-2.08015 # DEPENDENCYPART_ARC
(9,14),-2.03346 # DEPENDENCYPART_ARC
(9,21),-1.78794 # DEPENDENCYPART_ARC
(11,1),-1.27571 # DEPENDENCYPART_ARC
(11,2),-1.10205 # DEPENDENCYPART_ARC
(11,5),-1.61638 # DEPENDENCYPART_ARC
(11,6),-1.82518 # DEPENDENCYPART_ARC
(11,7),-1.57836 # DEPENDENCYPART_ARC
(11,8),-1.03316 # DEPENDENCYPART_ARC
(11,9),-0.327968 # DEPENDENCYPART_ARC
(11,10),0.421117 # DEPENDENCYPART_ARC
(11,12),-0.0270763 # DEPENDENCYPART_ARC
(11,13),-1.24041 # DEPENDENCYPART_ARC
(11,14),-1.37704 # DEPENDENCYPART_ARC
(11,17),-1.2345 # DEPENDENCYPART_ARC
(11,18),-1.61261 # DEPENDENCYPART_ARC
(11,21),-1.30099 # DEPENDENCYPART_ARC
(12,1),-0.486987 # DEPENDENCYPART_ARC
(12,2),-1.58109 # DEPENDENCYPART_ARC
(12,3),-1.2636 # DEPENDENCYPART_ARC
(12,4),-1.0129 # DEPENDENCYPART_ARC
(12,5),-0.823356 # DEPENDENCYPART_ARC
(12,6),-2.0649 # DEPENDENCYPART_ARC
(12,7),-1.69148 # DEPENDENCYPART_ARC
(12,8),-1.06406 # DEPENDENCYPART_ARC
(12,9),-1.61998 # DEPENDENCYPART_ARC
(12,10),-0.0208675 # DEPENDENCYPART_ARC
(12,11),1.08178 # DEPENDENCYPART_ARC
(12,13),0.893071 # DEPENDENCYPART_ARC
(12,14),-0.638121 # DEPENDENCYPART_ARC
(12,15),-1.08726 # DEPENDENCYPART_ARC
(12,16),-1.19577 # DEPENDENCYPART_ARC
(12,17),-0.319104 # DEPENDENCYPART_ARC
(12,18),-1.13816 # DEPENDENCYPART_ARC
(12,21),0.450676 # DEPENDENCYPART_ARC
(13,10),-1.56503 # DEPENDENCYPART_ARC
(13,14),-0.0372428 # DEPENDENCYPART_ARC
(13,15),-0.723317 # DEPENDENCYPART_ARC
(13,16),-1.20031 # DEPENDENCYPART_ARC
(13,17),-0.873512 # DEPENDENCYPART_ARC
(13,21),-0.867129 # DEPENDENCYPART_ARC
(14,11),-0.954 # DEPENDENCYPART_ARC
(14,13),0.407131 # DEPENDENCYPART_ARC
(14,15),0.996452 # DEPENDENCYPART_ARC
(14,16),0.0738591 # DEPENDENCYPART_ARC
(14,17),-1.11094 # DEPENDENCYPART_ARC
(14,18),-0.800363 # DEPENDENCYPART_ARC
(14,19),-1.331 # DEPENDENCYPART_ARC
(14,20),-1.45041 # DEPENDENCYPART_ARC
(14,21),-0.987005 # DEPENDENCYPART_ARC
(15,11),-1.83118 # DEPENDENCYPART_ARC
(15,13),-1.60251 # DEPENDENCYPART_ARC
(15,14),-0.607268 # DEPENDENCYPART_ARC
(15,16),-0.695014 # DEPENDENCYPART_ARC
(15,17),-1.11887 # DEPENDENCYPART_ARC
(15,18),-1.11659 # DEPENDENCYPART_ARC
(15,19),-1.71097 # DEPENDENCYPART_ARC
(15,20),-2.06244 # DEPENDENCYPART_ARC
(16,11),-1.41947 # DEPENDENCYPART_ARC
(16,14),-1.10644 # DEPENDENCYPART_ARC
(16,15),0.521875 # DEPENDENCYPART_ARC
(16,17),-0.327195 # DEPENDENCYPART_ARC
(16,18),-1.04237 # DEPENDENCYPART_ARC
(16,19),-1.57845 # DEPENDENCYPART_ARC
(16,20),-1.83866 # DEPENDENCYPART_ARC
(17,13),-1.578 # DEPENDENCYPART_ARC
(17,14),-1.33791 # DEPENDENCYPART_ARC
(17,15),-1.42551 # DEPENDENCYPART_ARC
(17,16),-0.413944 # DEPENDENCYPART_ARC
(17,18),0.0107798 # DEPENDENCYPART_ARC
(17,19),-0.605528 # DEPENDENCYPART_ARC
(17,20),-1.1914 # DEPENDENCYPART_ARC
(17,21),-1.08726 # DEPENDENCYPART_ARC
(18,14),-0.858155 # DEPENDENCYPART_ARC
(18,15),-1.26919 # DEPENDENCYPART_ARC
(18,16),-1.09647 # DEPENDENCYPART_ARC
(18,17),0.229073 # DEPENDENCYPART_ARC
(18,19),0.943954 # DEPENDENCYPART_ARC
(18,20),-0.0500996 # DEPENDENCYPART_ARC
(18,21),-0.879812 # DEPENDENCYPART_ARC
(19,15),-1.59161 # DEPENDENCYPART_ARC
(19,16),-1.52843 # DEPENDENCYPART_ARC
(19,18),-0.664682 # DEPENDENCYPART_ARC
(19,20),-0.649098 # DEPENDENCYPART_ARC
(20,16),-0.912824 # DEPENDENCYPART_ARC
(20,18),-0.863097 # DEPENDENCYPART_ARC
(20,19),0.730489 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.023379 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.11365 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0196286 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0210408 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.117868 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0757348 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.227962 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0756823 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0716433 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.222244 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.125173 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0577795 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0581139 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.125307 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0769253 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0728864 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.223099 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.057821 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.127153 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.123161 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0452782 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0814239 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0803188 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00625376 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0452782 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0800405 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00625376 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.064461 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0622681 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0724923 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0481408 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0619392 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0724923 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.125618 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00330729 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0300824 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.122362 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00330729 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00579369 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.027795 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.120429 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00579369 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00516174 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0623484 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0491496 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0631722 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0664338 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00661943 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0035547 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.015942 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0590957 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00992954 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0603391 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0169892 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0154133 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00649403 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00491073 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0377575 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00483945 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.000144083 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0377575 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00870144 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00380893 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0332792 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0418348 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0685946 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.091791 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0199869 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0870483 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0836826 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0199869 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0988392 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0977584 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.1503 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0929235 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0399213 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0124817 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0162523 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0307918 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0124817 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0170678 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0142436 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0662773 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.00798661 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00867 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0165434 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0347038 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00867 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0173497 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00662172 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0280558 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0030595 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.040507 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00189045 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0271318 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0437739 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0062138 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.033214 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.00704475 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0200383 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00035624 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0228962 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0502993 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.046634 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0125206 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0107181 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0198449 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00782809 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.036011 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00143761 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0437739 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0062138 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.033214 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.00704475 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0541403 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0500598 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.00711564 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.143962 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0106789 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.00230833 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00569761 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0205892 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0300139 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0028526 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0286997 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0247311 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0028526 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0235122 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.118633 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00961006 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.045592 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.147978 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00228651 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.045592 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.146946 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00621446 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0197706 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0378908 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00887842 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0197706 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0366472 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0103019 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0195002 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0153343 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0103019 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0194858 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0121272 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0322841 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0243837 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0199625 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0197661 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00387483 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0126506 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0121887 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0202507 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0199625 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.000757637 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0310507 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00719343 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0285805 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0280889 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0241008 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0285805 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0124045 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0238849 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0159355 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0626484 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0805406 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0478328 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.000574035 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.121165 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0651784 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0209588 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.151856 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0109139 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0209588 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0178704 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.149841 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0173452 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.107698 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0703787 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.243248 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0664545 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0160425 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0197836 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0416832 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00512754 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0197836 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0134082 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.041423 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00288931 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0953547 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0891857 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0286504 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0318334 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0145295 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0535153 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0101003 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0145295 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0212957 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0529919 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0921295 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0658112 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.07609 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0776995 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00318729 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0289544 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0366738 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0155614 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0563095 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0361782 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0248045 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.05474 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0406245 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0206158 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.000116482 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0241711 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0171802 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0126236 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0131948 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0140292 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0291519 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.029642 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0196421 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.00260292 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00520298 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00630351 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0159089 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.00141569 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0179317 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0141459 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00725943 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0261592 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0563095 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0361782 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0248045 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.05474 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0406245 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0206158 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.000116482 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0143306 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.00674351 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.020045 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0162593 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.00517837 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0325879 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.00735455 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0224772 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0229673 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.012139 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.00326749 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0225946 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0349646 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.121816 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0872932 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00432094 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0350614 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.0140887 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0507177 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.00547571 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.072184 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0145776 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.02888 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.036025 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0515155 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.064605 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00161957 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0515885 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00292909 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0224807 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.00561491 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0268887 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0528065 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0381003 # DEPENDENCYPART_SIBL
