# _root_ Abby Joseph Cohen , a market strategist at Drexel Burnham Lambert , is n't nearly so sanguine about the market 's chances of surging to new highs anytime soon .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
(3,2),(3,11),0.0208346 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0707167 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.012695 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0566331 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.0141565 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0315038 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0444472 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0111269 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0444257 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0546676 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0443951 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0424841 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0340179 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0663118 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.000960865 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0159263 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.027533 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0159309 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.013953 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0161462 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0194709 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0293988 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00978027 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.0164708 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0234004 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0106374 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00865954 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0108527 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0194833 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0299685 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0131909 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.0207629 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.000113305 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00216072 # DEPENDENCYPART_SIBL
(3,8),(3,11),7.46164e-05 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0338229 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0178766 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0115284 # DEPENDENCYPART_SIBL
(3,8),(3,30),0.0526683 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00871743 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0109078 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0194773 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0305823 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0130975 # DEPENDENCYPART_SIBL
(3,9),(3,30),0.0241137 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0112467 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0193971 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0300534 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0131047 # DEPENDENCYPART_SIBL
(3,10),(3,30),0.0206776 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0194427 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0300968 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0131484 # DEPENDENCYPART_SIBL
(3,11),(3,30),0.0207142 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0340179 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0663118 # DEPENDENCYPART_SIBL
(3,12),(3,30),-0.000960865 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.00710551 # DEPENDENCYPART_SIBL
(3,13),(3,30),0.0313678 # DEPENDENCYPART_SIBL
(3,18),(3,30),0.028135 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0653556 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0304269 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0155679 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0387659 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0380042 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0178147 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.140537 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0799742 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.145089 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0570292 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0871374 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0017474 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00635569 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0162797 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0148559 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00486752 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.00325031 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0521051 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00668951 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0135203 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0412096 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0565485 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0421796 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0948246 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0154391 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.028721 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0204638 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.052998 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0077677 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0197415 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0126531 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00707512 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0200877 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0431922 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.054326 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0487469 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0977975 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0140805 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0273625 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0191053 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0661339 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0121738 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0167673 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0156273 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.00334965 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.040794 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0565486 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0421793 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0948237 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.014617 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0278989 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0196417 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.05417 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00828537 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0202452 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0121494 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00707553 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0459595 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00801619 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0274238 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.016169 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0115894 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0156708 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.140625 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00304734 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0599177 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0421352 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0808101 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.060669 # DEPENDENCYPART_SIBL
