# _root_ Like others , Mr. Gabelli says that if futures cause investors to lose confidence in stocks , they will move away from stocks -- as many have already done .
#goldHeads=6,1,6,5,6,0,19,10,10,19,13,13,10,13,14,15,19,19,6,19,20,21,22,20,27,27,20,27,27,6,
#predictedHeads=6,1,6,5,6,0,19,10,10,19,13,13,10,13,14,15,19,19,6,19,20,21,22,20,27,27,20,27,27,6,
(6,19),-1.42077 # DEPENDENCYPART_ARC
(6,20),-1.68157 # DEPENDENCYPART_ARC
(6,21),-2.06953 # DEPENDENCYPART_ARC
(6,24),-0.983644 # DEPENDENCYPART_ARC
(6,27),-1.67985 # DEPENDENCYPART_ARC
(6,30),-0.499819 # DEPENDENCYPART_ARC
(7,8),-0.469031 # DEPENDENCYPART_ARC
(7,9),-1.05042 # DEPENDENCYPART_ARC
(7,11),-2.35944 # DEPENDENCYPART_ARC
(8,7),-0.499279 # DEPENDENCYPART_ARC
(8,9),0.0337503 # DEPENDENCYPART_ARC
(8,10),-1.12622 # DEPENDENCYPART_ARC
(8,11),-1.94111 # DEPENDENCYPART_ARC
(8,12),-1.78004 # DEPENDENCYPART_ARC
(8,14),-2.73151 # DEPENDENCYPART_ARC
(9,1),-2.47655 # DEPENDENCYPART_ARC
(9,5),-1.81226 # DEPENDENCYPART_ARC
(9,6),-1.34932 # DEPENDENCYPART_ARC
(9,7),-0.976889 # DEPENDENCYPART_ARC
(9,8),-0.0321871 # DEPENDENCYPART_ARC
(9,10),-0.0253215 # DEPENDENCYPART_ARC
(9,11),-1.18465 # DEPENDENCYPART_ARC
(9,12),-1.23953 # DEPENDENCYPART_ARC
(9,13),-1.41472 # DEPENDENCYPART_ARC
(10,1),-1.00059 # DEPENDENCYPART_ARC
(10,2),-1.91019 # DEPENDENCYPART_ARC
(10,3),-1.16548 # DEPENDENCYPART_ARC
(10,4),-0.915851 # DEPENDENCYPART_ARC
(10,5),-0.881714 # DEPENDENCYPART_ARC
(10,6),-1.20612 # DEPENDENCYPART_ARC
(10,7),-0.244507 # DEPENDENCYPART_ARC
(10,8),0.219968 # DEPENDENCYPART_ARC
(10,9),0.572709 # DEPENDENCYPART_ARC
(10,11),0.655349 # DEPENDENCYPART_ARC
(10,12),-0.661535 # DEPENDENCYPART_ARC
(10,13),-0.584609 # DEPENDENCYPART_ARC
(10,14),-0.978696 # DEPENDENCYPART_ARC
(10,15),-1.0582 # DEPENDENCYPART_ARC
(10,16),-1.7234 # DEPENDENCYPART_ARC
(10,17),-1.41984 # DEPENDENCYPART_ARC
(10,19),-1.87732 # DEPENDENCYPART_ARC
(10,20),-1.92459 # DEPENDENCYPART_ARC
(10,21),-2.01639 # DEPENDENCYPART_ARC
(10,24),-1.56375 # DEPENDENCYPART_ARC
(10,27),-1.87271 # DEPENDENCYPART_ARC
(10,30),-0.866009 # DEPENDENCYPART_ARC
(11,1),-2.09502 # DEPENDENCYPART_ARC
(11,7),-1.38774 # DEPENDENCYPART_ARC
(11,8),-1.2598 # DEPENDENCYPART_ARC
(11,9),-0.514878 # DEPENDENCYPART_ARC
(11,12),-0.0983857 # DEPENDENCYPART_ARC
(11,13),-0.744541 # DEPENDENCYPART_ARC
(11,14),-1.30814 # DEPENDENCYPART_ARC
(11,15),-1.09648 # DEPENDENCYPART_ARC
(11,16),-1.5964 # DEPENDENCYPART_ARC
(11,19),-1.95621 # DEPENDENCYPART_ARC
(11,29),-2.41226 # DEPENDENCYPART_ARC
(12,11),-0.125165 # DEPENDENCYPART_ARC
(12,13),-0.345298 # DEPENDENCYPART_ARC
(12,14),-1.39879 # DEPENDENCYPART_ARC
(12,15),-1.56737 # DEPENDENCYPART_ARC
(12,16),-2.09868 # DEPENDENCYPART_ARC
(13,1),-1.69183 # DEPENDENCYPART_ARC
(13,2),-2.40971 # DEPENDENCYPART_ARC
(13,3),-1.54741 # DEPENDENCYPART_ARC
(13,4),-1.44647 # DEPENDENCYPART_ARC
(13,5),-1.39569 # DEPENDENCYPART_ARC
(13,6),-1.68851 # DEPENDENCYPART_ARC
(13,7),-0.832304 # DEPENDENCYPART_ARC
(13,8),-0.761643 # DEPENDENCYPART_ARC
(13,9),-1.20517 # DEPENDENCYPART_ARC
(13,10),-1.42959 # DEPENDENCYPART_ARC
(13,11),-0.736169 # DEPENDENCYPART_ARC
(13,12),1.17224 # DEPENDENCYPART_ARC
(13,14),1.01868 # DEPENDENCYPART_ARC
(13,15),-0.383189 # DEPENDENCYPART_ARC
(13,16),-0.744979 # DEPENDENCYPART_ARC
(13,17),-1.41284 # DEPENDENCYPART_ARC
(13,18),-1.73909 # DEPENDENCYPART_ARC
(13,19),-1.78346 # DEPENDENCYPART_ARC
(13,20),-1.83069 # DEPENDENCYPART_ARC
(13,21),-1.94163 # DEPENDENCYPART_ARC
(13,22),-2.24217 # DEPENDENCYPART_ARC
(13,25),-2.55182 # DEPENDENCYPART_ARC
(13,26),-2.17179 # DEPENDENCYPART_ARC
(13,27),-2.11133 # DEPENDENCYPART_ARC
(13,28),-2.35404 # DEPENDENCYPART_ARC
(13,30),-1.3449 # DEPENDENCYPART_ARC
(14,9),-1.38944 # DEPENDENCYPART_ARC
(14,10),-1.21216 # DEPENDENCYPART_ARC
(14,11),-1.28295 # DEPENDENCYPART_ARC
(14,12),-1.04784 # DEPENDENCYPART_ARC
(14,13),0.470026 # DEPENDENCYPART_ARC
(14,15),0.577666 # DEPENDENCYPART_ARC
(14,16),-1.00752 # DEPENDENCYPART_ARC
(14,17),-1.35743 # DEPENDENCYPART_ARC
(14,19),-1.50941 # DEPENDENCYPART_ARC
(14,20),-1.76009 # DEPENDENCYPART_ARC
(14,29),-2.35091 # DEPENDENCYPART_ARC
(15,12),-1.4947 # DEPENDENCYPART_ARC
(15,14),-0.426126 # DEPENDENCYPART_ARC
(15,16),0.973969 # DEPENDENCYPART_ARC
(15,19),-1.80067 # DEPENDENCYPART_ARC
(16,14),-0.76952 # DEPENDENCYPART_ARC
(16,15),-0.137623 # DEPENDENCYPART_ARC
(16,17),-0.153319 # DEPENDENCYPART_ARC
(16,19),-1.54455 # DEPENDENCYPART_ARC
(16,20),-1.86045 # DEPENDENCYPART_ARC
(16,21),-1.9981 # DEPENDENCYPART_ARC
(16,23),-1.72214 # DEPENDENCYPART_ARC
(16,26),-2.02534 # DEPENDENCYPART_ARC
(16,29),-2.46138 # DEPENDENCYPART_ARC
(18,17),0.165024 # DEPENDENCYPART_ARC
(18,20),-0.859864 # DEPENDENCYPART_ARC
(19,1),-1.10336 # DEPENDENCYPART_ARC
(19,2),-1.42456 # DEPENDENCYPART_ARC
(19,3),-3.08408 # DEPENDENCYPART_ARC
(19,4),-1.83228 # DEPENDENCYPART_ARC
(19,5),-1.85882 # DEPENDENCYPART_ARC
(19,6),-1.68773 # DEPENDENCYPART_ARC
(19,7),-0.153774 # DEPENDENCYPART_ARC
(19,8),-1.33762 # DEPENDENCYPART_ARC
(19,9),-1.57005 # DEPENDENCYPART_ARC
(19,10),-1.504 # DEPENDENCYPART_ARC
(19,11),-1.57014 # DEPENDENCYPART_ARC
(19,13),-1.32368 # DEPENDENCYPART_ARC
(19,14),-1.54268 # DEPENDENCYPART_ARC
(19,15),-1.18855 # DEPENDENCYPART_ARC
(19,16),-1.3397 # DEPENDENCYPART_ARC
(19,17),-0.130629 # DEPENDENCYPART_ARC
(19,18),0.968789 # DEPENDENCYPART_ARC
(19,20),1.3821 # DEPENDENCYPART_ARC
(19,21),-0.632996 # DEPENDENCYPART_ARC
(19,22),-1.05013 # DEPENDENCYPART_ARC
(19,24),-0.993509 # DEPENDENCYPART_ARC
(19,25),-1.32674 # DEPENDENCYPART_ARC
(19,27),-1.19759 # DEPENDENCYPART_ARC
(19,28),-1.11318 # DEPENDENCYPART_ARC
(19,30),-0.841695 # DEPENDENCYPART_ARC
(20,2),-1.94077 # DEPENDENCYPART_ARC
(20,7),-1.76272 # DEPENDENCYPART_ARC
(20,8),-1.97577 # DEPENDENCYPART_ARC
(20,13),-1.91246 # DEPENDENCYPART_ARC
(20,15),-1.81771 # DEPENDENCYPART_ARC
(20,16),-2.48666 # DEPENDENCYPART_ARC
(20,17),-1.49373 # DEPENDENCYPART_ARC
(20,18),-1.01361 # DEPENDENCYPART_ARC
(20,21),0.627454 # DEPENDENCYPART_ARC
(20,22),-0.146083 # DEPENDENCYPART_ARC
(20,23),-0.697959 # DEPENDENCYPART_ARC
(20,24),-0.636793 # DEPENDENCYPART_ARC
(20,25),-0.935958 # DEPENDENCYPART_ARC
(20,26),-1.05129 # DEPENDENCYPART_ARC
(20,27),-0.80498 # DEPENDENCYPART_ARC
(20,28),-1.19596 # DEPENDENCYPART_ARC
(20,29),-0.921354 # DEPENDENCYPART_ARC
(20,30),-0.553377 # DEPENDENCYPART_ARC
(21,12),-1.88456 # DEPENDENCYPART_ARC
(21,14),-2.01568 # DEPENDENCYPART_ARC
(21,16),-2.08968 # DEPENDENCYPART_ARC
(21,20),-0.23926 # DEPENDENCYPART_ARC
(21,22),0.233793 # DEPENDENCYPART_ARC
(21,23),-0.725654 # DEPENDENCYPART_ARC
(21,24),-0.713912 # DEPENDENCYPART_ARC
(21,25),-1.02129 # DEPENDENCYPART_ARC
(21,26),-1.05658 # DEPENDENCYPART_ARC
(21,27),-1.00336 # DEPENDENCYPART_ARC
(21,28),-1.07122 # DEPENDENCYPART_ARC
(22,21),0.10854 # DEPENDENCYPART_ARC
(22,23),1.09054 # DEPENDENCYPART_ARC
(22,24),-0.533354 # DEPENDENCYPART_ARC
(22,25),-0.919825 # DEPENDENCYPART_ARC
(22,26),-0.969959 # DEPENDENCYPART_ARC
(22,27),-1.05483 # DEPENDENCYPART_ARC
(22,28),-1.17668 # DEPENDENCYPART_ARC
(23,21),-0.874421 # DEPENDENCYPART_ARC
(23,22),-0.236856 # DEPENDENCYPART_ARC
(23,24),-0.188507 # DEPENDENCYPART_ARC
(23,25),-1.19905 # DEPENDENCYPART_ARC
(23,26),-1.39318 # DEPENDENCYPART_ARC
(23,27),-1.36165 # DEPENDENCYPART_ARC
(23,28),-1.65668 # DEPENDENCYPART_ARC
(23,29),-1.83461 # DEPENDENCYPART_ARC
(23,30),-1.63684 # DEPENDENCYPART_ARC
(24,5),-2.16164 # DEPENDENCYPART_ARC
(24,22),-0.904243 # DEPENDENCYPART_ARC
(25,22),-1.03854 # DEPENDENCYPART_ARC
(25,23),-1.21358 # DEPENDENCYPART_ARC
(25,24),0.00133762 # DEPENDENCYPART_ARC
(25,26),0.386412 # DEPENDENCYPART_ARC
(25,27),-0.489998 # DEPENDENCYPART_ARC
(25,28),-1.13086 # DEPENDENCYPART_ARC
(26,21),-1.19945 # DEPENDENCYPART_ARC
(26,22),-1.16578 # DEPENDENCYPART_ARC
(26,23),-0.981121 # DEPENDENCYPART_ARC
(26,25),-0.0400204 # DEPENDENCYPART_ARC
(26,27),-0.212407 # DEPENDENCYPART_ARC
(26,28),-1.31341 # DEPENDENCYPART_ARC
(26,29),-1.33819 # DEPENDENCYPART_ARC
(27,1),-1.30181 # DEPENDENCYPART_ARC
(27,2),-1.14579 # DEPENDENCYPART_ARC
(27,3),-2.92934 # DEPENDENCYPART_ARC
(27,6),-2.14989 # DEPENDENCYPART_ARC
(27,7),-1.1824 # DEPENDENCYPART_ARC
(27,8),-1.75617 # DEPENDENCYPART_ARC
(27,9),-2.34267 # DEPENDENCYPART_ARC
(27,10),-1.79901 # DEPENDENCYPART_ARC
(27,11),-2.2748 # DEPENDENCYPART_ARC
(27,13),-1.73402 # DEPENDENCYPART_ARC
(27,14),-2.16569 # DEPENDENCYPART_ARC
(27,15),-1.78487 # DEPENDENCYPART_ARC
(27,16),-2.13202 # DEPENDENCYPART_ARC
(27,17),-1.64667 # DEPENDENCYPART_ARC
(27,19),-1.17783 # DEPENDENCYPART_ARC
(27,20),-1.3466 # DEPENDENCYPART_ARC
(27,21),-1.00862 # DEPENDENCYPART_ARC
(27,22),-0.753019 # DEPENDENCYPART_ARC
(27,23),-0.656971 # DEPENDENCYPART_ARC
(27,24),-0.744239 # DEPENDENCYPART_ARC
(27,25),0.0229864 # DEPENDENCYPART_ARC
(27,26),0.401547 # DEPENDENCYPART_ARC
(27,28),0.81302 # DEPENDENCYPART_ARC
(27,29),0.405737 # DEPENDENCYPART_ARC
(27,30),-0.597897 # DEPENDENCYPART_ARC
(28,23),-1.76677 # DEPENDENCYPART_ARC
(28,25),-1.46622 # DEPENDENCYPART_ARC
(28,26),-1.52542 # DEPENDENCYPART_ARC
(28,29),0.0702749 # DEPENDENCYPART_ARC
(29,22),-1.49506 # DEPENDENCYPART_ARC
(29,23),-1.22615 # DEPENDENCYPART_ARC
(29,25),-1.13517 # DEPENDENCYPART_ARC
(29,26),-1.283 # DEPENDENCYPART_ARC
(29,28),0.322036 # DEPENDENCYPART_ARC
(29,30),0.299287 # DEPENDENCYPART_ARC
(30,29),0.0451636 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0116859 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0160329 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.109361 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.105849 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.106723 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0423446 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.105794 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.104782 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0512223 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.114182 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.104789 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.105023 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0406863 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.100943 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.104263 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.111421 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.102028 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.102262 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0406863 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0981819 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.101502 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.152058 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.153937 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0933231 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.148854 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.154958 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.162122 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0874879 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.157039 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.163143 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0874166 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.155499 # DEPENDENCYPART_SIBL
(0,13),(0,29),-0.161603 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.10532 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.104762 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.168689 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0283159 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0761025 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0760226 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.025942 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0217599 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0182874 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00908252 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0860096 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0323057 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0312306 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00507348 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0117812 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0111124 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0196368 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0240781 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00521828 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00507348 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.036378 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0252089 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.0478418 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0146649 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0232552 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00912503 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0233598 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0442356 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0383536 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0102317 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0369337 # DEPENDENCYPART_SIBL
(2,3),(2,30),-0.0210741 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0253147 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0141769 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0198202 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0102698 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.000739595 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0182793 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0207205 # DEPENDENCYPART_SIBL
(2,4),(2,30),3.50757e-05 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0119669 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0176116 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00848284 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0115643 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0164969 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0225548 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.00347226 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.026385 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00324282 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0518735 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.00252314 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.049834 # DEPENDENCYPART_SIBL
(2,6),(2,30),0.0071727 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0103077 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0199618 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00998746 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0381475 # DEPENDENCYPART_SIBL
(2,10),(2,30),-0.0152101 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.00885027 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0295124 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.0056962 # DEPENDENCYPART_SIBL
(2,12),(2,30),0.0539975 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0102317 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0369337 # DEPENDENCYPART_SIBL
(2,17),(2,30),-0.0210741 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.0271981 # DEPENDENCYPART_SIBL
(2,19),(2,30),0.058612 # DEPENDENCYPART_SIBL
(2,24),(2,30),0.111739 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0291128 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00822209 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0236466 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0178792 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0502371 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0104881 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0291219 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.132764 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0215982 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.085546 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0576632 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0167738 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0238647 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00750301 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0543728 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.117463 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.112123 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0218633 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00638191 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.104399 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.200747 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.172323 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00784953 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.100021 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00642466 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0116351 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00512 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.02521 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0148128 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.017793 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0245402 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.015656 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0192139 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0173471 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.031074 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0503643 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0339354 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0295451 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.066089 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0908129 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0832921 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0212397 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0665074 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.09169 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0184422 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0695546 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.105888 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0475611 # DEPENDENCYPART_SIBL
(6,1),(6,20),-3.8165e-05 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0216949 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.00515177 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.00670732 # DEPENDENCYPART_SIBL
(6,1),(6,30),-0.0145864 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0898565 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.189329 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.141547 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0993136 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0745444 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0972884 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0108281 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0906504 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00538881 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0222811 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.046389 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0197571 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00169891 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.02136 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0380802 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.0387527 # DEPENDENCYPART_SIBL
(6,2),(6,27),0.0535816 # DEPENDENCYPART_SIBL
(6,2),(6,30),0.0283714 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.053992 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0266673 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.11686 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.123567 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00542355 # DEPENDENCYPART_SIBL
