# _root_ This program , combined with cash grants to needy students , would reduce program costs and much more effectively target the intended beneficiaries .
#goldHeads=2,12,2,2,4,7,5,7,10,8,2,0,16,15,13,12,20,17,17,16,23,23,20,12,
#predictedHeads=2,12,2,2,4,7,5,7,10,8,2,0,12,15,16,13,16,17,20,16,23,23,20,12,
(13,16),-0.591677 # DEPENDENCYPART_ARC
(13,17),-1.17295 # DEPENDENCYPART_ARC
(13,18),-1.37173 # DEPENDENCYPART_ARC
(13,19),-1.43205 # DEPENDENCYPART_ARC
(13,20),-1.22441 # DEPENDENCYPART_ARC
(13,23),-1.5948 # DEPENDENCYPART_ARC
(13,24),-1.41048 # DEPENDENCYPART_ARC
(14,13),-0.494514 # DEPENDENCYPART_ARC
(14,17),-1.56061 # DEPENDENCYPART_ARC
(14,18),-1.64412 # DEPENDENCYPART_ARC
(14,20),-1.73922 # DEPENDENCYPART_ARC
(14,23),-1.94977 # DEPENDENCYPART_ARC
(15,4),-1.62219 # DEPENDENCYPART_ARC
(15,6),-1.68694 # DEPENDENCYPART_ARC
(15,9),-1.88674 # DEPENDENCYPART_ARC
(15,10),-1.82678 # DEPENDENCYPART_ARC
(15,11),-1.60331 # DEPENDENCYPART_ARC
(15,13),-0.374629 # DEPENDENCYPART_ARC
(15,14),2.18713 # DEPENDENCYPART_ARC
(15,16),-0.746352 # DEPENDENCYPART_ARC
(15,17),-1.51943 # DEPENDENCYPART_ARC
(15,18),-1.59917 # DEPENDENCYPART_ARC
(15,19),-1.71562 # DEPENDENCYPART_ARC
(15,20),-1.99795 # DEPENDENCYPART_ARC
(15,23),-2.00154 # DEPENDENCYPART_ARC
(16,1),-1.51218 # DEPENDENCYPART_ARC
(16,2),-1.27098 # DEPENDENCYPART_ARC
(16,3),-1.65104 # DEPENDENCYPART_ARC
(16,4),-2.07748 # DEPENDENCYPART_ARC
(16,5),-1.02076 # DEPENDENCYPART_ARC
(16,6),-1.6357 # DEPENDENCYPART_ARC
(16,7),-1.67979 # DEPENDENCYPART_ARC
(16,8),-1.85063 # DEPENDENCYPART_ARC
(16,9),-1.69284 # DEPENDENCYPART_ARC
(16,10),-1.35727 # DEPENDENCYPART_ARC
(16,11),-0.840223 # DEPENDENCYPART_ARC
(16,12),-0.583806 # DEPENDENCYPART_ARC
(16,13),-0.199685 # DEPENDENCYPART_ARC
(16,14),-0.353329 # DEPENDENCYPART_ARC
(16,15),0.603769 # DEPENDENCYPART_ARC
(16,17),0.128241 # DEPENDENCYPART_ARC
(16,18),-0.77894 # DEPENDENCYPART_ARC
(16,19),-1.15142 # DEPENDENCYPART_ARC
(16,20),-0.855805 # DEPENDENCYPART_ARC
(16,21),-1.78915 # DEPENDENCYPART_ARC
(16,22),-1.54669 # DEPENDENCYPART_ARC
(16,23),-1.26655 # DEPENDENCYPART_ARC
(16,24),-0.910826 # DEPENDENCYPART_ARC
(17,15),-2.01304 # DEPENDENCYPART_ARC
(17,18),0.43732 # DEPENDENCYPART_ARC
(17,19),-0.520482 # DEPENDENCYPART_ARC
(17,20),-0.861736 # DEPENDENCYPART_ARC
(17,22),-1.14189 # DEPENDENCYPART_ARC
(17,23),-1.58697 # DEPENDENCYPART_ARC
(17,24),-1.13951 # DEPENDENCYPART_ARC
(18,15),-1.12273 # DEPENDENCYPART_ARC
(18,17),-0.255053 # DEPENDENCYPART_ARC
(18,19),0.145907 # DEPENDENCYPART_ARC
(18,20),-0.776438 # DEPENDENCYPART_ARC
(18,24),-1.31393 # DEPENDENCYPART_ARC
(19,2),-1.63506 # DEPENDENCYPART_ARC
(19,8),-2.03895 # DEPENDENCYPART_ARC
(19,15),-1.45204 # DEPENDENCYPART_ARC
(19,17),-1.46091 # DEPENDENCYPART_ARC
(19,18),-0.212871 # DEPENDENCYPART_ARC
(19,20),-0.493352 # DEPENDENCYPART_ARC
(19,23),-1.82446 # DEPENDENCYPART_ARC
(20,2),-1.5689 # DEPENDENCYPART_ARC
(20,3),-2.73578 # DEPENDENCYPART_ARC
(20,5),-2.12518 # DEPENDENCYPART_ARC
(20,7),-2.61364 # DEPENDENCYPART_ARC
(20,10),-2.36736 # DEPENDENCYPART_ARC
(20,11),-1.95404 # DEPENDENCYPART_ARC
(20,12),-1.53278 # DEPENDENCYPART_ARC
(20,13),-1.68251 # DEPENDENCYPART_ARC
(20,14),-1.25745 # DEPENDENCYPART_ARC
(20,15),-1.1577 # DEPENDENCYPART_ARC
(20,16),-1.23753 # DEPENDENCYPART_ARC
(20,17),-0.983838 # DEPENDENCYPART_ARC
(20,18),-0.654254 # DEPENDENCYPART_ARC
(20,19),0.511488 # DEPENDENCYPART_ARC
(20,21),-0.0337012 # DEPENDENCYPART_ARC
(20,22),-0.644605 # DEPENDENCYPART_ARC
(20,23),-0.0846887 # DEPENDENCYPART_ARC
(20,24),-0.167961 # DEPENDENCYPART_ARC
(21,22),-0.537428 # DEPENDENCYPART_ARC
(22,17),-1.67035 # DEPENDENCYPART_ARC
(22,19),-1.41 # DEPENDENCYPART_ARC
(22,21),0.108936 # DEPENDENCYPART_ARC
(22,23),-0.660182 # DEPENDENCYPART_ARC
(23,17),-1.544 # DEPENDENCYPART_ARC
(23,18),-1.19371 # DEPENDENCYPART_ARC
(23,19),-1.09092 # DEPENDENCYPART_ARC
(23,20),-1.11926 # DEPENDENCYPART_ARC
(23,21),0.207164 # DEPENDENCYPART_ARC
(23,22),1.39935 # DEPENDENCYPART_ARC
(23,24),-0.524609 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.120212 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0505919 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.126357 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0995757 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.123128 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.10518 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.224882 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.182076 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.225624 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.115596 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0968427 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.115575 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.182104 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.223448 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.152851 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0506895 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.11715 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0364836 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.240767 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.115313 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0541701 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0854941 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.116753 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.11715 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0728514 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0543812 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0500881 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0445377 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0132672 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0390104 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0407402 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0410936 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0126497 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0248599 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0157594 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00322369 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00310224 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0162568 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0259748 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.00253053 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.028408 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0104039 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0141121 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0291077 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0112034 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0150481 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00457458 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00508892 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0237379 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00432364 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0203468 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00313715 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00205316 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.000474576 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0866208 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0104788 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00638006 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.00586178 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00360023 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0189247 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0126497 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0492476 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.109193 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.158342 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0281382 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0207437 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00138812 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.023598 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0220361 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0126248 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.039371 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00769804 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0403047 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0874491 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00820872 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0809223 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0313401 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0454004 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0212458 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0267257 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0470404 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0535824 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00936203 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.049406 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.032728 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0407164 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0292736 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0122191 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0139604 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0103549 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.027068 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0130557 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.185482 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0498944 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00582048 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0015319 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0533008 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0215294 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0229562 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0410903 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0590154 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0243012 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.02572 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0399692 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0320182 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0411694 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.035388 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0194648 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0103691 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0157471 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.019908 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0109217 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0341964 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00669328 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0165166 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.00483668 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00616845 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0297071 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0375396 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00905016 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0459978 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0168922 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0383798 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.00729603 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0322114 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0276943 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00985156 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0787885 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00551521 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0474114 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0147795 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0346478 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0245225 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0147977 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00300875 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0287444 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0141997 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00387589 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0504871 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0247197 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0438725 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0145809 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0368806 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0377014 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.00866508 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.00294202 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0107201 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0774963 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.0107477 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.054832 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.0121293 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.00347275 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0133047 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.010736 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0373772 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0274774 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0147626 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0184887 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0245773 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0120572 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0361731 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0337587 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.102222 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00787603 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0840483 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0804471 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.156389 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0497445 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0796767 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0821816 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0958854 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.039841 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00101913 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0285597 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0403263 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0185076 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.033376 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0405358 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00788832 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.054133 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0132805 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0354474 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.10582 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0683049 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0468829 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.105214 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0441092 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0552404 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.187615 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0489318 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0590765 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0453549 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.107999 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.041495 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0571406 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.190042 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0504891 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0512068 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0283175 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0309584 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0273245 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0502276 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0214649 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0501458 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00781619 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0110602 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.105187 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0381723 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0414949 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0588875 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.190544 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0504894 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0203911 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0984256 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.00663641 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.107172 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0213493 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.00175917 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00103232 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0065497 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0288695 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.000173954 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.000610175 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.000739104 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0167191 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00426515 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00422872 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00845258 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.112751 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0268768 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.053 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0650252 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.114689 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0680491 # DEPENDENCYPART_SIBL
