# _root_ He added : `` Every paper company management has to be saying to itself , ` Before someone comes after me , I 'm going to go after somebody . ' ''
#goldHeads=2,0,2,2,8,8,8,9,2,11,9,11,12,13,12,12,19,19,24,19,20,24,24,12,24,27,25,27,28,2,2,2,
#predictedHeads=2,0,2,2,8,8,8,9,2,11,9,11,12,13,12,12,19,19,24,19,20,24,24,12,24,27,25,27,28,2,12,2,
(12,6),-1.95251 # DEPENDENCYPART_ARC
(12,8),-1.81153 # DEPENDENCYPART_ARC
(12,9),-2.14172 # DEPENDENCYPART_ARC
(12,13),0.547343 # DEPENDENCYPART_ARC
(12,14),-0.625342 # DEPENDENCYPART_ARC
(12,15),-0.677382 # DEPENDENCYPART_ARC
(12,16),-1.33808 # DEPENDENCYPART_ARC
(12,17),-1.49895 # DEPENDENCYPART_ARC
(12,18),-2.12305 # DEPENDENCYPART_ARC
(12,19),-1.29024 # DEPENDENCYPART_ARC
(12,20),-2.03175 # DEPENDENCYPART_ARC
(12,22),-1.73623 # DEPENDENCYPART_ARC
(12,24),-1.38423 # DEPENDENCYPART_ARC
(12,25),-1.17331 # DEPENDENCYPART_ARC
(12,27),-1.03337 # DEPENDENCYPART_ARC
(12,28),-1.83403 # DEPENDENCYPART_ARC
(12,30),-1.39192 # DEPENDENCYPART_ARC
(12,31),-0.443765 # DEPENDENCYPART_ARC
(12,32),-0.0664325 # DEPENDENCYPART_ARC
(13,14),0.497941 # DEPENDENCYPART_ARC
(13,15),-0.609265 # DEPENDENCYPART_ARC
(13,17),-1.40537 # DEPENDENCYPART_ARC
(13,18),-1.39252 # DEPENDENCYPART_ARC
(13,20),-1.63554 # DEPENDENCYPART_ARC
(13,26),-1.21009 # DEPENDENCYPART_ARC
(14,15),-0.0691327 # DEPENDENCYPART_ARC
(14,17),-1.54622 # DEPENDENCYPART_ARC
(14,20),-1.81273 # DEPENDENCYPART_ARC
(17,13),-2.12939 # DEPENDENCYPART_ARC
(17,15),-1.28912 # DEPENDENCYPART_ARC
(17,16),-0.213159 # DEPENDENCYPART_ARC
(17,18),0.397058 # DEPENDENCYPART_ARC
(17,19),-0.834541 # DEPENDENCYPART_ARC
(17,20),-1.36922 # DEPENDENCYPART_ARC
(18,14),-2.0022 # DEPENDENCYPART_ARC
(18,15),-1.79412 # DEPENDENCYPART_ARC
(18,16),-0.855138 # DEPENDENCYPART_ARC
(18,17),-0.0959289 # DEPENDENCYPART_ARC
(18,19),0.273777 # DEPENDENCYPART_ARC
(18,20),-0.998593 # DEPENDENCYPART_ARC
(18,24),-2.11114 # DEPENDENCYPART_ARC
(19,2),-1.7502 # DEPENDENCYPART_ARC
(19,3),-1.72277 # DEPENDENCYPART_ARC
(19,4),-1.31386 # DEPENDENCYPART_ARC
(19,8),-2.47488 # DEPENDENCYPART_ARC
(19,9),-1.291 # DEPENDENCYPART_ARC
(19,10),-1.71838 # DEPENDENCYPART_ARC
(19,11),-1.57471 # DEPENDENCYPART_ARC
(19,12),-1.37175 # DEPENDENCYPART_ARC
(19,13),-1.61191 # DEPENDENCYPART_ARC
(19,14),-1.84427 # DEPENDENCYPART_ARC
(19,15),-0.924237 # DEPENDENCYPART_ARC
(19,16),-0.873426 # DEPENDENCYPART_ARC
(19,17),0.0537317 # DEPENDENCYPART_ARC
(19,18),0.344798 # DEPENDENCYPART_ARC
(19,20),0.77845 # DEPENDENCYPART_ARC
(19,22),-0.931548 # DEPENDENCYPART_ARC
(19,24),-1.59828 # DEPENDENCYPART_ARC
(19,25),-1.67244 # DEPENDENCYPART_ARC
(19,27),-1.78078 # DEPENDENCYPART_ARC
(19,28),-1.64611 # DEPENDENCYPART_ARC
(19,30),-0.74096 # DEPENDENCYPART_ARC
(19,31),-0.892707 # DEPENDENCYPART_ARC
(19,32),-0.603003 # DEPENDENCYPART_ARC
(20,18),-1.44244 # DEPENDENCYPART_ARC
(20,21),0.187901 # DEPENDENCYPART_ARC
(20,22),-0.82248 # DEPENDENCYPART_ARC
(20,24),-1.86737 # DEPENDENCYPART_ARC
(20,25),-2.0553 # DEPENDENCYPART_ARC
(21,22),-0.00585704 # DEPENDENCYPART_ARC
(21,27),-1.74868 # DEPENDENCYPART_ARC
(23,22),0.0495397 # DEPENDENCYPART_ARC
(23,27),-1.42363 # DEPENDENCYPART_ARC
(23,28),-1.40626 # DEPENDENCYPART_ARC
(24,5),-1.67716 # DEPENDENCYPART_ARC
(24,6),-1.5516 # DEPENDENCYPART_ARC
(24,8),-1.53521 # DEPENDENCYPART_ARC
(24,9),-1.21116 # DEPENDENCYPART_ARC
(24,11),-1.30987 # DEPENDENCYPART_ARC
(24,12),-1.25664 # DEPENDENCYPART_ARC
(24,13),-1.45581 # DEPENDENCYPART_ARC
(24,15),-2.08724 # DEPENDENCYPART_ARC
(24,16),-1.47994 # DEPENDENCYPART_ARC
(24,17),-1.24906 # DEPENDENCYPART_ARC
(24,18),-1.87193 # DEPENDENCYPART_ARC
(24,19),-1.226 # DEPENDENCYPART_ARC
(24,20),-0.822523 # DEPENDENCYPART_ARC
(24,21),-1.26265 # DEPENDENCYPART_ARC
(24,22),-0.20029 # DEPENDENCYPART_ARC
(24,23),1.03797 # DEPENDENCYPART_ARC
(24,25),1.33272 # DEPENDENCYPART_ARC
(24,26),-0.716336 # DEPENDENCYPART_ARC
(24,27),-0.525515 # DEPENDENCYPART_ARC
(24,28),-0.938537 # DEPENDENCYPART_ARC
(24,29),-1.25212 # DEPENDENCYPART_ARC
(24,30),-0.575931 # DEPENDENCYPART_ARC
(24,31),-0.666002 # DEPENDENCYPART_ARC
(24,32),-0.58782 # DEPENDENCYPART_ARC
(25,17),-2.08481 # DEPENDENCYPART_ARC
(25,20),-1.91175 # DEPENDENCYPART_ARC
(25,21),-2.79619 # DEPENDENCYPART_ARC
(25,22),-1.77266 # DEPENDENCYPART_ARC
(25,23),-1.5327 # DEPENDENCYPART_ARC
(25,24),-0.945073 # DEPENDENCYPART_ARC
(25,26),0.318598 # DEPENDENCYPART_ARC
(25,27),0.154851 # DEPENDENCYPART_ARC
(25,28),-0.875704 # DEPENDENCYPART_ARC
(25,29),-1.21748 # DEPENDENCYPART_ARC
(25,30),-0.930574 # DEPENDENCYPART_ARC
(25,31),-0.897824 # DEPENDENCYPART_ARC
(25,32),-0.8133 # DEPENDENCYPART_ARC
(26,27),-0.479011 # DEPENDENCYPART_ARC
(26,28),-1.49283 # DEPENDENCYPART_ARC
(26,29),-1.85099 # DEPENDENCYPART_ARC
(27,17),-1.82244 # DEPENDENCYPART_ARC
(27,18),-2.71847 # DEPENDENCYPART_ARC
(27,19),-1.63528 # DEPENDENCYPART_ARC
(27,20),-1.68746 # DEPENDENCYPART_ARC
(27,21),-2.32603 # DEPENDENCYPART_ARC
(27,22),-1.48894 # DEPENDENCYPART_ARC
(27,23),-1.5741 # DEPENDENCYPART_ARC
(27,24),-1.52726 # DEPENDENCYPART_ARC
(27,26),1.25216 # DEPENDENCYPART_ARC
(27,28),0.706713 # DEPENDENCYPART_ARC
(27,29),-0.385289 # DEPENDENCYPART_ARC
(27,30),-0.507754 # DEPENDENCYPART_ARC
(27,31),-0.878298 # DEPENDENCYPART_ARC
(27,32),-0.887106 # DEPENDENCYPART_ARC
(28,26),-1.48489 # DEPENDENCYPART_ARC
(28,27),-0.507007 # DEPENDENCYPART_ARC
(28,29),0.488975 # DEPENDENCYPART_ARC
(28,31),-0.98142 # DEPENDENCYPART_ARC
(28,32),-1.05909 # DEPENDENCYPART_ARC
(29,26),-1.94264 # DEPENDENCYPART_ARC
(29,27),-1.07498 # DEPENDENCYPART_ARC
(29,28),-0.179092 # DEPENDENCYPART_ARC
(29,30),-0.184896 # DEPENDENCYPART_ARC
(29,31),-0.99498 # DEPENDENCYPART_ARC
(29,32),-1.09495 # DEPENDENCYPART_ARC
(30,28),-0.906855 # DEPENDENCYPART_ARC
(30,29),-0.15531 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0199224 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0610379 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.165676 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.17019 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.164948 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.164497 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.159477 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.161398 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0137597 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0274364 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.033746 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0358362 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0356042 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0354496 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0364426 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.10616 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.109536 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0890882 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.100407 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.101606 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0981804 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.18054 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.175301 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.174849 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.169829 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.17175 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.176644 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.176193 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.171173 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.173094 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.163652 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.158972 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.160563 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.158702 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.160623 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.162374 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.063057 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0589691 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0753683 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00915556 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0585751 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00567786 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00369227 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0479739 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0451732 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0471612 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0479739 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0468057 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00626428 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0284806 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0356554 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.000478503 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0468057 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0492007 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0286015 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.000478503 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.185594 # DEPENDENCYPART_SIBL
(2,1),(2,31),-0.00221153 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.00732 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.187545 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0502249 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.054361 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0502911 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.10643 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00980495 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0543464 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.101875 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00980495 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0418339 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0897061 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0264102 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.088887 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.00571944 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0418339 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0676447 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.080623 # DEPENDENCYPART_SIBL
(2,3),(2,28),-0.00571944 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.184481 # DEPENDENCYPART_SIBL
(2,3),(2,31),0.0786387 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.106511 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00579141 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0121756 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00576547 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0595502 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.011919 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00327967 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0586837 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.011919 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00885965 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.018927 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0071032 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0665752 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0348076 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.00885965 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0153701 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0372207 # DEPENDENCYPART_SIBL
(2,4),(2,28),0.0348076 # DEPENDENCYPART_SIBL
(2,4),(2,30),0.0142431 # DEPENDENCYPART_SIBL
(2,4),(2,31),0.131404 # DEPENDENCYPART_SIBL
(2,4),(2,32),0.196626 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0449844 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0355193 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0179093 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0276025 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0620067 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0328932 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0276025 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00152205 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.000689085 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00890784 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00412081 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0015161 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.00152205 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0251961 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.00495024 # DEPENDENCYPART_SIBL
(2,6),(2,28),0.0015161 # DEPENDENCYPART_SIBL
(2,6),(2,30),-0.0262516 # DEPENDENCYPART_SIBL
(2,6),(2,31),-0.0133135 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.00779138 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0332552 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0514335 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00353227 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0961265 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.000630891 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00353227 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0151071 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0139507 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0136361 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0376449 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00320554 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0151071 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0587201 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.0384743 # DEPENDENCYPART_SIBL
(2,7),(2,28),-0.00320554 # DEPENDENCYPART_SIBL
(2,7),(2,30),-0.0525444 # DEPENDENCYPART_SIBL
(2,7),(2,31),-0.02347 # DEPENDENCYPART_SIBL
(2,7),(2,32),0.000247919 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0160017 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0295792 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.060099 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0348008 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0295792 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00423761 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0012822 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.000516806 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00221312 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.00990714 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.00423761 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0232884 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.00304255 # DEPENDENCYPART_SIBL
(2,8),(2,28),0.00990714 # DEPENDENCYPART_SIBL
(2,8),(2,30),-0.022192 # DEPENDENCYPART_SIBL
(2,8),(2,31),-0.0115603 # DEPENDENCYPART_SIBL
(2,8),(2,32),0.00932241 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00777126 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0474952 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0130965 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00777126 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0265564 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0119319 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0222989 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.000185953 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0430468 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0265564 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0120262 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.00451014 # DEPENDENCYPART_SIBL
(2,9),(2,28),0.0430468 # DEPENDENCYPART_SIBL
(2,9),(2,30),0.0602895 # DEPENDENCYPART_SIBL
(2,9),(2,31),0.04182 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.0604603 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00847052 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0321107 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0695706 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0200532 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0128091 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0215584 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0110354 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.028275 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0200532 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.00752635 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0172269 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.028275 # DEPENDENCYPART_SIBL
(2,10),(2,30),0.0148637 # DEPENDENCYPART_SIBL
(2,10),(2,31),0.0069747 # DEPENDENCYPART_SIBL
(2,10),(2,32),-9.95508e-05 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0388471 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0179706 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0308671 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0187875 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0566263 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0259366 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0693074 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0308671 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0137244 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.0212405 # DEPENDENCYPART_SIBL
(2,11),(2,28),0.0693074 # DEPENDENCYPART_SIBL
(2,11),(2,30),0.0753719 # DEPENDENCYPART_SIBL
