# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=16,3,16,3,16,13,6,9,12,9,12,7,0,13,16,0,18,16,16,
(6,14),-0.69579 # DEPENDENCYPART_ARC
(6,16),-1.24075 # DEPENDENCYPART_ARC
(6,18),-2.23065 # DEPENDENCYPART_ARC
(6,19),-1.84134 # DEPENDENCYPART_ARC
(7,1),-2.27579 # DEPENDENCYPART_ARC
(7,2),-2.37259 # DEPENDENCYPART_ARC
(7,3),-2.02253 # DEPENDENCYPART_ARC
(7,4),-2.12954 # DEPENDENCYPART_ARC
(7,5),-2.34599 # DEPENDENCYPART_ARC
(7,8),0.0678357 # DEPENDENCYPART_ARC
(7,9),-0.165069 # DEPENDENCYPART_ARC
(7,10),-2.12507 # DEPENDENCYPART_ARC
(7,11),-1.44077 # DEPENDENCYPART_ARC
(7,12),0.42348 # DEPENDENCYPART_ARC
(7,13),-1.04014 # DEPENDENCYPART_ARC
(7,14),-1.05264 # DEPENDENCYPART_ARC
(7,16),-1.3812 # DEPENDENCYPART_ARC
(7,18),-2.23977 # DEPENDENCYPART_ARC
(7,19),-2.49463 # DEPENDENCYPART_ARC
(8,6),-2.78113 # DEPENDENCYPART_ARC
(8,9),-2.42378 # DEPENDENCYPART_ARC
(8,10),-1.96435 # DEPENDENCYPART_ARC
(8,14),-2.51053 # DEPENDENCYPART_ARC
(9,1),-3.48824 # DEPENDENCYPART_ARC
(9,2),-3.12833 # DEPENDENCYPART_ARC
(9,4),-2.47936 # DEPENDENCYPART_ARC
(9,5),-2.336 # DEPENDENCYPART_ARC
(9,6),-1.49261 # DEPENDENCYPART_ARC
(9,7),-1.69564 # DEPENDENCYPART_ARC
(9,8),2.78312 # DEPENDENCYPART_ARC
(9,10),1.88081 # DEPENDENCYPART_ARC
(9,11),-1.43818 # DEPENDENCYPART_ARC
(9,12),-1.90575 # DEPENDENCYPART_ARC
(9,14),-1.41561 # DEPENDENCYPART_ARC
(9,16),-1.98655 # DEPENDENCYPART_ARC
(9,18),-2.74604 # DEPENDENCYPART_ARC
(9,19),-2.78229 # DEPENDENCYPART_ARC
(10,1),-2.69635 # DEPENDENCYPART_ARC
(10,3),-2.02641 # DEPENDENCYPART_ARC
(10,6),-1.92758 # DEPENDENCYPART_ARC
(10,7),-1.61027 # DEPENDENCYPART_ARC
(10,11),-1.76348 # DEPENDENCYPART_ARC
(11,1),-2.88507 # DEPENDENCYPART_ARC
(11,2),-2.4297 # DEPENDENCYPART_ARC
(11,3),-2.43789 # DEPENDENCYPART_ARC
(11,4),-2.2717 # DEPENDENCYPART_ARC
(11,5),-2.63891 # DEPENDENCYPART_ARC
(11,6),-2.09171 # DEPENDENCYPART_ARC
(11,7),-2.17516 # DEPENDENCYPART_ARC
(11,9),-1.84551 # DEPENDENCYPART_ARC
(11,10),-1.21896 # DEPENDENCYPART_ARC
(11,12),-1.0839 # DEPENDENCYPART_ARC
(11,13),-1.31375 # DEPENDENCYPART_ARC
(11,14),-1.58501 # DEPENDENCYPART_ARC
(11,16),-1.61166 # DEPENDENCYPART_ARC
(11,18),-2.68901 # DEPENDENCYPART_ARC
(12,2),-3.04672 # DEPENDENCYPART_ARC
(12,3),-2.45854 # DEPENDENCYPART_ARC
(12,6),-2.58858 # DEPENDENCYPART_ARC
(12,7),-2.32634 # DEPENDENCYPART_ARC
(12,8),-0.795163 # DEPENDENCYPART_ARC
(12,9),-0.588566 # DEPENDENCYPART_ARC
(12,10),-1.2004 # DEPENDENCYPART_ARC
(12,11),0.786401 # DEPENDENCYPART_ARC
(12,13),-0.959833 # DEPENDENCYPART_ARC
(12,14),-1.82275 # DEPENDENCYPART_ARC
(12,16),-1.29282 # DEPENDENCYPART_ARC
(12,18),-2.52422 # DEPENDENCYPART_ARC
(12,19),-2.57938 # DEPENDENCYPART_ARC
(13,1),-1.67791 # DEPENDENCYPART_ARC
(13,2),-1.87249 # DEPENDENCYPART_ARC
(13,3),-2.01126 # DEPENDENCYPART_ARC
(13,4),-1.76658 # DEPENDENCYPART_ARC
(13,5),-0.703821 # DEPENDENCYPART_ARC
(13,6),-1.36082 # DEPENDENCYPART_ARC
(13,7),-1.79622 # DEPENDENCYPART_ARC
(13,8),-1.8241 # DEPENDENCYPART_ARC
(13,9),-1.76337 # DEPENDENCYPART_ARC
(13,10),-1.24065 # DEPENDENCYPART_ARC
(13,11),-0.589259 # DEPENDENCYPART_ARC
(13,12),1.36461 # DEPENDENCYPART_ARC
(13,14),0.0436264 # DEPENDENCYPART_ARC
(13,15),-1.26563 # DEPENDENCYPART_ARC
(13,16),-0.424284 # DEPENDENCYPART_ARC
(13,18),-1.74372 # DEPENDENCYPART_ARC
(13,19),-1.55161 # DEPENDENCYPART_ARC
(15,18),-1.84263 # DEPENDENCYPART_ARC
(16,1),-1.2144 # DEPENDENCYPART_ARC
(16,2),-1.72788 # DEPENDENCYPART_ARC
(16,3),-0.895212 # DEPENDENCYPART_ARC
(16,4),-1.4886 # DEPENDENCYPART_ARC
(16,5),-0.857518 # DEPENDENCYPART_ARC
(16,6),-1.87235 # DEPENDENCYPART_ARC
(16,7),-1.55176 # DEPENDENCYPART_ARC
(16,9),-1.55854 # DEPENDENCYPART_ARC
(16,10),-1.72438 # DEPENDENCYPART_ARC
(16,11),-1.33214 # DEPENDENCYPART_ARC
(16,12),-0.978063 # DEPENDENCYPART_ARC
(16,13),-1.08436 # DEPENDENCYPART_ARC
(16,14),0.19581 # DEPENDENCYPART_ARC
(16,15),1.80943 # DEPENDENCYPART_ARC
(16,17),-0.811743 # DEPENDENCYPART_ARC
(16,18),0.456564 # DEPENDENCYPART_ARC
(16,19),-0.377808 # DEPENDENCYPART_ARC
(18,9),-2.97995 # DEPENDENCYPART_ARC
(18,11),-2.037 # DEPENDENCYPART_ARC
(18,13),-2.24838 # DEPENDENCYPART_ARC
(18,14),-1.96556 # DEPENDENCYPART_ARC
(18,15),-2.10311 # DEPENDENCYPART_ARC
(18,17),1.42075 # DEPENDENCYPART_ARC
(18,19),-1.42823 # DEPENDENCYPART_ARC
(19,18),-2.77288 # DEPENDENCYPART_ARC
(0,13),(0,16),-1.20349 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0648561 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0434323 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0153826 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.28095 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.259525 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0005973 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0103052 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.277156 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.292299 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0798745 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.32504 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.302794 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.100746 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.263827 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.506193 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00195893 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0698523 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.167898 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0617607 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0309985 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.216674 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0707868 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0701737 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.15878 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0288525 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0773568 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0406507 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0456503 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.133206 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0402612 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.173657 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.121963 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.247243 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.195152 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0369649 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0574094 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.222504 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0157409 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0342 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0672394 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00605436 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0423374 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00517421 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0453643 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0333997 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0342 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.116175 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.291393 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0636243 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.080996 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0582533 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.129786 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0365309 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0424801 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0417893 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0797766 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.080996 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.19269 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.207525 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0763333 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.131385 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00551996 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.191919 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.130894 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.310745 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.401583 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0763333 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.392211 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.00627889 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0439934 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.351299 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0588381 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0721039 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0617998 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.082759 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.100282 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0926887 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.021954 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0824122 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.333043 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.190944 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.374849 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.432228 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.064511 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.484348 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.163057 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0334234 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0010063 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.143468 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.288562 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0669565 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.374632 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0157267 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.241225 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.601257 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.497839 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0354009 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.583177 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.109127 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.35292 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.290198 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0235372 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.36528 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.00401668 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.493095 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0289177 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.598204 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0644696 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.41305 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.4344 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.132553 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0926887 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.021954 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.232916 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.199695 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.163156 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.153376 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0911285 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0600785 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0568376 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00542864 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00333961 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.1712 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.227981 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.209591 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.052136 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0772616 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0583926 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0464283 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0736037 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.120329 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0179664 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0501043 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0230515 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0317981 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0709669 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0334533 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.00376191 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.156443 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.11832 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.234387 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.137354 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.385812 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.193491 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.19249 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0116063 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0555684 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0158795 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0103832 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.169225 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.102985 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0803998 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0856861 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.126429 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0945348 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0495451 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0850324 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.171484 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.189355 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.103507 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.159236 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.174606 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0211564 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.166832 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0927563 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0929487 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.112465 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0362604 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0778394 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0581402 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0336425 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0297335 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0389727 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.129529 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.106415 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00322891 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00040852 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.193371 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0654315 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0646687 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.198115 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0633057 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0328607 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0347871 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0526519 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0593185 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0190494 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0309228 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0751503 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.355477 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00416238 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0133698 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.013143 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00828953 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0658462 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0177318 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0649277 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0342981 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0162205 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0694071 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0545427 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0319783 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.204979 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0571102 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0566431 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.20257 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0614528 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0624279 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0459077 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0324903 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0703486 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0230913 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0103688 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.144859 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0446346 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0508187 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.224447 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00887996 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0372931 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.115029 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0547089 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0146022 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0852219 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0171012 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.070478 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0660594 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0430033 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0488989 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.161327 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.225247 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.00025561 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.228166 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.120862 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0263222 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.125031 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.128465 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0501032 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0371598 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0896697 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0155939 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.118932 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0718739 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0286113 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.129131 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0501032 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0395482 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.091281 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.000216493 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.126084 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0654101 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.022869 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0363429 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.043534 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0848643 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.133974 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0981579 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.152513 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0464795 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00782703 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0584994 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0256447 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.091525 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0723667 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0261533 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0915807 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.000263102 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.138831 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0703262 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0733997 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.26377 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.156978 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0365126 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.106736 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.373297 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.484396 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.27819 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0661612 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.110477 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.0185108 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.215494 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.122033 # DEPENDENCYPART_SIBL
