# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,15,16,23,23,23,23,23,17,9,
(7,4),-1.26454 # DEPENDENCYPART_ARC
(7,5),-0.983677 # DEPENDENCYPART_ARC
(7,6),-0.190003 # DEPENDENCYPART_ARC
(7,8),-1.03464 # DEPENDENCYPART_ARC
(7,9),-2.14385 # DEPENDENCYPART_ARC
(7,10),-2.28304 # DEPENDENCYPART_ARC
(7,11),-2.36146 # DEPENDENCYPART_ARC
(8,7),-2.17954 # DEPENDENCYPART_ARC
(9,1),-1.27886 # DEPENDENCYPART_ARC
(9,2),-1.45293 # DEPENDENCYPART_ARC
(9,3),-2.0036 # DEPENDENCYPART_ARC
(9,4),-1.84421 # DEPENDENCYPART_ARC
(9,5),-1.26629 # DEPENDENCYPART_ARC
(9,6),-0.424761 # DEPENDENCYPART_ARC
(9,7),-1.05252 # DEPENDENCYPART_ARC
(9,8),-0.731746 # DEPENDENCYPART_ARC
(9,10),-0.190303 # DEPENDENCYPART_ARC
(9,11),1.11916 # DEPENDENCYPART_ARC
(9,12),-1.49935 # DEPENDENCYPART_ARC
(9,13),-1.70544 # DEPENDENCYPART_ARC
(9,14),-1.80839 # DEPENDENCYPART_ARC
(9,15),-1.89398 # DEPENDENCYPART_ARC
(9,16),-1.18204 # DEPENDENCYPART_ARC
(9,17),-1.61601 # DEPENDENCYPART_ARC
(9,24),0.541247 # DEPENDENCYPART_ARC
(10,11),-0.842085 # DEPENDENCYPART_ARC
(10,16),-1.9409 # DEPENDENCYPART_ARC
(11,1),-2.18923 # DEPENDENCYPART_ARC
(11,2),-2.34019 # DEPENDENCYPART_ARC
(11,3),-1.85448 # DEPENDENCYPART_ARC
(11,4),-2.26126 # DEPENDENCYPART_ARC
(11,5),-2.11158 # DEPENDENCYPART_ARC
(11,6),-1.40808 # DEPENDENCYPART_ARC
(11,7),-2.15191 # DEPENDENCYPART_ARC
(11,8),-1.41477 # DEPENDENCYPART_ARC
(11,9),-1.44724 # DEPENDENCYPART_ARC
(11,10),1.59383 # DEPENDENCYPART_ARC
(11,12),-0.227399 # DEPENDENCYPART_ARC
(11,13),-0.69432 # DEPENDENCYPART_ARC
(11,14),-1.12835 # DEPENDENCYPART_ARC
(11,15),-0.820322 # DEPENDENCYPART_ARC
(11,16),-0.512158 # DEPENDENCYPART_ARC
(11,17),-1.5077 # DEPENDENCYPART_ARC
(11,19),-1.94692 # DEPENDENCYPART_ARC
(11,20),-1.89719 # DEPENDENCYPART_ARC
(11,21),-1.90309 # DEPENDENCYPART_ARC
(11,23),-1.89413 # DEPENDENCYPART_ARC
(11,24),-0.898946 # DEPENDENCYPART_ARC
(12,13),-1.72911 # DEPENDENCYPART_ARC
(12,14),-2.30455 # DEPENDENCYPART_ARC
(13,12),-0.359398 # DEPENDENCYPART_ARC
(13,14),-1.42282 # DEPENDENCYPART_ARC
(13,16),-2.35789 # DEPENDENCYPART_ARC
(13,23),-3.70339 # DEPENDENCYPART_ARC
(14,12),-0.659635 # DEPENDENCYPART_ARC
(14,13),-0.528104 # DEPENDENCYPART_ARC
(14,15),-1.18175 # DEPENDENCYPART_ARC
(14,16),-2.21802 # DEPENDENCYPART_ARC
(14,23),-3.48733 # DEPENDENCYPART_ARC
(15,1),-4.09268 # DEPENDENCYPART_ARC
(15,2),-4.28721 # DEPENDENCYPART_ARC
(15,4),-3.25869 # DEPENDENCYPART_ARC
(15,5),-3.80586 # DEPENDENCYPART_ARC
(15,6),-2.99148 # DEPENDENCYPART_ARC
(15,7),-2.62548 # DEPENDENCYPART_ARC
(15,8),-2.75114 # DEPENDENCYPART_ARC
(15,10),-1.92583 # DEPENDENCYPART_ARC
(15,11),-1.4398 # DEPENDENCYPART_ARC
(15,12),0.570352 # DEPENDENCYPART_ARC
(15,13),0.73434 # DEPENDENCYPART_ARC
(15,14),1.44098 # DEPENDENCYPART_ARC
(15,16),-0.816912 # DEPENDENCYPART_ARC
(15,17),-1.66472 # DEPENDENCYPART_ARC
(15,19),-2.24474 # DEPENDENCYPART_ARC
(15,20),-2.31957 # DEPENDENCYPART_ARC
(15,23),-2.75129 # DEPENDENCYPART_ARC
(16,3),-1.88117 # DEPENDENCYPART_ARC
(16,5),-2.85036 # DEPENDENCYPART_ARC
(16,6),-2.56035 # DEPENDENCYPART_ARC
(16,12),-2.28519 # DEPENDENCYPART_ARC
(16,13),-1.94934 # DEPENDENCYPART_ARC
(16,14),-1.9254 # DEPENDENCYPART_ARC
(16,15),-1.26983 # DEPENDENCYPART_ARC
(16,17),1.96066 # DEPENDENCYPART_ARC
(16,18),-1.31 # DEPENDENCYPART_ARC
(16,19),-1.33856 # DEPENDENCYPART_ARC
(16,20),-1.50819 # DEPENDENCYPART_ARC
(16,21),-1.67736 # DEPENDENCYPART_ARC
(16,23),-1.68001 # DEPENDENCYPART_ARC
(17,3),-2.22446 # DEPENDENCYPART_ARC
(17,8),-2.54076 # DEPENDENCYPART_ARC
(17,13),-1.87524 # DEPENDENCYPART_ARC
(17,14),-1.60777 # DEPENDENCYPART_ARC
(17,15),-1.70702 # DEPENDENCYPART_ARC
(17,18),-0.741228 # DEPENDENCYPART_ARC
(17,19),-0.739666 # DEPENDENCYPART_ARC
(17,20),-0.986982 # DEPENDENCYPART_ARC
(17,21),-1.18091 # DEPENDENCYPART_ARC
(17,22),-1.23168 # DEPENDENCYPART_ARC
(17,23),-0.509529 # DEPENDENCYPART_ARC
(18,16),-2.21666 # DEPENDENCYPART_ARC
(18,19),-1.52963 # DEPENDENCYPART_ARC
(18,20),-2.19657 # DEPENDENCYPART_ARC
(19,18),-1.61286 # DEPENDENCYPART_ARC
(19,20),-1.65161 # DEPENDENCYPART_ARC
(19,21),-2.29687 # DEPENDENCYPART_ARC
(20,12),-3.72227 # DEPENDENCYPART_ARC
(20,18),-1.64449 # DEPENDENCYPART_ARC
(20,19),-0.971647 # DEPENDENCYPART_ARC
(20,21),-1.63446 # DEPENDENCYPART_ARC
(20,22),-1.99506 # DEPENDENCYPART_ARC
(21,1),-5.81492 # DEPENDENCYPART_ARC
(21,4),-4.97046 # DEPENDENCYPART_ARC
(21,12),-2.79457 # DEPENDENCYPART_ARC
(21,13),-3.04498 # DEPENDENCYPART_ARC
(21,14),-2.95227 # DEPENDENCYPART_ARC
(21,15),-2.9929 # DEPENDENCYPART_ARC
(21,18),-1.15149 # DEPENDENCYPART_ARC
(21,19),-0.427417 # DEPENDENCYPART_ARC
(21,20),0.052192 # DEPENDENCYPART_ARC
(21,22),0.143515 # DEPENDENCYPART_ARC
(21,23),-1.15187 # DEPENDENCYPART_ARC
(22,18),-2.53278 # DEPENDENCYPART_ARC
(22,19),-2.93095 # DEPENDENCYPART_ARC
(22,20),-2.58066 # DEPENDENCYPART_ARC
(22,21),-2.18797 # DEPENDENCYPART_ARC
(23,1),-4.22446 # DEPENDENCYPART_ARC
(23,2),-4.85063 # DEPENDENCYPART_ARC
(23,3),-1.94306 # DEPENDENCYPART_ARC
(23,4),-3.69049 # DEPENDENCYPART_ARC
(23,5),-3.88628 # DEPENDENCYPART_ARC
(23,7),-2.99914 # DEPENDENCYPART_ARC
(23,12),-1.80829 # DEPENDENCYPART_ARC
(23,13),-1.16061 # DEPENDENCYPART_ARC
(23,14),-1.20781 # DEPENDENCYPART_ARC
(23,15),-1.31992 # DEPENDENCYPART_ARC
(23,16),-2.21795 # DEPENDENCYPART_ARC
(23,18),1.28281 # DEPENDENCYPART_ARC
(23,19),0.533529 # DEPENDENCYPART_ARC
(23,20),0.786289 # DEPENDENCYPART_ARC
(23,21),1.3758 # DEPENDENCYPART_ARC
(23,22),2.0871 # DEPENDENCYPART_ARC
(0,1),(0,9),-1.16705 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.768423 # DEPENDENCYPART_SIBL
(0,9),(0,11),-1.91524 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.123766 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0819965 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.102366 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.120162 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0123764 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.120162 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0198198 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0218066 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00838812 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.12679 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0390732 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.0712568 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0466005 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0664538 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00850598 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0102288 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00850598 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0187308 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0159554 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0370094 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0621274 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0162226 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.256156 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0244813 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0522421 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0988299 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0522421 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0546189 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0712134 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0542076 # DEPENDENCYPART_SIBL
(1,4),(1,15),-4.28411e-05 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00716279 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0228695 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00652825 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.120543 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00652825 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0710487 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0877779 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0706392 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0217561 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.00804704 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0428274 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.697762 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0741346 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.288825 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0641219 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.466912 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.764461 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.116666 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.788389 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.196182 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0398567 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0564033 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0394472 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.00380659 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0231974 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.035083 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.288825 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0641219 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.466912 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.764461 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.116666 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.788389 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0351776 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.284691 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0563216 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0157551 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.079621 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0443392 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0430678 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0283655 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.00751028 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0429923 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0340842 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0955543 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.0108772 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.0257431 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.0262645 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.167176 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0530609 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.100683 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.151613 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0526375 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.151613 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.123306 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.156072 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.133835 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0441033 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0640099 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.19075 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00777414 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.19075 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0339618 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0387075 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0156868 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0351082 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.203511 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.109468 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.203511 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00881675 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0234196 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00840188 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.158279 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.130858 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.158279 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0249241 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0396617 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.024511 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.470925 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0902474 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.22393 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00533145 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.402024 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.347932 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00626729 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00828768 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00668039 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.22393 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00533145 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.402024 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.035477 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.286956 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0464674 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.838567 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0675604 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.868336 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0675604 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.404732 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.59092 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.839609 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.961178 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.079887 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.870571 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.079887 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.404393 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.590513 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.841844 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.962535 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.123085 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.156116 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0959446 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.456418 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.136717 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0959425 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00952512 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.404398 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.590608 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.844755 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.97625 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0959446 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.456418 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.136717 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0959425 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.551946 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.59037 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.769361 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.309424 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.54561 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.954359 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0264128 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0796887 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0571846 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0169453 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0961356 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0169453 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.000861803 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0650863 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0594542 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.132279 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.212774 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.132279 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0770664 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0556395 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.091779 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.110246 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.091779 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00382312 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0877639 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.132072 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0877639 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0885041 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.67796 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0684477 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.428162 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.10189 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0573121 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.428162 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0173906 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0878276 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.132329 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0943306 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0718776 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0943306 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0141465 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0403649 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0234693 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0454014 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0507838 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0353728 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0746051 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.10103 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.058163 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0732275 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.150769 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0548934 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.188516 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0548934 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0623095 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0247143 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0527352 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0712388 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0658575 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0812659 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.042036 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.226621 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0661733 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00873875 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0597589 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.111054 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0597589 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0188118 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0196558 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00320494 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0696823 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0675215 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0795931 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0609136 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.101764 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0518282 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.17475 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0448484 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.17475 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0417957 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0618998 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0511251 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0690681 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0744505 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0590394 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0982718 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0744141 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0732552 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.724527 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0883953 # DEPENDENCYPART_SIBL
