# _root_ Now the Journal , flush with ads and hugely profitable , is even with La Presse in weekend circulation and outsells it 3 to 2 every weekday .
#goldHeads=20,3,20,20,8,5,6,20,10,8,20,20,12,13,16,14,12,19,17,0,20,21,21,23,24,27,21,20,
#predictedHeads=20,3,12,3,8,5,6,3,10,8,3,20,12,12,16,14,16,19,17,0,20,23,21,21,24,27,25,20,
(13,19),-1.59651 # DEPENDENCYPART_ARC
(13,20),-0.809517 # DEPENDENCYPART_ARC
(13,21),-1.18678 # DEPENDENCYPART_ARC
(14,13),-0.032811 # DEPENDENCYPART_ARC
(14,15),-0.0634257 # DEPENDENCYPART_ARC
(14,16),-0.580892 # DEPENDENCYPART_ARC
(14,17),-1.59332 # DEPENDENCYPART_ARC
(14,18),-2.08691 # DEPENDENCYPART_ARC
(14,19),-1.87787 # DEPENDENCYPART_ARC
(14,20),-1.10035 # DEPENDENCYPART_ARC
(14,21),-0.972937 # DEPENDENCYPART_ARC
(14,24),-2.14853 # DEPENDENCYPART_ARC
(15,13),-2.18324 # DEPENDENCYPART_ARC
(15,16),-0.527401 # DEPENDENCYPART_ARC
(15,17),-1.15337 # DEPENDENCYPART_ARC
(15,19),-2.00294 # DEPENDENCYPART_ARC
(16,10),-2.97606 # DEPENDENCYPART_ARC
(16,11),-2.20393 # DEPENDENCYPART_ARC
(16,13),-1.53499 # DEPENDENCYPART_ARC
(16,14),-1.4957 # DEPENDENCYPART_ARC
(16,15),1.48777 # DEPENDENCYPART_ARC
(16,17),0.138668 # DEPENDENCYPART_ARC
(16,18),-1.18882 # DEPENDENCYPART_ARC
(16,19),-1.4468 # DEPENDENCYPART_ARC
(16,20),-1.03966 # DEPENDENCYPART_ARC
(16,21),-1.4146 # DEPENDENCYPART_ARC
(16,23),-2.13906 # DEPENDENCYPART_ARC
(16,27),-1.62887 # DEPENDENCYPART_ARC
(16,28),-1.49679 # DEPENDENCYPART_ARC
(17,18),0.118523 # DEPENDENCYPART_ARC
(17,19),-0.244501 # DEPENDENCYPART_ARC
(17,20),-1.47725 # DEPENDENCYPART_ARC
(17,21),-1.33182 # DEPENDENCYPART_ARC
(17,23),-2.25546 # DEPENDENCYPART_ARC
(17,24),-1.94753 # DEPENDENCYPART_ARC
(17,27),-2.85104 # DEPENDENCYPART_ARC
(18,21),-1.28166 # DEPENDENCYPART_ARC
(18,23),-2.07871 # DEPENDENCYPART_ARC
(18,24),-1.89113 # DEPENDENCYPART_ARC
(18,25),-2.16408 # DEPENDENCYPART_ARC
(19,10),-2.75465 # DEPENDENCYPART_ARC
(19,13),-1.52243 # DEPENDENCYPART_ARC
(19,14),-1.29507 # DEPENDENCYPART_ARC
(19,15),0.17509 # DEPENDENCYPART_ARC
(19,16),-0.599666 # DEPENDENCYPART_ARC
(19,17),-0.777153 # DEPENDENCYPART_ARC
(19,18),2.32791 # DEPENDENCYPART_ARC
(19,20),-0.605951 # DEPENDENCYPART_ARC
(19,21),-1.33942 # DEPENDENCYPART_ARC
(19,23),-2.04441 # DEPENDENCYPART_ARC
(19,24),-2.18679 # DEPENDENCYPART_ARC
(19,25),-2.20031 # DEPENDENCYPART_ARC
(19,27),-1.72625 # DEPENDENCYPART_ARC
(20,1),-0.689653 # DEPENDENCYPART_ARC
(20,2),-2.58342 # DEPENDENCYPART_ARC
(20,3),-0.897377 # DEPENDENCYPART_ARC
(20,4),-2.08626 # DEPENDENCYPART_ARC
(20,5),-2.23694 # DEPENDENCYPART_ARC
(20,6),-1.18288 # DEPENDENCYPART_ARC
(20,7),-1.65471 # DEPENDENCYPART_ARC
(20,8),-0.707624 # DEPENDENCYPART_ARC
(20,9),-1.18793 # DEPENDENCYPART_ARC
(20,10),-1.84445 # DEPENDENCYPART_ARC
(20,11),-1.24241 # DEPENDENCYPART_ARC
(20,12),0.753465 # DEPENDENCYPART_ARC
(20,13),-0.809288 # DEPENDENCYPART_ARC
(20,14),-0.499308 # DEPENDENCYPART_ARC
(20,15),-0.30861 # DEPENDENCYPART_ARC
(20,16),-0.292245 # DEPENDENCYPART_ARC
(20,17),-0.341083 # DEPENDENCYPART_ARC
(20,18),0.0352256 # DEPENDENCYPART_ARC
(20,19),0.441439 # DEPENDENCYPART_ARC
(20,21),1.39605 # DEPENDENCYPART_ARC
(20,22),-0.97287 # DEPENDENCYPART_ARC
(20,23),-1.66083 # DEPENDENCYPART_ARC
(20,24),-1.5604 # DEPENDENCYPART_ARC
(20,25),-1.88856 # DEPENDENCYPART_ARC
(20,26),-1.63746 # DEPENDENCYPART_ARC
(20,27),-1.37041 # DEPENDENCYPART_ARC
(20,28),-0.0512873 # DEPENDENCYPART_ARC
(21,1),-2.00277 # DEPENDENCYPART_ARC
(21,3),-1.77829 # DEPENDENCYPART_ARC
(21,4),-3.06485 # DEPENDENCYPART_ARC
(21,9),-2.7321 # DEPENDENCYPART_ARC
(21,13),-1.94175 # DEPENDENCYPART_ARC
(21,14),-1.1192 # DEPENDENCYPART_ARC
(21,15),-1.35767 # DEPENDENCYPART_ARC
(21,16),-1.24336 # DEPENDENCYPART_ARC
(21,17),-1.15822 # DEPENDENCYPART_ARC
(21,18),-1.14678 # DEPENDENCYPART_ARC
(21,19),-1.06684 # DEPENDENCYPART_ARC
(21,20),-0.314253 # DEPENDENCYPART_ARC
(21,22),0.259299 # DEPENDENCYPART_ARC
(21,23),-0.690154 # DEPENDENCYPART_ARC
(21,24),-0.684355 # DEPENDENCYPART_ARC
(21,25),-1.44073 # DEPENDENCYPART_ARC
(21,27),-0.873009 # DEPENDENCYPART_ARC
(21,28),-0.544097 # DEPENDENCYPART_ARC
(22,27),-1.51382 # DEPENDENCYPART_ARC
(23,19),-1.40423 # DEPENDENCYPART_ARC
(23,22),0.0282066 # DEPENDENCYPART_ARC
(23,24),-0.22414 # DEPENDENCYPART_ARC
(23,25),-1.34797 # DEPENDENCYPART_ARC
(23,27),-1.43991 # DEPENDENCYPART_ARC
(24,23),-0.18575 # DEPENDENCYPART_ARC
(24,25),-0.101115 # DEPENDENCYPART_ARC
(24,27),-1.22387 # DEPENDENCYPART_ARC
(24,28),-1.07829 # DEPENDENCYPART_ARC
(25,17),-1.18325 # DEPENDENCYPART_ARC
(25,23),-0.684776 # DEPENDENCYPART_ARC
(25,24),0.0714792 # DEPENDENCYPART_ARC
(25,26),-0.104664 # DEPENDENCYPART_ARC
(25,27),-0.845213 # DEPENDENCYPART_ARC
(25,28),-1.08092 # DEPENDENCYPART_ARC
(27,22),-1.30106 # DEPENDENCYPART_ARC
(27,23),-1.38992 # DEPENDENCYPART_ARC
(27,24),-1.68476 # DEPENDENCYPART_ARC
(27,25),-0.694865 # DEPENDENCYPART_ARC
(27,26),1.23616 # DEPENDENCYPART_ARC
(27,28),-0.300817 # DEPENDENCYPART_ARC
(28,27),-0.615726 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.023672 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0087078 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0775001 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.11788 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.023672 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0775001 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.105416 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.02188 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.10513 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.124773 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.058396 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.10513 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.122443 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0607098 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.102138 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0143849 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0607098 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0822572 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.155598 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0594778 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.118933 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.152851 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0907038 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.203365 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.252492 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.10513 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.123552 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.152851 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0210335 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0136758 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0476306 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0269207 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0210335 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00638331 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0262099 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0272042 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0180404 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0529141 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00830099 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.03807 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0464227 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0139561 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.014625 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0409978 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00832905 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0297141 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0207516 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0203817 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0342671 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0442725 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0144538 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0161346 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0209063 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.055106 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00404558 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00531885 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0351002 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0119663 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0482312 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0174843 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0130148 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0309494 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0114484 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0712345 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.019058 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0200442 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0558495 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0477842 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0075496 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0297715 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.01213 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0164654 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0225706 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0252772 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0157127 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00283946 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0113246 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0164654 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0162917 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0033735 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0252772 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.00283946 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0696895 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0234039 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0661296 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.286351 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0227621 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.025088 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00196309 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0234039 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.147719 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0350761 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.286351 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.025088 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0922357 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0646602 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0790952 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.103594 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0456486 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0446107 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0888711 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0776367 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0278514 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0790952 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0456486 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0375437 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0234696 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00923884 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0321196 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0219078 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0199967 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0178806 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0180492 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0234696 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0321196 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.00657716 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00664032 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0462753 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0193866 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0286789 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0437506 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0243475 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.00757271 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0462753 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0119134 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0395542 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00421873 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0310365 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0144324 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00653315 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00294019 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0395542 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.026929 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0171321 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0293969 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00602249 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0170842 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.00388819 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0324912 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.00422003 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0122381 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.022412 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0071389 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0133431 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00312443 # DEPENDENCYPART_SIBL
(3,9),(3,28),0.0109923 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0776367 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0278514 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0790952 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0456486 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.0375437 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0194166 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0569864 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0534729 # DEPENDENCYPART_SIBL
(3,12),(3,28),0.0357314 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.00654966 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.014302 # DEPENDENCYPART_SIBL
(3,13),(3,28),0.0269305 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0462753 # DEPENDENCYPART_SIBL
(3,14),(3,28),-0.0119134 # DEPENDENCYPART_SIBL
(3,20),(3,28),0.00422003 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0550577 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0301079 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.105707 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0115553 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0113367 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00702785 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0308178 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0486534 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0829999 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.10377 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0115553 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0326996 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0207551 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0400807 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.105723 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.105082 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.075884 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.127295 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0581095 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.279748 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.165428 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.105723 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.0513215 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.21339 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0271652 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0140186 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0190986 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0184346 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0554005 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0269536 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00104033 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0271652 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0100259 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0061264 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0019599 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00499822 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.029923 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0512945 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.450047 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0151505 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0061264 # DEPENDENCYPART_SIBL
(5,4),(5,28),-0.00575993 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0450936 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0208106 # DEPENDENCYPART_SIBL
