# _root_ While some assets have been written down , others are undervalued in the accounts , Mr. Bond maintained .
#goldHeads=4,3,4,10,4,5,6,10,10,18,10,11,14,12,18,17,18,0,18,
#predictedHeads=4,3,4,10,4,5,6,10,10,18,10,11,14,12,18,17,18,0,18,
(4,19),-1.07061 # DEPENDENCYPART_ARC
(5,1),-0.967282 # DEPENDENCYPART_ARC
(5,2),-1.609 # DEPENDENCYPART_ARC
(5,3),-1.14941 # DEPENDENCYPART_ARC
(5,4),-0.845417 # DEPENDENCYPART_ARC
(5,6),1.06529 # DEPENDENCYPART_ARC
(5,7),-0.654766 # DEPENDENCYPART_ARC
(5,8),-1.19415 # DEPENDENCYPART_ARC
(5,9),-1.92051 # DEPENDENCYPART_ARC
(5,10),-1.73016 # DEPENDENCYPART_ARC
(5,11),-1.44695 # DEPENDENCYPART_ARC
(5,12),-1.74258 # DEPENDENCYPART_ARC
(5,15),-1.80007 # DEPENDENCYPART_ARC
(5,18),-1.51145 # DEPENDENCYPART_ARC
(5,19),-1.6913 # DEPENDENCYPART_ARC
(6,1),-0.903341 # DEPENDENCYPART_ARC
(6,2),-1.38107 # DEPENDENCYPART_ARC
(6,3),-1.12329 # DEPENDENCYPART_ARC
(6,7),0.718121 # DEPENDENCYPART_ARC
(6,8),-0.550135 # DEPENDENCYPART_ARC
(6,9),-1.23884 # DEPENDENCYPART_ARC
(6,10),-1.24031 # DEPENDENCYPART_ARC
(6,11),-1.48948 # DEPENDENCYPART_ARC
(6,12),-1.58822 # DEPENDENCYPART_ARC
(6,14),-2.07727 # DEPENDENCYPART_ARC
(6,15),-1.65532 # DEPENDENCYPART_ARC
(6,18),-1.31412 # DEPENDENCYPART_ARC
(6,19),-1.34735 # DEPENDENCYPART_ARC
(7,1),-0.627364 # DEPENDENCYPART_ARC
(7,9),-1.36655 # DEPENDENCYPART_ARC
(9,2),-2.19721 # DEPENDENCYPART_ARC
(9,3),-2.281 # DEPENDENCYPART_ARC
(9,5),-1.62518 # DEPENDENCYPART_ARC
(9,6),-1.3718 # DEPENDENCYPART_ARC
(9,8),0.169683 # DEPENDENCYPART_ARC
(9,10),-0.206831 # DEPENDENCYPART_ARC
(9,11),-1.08614 # DEPENDENCYPART_ARC
(9,12),-0.992161 # DEPENDENCYPART_ARC
(9,14),-1.50219 # DEPENDENCYPART_ARC
(9,15),-1.3872 # DEPENDENCYPART_ARC
(10,1),-0.936378 # DEPENDENCYPART_ARC
(10,2),-1.83582 # DEPENDENCYPART_ARC
(10,3),-1.72734 # DEPENDENCYPART_ARC
(10,4),-1.45168 # DEPENDENCYPART_ARC
(10,5),-1.40736 # DEPENDENCYPART_ARC
(10,6),-1.15678 # DEPENDENCYPART_ARC
(10,8),-0.0547897 # DEPENDENCYPART_ARC
(10,9),1.09341 # DEPENDENCYPART_ARC
(10,11),1.46369 # DEPENDENCYPART_ARC
(10,12),-0.539161 # DEPENDENCYPART_ARC
(10,13),-1.05359 # DEPENDENCYPART_ARC
(10,14),-1.16291 # DEPENDENCYPART_ARC
(10,15),-1.51957 # DEPENDENCYPART_ARC
(10,18),-1.99886 # DEPENDENCYPART_ARC
(10,19),-0.956039 # DEPENDENCYPART_ARC
(11,1),-1.9397 # DEPENDENCYPART_ARC
(11,3),-2.91353 # DEPENDENCYPART_ARC
(11,8),-1.52267 # DEPENDENCYPART_ARC
(11,9),-1.20751 # DEPENDENCYPART_ARC
(11,10),-0.861896 # DEPENDENCYPART_ARC
(11,12),0.883571 # DEPENDENCYPART_ARC
(11,13),-0.833254 # DEPENDENCYPART_ARC
(11,14),-0.79521 # DEPENDENCYPART_ARC
(11,15),-1.11523 # DEPENDENCYPART_ARC
(11,17),-2.08113 # DEPENDENCYPART_ARC
(11,18),-1.57911 # DEPENDENCYPART_ARC
(11,19),-1.46859 # DEPENDENCYPART_ARC
(12,9),-1.25509 # DEPENDENCYPART_ARC
(12,11),-0.215628 # DEPENDENCYPART_ARC
(12,13),0.0715015 # DEPENDENCYPART_ARC
(12,14),0.155093 # DEPENDENCYPART_ARC
(12,15),-0.953971 # DEPENDENCYPART_ARC
(12,16),-1.933 # DEPENDENCYPART_ARC
(12,17),-2.01755 # DEPENDENCYPART_ARC
(12,18),-2.05066 # DEPENDENCYPART_ARC
(13,14),-0.419409 # DEPENDENCYPART_ARC
(14,12),-0.95944 # DEPENDENCYPART_ARC
(14,13),0.990531 # DEPENDENCYPART_ARC
(14,15),-0.00552886 # DEPENDENCYPART_ARC
(14,16),-1.16156 # DEPENDENCYPART_ARC
(14,17),-1.68909 # DEPENDENCYPART_ARC
(14,18),-1.69082 # DEPENDENCYPART_ARC
(14,19),-2.05711 # DEPENDENCYPART_ARC
(16,13),-2.21904 # DEPENDENCYPART_ARC
(16,14),-2.07763 # DEPENDENCYPART_ARC
(16,17),-0.716418 # DEPENDENCYPART_ARC
(16,18),-0.954681 # DEPENDENCYPART_ARC
(17,13),-1.22802 # DEPENDENCYPART_ARC
(17,14),-1.8371 # DEPENDENCYPART_ARC
(17,15),-1.33856 # DEPENDENCYPART_ARC
(17,16),1.45304 # DEPENDENCYPART_ARC
(17,18),-0.395551 # DEPENDENCYPART_ARC
(17,19),-1.44485 # DEPENDENCYPART_ARC
(18,1),-1.00757 # DEPENDENCYPART_ARC
(18,2),-1.45684 # DEPENDENCYPART_ARC
(18,3),-1.05876 # DEPENDENCYPART_ARC
(18,4),-1.49621 # DEPENDENCYPART_ARC
(18,5),-1.31167 # DEPENDENCYPART_ARC
(18,6),-1.11866 # DEPENDENCYPART_ARC
(18,8),-1.55272 # DEPENDENCYPART_ARC
(18,9),-1.49526 # DEPENDENCYPART_ARC
(18,10),-1.13491 # DEPENDENCYPART_ARC
(18,11),-1.03476 # DEPENDENCYPART_ARC
(18,12),-0.757221 # DEPENDENCYPART_ARC
(18,13),-1.4215 # DEPENDENCYPART_ARC
(18,14),-1.49775 # DEPENDENCYPART_ARC
(18,15),-0.378105 # DEPENDENCYPART_ARC
(18,16),-0.182379 # DEPENDENCYPART_ARC
(18,17),1.05087 # DEPENDENCYPART_ARC
(18,19),0.968148 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0211154 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.113069 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.10926 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.110559 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.122851 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.111992 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.112628 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.113304 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0989863 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.100352 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.105377 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.105064 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.102897 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.168306 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.167371 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.167416 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.16737 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.167401 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.172341 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.168471 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.172341 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.172371 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.163926 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.164406 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.164437 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.177201 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.177231 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.164306 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0334638 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0219949 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00125105 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0163391 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0351932 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0135585 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0168633 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.109714 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00765066 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0175282 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0210924 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0372357 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0367522 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.033992 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0440649 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0377264 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.000583226 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0145086 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0131428 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0430556 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00864106 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000849057 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0017847 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.13352 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00261973 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00433877 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.123106 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.000411677 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.11641 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00495701 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0506119 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00246614 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0146061 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0355425 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00158055 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0218124 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00132563 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0457055 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.036232 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0553853 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0254793 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0463425 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0830255 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0374773 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00759279 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00258527 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0994844 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0010107 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.00035251 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.022004 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0462149 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0195556 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0115169 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0386793 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0154666 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0144273 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0178663 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.00145902 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0356021 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0535856 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0325873 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0201119 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00750387 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0122332 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.109548 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0367185 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00881704 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0141571 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.109548 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0133052 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.126945 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0169368 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0377501 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0393922 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00129662 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0405983 # DEPENDENCYPART_SIBL
(4,2),(4,9),-1.42653e-05 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0472331 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.029239 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0405983 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0316287 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0728801 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00960046 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0143735 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00203745 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0132409 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00600481 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00467697 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0131974 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0132409 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0107673 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0192877 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0335195 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.017867 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0843246 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00340392 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0170659 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0321245 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0843246 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0340971 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0602196 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0602018 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00466779 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0448534 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0448676 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0531458 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00466779 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0551184 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.00264082 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0301949 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0424532 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0264381 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0281173 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0301949 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0261873 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0979718 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0259919 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0308772 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00418885 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00815973 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00576658 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.00220374 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.029572 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0488827 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00706174 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0487292 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.00389183 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.071012 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00533625 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0729846 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0356951 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.00890296 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0522064 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0145626 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00576658 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.00220374 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0218596 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0373111 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0457892 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00924511 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.013646 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00681526 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0961419 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0141283 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00785128 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0198175 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00432171 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0961419 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0189656 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.117962 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0176005 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0292039 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0480046 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00522334 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0579194 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0241163 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0647101 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0383745 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0716349 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0579194 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0407641 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0815237 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0051813 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00555312 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00253737 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0134684 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0356131 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0258851 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00418181 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0184303 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0134684 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00175172 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0218606 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.047412 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0314933 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0173536 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0377246 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.061454 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0554444 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0147373 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0173536 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0584251 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.139293 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0694843 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0163905 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.039087 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0796939 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0715305 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0179214 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0163905 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0735031 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0172365 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0602716 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0783054 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0172619 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0317294 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.076755 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0602716 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0297994 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0851056 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0376882 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.000571381 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0419473 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.115007 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0699424 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0403696 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0387326 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0602087 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0636187 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0130575 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00102254 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0634652 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0430978 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.100208 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0528837 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.037024 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.102181 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.00406551 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0176135 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0307186 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0713485 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.00682948 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0191674 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0428664 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0176175 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0403696 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0387326 # DEPENDENCYPART_SIBL
(5,18),(5,19),0.000467523 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0389127 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0488723 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00275298 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0955847 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0250611 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0108487 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0228132 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0126697 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0410935 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0955847 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0219614 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.131342 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0168341 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.000601079 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0535662 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0189704 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.070538 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0442035 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0826715 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00341469 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0535662 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0465932 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0654155 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00688846 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0136599 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0236878 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0275483 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0025173 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00492388 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0165333 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0136599 # DEPENDENCYPART_SIBL
(6,3),(6,18),8.72106e-05 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0149567 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.059752 # DEPENDENCYPART_SIBL
