# _root_ Burmah , which owns the Castrol brand of lubricant oils , reported a 17 % rise in net income to # 43.5 million ( $ 68.3 million ) in the first half .
#goldHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
#predictedHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
(12,18),-1.96262 # DEPENDENCYPART_ARC
(12,19),-1.09843 # DEPENDENCYPART_ARC
(12,20),-0.746349 # DEPENDENCYPART_ARC
(12,21),-1.51056 # DEPENDENCYPART_ARC
(12,24),-1.78548 # DEPENDENCYPART_ARC
(12,28),-0.857312 # DEPENDENCYPART_ARC
(12,29),-1.24471 # DEPENDENCYPART_ARC
(12,32),-2.1475 # DEPENDENCYPART_ARC
(12,33),1.48818 # DEPENDENCYPART_ARC
(13,14),-0.536663 # DEPENDENCYPART_ARC
(13,15),-1.40426 # DEPENDENCYPART_ARC
(14,8),-2.25737 # DEPENDENCYPART_ARC
(14,11),-2.32387 # DEPENDENCYPART_ARC
(14,13),-0.819033 # DEPENDENCYPART_ARC
(14,15),-0.848998 # DEPENDENCYPART_ARC
(14,16),-1.74425 # DEPENDENCYPART_ARC
(14,19),-2.27724 # DEPENDENCYPART_ARC
(15,13),-0.82599 # DEPENDENCYPART_ARC
(15,14),0.730015 # DEPENDENCYPART_ARC
(15,16),-1.14725 # DEPENDENCYPART_ARC
(15,17),-1.73316 # DEPENDENCYPART_ARC
(15,19),-2.30099 # DEPENDENCYPART_ARC
(16,7),-2.83093 # DEPENDENCYPART_ARC
(16,8),-2.10056 # DEPENDENCYPART_ARC
(16,9),-1.77087 # DEPENDENCYPART_ARC
(16,10),-1.55153 # DEPENDENCYPART_ARC
(16,11),-1.95939 # DEPENDENCYPART_ARC
(16,13),1.22973 # DEPENDENCYPART_ARC
(16,14),0.0575169 # DEPENDENCYPART_ARC
(16,15),1.33529 # DEPENDENCYPART_ARC
(16,17),0.342981 # DEPENDENCYPART_ARC
(16,18),-1.17568 # DEPENDENCYPART_ARC
(16,19),-1.00348 # DEPENDENCYPART_ARC
(16,20),-0.966124 # DEPENDENCYPART_ARC
(16,21),-1.62662 # DEPENDENCYPART_ARC
(16,22),-2.15801 # DEPENDENCYPART_ARC
(16,23),-2.30553 # DEPENDENCYPART_ARC
(16,25),-2.23536 # DEPENDENCYPART_ARC
(16,28),-1.76017 # DEPENDENCYPART_ARC
(16,29),-1.58247 # DEPENDENCYPART_ARC
(16,32),-2.46183 # DEPENDENCYPART_ARC
(16,33),-2.28744 # DEPENDENCYPART_ARC
(17,16),-1.55757 # DEPENDENCYPART_ARC
(17,18),-0.491721 # DEPENDENCYPART_ARC
(17,19),1.07696 # DEPENDENCYPART_ARC
(17,20),-1.35449 # DEPENDENCYPART_ARC
(17,21),-1.62401 # DEPENDENCYPART_ARC
(17,22),-2.11787 # DEPENDENCYPART_ARC
(17,23),-2.41341 # DEPENDENCYPART_ARC
(17,25),-3.12198 # DEPENDENCYPART_ARC
(18,20),-1.19358 # DEPENDENCYPART_ARC
(19,13),-1.42263 # DEPENDENCYPART_ARC
(19,14),-1.71529 # DEPENDENCYPART_ARC
(19,15),-1.10951 # DEPENDENCYPART_ARC
(19,16),-1.36324 # DEPENDENCYPART_ARC
(19,17),-1.25925 # DEPENDENCYPART_ARC
(19,18),1.26995 # DEPENDENCYPART_ARC
(19,20),-0.341803 # DEPENDENCYPART_ARC
(19,21),-1.23925 # DEPENDENCYPART_ARC
(19,22),-1.52685 # DEPENDENCYPART_ARC
(19,23),-1.80979 # DEPENDENCYPART_ARC
(19,25),-1.97343 # DEPENDENCYPART_ARC
(19,28),-1.72069 # DEPENDENCYPART_ARC
(19,29),-1.18575 # DEPENDENCYPART_ARC
(19,32),-2.25879 # DEPENDENCYPART_ARC
(20,1),-3.20195 # DEPENDENCYPART_ARC
(20,17),-1.30738 # DEPENDENCYPART_ARC
(20,18),-1.94909 # DEPENDENCYPART_ARC
(20,19),-1.42034 # DEPENDENCYPART_ARC
(20,21),0.27035 # DEPENDENCYPART_ARC
(20,22),-0.875606 # DEPENDENCYPART_ARC
(20,23),-1.69541 # DEPENDENCYPART_ARC
(20,24),-1.58749 # DEPENDENCYPART_ARC
(20,25),-1.75957 # DEPENDENCYPART_ARC
(20,29),-1.36111 # DEPENDENCYPART_ARC
(20,32),-2.22452 # DEPENDENCYPART_ARC
(21,1),-3.39983 # DEPENDENCYPART_ARC
(21,18),-1.93458 # DEPENDENCYPART_ARC
(21,19),-1.75694 # DEPENDENCYPART_ARC
(21,20),-1.11015 # DEPENDENCYPART_ARC
(21,22),1.53678 # DEPENDENCYPART_ARC
(21,23),0.558413 # DEPENDENCYPART_ARC
(21,24),-1.09522 # DEPENDENCYPART_ARC
(21,25),-0.711552 # DEPENDENCYPART_ARC
(21,26),-0.572926 # DEPENDENCYPART_ARC
(21,27),-1.02644 # DEPENDENCYPART_ARC
(21,28),-0.969779 # DEPENDENCYPART_ARC
(21,29),-1.0791 # DEPENDENCYPART_ARC
(21,32),-1.64933 # DEPENDENCYPART_ARC
(21,33),-1.61062 # DEPENDENCYPART_ARC
(22,23),-1.14916 # DEPENDENCYPART_ARC
(22,24),-1.81949 # DEPENDENCYPART_ARC
(22,25),-1.80427 # DEPENDENCYPART_ARC
(23,8),-2.12472 # DEPENDENCYPART_ARC
(23,14),-2.48706 # DEPENDENCYPART_ARC
(23,17),-1.80125 # DEPENDENCYPART_ARC
(23,18),-1.95202 # DEPENDENCYPART_ARC
(23,20),-1.75135 # DEPENDENCYPART_ARC
(23,22),0.421966 # DEPENDENCYPART_ARC
(23,24),-1.06009 # DEPENDENCYPART_ARC
(23,25),-1.36896 # DEPENDENCYPART_ARC
(23,32),-2.22369 # DEPENDENCYPART_ARC
(24,22),-2.19758 # DEPENDENCYPART_ARC
(24,23),-1.50188 # DEPENDENCYPART_ARC
(24,25),-1.1449 # DEPENDENCYPART_ARC
(24,27),-2.37489 # DEPENDENCYPART_ARC
(24,28),-0.973277 # DEPENDENCYPART_ARC
(24,29),-2.26404 # DEPENDENCYPART_ARC
(24,32),-2.85842 # DEPENDENCYPART_ARC
(25,17),-2.13651 # DEPENDENCYPART_ARC
(25,21),-1.74975 # DEPENDENCYPART_ARC
(25,22),-2.08362 # DEPENDENCYPART_ARC
(25,23),-1.67284 # DEPENDENCYPART_ARC
(25,24),0.437077 # DEPENDENCYPART_ARC
(25,26),1.81454 # DEPENDENCYPART_ARC
(25,27),1.40198 # DEPENDENCYPART_ARC
(25,28),-0.355741 # DEPENDENCYPART_ARC
(25,29),-0.982396 # DEPENDENCYPART_ARC
(25,30),-1.97456 # DEPENDENCYPART_ARC
(25,31),-1.33296 # DEPENDENCYPART_ARC
(25,32),-2.10475 # DEPENDENCYPART_ARC
(26,23),-2.51772 # DEPENDENCYPART_ARC
(26,24),-2.13133 # DEPENDENCYPART_ARC
(26,27),-0.954939 # DEPENDENCYPART_ARC
(27,22),-1.61656 # DEPENDENCYPART_ARC
(27,23),-1.78629 # DEPENDENCYPART_ARC
(27,24),-1.58452 # DEPENDENCYPART_ARC
(27,26),0.224402 # DEPENDENCYPART_ARC
(27,28),-1.40608 # DEPENDENCYPART_ARC
(28,27),-1.87647 # DEPENDENCYPART_ARC
(28,29),-1.6107 # DEPENDENCYPART_ARC
(28,32),-2.67657 # DEPENDENCYPART_ARC
(29,24),-1.90439 # DEPENDENCYPART_ARC
(29,25),-1.67645 # DEPENDENCYPART_ARC
(29,28),-1.37887 # DEPENDENCYPART_ARC
(29,30),-1.26334 # DEPENDENCYPART_ARC
(29,31),-0.768749 # DEPENDENCYPART_ARC
(29,32),0.76951 # DEPENDENCYPART_ARC
(31,30),-0.562851 # DEPENDENCYPART_ARC
(32,13),-2.45125 # DEPENDENCYPART_ARC
(32,21),-1.61642 # DEPENDENCYPART_ARC
(32,24),-1.88112 # DEPENDENCYPART_ARC
(32,25),-1.41497 # DEPENDENCYPART_ARC
(32,27),-1.7027 # DEPENDENCYPART_ARC
(32,28),-1.56668 # DEPENDENCYPART_ARC
(32,30),1.43492 # DEPENDENCYPART_ARC
(32,31),1.92171 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.63467 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.777075 # DEPENDENCYPART_SIBL
(0,4),(0,12),-1.4006 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0063285 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.526784 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.704136 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.630676 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.34844 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.337275 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.391201 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.08065 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.430458 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.561491 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.671676 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.202129 # DEPENDENCYPART_SIBL
(1,2),(1,33),0.00557213 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0386382 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0160948 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.151563 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0716158 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0516124 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0743136 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0495081 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0630459 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0162498 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.142372 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0563144 # DEPENDENCYPART_SIBL
(1,3),(1,33),-0.0778137 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0233017 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0616069 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0423041 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0199837 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00509073 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.299073 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.133097 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0435059 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0524639 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0018688 # DEPENDENCYPART_SIBL
(1,4),(1,33),0.172868 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0785119 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.027905 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0409694 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.040476 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0078138 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0900448 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0233575 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0614828 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0399444 # DEPENDENCYPART_SIBL
(1,6),(1,33),0.00565068 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0283929 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0260665 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.103075 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.226487 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0705438 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0363221 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.2775 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0388044 # DEPENDENCYPART_SIBL
(1,7),(1,33),0.0863944 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0614148 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.145397 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0121328 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0372529 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0648956 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.205969 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.00794628 # DEPENDENCYPART_SIBL
(1,8),(1,33),-0.020456 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0370251 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0444018 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0652744 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.00790932 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0852423 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0447619 # DEPENDENCYPART_SIBL
(1,9),(1,33),0.030861 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.057301 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.105529 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0376605 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.109445 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.0522417 # DEPENDENCYPART_SIBL
(1,10),(1,33),0.0878841 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.430458 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.561491 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.671676 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.202129 # DEPENDENCYPART_SIBL
(1,11),(1,33),0.00557213 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0371496 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.131936 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.0495118 # DEPENDENCYPART_SIBL
(1,12),(1,33),0.0417627 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0560322 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0502018 # DEPENDENCYPART_SIBL
(1,14),(1,33),-0.0702811 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.0408289 # DEPENDENCYPART_SIBL
(1,16),(1,33),0.078582 # DEPENDENCYPART_SIBL
(1,21),(1,33),0.0275533 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0255337 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0627495 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0170066 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00835509 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00714315 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.023371 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.057259 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0115184 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.303105 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0873531 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0240675 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00813953 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.135543 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0365379 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0325177 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0288459 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00378611 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0133179 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00436473 # DEPENDENCYPART_SIBL
(4,1),(4,19),2.23335e-05 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0496006 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0142163 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.00563191 # DEPENDENCYPART_SIBL
(4,1),(4,29),-0.00436473 # DEPENDENCYPART_SIBL
(4,1),(4,33),0.0400803 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.166722 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.103137 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0590235 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0243121 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.153909 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0291719 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00832281 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0557547 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0717989 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.020513 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.040042 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.00262077 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0420955 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0244622 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.0471301 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.040042 # DEPENDENCYPART_SIBL
(4,2),(4,33),0.0911448 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0262307 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.165532 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.175512 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0684706 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.139188 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.219624 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0678261 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0443873 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.189007 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.104421 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.178436 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.192644 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0664322 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0595439 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.104421 # DEPENDENCYPART_SIBL
(4,3),(4,33),-0.481165 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.203916 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.209464 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.161558 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0812762 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.14743 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.100712 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.111766 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.210761 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.205755 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.211209 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.119719 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0685558 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0078625 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.205755 # DEPENDENCYPART_SIBL
(4,5),(4,33),-0.148987 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.17013 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0120808 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00936586 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.192977 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00438424 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0881587 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.165428 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0661929 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.168988 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0285126 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0210143 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.0801085 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0661929 # DEPENDENCYPART_SIBL
(4,6),(4,33),-0.0167962 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0672694 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0022109 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.242352 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0490334 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0621545 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.203791 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.112193 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.234914 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0377312 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0122756 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.0883506 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.112193 # DEPENDENCYPART_SIBL
(4,7),(4,33),0.0658701 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.116919 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.112059 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0617047 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.258788 # DEPENDENCYPART_SIBL
