# _root_ `` All this may not be obvious to the public , which is concerned about advances in treatment , but I am convinced this basic research will begin showing results there soon . ''
#goldHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,29,20,20,
#predictedHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,31,20,20,
(7,5),-1.24659 # DEPENDENCYPART_ARC
(7,6),-0.191499 # DEPENDENCYPART_ARC
(7,8),0.236304 # DEPENDENCYPART_ARC
(7,10),-1.23194 # DEPENDENCYPART_ARC
(7,11),-1.24958 # DEPENDENCYPART_ARC
(7,13),-1.55143 # DEPENDENCYPART_ARC
(7,14),-1.82075 # DEPENDENCYPART_ARC
(7,15),-1.96283 # DEPENDENCYPART_ARC
(7,27),-1.34912 # DEPENDENCYPART_ARC
(8,7),-0.271518 # DEPENDENCYPART_ARC
(8,9),0.108829 # DEPENDENCYPART_ARC
(8,10),-0.199083 # DEPENDENCYPART_ARC
(8,11),-0.858085 # DEPENDENCYPART_ARC
(8,16),-2.51608 # DEPENDENCYPART_ARC
(10,1),-1.72712 # DEPENDENCYPART_ARC
(10,2),-2.67773 # DEPENDENCYPART_ARC
(10,3),-2.4249 # DEPENDENCYPART_ARC
(10,5),-1.45895 # DEPENDENCYPART_ARC
(10,7),-1.3196 # DEPENDENCYPART_ARC
(10,8),-1.03023 # DEPENDENCYPART_ARC
(10,9),1.21823 # DEPENDENCYPART_ARC
(10,11),0.131983 # DEPENDENCYPART_ARC
(10,13),-1.10459 # DEPENDENCYPART_ARC
(10,14),-1.82131 # DEPENDENCYPART_ARC
(10,15),-1.82139 # DEPENDENCYPART_ARC
(10,16),-1.75746 # DEPENDENCYPART_ARC
(10,17),-2.1111 # DEPENDENCYPART_ARC
(10,18),-1.84113 # DEPENDENCYPART_ARC
(10,19),-1.46814 # DEPENDENCYPART_ARC
(10,20),-1.35688 # DEPENDENCYPART_ARC
(10,22),-1.87834 # DEPENDENCYPART_ARC
(10,23),-1.95425 # DEPENDENCYPART_ARC
(10,24),-1.57637 # DEPENDENCYPART_ARC
(10,31),-1.58483 # DEPENDENCYPART_ARC
(10,32),-1.5639 # DEPENDENCYPART_ARC
(13,1),-1.84121 # DEPENDENCYPART_ARC
(13,2),-2.62393 # DEPENDENCYPART_ARC
(13,3),-2.59441 # DEPENDENCYPART_ARC
(13,4),-2.13166 # DEPENDENCYPART_ARC
(13,5),-2.49097 # DEPENDENCYPART_ARC
(13,6),-1.81301 # DEPENDENCYPART_ARC
(13,7),-2.23355 # DEPENDENCYPART_ARC
(13,8),-2.02403 # DEPENDENCYPART_ARC
(13,10),-2.18014 # DEPENDENCYPART_ARC
(13,11),-1.14516 # DEPENDENCYPART_ARC
(13,12),0.365335 # DEPENDENCYPART_ARC
(13,14),1.16699 # DEPENDENCYPART_ARC
(13,15),-1.14753 # DEPENDENCYPART_ARC
(13,16),-1.32228 # DEPENDENCYPART_ARC
(13,17),-1.45502 # DEPENDENCYPART_ARC
(13,18),-1.94298 # DEPENDENCYPART_ARC
(13,19),-1.7213 # DEPENDENCYPART_ARC
(13,20),-1.70266 # DEPENDENCYPART_ARC
(13,22),-2.37234 # DEPENDENCYPART_ARC
(13,23),-2.04326 # DEPENDENCYPART_ARC
(13,33),-2.16676 # DEPENDENCYPART_ARC
(13,34),-0.487423 # DEPENDENCYPART_ARC
(14,11),-2.12166 # DEPENDENCYPART_ARC
(14,12),-1.31745 # DEPENDENCYPART_ARC
(14,13),-0.959961 # DEPENDENCYPART_ARC
(14,15),0.392466 # DEPENDENCYPART_ARC
(14,16),-0.862194 # DEPENDENCYPART_ARC
(14,17),-0.783376 # DEPENDENCYPART_ARC
(14,18),-1.61815 # DEPENDENCYPART_ARC
(14,19),-1.46775 # DEPENDENCYPART_ARC
(14,20),-1.59155 # DEPENDENCYPART_ARC
(14,22),-2.07168 # DEPENDENCYPART_ARC
(14,23),-2.27256 # DEPENDENCYPART_ARC
(14,27),-2.0898 # DEPENDENCYPART_ARC
(14,31),-2.8322 # DEPENDENCYPART_ARC
(14,32),-3.04355 # DEPENDENCYPART_ARC
(14,33),-2.44455 # DEPENDENCYPART_ARC
(15,8),-1.87155 # DEPENDENCYPART_ARC
(15,12),-1.18969 # DEPENDENCYPART_ARC
(15,14),-0.0426739 # DEPENDENCYPART_ARC
(15,16),0.512907 # DEPENDENCYPART_ARC
(15,17),-1.14236 # DEPENDENCYPART_ARC
(15,18),-1.24208 # DEPENDENCYPART_ARC
(16,14),-1.14092 # DEPENDENCYPART_ARC
(16,15),-0.232125 # DEPENDENCYPART_ARC
(16,17),0.312309 # DEPENDENCYPART_ARC
(16,18),-1.07841 # DEPENDENCYPART_ARC
(16,19),-1.62646 # DEPENDENCYPART_ARC
(16,20),-1.53306 # DEPENDENCYPART_ARC
(16,22),-1.78155 # DEPENDENCYPART_ARC
(17,12),-1.91293 # DEPENDENCYPART_ARC
(17,15),-1.14124 # DEPENDENCYPART_ARC
(17,16),-0.497435 # DEPENDENCYPART_ARC
(17,18),0.976258 # DEPENDENCYPART_ARC
(17,20),-1.68885 # DEPENDENCYPART_ARC
(18,12),-2.29656 # DEPENDENCYPART_ARC
(18,15),-1.65218 # DEPENDENCYPART_ARC
(18,16),-0.774772 # DEPENDENCYPART_ARC
(18,17),-0.245317 # DEPENDENCYPART_ARC
(18,19),-0.197784 # DEPENDENCYPART_ARC
(18,22),-1.85531 # DEPENDENCYPART_ARC
(20,1),-1.14974 # DEPENDENCYPART_ARC
(20,2),-2.23446 # DEPENDENCYPART_ARC
(20,3),-2.18476 # DEPENDENCYPART_ARC
(20,4),-0.621613 # DEPENDENCYPART_ARC
(20,5),-0.413791 # DEPENDENCYPART_ARC
(20,6),-1.84877 # DEPENDENCYPART_ARC
(20,7),-2.07651 # DEPENDENCYPART_ARC
(20,8),-1.9516 # DEPENDENCYPART_ARC
(20,9),-2.2162 # DEPENDENCYPART_ARC
(20,10),-1.52718 # DEPENDENCYPART_ARC
(20,11),-2.25748 # DEPENDENCYPART_ARC
(20,12),-1.36288 # DEPENDENCYPART_ARC
(20,13),-1.08967 # DEPENDENCYPART_ARC
(20,14),-1.46515 # DEPENDENCYPART_ARC
(20,15),-1.46497 # DEPENDENCYPART_ARC
(20,16),-1.44058 # DEPENDENCYPART_ARC
(20,17),-1.19921 # DEPENDENCYPART_ARC
(20,18),-1.13865 # DEPENDENCYPART_ARC
(20,19),1.30013 # DEPENDENCYPART_ARC
(20,21),0.133752 # DEPENDENCYPART_ARC
(20,22),0.0124957 # DEPENDENCYPART_ARC
(20,23),-1.33687 # DEPENDENCYPART_ARC
(20,24),-1.60015 # DEPENDENCYPART_ARC
(20,25),-1.63663 # DEPENDENCYPART_ARC
(20,26),-1.95313 # DEPENDENCYPART_ARC
(20,27),-1.30318 # DEPENDENCYPART_ARC
(20,28),-1.74135 # DEPENDENCYPART_ARC
(20,29),-1.82366 # DEPENDENCYPART_ARC
(20,30),-2.3469 # DEPENDENCYPART_ARC
(20,33),1.12291 # DEPENDENCYPART_ARC
(20,34),-0.400995 # DEPENDENCYPART_ARC
(21,26),-1.75886 # DEPENDENCYPART_ARC
(22,1),-1.1992 # DEPENDENCYPART_ARC
(22,2),-1.85752 # DEPENDENCYPART_ARC
(22,3),-1.9237 # DEPENDENCYPART_ARC
(22,4),-1.26562 # DEPENDENCYPART_ARC
(22,5),-1.74205 # DEPENDENCYPART_ARC
(22,6),-1.88401 # DEPENDENCYPART_ARC
(22,7),-1.4112 # DEPENDENCYPART_ARC
(22,10),-1.39203 # DEPENDENCYPART_ARC
(22,11),-2.51872 # DEPENDENCYPART_ARC
(22,13),-1.34674 # DEPENDENCYPART_ARC
(22,14),-1.4923 # DEPENDENCYPART_ARC
(22,15),-1.69963 # DEPENDENCYPART_ARC
(22,16),-1.95406 # DEPENDENCYPART_ARC
(22,17),-1.56348 # DEPENDENCYPART_ARC
(22,18),-1.84832 # DEPENDENCYPART_ARC
(22,19),-1.05424 # DEPENDENCYPART_ARC
(22,20),-0.548524 # DEPENDENCYPART_ARC
(22,21),1.142 # DEPENDENCYPART_ARC
(22,23),1.51877 # DEPENDENCYPART_ARC
(22,24),-1.02782 # DEPENDENCYPART_ARC
(22,25),-1.2756 # DEPENDENCYPART_ARC
(22,26),-1.0232 # DEPENDENCYPART_ARC
(22,27),-1.06393 # DEPENDENCYPART_ARC
(22,28),-1.17075 # DEPENDENCYPART_ARC
(22,29),-0.729504 # DEPENDENCYPART_ARC
(22,30),-1.41385 # DEPENDENCYPART_ARC
(22,31),-1.24059 # DEPENDENCYPART_ARC
(22,32),-1.42186 # DEPENDENCYPART_ARC
(22,33),-0.939376 # DEPENDENCYPART_ARC
(22,34),-0.425102 # DEPENDENCYPART_ARC
(23,10),-2.08301 # DEPENDENCYPART_ARC
(23,12),-2.69874 # DEPENDENCYPART_ARC
(23,13),-2.05035 # DEPENDENCYPART_ARC
(23,17),-1.90095 # DEPENDENCYPART_ARC
(23,21),-1.56249 # DEPENDENCYPART_ARC
(23,24),-0.177852 # DEPENDENCYPART_ARC
(23,25),-0.787165 # DEPENDENCYPART_ARC
(23,26),-0.384864 # DEPENDENCYPART_ARC
(23,27),-1.11813 # DEPENDENCYPART_ARC
(23,28),-1.1131 # DEPENDENCYPART_ARC
(23,29),-1.21106 # DEPENDENCYPART_ARC
(23,30),-1.26902 # DEPENDENCYPART_ARC
(23,31),-1.37755 # DEPENDENCYPART_ARC
(23,32),-1.60142 # DEPENDENCYPART_ARC
(23,33),-1.20185 # DEPENDENCYPART_ARC
(23,34),-0.847981 # DEPENDENCYPART_ARC
(24,25),-0.377811 # DEPENDENCYPART_ARC
(24,28),-1.18849 # DEPENDENCYPART_ARC
(24,29),-1.48827 # DEPENDENCYPART_ARC
(25,21),-1.63482 # DEPENDENCYPART_ARC
(25,24),0.101143 # DEPENDENCYPART_ARC
(25,27),-1.0533 # DEPENDENCYPART_ARC
(25,28),-1.13762 # DEPENDENCYPART_ARC
(25,29),-1.49533 # DEPENDENCYPART_ARC
(25,30),-1.77443 # DEPENDENCYPART_ARC
(26,21),-1.32548 # DEPENDENCYPART_ARC
(26,22),-1.20633 # DEPENDENCYPART_ARC
(26,23),-1.03718 # DEPENDENCYPART_ARC
(26,24),0.100624 # DEPENDENCYPART_ARC
(26,25),1.35737 # DEPENDENCYPART_ARC
(26,27),-0.698148 # DEPENDENCYPART_ARC
(26,28),-0.997715 # DEPENDENCYPART_ARC
(26,29),-1.44166 # DEPENDENCYPART_ARC
(26,30),-1.63469 # DEPENDENCYPART_ARC
(26,31),-1.75286 # DEPENDENCYPART_ARC
(26,32),-1.64501 # DEPENDENCYPART_ARC
(27,1),-0.453655 # DEPENDENCYPART_ARC
(27,4),-1.29732 # DEPENDENCYPART_ARC
(27,5),-1.73025 # DEPENDENCYPART_ARC
(27,7),-1.47082 # DEPENDENCYPART_ARC
(27,10),-1.44467 # DEPENDENCYPART_ARC
(27,11),-2.99704 # DEPENDENCYPART_ARC
(27,13),-2.21818 # DEPENDENCYPART_ARC
(27,14),-2.10418 # DEPENDENCYPART_ARC
(27,15),-1.8515 # DEPENDENCYPART_ARC
(27,16),-1.73401 # DEPENDENCYPART_ARC
(27,17),-1.70028 # DEPENDENCYPART_ARC
(27,18),-1.69069 # DEPENDENCYPART_ARC
(27,19),-1.68637 # DEPENDENCYPART_ARC
(27,20),-0.704721 # DEPENDENCYPART_ARC
(27,21),-1.63888 # DEPENDENCYPART_ARC
(27,22),-1.29755 # DEPENDENCYPART_ARC
(27,23),-1.03596 # DEPENDENCYPART_ARC
(27,24),-0.96846 # DEPENDENCYPART_ARC
(27,25),-0.662772 # DEPENDENCYPART_ARC
(27,26),0.884128 # DEPENDENCYPART_ARC
(27,28),1.66389 # DEPENDENCYPART_ARC
(27,30),-1.21883 # DEPENDENCYPART_ARC
(27,31),-1.23961 # DEPENDENCYPART_ARC
(27,32),-1.34467 # DEPENDENCYPART_ARC
(27,33),-1.11215 # DEPENDENCYPART_ARC
(27,34),-1.17201 # DEPENDENCYPART_ARC
(28,21),-2.45887 # DEPENDENCYPART_ARC
(28,24),-1.82506 # DEPENDENCYPART_ARC
(28,25),-1.78933 # DEPENDENCYPART_ARC
(28,26),-1.38575 # DEPENDENCYPART_ARC
(28,29),1.00001 # DEPENDENCYPART_ARC
(28,30),-0.559137 # DEPENDENCYPART_ARC
(28,31),-1.14149 # DEPENDENCYPART_ARC
(28,32),-1.41364 # DEPENDENCYPART_ARC
(28,33),-1.23911 # DEPENDENCYPART_ARC
(28,34),-1.04199 # DEPENDENCYPART_ARC
(29,24),-2.26812 # DEPENDENCYPART_ARC
(29,26),-1.89568 # DEPENDENCYPART_ARC
(29,30),0.44399 # DEPENDENCYPART_ARC
(29,31),-0.634826 # DEPENDENCYPART_ARC
(29,32),-1.1589 # DEPENDENCYPART_ARC
(29,33),-0.874662 # DEPENDENCYPART_ARC
(29,34),-1.14783 # DEPENDENCYPART_ARC
(30,23),-1.35648 # DEPENDENCYPART_ARC
(30,24),-1.97471 # DEPENDENCYPART_ARC
(30,25),-1.04279 # DEPENDENCYPART_ARC
(30,26),-0.951802 # DEPENDENCYPART_ARC
(30,28),-0.668813 # DEPENDENCYPART_ARC
(30,29),0.679702 # DEPENDENCYPART_ARC
(30,31),-0.457353 # DEPENDENCYPART_ARC
(30,32),-1.24774 # DEPENDENCYPART_ARC
(31,26),-1.90914 # DEPENDENCYPART_ARC
(31,29),-1.39624 # DEPENDENCYPART_ARC
(31,30),-0.474559 # DEPENDENCYPART_ARC
(31,32),0.404589 # DEPENDENCYPART_ARC
(31,34),-0.836937 # DEPENDENCYPART_ARC
(32,26),-1.62368 # DEPENDENCYPART_ARC
(32,29),-1.26308 # DEPENDENCYPART_ARC
(32,30),-1.28499 # DEPENDENCYPART_ARC
(32,31),-0.487246 # DEPENDENCYPART_ARC
(32,34),-1.14443 # DEPENDENCYPART_ARC
(0,2),(0,3),0.00257766 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0139591 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0922397 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.00416857 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0958173 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0880916 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0536122 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0881009 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0880907 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0161567 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0142129 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.103659 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.00676012 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.109465 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.101437 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0452998 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.101446 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.101436 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0163466 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.119351 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0106358 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.128856 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.120496 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0871068 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.120509 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.120496 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0553173 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0685619 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.244349 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.23297 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.165982 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.233349 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.232889 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.108816 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.112797 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.102799 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.062954 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.102825 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.102799 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.0367837 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.252573 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.181127 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.252952 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.252492 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.123186 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.166379 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.223887 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.223427 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.11768 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.148618 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.147544 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.0506711 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.226424 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.116514 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.116131 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0144781 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0233692 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0190167 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0141936 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0136421 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0223529 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0625524 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0595632 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00231202 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.103909 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0321143 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0239572 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.053685 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00712953 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.053685 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0348115 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.062022 # DEPENDENCYPART_SIBL
(4,1),(4,33),0.0732231 # DEPENDENCYPART_SIBL
(4,1),(4,34),0.640362 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.118405 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0276233 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.013275 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0132713 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0271292 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.031354 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0581538 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.031354 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0040135 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.01037 # DEPENDENCYPART_SIBL
(4,2),(4,33),-0.00576074 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.0576501 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00086645 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0475178 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0159693 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0110253 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0410278 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0118415 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0410278 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0056369 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0113225 # DEPENDENCYPART_SIBL
(4,3),(4,33),0.0748696 # DEPENDENCYPART_SIBL
(4,3),(4,34),0.106687 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0963261 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0593519 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00339749 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00433793 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0200279 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.00433793 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0246145 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0165294 # DEPENDENCYPART_SIBL
(4,5),(4,33),-0.0330315 # DEPENDENCYPART_SIBL
(4,5),(4,34),0.0921284 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0768675 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0545196 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0546279 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.155784 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0546279 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.105892 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0782217 # DEPENDENCYPART_SIBL
(4,6),(4,33),0.00381697 # DEPENDENCYPART_SIBL
(4,6),(4,34),-0.0302987 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0191516 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0123483 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00632681 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0123483 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0256823 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.00108076 # DEPENDENCYPART_SIBL
(4,7),(4,33),-0.0296005 # DEPENDENCYPART_SIBL
(4,7),(4,34),0.0307366 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.000392814 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0596271 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.000392814 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0162746 # DEPENDENCYPART_SIBL
(4,10),(4,27),0.00613232 # DEPENDENCYPART_SIBL
(4,10),(4,33),-0.00326447 # DEPENDENCYPART_SIBL
(4,10),(4,34),0.042147 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00563661 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0469963 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0078327 # DEPENDENCYPART_SIBL
(4,11),(4,27),-0.0209236 # DEPENDENCYPART_SIBL
(4,11),(4,33),-0.0651137 # DEPENDENCYPART_SIBL
(4,11),(4,34),-0.00138636 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0473727 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.1109 # DEPENDENCYPART_SIBL
(4,13),(4,27),-0.0774597 # DEPENDENCYPART_SIBL
(4,13),(4,33),0.0306589 # DEPENDENCYPART_SIBL
(4,13),(4,34),0.0199131 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0078327 # DEPENDENCYPART_SIBL
(4,19),(4,27),-0.0209236 # DEPENDENCYPART_SIBL
(4,19),(4,33),-0.0651137 # DEPENDENCYPART_SIBL
(4,19),(4,34),-0.00138636 # DEPENDENCYPART_SIBL
(4,20),(4,27),-0.00962095 # DEPENDENCYPART_SIBL
(4,20),(4,33),-0.00732966 # DEPENDENCYPART_SIBL
(4,20),(4,34),0.0640448 # DEPENDENCYPART_SIBL
(4,27),(4,33),-0.0031098 # DEPENDENCYPART_SIBL
(4,27),(4,34),0.0183203 # DEPENDENCYPART_SIBL
(4,33),(4,34),0.169158 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0621942 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0223088 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00653155 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0185116 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.115189 # DEPENDENCYPART_SIBL
