# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,6,9,10,15,15,15,11,18,18,0,18,21,19,23,19,18,
(6,22),-1.96011 # DEPENDENCYPART_ARC
(6,23),-2.07071 # DEPENDENCYPART_ARC
(6,24),-2.15287 # DEPENDENCYPART_ARC
(7,1),-1.89282 # DEPENDENCYPART_ARC
(7,3),-2.44042 # DEPENDENCYPART_ARC
(7,4),-1.58861 # DEPENDENCYPART_ARC
(7,8),1.92624 # DEPENDENCYPART_ARC
(7,9),-1.25549 # DEPENDENCYPART_ARC
(7,10),-1.36747 # DEPENDENCYPART_ARC
(7,11),-1.24139 # DEPENDENCYPART_ARC
(7,15),-1.90249 # DEPENDENCYPART_ARC
(8,3),-2.68286 # DEPENDENCYPART_ARC
(8,6),-1.35241 # DEPENDENCYPART_ARC
(8,9),0.194987 # DEPENDENCYPART_ARC
(8,10),-1.34808 # DEPENDENCYPART_ARC
(8,11),-0.812958 # DEPENDENCYPART_ARC
(8,15),-1.94302 # DEPENDENCYPART_ARC
(8,16),-1.19942 # DEPENDENCYPART_ARC
(8,17),-2.3549 # DEPENDENCYPART_ARC
(8,18),-1.47177 # DEPENDENCYPART_ARC
(8,19),-1.82311 # DEPENDENCYPART_ARC
(8,21),-2.69715 # DEPENDENCYPART_ARC
(8,24),-2.99343 # DEPENDENCYPART_ARC
(9,1),-2.1917 # DEPENDENCYPART_ARC
(9,3),-2.75314 # DEPENDENCYPART_ARC
(9,6),-1.88312 # DEPENDENCYPART_ARC
(9,7),-1.88297 # DEPENDENCYPART_ARC
(9,8),-1.50045 # DEPENDENCYPART_ARC
(9,10),0.514521 # DEPENDENCYPART_ARC
(9,11),-0.505731 # DEPENDENCYPART_ARC
(9,13),-1.39188 # DEPENDENCYPART_ARC
(9,14),-1.09185 # DEPENDENCYPART_ARC
(9,15),-0.344303 # DEPENDENCYPART_ARC
(9,16),-1.37143 # DEPENDENCYPART_ARC
(9,17),-1.86784 # DEPENDENCYPART_ARC
(9,18),-0.950542 # DEPENDENCYPART_ARC
(9,19),-1.66643 # DEPENDENCYPART_ARC
(9,22),-2.11484 # DEPENDENCYPART_ARC
(9,24),-2.86116 # DEPENDENCYPART_ARC
(10,6),-2.6751 # DEPENDENCYPART_ARC
(10,9),-1.68799 # DEPENDENCYPART_ARC
(10,11),0.598102 # DEPENDENCYPART_ARC
(10,12),-1.62443 # DEPENDENCYPART_ARC
(10,13),-1.54103 # DEPENDENCYPART_ARC
(10,15),-2.05185 # DEPENDENCYPART_ARC
(10,16),-1.35457 # DEPENDENCYPART_ARC
(10,17),-2.4567 # DEPENDENCYPART_ARC
(10,18),-1.32644 # DEPENDENCYPART_ARC
(10,19),-1.42401 # DEPENDENCYPART_ARC
(10,21),-2.45828 # DEPENDENCYPART_ARC
(10,22),-2.19992 # DEPENDENCYPART_ARC
(10,23),-2.24958 # DEPENDENCYPART_ARC
(11,1),-1.81696 # DEPENDENCYPART_ARC
(11,9),-1.21422 # DEPENDENCYPART_ARC
(11,10),-1.70961 # DEPENDENCYPART_ARC
(11,12),-1.30812 # DEPENDENCYPART_ARC
(11,13),-0.981545 # DEPENDENCYPART_ARC
(11,14),-0.11383 # DEPENDENCYPART_ARC
(11,15),0.358368 # DEPENDENCYPART_ARC
(11,16),-1.54891 # DEPENDENCYPART_ARC
(11,17),-1.67023 # DEPENDENCYPART_ARC
(11,18),-1.27127 # DEPENDENCYPART_ARC
(11,19),-1.69381 # DEPENDENCYPART_ARC
(11,22),-2.17266 # DEPENDENCYPART_ARC
(11,23),-2.16864 # DEPENDENCYPART_ARC
(11,24),-2.28465 # DEPENDENCYPART_ARC
(13,12),-0.842206 # DEPENDENCYPART_ARC
(13,14),-0.885928 # DEPENDENCYPART_ARC
(14,12),-0.635072 # DEPENDENCYPART_ARC
(14,13),-0.269222 # DEPENDENCYPART_ARC
(14,16),-1.79069 # DEPENDENCYPART_ARC
(14,17),-1.70912 # DEPENDENCYPART_ARC
(14,18),-1.33492 # DEPENDENCYPART_ARC
(14,21),-2.67352 # DEPENDENCYPART_ARC
(15,1),-1.86901 # DEPENDENCYPART_ARC
(15,2),-3.05613 # DEPENDENCYPART_ARC
(15,3),-2.35726 # DEPENDENCYPART_ARC
(15,6),-1.98281 # DEPENDENCYPART_ARC
(15,8),-1.64401 # DEPENDENCYPART_ARC
(15,9),-1.62074 # DEPENDENCYPART_ARC
(15,10),-0.314355 # DEPENDENCYPART_ARC
(15,11),-1.53089 # DEPENDENCYPART_ARC
(15,12),0.571286 # DEPENDENCYPART_ARC
(15,13),1.45206 # DEPENDENCYPART_ARC
(15,14),2.48485 # DEPENDENCYPART_ARC
(15,16),-0.0312817 # DEPENDENCYPART_ARC
(15,17),-0.943023 # DEPENDENCYPART_ARC
(15,18),-0.955442 # DEPENDENCYPART_ARC
(15,19),-1.42922 # DEPENDENCYPART_ARC
(15,21),-2.01454 # DEPENDENCYPART_ARC
(15,22),-1.98875 # DEPENDENCYPART_ARC
(15,23),-2.0851 # DEPENDENCYPART_ARC
(15,24),-2.3732 # DEPENDENCYPART_ARC
(17,10),-1.97285 # DEPENDENCYPART_ARC
(17,12),-1.31454 # DEPENDENCYPART_ARC
(17,13),-1.49554 # DEPENDENCYPART_ARC
(17,15),-1.19671 # DEPENDENCYPART_ARC
(17,16),-1.3688 # DEPENDENCYPART_ARC
(17,18),-0.271766 # DEPENDENCYPART_ARC
(17,19),-0.519864 # DEPENDENCYPART_ARC
(17,21),-1.49714 # DEPENDENCYPART_ARC
(17,22),-1.64716 # DEPENDENCYPART_ARC
(17,23),-1.73833 # DEPENDENCYPART_ARC
(18,1),-1.41763 # DEPENDENCYPART_ARC
(18,2),-2.29688 # DEPENDENCYPART_ARC
(18,3),-1.13479 # DEPENDENCYPART_ARC
(18,4),-1.08012 # DEPENDENCYPART_ARC
(18,6),-0.861619 # DEPENDENCYPART_ARC
(18,7),-2.22983 # DEPENDENCYPART_ARC
(18,8),-0.437085 # DEPENDENCYPART_ARC
(18,9),-1.57522 # DEPENDENCYPART_ARC
(18,10),-1.2229 # DEPENDENCYPART_ARC
(18,11),-1.63254 # DEPENDENCYPART_ARC
(18,12),-2.02351 # DEPENDENCYPART_ARC
(18,13),-1.62726 # DEPENDENCYPART_ARC
(18,14),-0.935566 # DEPENDENCYPART_ARC
(18,15),-0.580782 # DEPENDENCYPART_ARC
(18,16),0.185531 # DEPENDENCYPART_ARC
(18,17),1.10018 # DEPENDENCYPART_ARC
(18,19),1.3699 # DEPENDENCYPART_ARC
(18,20),-1.54997 # DEPENDENCYPART_ARC
(18,21),-0.749611 # DEPENDENCYPART_ARC
(18,22),-1.21113 # DEPENDENCYPART_ARC
(18,23),-1.3642 # DEPENDENCYPART_ARC
(18,24),-0.420265 # DEPENDENCYPART_ARC
(19,20),-1.15162 # DEPENDENCYPART_ARC
(19,21),0.936861 # DEPENDENCYPART_ARC
(19,22),-0.939891 # DEPENDENCYPART_ARC
(19,23),-1.05316 # DEPENDENCYPART_ARC
(21,20),1.57435 # DEPENDENCYPART_ARC
(21,22),-0.550369 # DEPENDENCYPART_ARC
(21,23),-1.28802 # DEPENDENCYPART_ARC
(22,4),-2.28905 # DEPENDENCYPART_ARC
(22,15),-2.08648 # DEPENDENCYPART_ARC
(22,17),-1.98033 # DEPENDENCYPART_ARC
(22,19),-1.47568 # DEPENDENCYPART_ARC
(22,20),-1.3499 # DEPENDENCYPART_ARC
(22,21),-0.682561 # DEPENDENCYPART_ARC
(22,23),-0.739786 # DEPENDENCYPART_ARC
(22,24),-1.82596 # DEPENDENCYPART_ARC
(23,1),-2.01619 # DEPENDENCYPART_ARC
(23,4),-1.92646 # DEPENDENCYPART_ARC
(23,6),-2.09085 # DEPENDENCYPART_ARC
(23,9),-1.75095 # DEPENDENCYPART_ARC
(23,11),-1.62533 # DEPENDENCYPART_ARC
(23,15),-1.65638 # DEPENDENCYPART_ARC
(23,17),-1.45252 # DEPENDENCYPART_ARC
(23,19),-1.26688 # DEPENDENCYPART_ARC
(23,20),-0.916419 # DEPENDENCYPART_ARC
(23,21),-0.862243 # DEPENDENCYPART_ARC
(23,22),-0.0107633 # DEPENDENCYPART_ARC
(23,24),-1.5047 # DEPENDENCYPART_ARC
(24,23),-1.33723 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.168636 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.109886 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.103467 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.725206 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.130267 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.134747 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.735352 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.27902 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.748149 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.767668 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.212798 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.189013 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.841523 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.141971 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.193368 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.31426 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.141971 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.145904 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.723695 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0367369 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.597171 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.45923 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.132648 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.597171 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.395117 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.322085 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.131286 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.152469 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0676073 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.131286 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.177244 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.010374 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0517972 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.29526 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.010374 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0968822 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.117756 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0435398 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.4026 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0725186 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0788937 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0455089 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.115979 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0207583 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0603459 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.0725186 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0554305 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0281033 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0289299 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.046054 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.460525 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.715097 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.29753 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.108029 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.163453 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0410675 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0537445 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0162765 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.190405 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0546798 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00259746 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0216 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.143106 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.000335897 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0042082 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0216 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0558925 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00219784 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.12038 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0320742 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00612374 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0237216 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0460488 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0824353 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0727978 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.030737 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0460488 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0282115 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00284434 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0420673 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0359117 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0659649 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0621805 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0728464 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0508297 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0241233 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0621805 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.5865 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0399672 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0696598 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.447201 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.102741 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.394034 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0756564 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.195332 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.102741 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0399374 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.454664 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.15753 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00611787 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.851198 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0624636 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.330327 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00611787 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0574052 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.652625 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0643784 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.13988 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.082774 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0143531 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.373281 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0989682 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.354886 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0196265 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.132718 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.229554 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0484079 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0606862 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.577151 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0405508 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.070577 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0371932 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0202607 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.253387 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0400067 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0292117 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0215105 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.412618 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0342531 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0989682 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.354886 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.0196265 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.162067 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.129876 # DEPENDENCYPART_SIBL
(4,18),(4,24),0.23778 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.187001 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.148152 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0546791 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0433078 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.229517 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.18831 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0488635 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.105107 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0312772 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0141938 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0280875 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.105107 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0265705 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0197574 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0637772 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0141938 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.00882669 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0206968 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0206968 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0174065 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0851555 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0241343 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.339435 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0251496 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0313445 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.113039 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.050994 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0251496 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0450981 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0206826 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0155675 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.113039 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0291203 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.00179974 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.00705304 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.00681087 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.109767 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0186062 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0376762 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0596958 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.063342 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0102874 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0376762 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0539092 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00255397 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00616163 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.063342 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0254537 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.136801 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.136511 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0626703 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.061011 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0963615 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.034172 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0228356 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0212377 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0963615 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0335966 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0469322 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0310033 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0228356 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0254911 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0177941 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0177941 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.0624357 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.18078 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0456151 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.266628 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0255188 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.18078 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0367851 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0348248 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.278988 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.266628 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.100612 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0624156 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.0626982 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0374057 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0996367 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.12769 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00530059 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.435328 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0936498 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0980473 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.154089 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.12769 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.116273 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0421334 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0239344 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.00192465 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.110207 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0114758 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.00357021 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.255499 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0179004 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.105722 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.110207 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0777158 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.00127877 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.00128683 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0210227 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0618728 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.127311 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0896543 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0990233 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.00732685 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.00554017 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0390609 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0973372 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.0791382 # DEPENDENCYPART_SIBL
(6,9),(6,24),0.113204 # DEPENDENCYPART_SIBL
