# _root_ During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .
#goldHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,13,14,20,19,17,20,10,20,23,0,25,23,25,23,
#predictedHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,10,14,20,19,17,20,10,20,23,0,25,23,25,23,
(20,12),-0.601053 # DEPENDENCYPART_ARC
(20,14),-0.487299 # DEPENDENCYPART_ARC
(20,15),-0.359434 # DEPENDENCYPART_ARC
(20,16),-0.157747 # DEPENDENCYPART_ARC
(20,17),-0.414033 # DEPENDENCYPART_ARC
(20,19),0.744823 # DEPENDENCYPART_ARC
(20,21),0.783529 # DEPENDENCYPART_ARC
(20,22),-0.449554 # DEPENDENCYPART_ARC
(20,23),-0.890252 # DEPENDENCYPART_ARC
(20,25),-1.78423 # DEPENDENCYPART_ARC
(20,26),-1.58434 # DEPENDENCYPART_ARC
(20,27),-1.40614 # DEPENDENCYPART_ARC
(21,12),-1.25289 # DEPENDENCYPART_ARC
(21,15),-1.21933 # DEPENDENCYPART_ARC
(21,17),-1.10179 # DEPENDENCYPART_ARC
(21,19),-1.01635 # DEPENDENCYPART_ARC
(21,22),-0.119146 # DEPENDENCYPART_ARC
(21,23),-1.37557 # DEPENDENCYPART_ARC
(21,25),-1.5022 # DEPENDENCYPART_ARC
(21,26),-1.74774 # DEPENDENCYPART_ARC
(23,1),-0.742105 # DEPENDENCYPART_ARC
(23,2),-2.95983 # DEPENDENCYPART_ARC
(23,3),-1.60908 # DEPENDENCYPART_ARC
(23,4),-2.54731 # DEPENDENCYPART_ARC
(23,5),-1.83965 # DEPENDENCYPART_ARC
(23,6),-1.73309 # DEPENDENCYPART_ARC
(23,7),-1.78208 # DEPENDENCYPART_ARC
(23,8),-1.77494 # DEPENDENCYPART_ARC
(23,9),-1.32748 # DEPENDENCYPART_ARC
(23,10),-1.51983 # DEPENDENCYPART_ARC
(23,12),-1.75663 # DEPENDENCYPART_ARC
(23,14),-0.879729 # DEPENDENCYPART_ARC
(23,15),-1.70358 # DEPENDENCYPART_ARC
(23,16),-1.01045 # DEPENDENCYPART_ARC
(23,17),-1.57132 # DEPENDENCYPART_ARC
(23,19),-1.32578 # DEPENDENCYPART_ARC
(23,20),-0.736051 # DEPENDENCYPART_ARC
(23,21),-0.921103 # DEPENDENCYPART_ARC
(23,22),1.05899 # DEPENDENCYPART_ARC
(23,24),0.385549 # DEPENDENCYPART_ARC
(23,25),0.209333 # DEPENDENCYPART_ARC
(23,26),-0.961005 # DEPENDENCYPART_ARC
(23,27),0.127704 # DEPENDENCYPART_ARC
(24,25),-0.0910916 # DEPENDENCYPART_ARC
(25,1),-2.10236 # DEPENDENCYPART_ARC
(25,3),-1.95987 # DEPENDENCYPART_ARC
(25,4),-2.97127 # DEPENDENCYPART_ARC
(25,6),-2.84683 # DEPENDENCYPART_ARC
(25,7),-2.21135 # DEPENDENCYPART_ARC
(25,8),-2.33839 # DEPENDENCYPART_ARC
(25,9),-1.68247 # DEPENDENCYPART_ARC
(25,10),-1.98722 # DEPENDENCYPART_ARC
(25,12),-2.24306 # DEPENDENCYPART_ARC
(25,14),-1.74401 # DEPENDENCYPART_ARC
(25,16),-1.55408 # DEPENDENCYPART_ARC
(25,19),-2.24687 # DEPENDENCYPART_ARC
(25,20),-1.49698 # DEPENDENCYPART_ARC
(25,21),-1.70131 # DEPENDENCYPART_ARC
(25,22),-1.01211 # DEPENDENCYPART_ARC
(25,23),-0.515815 # DEPENDENCYPART_ARC
(25,24),1.01935 # DEPENDENCYPART_ARC
(25,26),1.02929 # DEPENDENCYPART_ARC
(25,27),0.0376718 # DEPENDENCYPART_ARC
(26,3),-1.69151 # DEPENDENCYPART_ARC
(26,19),-1.97775 # DEPENDENCYPART_ARC
(26,21),-2.23485 # DEPENDENCYPART_ARC
(26,24),-1.38122 # DEPENDENCYPART_ARC
(26,27),-0.361184 # DEPENDENCYPART_ARC
(0,1),(0,7),-0.116207 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0224996 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0966355 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.106339 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0628789 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0917124 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.082817 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.171591 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.170772 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.153203 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.169064 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.10501 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.108704 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0787922 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.104888 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.163997 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.138475 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.162935 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.139545 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.167118 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.130914 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0444663 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00498018 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0444751 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0444554 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0312527 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0135578 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00929312 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0863102 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0862303 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0343219 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0352907 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.032693 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0292204 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00414972 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00771513 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0856424 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0346769 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0354656 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.033606 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.034793 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00768085 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00125305 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0175147 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0203952 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0181292 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0174603 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.017821 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0403407 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00495345 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0203952 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.00823612 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.00506072 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0213431 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00289237 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0226505 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0205573 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0826342 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0167246 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.106153 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00289237 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0171398 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0775388 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.128002 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.035897 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0444873 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00482267 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.000539931 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0196623 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.036938 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.039313 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.0160742 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.00265397 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0120761 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0165856 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.024388 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00604217 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.00470552 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0299122 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0117882 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0167465 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0143807 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0226274 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00383858 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0155302 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0281945 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.00958021 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0201837 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.010589 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0170362 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0215245 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0472188 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0039497 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.00703483 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00430858 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0487453 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.00600784 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0116167 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0787904 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.00727172 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0372407 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.00107671 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.00543493 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.039313 # DEPENDENCYPART_SIBL
(3,22),(3,25),0.0160742 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.00265397 # DEPENDENCYPART_SIBL
(3,23),(3,25),0.00427917 # DEPENDENCYPART_SIBL
(3,23),(3,27),0.0325139 # DEPENDENCYPART_SIBL
(3,25),(3,27),-0.00756533 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0602044 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0193851 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0132801 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.103538 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0511453 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0272038 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0394372 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.01636 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0214131 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.000173876 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0292266 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0178792 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0414154 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0565344 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.041837 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0169562 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.000758761 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0241021 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0160565 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0106225 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0148377 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0713604 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.026318 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0396625 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.10788 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0493378 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0290119 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.131421 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0394463 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.131084 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0194957 # DEPENDENCYPART_SIBL
(6,3),(6,8),7.3616e-05 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0294747 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00409017 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00750301 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0454813 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0553019 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0406039 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0031492 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.097488 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0455753 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0181537 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.093991 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0160232 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0105889 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0170162 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0148374 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0103819 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.00432851 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.048419 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00876562 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.068224 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0155656 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0107923 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0674115 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0174925 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0410889 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0301348 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0230259 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0490316 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.00772676 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.029472 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.084205 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.0125744 # DEPENDENCYPART_SIBL
(7,1),(7,25),0.0216006 # DEPENDENCYPART_SIBL
(7,1),(7,26),-0.0121355 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.0348391 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0337204 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.154275 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0652873 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0441432 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.133947 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0398617 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0706076 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0750083 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0625595 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0340949 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.126367 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0513946 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0300624 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.00427767 # DEPENDENCYPART_SIBL
(7,2),(7,25),-0.0972716 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.138018 # DEPENDENCYPART_SIBL
(7,2),(7,27),-0.119995 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0288733 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.153693 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.105588 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.118835 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0169179 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0043616 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.115575 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0832049 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0927074 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0687758 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0624009 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.00846303 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.0367768 # DEPENDENCYPART_SIBL
(7,3),(7,25),-0.00923145 # DEPENDENCYPART_SIBL
(7,3),(7,26),-2.50711e-05 # DEPENDENCYPART_SIBL
(7,3),(7,27),0.0250823 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0386446 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0117286 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0771784 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0288083 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0296686 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0234771 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0534323 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0617401 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0366319 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0469049 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.236456 # DEPENDENCYPART_SIBL
(7,4),(7,23),0.0255652 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0091507 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.063954 # DEPENDENCYPART_SIBL
