# _root_ These procedures consume millions of man-hours of labor and produce tons of paper , and each year , their end product -- the Five Year Defense Plan -- promptly melts away .
#goldHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,30,30,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
#predictedHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,11,11,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
(4,28),-1.23732 # DEPENDENCYPART_ARC
(4,30),-1.77303 # DEPENDENCYPART_ARC
(4,32),-1.64905 # DEPENDENCYPART_ARC
(5,2),-1.41379 # DEPENDENCYPART_ARC
(5,4),-0.409068 # DEPENDENCYPART_ARC
(5,6),0.666918 # DEPENDENCYPART_ARC
(5,7),-0.882638 # DEPENDENCYPART_ARC
(5,8),-1.02346 # DEPENDENCYPART_ARC
(5,9),-1.48 # DEPENDENCYPART_ARC
(5,11),-2.28808 # DEPENDENCYPART_ARC
(6,1),-2.24275 # DEPENDENCYPART_ARC
(6,2),-1.94169 # DEPENDENCYPART_ARC
(6,3),-1.50473 # DEPENDENCYPART_ARC
(6,4),-0.981493 # DEPENDENCYPART_ARC
(6,5),-0.350514 # DEPENDENCYPART_ARC
(6,7),0.66063 # DEPENDENCYPART_ARC
(6,8),-0.780055 # DEPENDENCYPART_ARC
(6,9),-0.585511 # DEPENDENCYPART_ARC
(6,10),-0.766281 # DEPENDENCYPART_ARC
(6,11),-1.16905 # DEPENDENCYPART_ARC
(6,12),-1.00218 # DEPENDENCYPART_ARC
(6,14),-1.45162 # DEPENDENCYPART_ARC
(6,15),-1.05513 # DEPENDENCYPART_ARC
(6,18),-1.57987 # DEPENDENCYPART_ARC
(6,31),-1.46965 # DEPENDENCYPART_ARC
(6,32),-1.7402 # DEPENDENCYPART_ARC
(7,4),-1.4639 # DEPENDENCYPART_ARC
(7,5),-1.12401 # DEPENDENCYPART_ARC
(7,6),-0.457509 # DEPENDENCYPART_ARC
(7,8),0.892498 # DEPENDENCYPART_ARC
(7,9),-1.22206 # DEPENDENCYPART_ARC
(7,10),-1.20956 # DEPENDENCYPART_ARC
(7,11),-1.46624 # DEPENDENCYPART_ARC
(7,12),-1.08653 # DEPENDENCYPART_ARC
(7,13),-2.14058 # DEPENDENCYPART_ARC
(8,3),-1.3214 # DEPENDENCYPART_ARC
(8,4),-1.54063 # DEPENDENCYPART_ARC
(8,5),-1.35041 # DEPENDENCYPART_ARC
(8,6),-0.627971 # DEPENDENCYPART_ARC
(8,7),0.0581273 # DEPENDENCYPART_ARC
(8,10),-1.03784 # DEPENDENCYPART_ARC
(8,12),-1.36838 # DEPENDENCYPART_ARC
(9,1),-1.45101 # DEPENDENCYPART_ARC
(9,2),-0.516883 # DEPENDENCYPART_ARC
(9,3),0.219909 # DEPENDENCYPART_ARC
(9,4),-0.733905 # DEPENDENCYPART_ARC
(9,5),-0.725949 # DEPENDENCYPART_ARC
(9,6),-0.435405 # DEPENDENCYPART_ARC
(9,7),-0.359447 # DEPENDENCYPART_ARC
(9,8),0.359966 # DEPENDENCYPART_ARC
(9,10),1.04116 # DEPENDENCYPART_ARC
(9,11),-0.101896 # DEPENDENCYPART_ARC
(9,12),-1.06836 # DEPENDENCYPART_ARC
(9,13),-1.32081 # DEPENDENCYPART_ARC
(9,14),-1.58536 # DEPENDENCYPART_ARC
(9,15),-1.62904 # DEPENDENCYPART_ARC
(9,18),-1.9518 # DEPENDENCYPART_ARC
(9,22),-1.56903 # DEPENDENCYPART_ARC
(9,30),-2.97579 # DEPENDENCYPART_ARC
(9,32),-1.08163 # DEPENDENCYPART_ARC
(10,2),-1.90239 # DEPENDENCYPART_ARC
(10,3),-2.4036 # DEPENDENCYPART_ARC
(10,4),-1.70923 # DEPENDENCYPART_ARC
(10,6),-1.57185 # DEPENDENCYPART_ARC
(10,7),-1.59006 # DEPENDENCYPART_ARC
(10,8),-1.48266 # DEPENDENCYPART_ARC
(10,9),-0.641606 # DEPENDENCYPART_ARC
(10,11),0.597312 # DEPENDENCYPART_ARC
(10,12),-0.750684 # DEPENDENCYPART_ARC
(10,13),-1.03133 # DEPENDENCYPART_ARC
(10,14),-1.29569 # DEPENDENCYPART_ARC
(10,15),-1.38846 # DEPENDENCYPART_ARC
(10,16),-1.79762 # DEPENDENCYPART_ARC
(10,17),-2.29135 # DEPENDENCYPART_ARC
(10,20),-1.70396 # DEPENDENCYPART_ARC
(10,21),-2.05627 # DEPENDENCYPART_ARC
(10,22),-1.39369 # DEPENDENCYPART_ARC
(10,25),-2.29581 # DEPENDENCYPART_ARC
(10,27),-2.18042 # DEPENDENCYPART_ARC
(10,28),-1.48535 # DEPENDENCYPART_ARC
(10,29),-1.79426 # DEPENDENCYPART_ARC
(10,30),-1.77743 # DEPENDENCYPART_ARC
(10,31),-2.24969 # DEPENDENCYPART_ARC
(10,32),-1.44636 # DEPENDENCYPART_ARC
(11,6),-1.81909 # DEPENDENCYPART_ARC
(11,7),-1.54863 # DEPENDENCYPART_ARC
(11,8),-1.38708 # DEPENDENCYPART_ARC
(11,9),-0.9448 # DEPENDENCYPART_ARC
(11,10),0.438751 # DEPENDENCYPART_ARC
(11,12),0.818601 # DEPENDENCYPART_ARC
(11,13),-0.817656 # DEPENDENCYPART_ARC
(11,14),-1.16225 # DEPENDENCYPART_ARC
(11,15),-1.11955 # DEPENDENCYPART_ARC
(11,16),-1.60783 # DEPENDENCYPART_ARC
(11,17),-1.46418 # DEPENDENCYPART_ARC
(11,18),-1.37515 # DEPENDENCYPART_ARC
(11,20),-1.22659 # DEPENDENCYPART_ARC
(11,21),-1.63596 # DEPENDENCYPART_ARC
(11,22),-0.983851 # DEPENDENCYPART_ARC
(11,27),-1.94548 # DEPENDENCYPART_ARC
(11,28),-1.01765 # DEPENDENCYPART_ARC
(11,30),-1.57046 # DEPENDENCYPART_ARC
(12,11),-0.377508 # DEPENDENCYPART_ARC
(12,13),0.716022 # DEPENDENCYPART_ARC
(12,15),-1.64318 # DEPENDENCYPART_ARC
(12,17),-2.06185 # DEPENDENCYPART_ARC
(12,21),-2.04675 # DEPENDENCYPART_ARC
(13,11),-0.745737 # DEPENDENCYPART_ARC
(13,12),-0.102841 # DEPENDENCYPART_ARC
(13,14),-0.118223 # DEPENDENCYPART_ARC
(13,15),-1.67902 # DEPENDENCYPART_ARC
(13,16),-1.79188 # DEPENDENCYPART_ARC
(13,17),-1.50463 # DEPENDENCYPART_ARC
(13,18),-1.42749 # DEPENDENCYPART_ARC
(13,20),-1.57771 # DEPENDENCYPART_ARC
(13,21),-1.84537 # DEPENDENCYPART_ARC
(13,22),-1.18624 # DEPENDENCYPART_ARC
(13,26),-1.945 # DEPENDENCYPART_ARC
(13,27),-2.07187 # DEPENDENCYPART_ARC
(13,28),-1.26115 # DEPENDENCYPART_ARC
(13,29),-1.71648 # DEPENDENCYPART_ARC
(13,30),-2.18264 # DEPENDENCYPART_ARC
(13,31),-1.87803 # DEPENDENCYPART_ARC
(13,32),-1.57952 # DEPENDENCYPART_ARC
(15,1),-2.6467 # DEPENDENCYPART_ARC
(15,2),-2.0129 # DEPENDENCYPART_ARC
(15,3),-1.81235 # DEPENDENCYPART_ARC
(15,4),-1.87793 # DEPENDENCYPART_ARC
(15,5),-1.55555 # DEPENDENCYPART_ARC
(15,6),-1.79403 # DEPENDENCYPART_ARC
(15,7),-1.50816 # DEPENDENCYPART_ARC
(15,8),-1.70991 # DEPENDENCYPART_ARC
(15,9),-1.33366 # DEPENDENCYPART_ARC
(15,10),-1.46338 # DEPENDENCYPART_ARC
(15,11),-1.15266 # DEPENDENCYPART_ARC
(15,12),-1.31613 # DEPENDENCYPART_ARC
(15,13),-0.966895 # DEPENDENCYPART_ARC
(15,14),1.34825 # DEPENDENCYPART_ARC
(15,16),0.229223 # DEPENDENCYPART_ARC
(15,17),-0.275111 # DEPENDENCYPART_ARC
(15,18),-0.661294 # DEPENDENCYPART_ARC
(15,20),-1.46424 # DEPENDENCYPART_ARC
(15,21),-2.05577 # DEPENDENCYPART_ARC
(15,22),-1.25808 # DEPENDENCYPART_ARC
(15,25),-2.54623 # DEPENDENCYPART_ARC
(15,26),-2.54268 # DEPENDENCYPART_ARC
(15,27),-2.5948 # DEPENDENCYPART_ARC
(15,28),-1.45431 # DEPENDENCYPART_ARC
(15,30),-2.35098 # DEPENDENCYPART_ARC
(15,32),-0.461644 # DEPENDENCYPART_ARC
(17,3),-1.88901 # DEPENDENCYPART_ARC
(17,13),-1.962 # DEPENDENCYPART_ARC
(17,14),-1.41674 # DEPENDENCYPART_ARC
(17,15),-0.509565 # DEPENDENCYPART_ARC
(17,16),0.926065 # DEPENDENCYPART_ARC
(17,18),-0.353453 # DEPENDENCYPART_ARC
(17,20),-1.76584 # DEPENDENCYPART_ARC
(17,21),-1.75104 # DEPENDENCYPART_ARC
(17,22),-1.58147 # DEPENDENCYPART_ARC
(17,24),-2.14015 # DEPENDENCYPART_ARC
(17,25),-1.91548 # DEPENDENCYPART_ARC
(17,26),-1.97476 # DEPENDENCYPART_ARC
(17,27),-2.14887 # DEPENDENCYPART_ARC
(17,28),-1.53958 # DEPENDENCYPART_ARC
(17,29),-2.01433 # DEPENDENCYPART_ARC
(17,30),-2.30593 # DEPENDENCYPART_ARC
(17,31),-2.15182 # DEPENDENCYPART_ARC
(20,16),-2.1197 # DEPENDENCYPART_ARC
(20,17),-1.64036 # DEPENDENCYPART_ARC
(20,19),-0.34604 # DEPENDENCYPART_ARC
(20,24),-1.63568 # DEPENDENCYPART_ARC
(21,13),-1.72179 # DEPENDENCYPART_ARC
(21,16),-1.21279 # DEPENDENCYPART_ARC
(21,17),-1.42144 # DEPENDENCYPART_ARC
(21,18),-1.22373 # DEPENDENCYPART_ARC
(21,19),0.0690832 # DEPENDENCYPART_ARC
(21,20),1.59068 # DEPENDENCYPART_ARC
(21,22),0.0828012 # DEPENDENCYPART_ARC
(21,23),-1.47058 # DEPENDENCYPART_ARC
(21,24),-1.61257 # DEPENDENCYPART_ARC
(21,25),-1.43639 # DEPENDENCYPART_ARC
(21,26),-1.64836 # DEPENDENCYPART_ARC
(21,27),-1.81588 # DEPENDENCYPART_ARC
(21,28),-0.907652 # DEPENDENCYPART_ARC
(21,29),-1.5454 # DEPENDENCYPART_ARC
(21,30),-1.57985 # DEPENDENCYPART_ARC
(21,31),-1.73918 # DEPENDENCYPART_ARC
(21,32),-1.69615 # DEPENDENCYPART_ARC
(22,5),-1.71181 # DEPENDENCYPART_ARC
(22,12),-1.45593 # DEPENDENCYPART_ARC
(22,25),-1.30671 # DEPENDENCYPART_ARC
(22,26),-1.43663 # DEPENDENCYPART_ARC
(22,27),-1.5193 # DEPENDENCYPART_ARC
(23,24),0.0763587 # DEPENDENCYPART_ARC
(24,21),-1.48394 # DEPENDENCYPART_ARC
(24,23),-0.2066 # DEPENDENCYPART_ARC
(24,25),-0.106819 # DEPENDENCYPART_ARC
(24,26),-0.997752 # DEPENDENCYPART_ARC
(24,29),-1.42038 # DEPENDENCYPART_ARC
(25,19),-2.20839 # DEPENDENCYPART_ARC
(25,20),-2.15197 # DEPENDENCYPART_ARC
(25,23),-0.640664 # DEPENDENCYPART_ARC
(25,24),-0.0406241 # DEPENDENCYPART_ARC
(25,26),-0.301767 # DEPENDENCYPART_ARC
(25,29),-1.33903 # DEPENDENCYPART_ARC
(25,31),-1.51784 # DEPENDENCYPART_ARC
(26,16),-2.93284 # DEPENDENCYPART_ARC
(26,19),-2.02255 # DEPENDENCYPART_ARC
(26,20),-2.19123 # DEPENDENCYPART_ARC
(26,23),-1.11832 # DEPENDENCYPART_ARC
(26,24),-0.933258 # DEPENDENCYPART_ARC
(26,25),0.223967 # DEPENDENCYPART_ARC
(26,29),-1.49016 # DEPENDENCYPART_ARC
(26,31),-1.85225 # DEPENDENCYPART_ARC
(27,16),-1.50316 # DEPENDENCYPART_ARC
(27,17),-1.83303 # DEPENDENCYPART_ARC
(27,18),-1.19774 # DEPENDENCYPART_ARC
(27,19),-0.750935 # DEPENDENCYPART_ARC
(27,20),-0.665357 # DEPENDENCYPART_ARC
(27,21),-1.00633 # DEPENDENCYPART_ARC
(27,22),-0.676261 # DEPENDENCYPART_ARC
(27,23),0.177232 # DEPENDENCYPART_ARC
(27,24),-0.119012 # DEPENDENCYPART_ARC
(27,25),1.04744 # DEPENDENCYPART_ARC
(27,26),2.27961 # DEPENDENCYPART_ARC
(27,28),-0.160507 # DEPENDENCYPART_ARC
(27,29),-1.26313 # DEPENDENCYPART_ARC
(27,30),-1.40552 # DEPENDENCYPART_ARC
(27,31),-1.69233 # DEPENDENCYPART_ARC
(29,11),-1.35102 # DEPENDENCYPART_ARC
(29,13),-1.49801 # DEPENDENCYPART_ARC
(29,17),-1.88836 # DEPENDENCYPART_ARC
(29,21),-1.44169 # DEPENDENCYPART_ARC
(29,25),-1.23942 # DEPENDENCYPART_ARC
(29,26),-1.2549 # DEPENDENCYPART_ARC
(29,27),-1.24906 # DEPENDENCYPART_ARC
(29,28),0.00114073 # DEPENDENCYPART_ARC
(29,31),-0.681485 # DEPENDENCYPART_ARC
(30,3),-1.62192 # DEPENDENCYPART_ARC
(30,6),-0.826543 # DEPENDENCYPART_ARC
(30,8),-1.05475 # DEPENDENCYPART_ARC
(30,9),-0.709509 # DEPENDENCYPART_ARC
(30,10),-1.36322 # DEPENDENCYPART_ARC
(30,13),-0.874865 # DEPENDENCYPART_ARC
(30,14),-2.1078 # DEPENDENCYPART_ARC
(30,15),-1.02042 # DEPENDENCYPART_ARC
(30,17),-1.78438 # DEPENDENCYPART_ARC
(30,18),-1.24144 # DEPENDENCYPART_ARC
(30,20),-0.929266 # DEPENDENCYPART_ARC
(30,21),-0.618383 # DEPENDENCYPART_ARC
(30,22),-0.702121 # DEPENDENCYPART_ARC
(30,23),-1.12072 # DEPENDENCYPART_ARC
(30,24),-1.04669 # DEPENDENCYPART_ARC
(30,25),-0.625133 # DEPENDENCYPART_ARC
(30,26),-0.623347 # DEPENDENCYPART_ARC
(30,27),-0.461807 # DEPENDENCYPART_ARC
(30,28),-0.359311 # DEPENDENCYPART_ARC
(30,29),0.931282 # DEPENDENCYPART_ARC
(30,31),0.687192 # DEPENDENCYPART_ARC
(30,32),-0.112997 # DEPENDENCYPART_ARC
(31,27),-1.45513 # DEPENDENCYPART_ARC
(31,29),-1.38595 # DEPENDENCYPART_ARC
(31,32),-0.267897 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.101485 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0506676 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0284388 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.102606 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.101485 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0602956 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.039236 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.131702 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.167042 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.131702 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.164275 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0276045 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0912568 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.103476 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0912568 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.102354 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0414035 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0971534 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0414035 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.0968717 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.132642 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.113963 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.132251 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.131741 # DEPENDENCYPART_SIBL
(0,10),(0,30),-0.161721 # DEPENDENCYPART_SIBL
(0,15),(0,30),-0.132251 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00460279 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00627811 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0876211 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0297023 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0297023 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0174347 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0146691 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0146691 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00764387 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00764387 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.133212 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0235206 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0122261 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.139953 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0086022 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.139953 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0148647 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00371323 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0603174 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0302587 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.00371323 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.0448035 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0374407 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0112846 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0321845 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0112846 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0203756 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00219071 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0206368 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00438978 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00219071 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.0150618 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00555076 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0209244 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00555076 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0220299 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.030651 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0133558 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00813777 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.030651 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.011209 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0287322 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.212834 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0304705 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0546256 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0601763 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0257364 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0546256 # DEPENDENCYPART_SIBL
(3,5),(3,32),-0.0391367 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00182085 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0233111 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.031987 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.012986 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0130186 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.031987 # DEPENDENCYPART_SIBL
(3,6),(3,32),-0.00354859 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0304705 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0546256 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0601763 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0257364 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0546256 # DEPENDENCYPART_SIBL
(3,7),(3,32),-0.0391367 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0319971 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.013006 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0122815 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0319971 # DEPENDENCYPART_SIBL
(3,8),(3,32),-0.00433214 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00343403 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0012717 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0457482 # DEPENDENCYPART_SIBL
(3,9),(3,32),0.00499531 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0004187 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0573067 # DEPENDENCYPART_SIBL
(3,10),(3,32),-0.00320843 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00198852 # DEPENDENCYPART_SIBL
(3,14),(3,32),0.00522723 # DEPENDENCYPART_SIBL
(3,15),(3,32),0.00499531 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00734677 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00842396 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0939191 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00842396 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0984872 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0567858 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0127231 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0941444 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00842396 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.125177 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.125177 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0126275 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0126275 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.0155177 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.0649489 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0230667 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0131271 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0230667 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0266315 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00933213 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0238348 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0149715 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0230667 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0495324 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0495324 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0229864 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.0229864 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.0218169 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.0104035 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.000710801 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.149694 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00258345 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.061426 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0559276 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00121049 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.149694 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0066329 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0066329 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0677932 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0677932 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.054747 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.0219329 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0117133 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0107002 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.03975 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.019019 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0103996 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0117133 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0131129 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0131129 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0222061 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.0222061 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.0174862 # DEPENDENCYPART_SIBL
(4,6),(4,32),0.019818 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00258345 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.061426 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0559276 # DEPENDENCYPART_SIBL
